Surf,Cleaning,3.06
Cathedral City,Groceries,68.03
Flora,Dairy,18.38
Danish,Fresh Meat,8.57
Weston Veg,Fruit and Vegetables,83.89
Remington,Beauty,30.54
Cravendale,Dairy,0.36
Flora,Dairy,9.76
Butchers,Pet,75.63
Hovis,Bakery,60.07
Activia,Dairy,49.77
Simple,Beauty,47.90
Blue Diamond,Dairy,16.79
Muddy Boots,Fresh Meat,77.21
Muller,Dairy,1.52
Hartleys,Groceries,2.92
Colgate,Healthcare,16.77
Fairy,Cleaning,62.97
Weston Veg,Fruit and Vegetables,11.11
Walkers,Groceries,34.22
Gilette,Beauty,10.29
Bakers,Pet,16.80
Vaseline,Beauty,8.24
Garnier,Beauty,4.11
Roberts,Bakery,11.30
Vanish,Cleaning,58.82
Garnier,Beauty,21.60
Vaseline,Beauty,2.81
Rowse,Groceries,30.43
Knorr,Groceries,18.94
Finish,Cleaning,88.31
Vanish,Cleaning,127.22
Richmond,Fresh Meat,133.83
Weston Veg,Fruit and Vegetables,85.43
Knorr,Groceries,14.79
Bakers,Pet,31.93
Surf,Cleaning,76.57
Blue Diamond,Dairy,1.63
Garnier,Beauty,12.75
Danish,Fresh Meat,20.83
Vaseline,Beauty,45.64
Tropicana,Groceries,72.25
Delifrance,Bakery,82.17
Hovis,Bakery,63.64
Dave's Dairy,Dairy,43.73
Tropicana,Groceries,92.53
Simple,Beauty,7.50
Pedigree,Pet,97.38
John West,Groceries,56.46
Danish,Fresh Meat,72.25
Bakers,Pet,112.12
Gressingham,Fresh Meat,57.32
Andrew,Groceries,15.22
Surf,Cleaning,54.62
Warburtons,Bakery,13.17
Richmond,Fresh Meat,4.66
Rowse,Groceries,34.31
Roberts,Bakery,36.51
Go Cat,Pet,0.62
Bold,Cleaning,55.62
Finish,Cleaning,5.07
Activia,Dairy,39.34
Muddy Boots,Fresh Meat,19.28
Bold,Cleaning,60.95
Kelloggs,Groceries,8.00
John West,Groceries,32.73
Dave's Dairy,Dairy,75.68
Gilette,Beauty,25.87
Lurpak,Dairy,20.16
Gu,Groceries,7.92
Denhay,Fresh Meat,82.43
Garnier,Beauty,2.24
Roberts,Bakery,59.89
Cravendale,Dairy,70.02
Colmans,Groceries,3.74
Dave's Dairy,Dairy,1.74
Roberts,Bakery,23.37
Rowse,Groceries,108.73
Muddy Boots,Fresh Meat,70.69
Dave's Dairy,Dairy,3.66
Weston Veg,Fruit and Vegetables,22.01
Heinz,Groceries,64.20
Vaseline,Beauty,11.86
Fairy,Cleaning,6.68
Fairy,Cleaning,1.51
Roberts,Bakery,17.99
New Farm,Fruit and Vegetables,4.35
Tropicana,Groceries,1.00
John West,Groceries,3.51
