Blue Diamond,Dairy,27.91
Bold,Cleaning,0.25
Gu,Groceries,3.53
Bakers,Pet,44.05
Hovis,Bakery,76.18
Activia,Dairy,33.05
Bakers,Pet,54.39
Gu,Groceries,46.38
Pedigree,Pet,13.82
Florette,Fruit and Vegetables,62.52
Simple,Beauty,8.97
Activia,Dairy,29.07
Knorr,Groceries,14.35
Denhay,Fresh Meat,22.61
Gu,Groceries,24.97
Bakers,Pet,103.54
Dave's Dairy,Dairy,8.74
Richmond,Fresh Meat,13.65
Butchers,Pet,32.87
Hovis,Bakery,6.36
Finish,Cleaning,36.62
Sheba,Pet,25.19
Loreal,Beauty,19.66
Simple,Beauty,58.62
Activia,Dairy,28.46
Colgate,Healthcare,4.00
Remington,Beauty,31.25
Pedigree,Pet,31.48
Gu,Groceries,9.95
Hovis,Bakery,129.86
Delifrance,Bakery,3.51
Simple,Beauty,27.56
Knorr,Groceries,64.52
Simple,Beauty,39.62
Andrew,Groceries,3.50
Remington,Beauty,5.63
Blue Diamond,Dairy,28.53
Activia,Dairy,98.60
Felix,Pet,104.61
Cathedral City,Groceries,23.59
Garnier,Beauty,6.65
Flora,Dairy,6.97
Heinz,Groceries,36.79
Bakers,Pet,59.79
Knorr,Groceries,11.63
Hartleys,Groceries,22.20
Colgate,Healthcare,2.02
Vaseline,Beauty,18.98
Dave's Dairy,Dairy,5.75
Garnier,Beauty,31.09
Bold,Cleaning,4.24
New Farm,Fruit and Vegetables,8.95
Vaseline,Beauty,5.37
John West,Groceries,23.21
Felix,Pet,102.71
Felix,Pet,54.34
Knorr,Groceries,10.46
Bold,Cleaning,42.23
Knorr,Groceries,2.44
Loreal,Beauty,79.45
Flora,Dairy,1.19
Lurpak,Dairy,32.16
Loreal,Beauty,3.48
Delifrance,Bakery,27.03
Heinz,Groceries,74.98
John West,Groceries,11.80
Vanish,Cleaning,99.42
New Farm,Fruit and Vegetables,15.87
Knorr,Groceries,47.97
Go Cat,Pet,2.42
Butchers,Pet,43.78
Steve's Leaves,Fruit and Vegetables,9.11
Roberts,Bakery,11.15
Heinz,Groceries,51.53
Blue Diamond,Dairy,14.19
Kelloggs,Groceries,19.86
Bold,Cleaning,89.61
Garnier,Beauty,100.35
Vaseline,Beauty,39.20
Simple,Beauty,21.26
New Farm,Fruit and Vegetables,51.86
Danish,Fresh Meat,32.63
Butchers,Pet,23.71
John West,Groceries,0.99
Denhay,Fresh Meat,18.79
Warburtons,Bakery,55.39
Dave's Dairy,Dairy,8.52
Delifrance,Bakery,23.05
Hovis,Bakery,112.60
John West,Groceries,25.98
Vaseline,Beauty,8.72
Remington,Beauty,7.56
Richmond,Fresh Meat,119.27
Fairy,Cleaning,2.54
Danish,Fresh Meat,48.11
Sheba,Pet,2.73
Florette,Fruit and Vegetables,34.75
Blue Diamond,Dairy,27.08
Pedigree,Pet,7.68
Knorr,Groceries,40.38
Gressingham,Fresh Meat,32.01
Gressingham,Fresh Meat,20.80
Weston Veg,Fruit and Vegetables,79.46
Colgate,Healthcare,38.98
John West,Groceries,21.98
Fairy,Cleaning,8.71
Walkers,Groceries,40.38
Steve's Leaves,Fruit and Vegetables,121.14
Vaseline,Beauty,24.50
Colmans,Groceries,23.07
Muddy Boots,Fresh Meat,11.97
Florette,Fruit and Vegetables,3.12
Roberts,Bakery,42.14
Tropicana,Groceries,32.49
Kleenex,Healthcare,29.90
Gu,Groceries,6.50
John West,Groceries,9.22
Lurpak,Dairy,6.72
Rowse,Groceries,21.06
Gilette,Beauty,4.83
