Muller,Dairy,30.91
Florette,Fruit and Vegetables,67.38
Sheba,Pet,15.15
Tropicana,Groceries,67.91
Gu,Groceries,60.38
Simple,Beauty,10.74
Kelloggs,Groceries,21.18
Florette,Fruit and Vegetables,9.78
Kelloggs,Groceries,32.13
Fairy,Cleaning,40.87
Hartleys,Groceries,9.15
Kelloggs,Groceries,76.68
Weston Veg,Fruit and Vegetables,21.50
John West,Groceries,15.65
Remington,Beauty,6.65
Go Cat,Pet,39.56
Cathedral City,Groceries,3.25
Andrew,Groceries,48.43
John West,Groceries,4.68
Muddy Boots,Fresh Meat,24.24
Denhay,Fresh Meat,33.05
Gressingham,Fresh Meat,46.50
Colgate,Healthcare,9.69
Cravendale,Dairy,8.68
Kleenex,Healthcare,65.41
Vanish,Cleaning,19.74
Steve's Leaves,Fruit and Vegetables,29.25
High Farm,Fruit and Vegetables,1.96
Weston Veg,Fruit and Vegetables,27.96
Dave's Dairy,Dairy,42.21
Florette,Fruit and Vegetables,47.94
Bold,Cleaning,0.62
Blue Diamond,Dairy,5.76
High Farm,Fruit and Vegetables,38.73
Simple,Beauty,54.12
Gilette,Beauty,133.43
Richmond,Fresh Meat,8.81
Lurpak,Dairy,6.36
Activia,Dairy,2.43
Bold,Cleaning,18.15
Heinz,Groceries,53.88
Lurpak,Dairy,3.71
High Farm,Fruit and Vegetables,135.89
Activia,Dairy,5.54
Remington,Beauty,25.50
Hovis,Bakery,27.87
Simple,Beauty,18.15
Activia,Dairy,58.60
Rowse,Groceries,14.19
Florette,Fruit and Vegetables,1.47
Gilette,Beauty,16.25
Garnier,Beauty,7.18
Hartleys,Groceries,22.05
Vanish,Cleaning,1.23
Gilette,Beauty,5.39
Go Cat,Pet,5.59
Kleenex,Healthcare,33.96
Delifrance,Bakery,16.08
Felix,Pet,27.94
Hovis,Bakery,3.72
Roberts,Bakery,24.94
Muddy Boots,Fresh Meat,67.29
Surf,Cleaning,42.09
Finish,Cleaning,61.01
Rowse,Groceries,76.80
Loreal,Beauty,77.66
Hovis,Bakery,49.53
Heinz,Groceries,4.24
Florette,Fruit and Vegetables,123.33
Simple,Beauty,1.68
Andrew,Groceries,22.56
Tropicana,Groceries,36.05
Bakers,Pet,1.80
Muller,Dairy,5.10
Simple,Beauty,1.84
Cravendale,Dairy,43.10
Finish,Cleaning,39.75
Cathedral City,Groceries,43.45
Butchers,Pet,19.20
Heinz,Groceries,44.41
Hartleys,Groceries,8.67
Felix,Pet,1.14
Kleenex,Healthcare,28.74
Muddy Boots,Fresh Meat,56.73
Loreal,Beauty,42.07
Colmans,Groceries,29.60
Colgate,Healthcare,70.73
Hovis,Bakery,56.26
Steve's Leaves,Fruit and Vegetables,25.26
Heinz,Groceries,3.09
Roberts,Bakery,79.10
Bold,Cleaning,3.41
Gilette,Beauty,35.78
Denhay,Fresh Meat,27.96
Remington,Beauty,6.01
Muller,Dairy,53.32
Lurpak,Dairy,28.08
New Farm,Fruit and Vegetables,50.78
High Farm,Fruit and Vegetables,51.22
John West,Groceries,29.25
Florette,Fruit and Vegetables,14.60
Loreal,Beauty,75.75
Cathedral City,Groceries,60.42
Cravendale,Dairy,26.50
Andrew,Groceries,26.80
Florette,Fruit and Vegetables,5.44
Vanish,Cleaning,78.58
Garnier,Beauty,30.62
Lurpak,Dairy,119.27
Colmans,Groceries,11.44
Simple,Beauty,2.83
Delifrance,Bakery,43.68
Hartleys,Groceries,1.64
Flora,Dairy,90.00
Gilette,Beauty,3.57
Activia,Dairy,86.49
Dave's Dairy,Dairy,64.49
Muller,Dairy,2.66
Colgate,Healthcare,11.83
Vanish,Cleaning,70.13
Bakers,Pet,80.22
Muddy Boots,Fresh Meat,67.20
Finish,Cleaning,49.21
Denhay,Fresh Meat,121.35
Walkers,Groceries,7.12
Cravendale,Dairy,1.12
Bold,Cleaning,127.99
Flora,Dairy,34.03
Garnier,Beauty,24.53
Hartleys,Groceries,104.89
Cravendale,Dairy,12.19
Cathedral City,Groceries,67.70
Knorr,Groceries,3.67
Flora,Dairy,20.87
Blue Diamond,Dairy,91.98
Dave's Dairy,Dairy,74.11
Tropicana,Groceries,41.36
Denhay,Fresh Meat,1.26
Denhay,Fresh Meat,11.36
Remington,Beauty,6.53
Surf,Cleaning,65.68
Cathedral City,Groceries,32.82
Kleenex,Healthcare,4.81
New Farm,Fruit and Vegetables,56.47
Florette,Fruit and Vegetables,16.34
Colmans,Groceries,84.30
Vanish,Cleaning,44.27
Bold,Cleaning,29.02
Colmans,Groceries,17.48
Felix,Pet,1.43
Hartleys,Groceries,16.20
Surf,Cleaning,45.19
Gressingham,Fresh Meat,40.63
Kelloggs,Groceries,17.54
Warburtons,Bakery,16.24
Finish,Cleaning,47.19
Felix,Pet,83.06
Knorr,Groceries,72.50
Simple,Beauty,2.18
Colgate,Healthcare,70.30
John West,Groceries,81.14
John West,Groceries,46.00
Richmond,Fresh Meat,1.62
High Farm,Fruit and Vegetables,29.75
Bold,Cleaning,6.30
High Farm,Fruit and Vegetables,37.30
Colgate,Healthcare,37.96
Loreal,Beauty,0.22
Roberts,Bakery,9.29
Vanish,Cleaning,43.46
Tropicana,Groceries,118.76
Go Cat,Pet,55.17
Florette,Fruit and Vegetables,93.40
Blue Diamond,Dairy,31.63
Vanish,Cleaning,35.19
Felix,Pet,49.93
Bold,Cleaning,92.26
Andrew,Groceries,3.96
Knorr,Groceries,22.76
Fairy,Cleaning,14.70
Colmans,Groceries,36.62
Steve's Leaves,Fruit and Vegetables,11.53
Gressingham,Fresh Meat,81.36
Fairy,Cleaning,75.11
Sheba,Pet,8.74
Vaseline,Beauty,59.21
Vaseline,Beauty,38.04
Blue Diamond,Dairy,2.24
Gilette,Beauty,92.67
Felix,Pet,25.47
Cathedral City,Groceries,5.32
Hartleys,Groceries,16.96
Muller,Dairy,33.17
Simple,Beauty,9.96
Cravendale,Dairy,0.07
Tropicana,Groceries,43.10
Richmond,Fresh Meat,19.17
Gressingham,Fresh Meat,69.33
Cravendale,Dairy,30.58
Delifrance,Bakery,55.04
Weston Veg,Fruit and Vegetables,5.33
Bold,Cleaning,40.07
High Farm,Fruit and Vegetables,0.55
Sheba,Pet,40.50
Knorr,Groceries,76.16
John West,Groceries,0.22
Finish,Cleaning,17.55
New Farm,Fruit and Vegetables,39.24
Butchers,Pet,90.94
Weston Veg,Fruit and Vegetables,6.40
Richmond,Fresh Meat,25.57
Dave's Dairy,Dairy,61.96
Denhay,Fresh Meat,13.89
Andrew,Groceries,40.49
Vanish,Cleaning,2.90
Florette,Fruit and Vegetables,83.41
Remington,Beauty,5.38
Flora,Dairy,59.33
Kleenex,Healthcare,42.76
Sheba,Pet,42.38
Heinz,Groceries,20.74
Walkers,Groceries,97.01
Rowse,Groceries,3.52
Tropicana,Groceries,85.93
Gu,Groceries,2.48
Pedigree,Pet,122.03
Loreal,Beauty,6.02
Denhay,Fresh Meat,7.27
New Farm,Fruit and Vegetables,10.01
Vanish,Cleaning,25.73
Roberts,Bakery,5.58
Kelloggs,Groceries,43.86
Hovis,Bakery,2.29
Loreal,Beauty,34.21
Cravendale,Dairy,14.58
John West,Groceries,54.87
Rowse,Groceries,12.90
High Farm,Fruit and Vegetables,32.26
Colmans,Groceries,11.01
Simple,Beauty,47.79
Surf,Cleaning,6.75
Roberts,Bakery,71.42
New Farm,Fruit and Vegetables,30.24
High Farm,Fruit and Vegetables,39.79
Richmond,Fresh Meat,46.96
Danish,Fresh Meat,37.51
Finish,Cleaning,77.87
Blue Diamond,Dairy,71.35
Dave's Dairy,Dairy,67.63
Walkers,Groceries,39.78
Go Cat,Pet,6.14
Rowse,Groceries,93.77
Sheba,Pet,21.43
Richmond,Fresh Meat,16.56
Dave's Dairy,Dairy,5.25
Rowse,Groceries,38.36
Cathedral City,Groceries,43.40
Tropicana,Groceries,88.17
Pedigree,Pet,30.07
Butchers,Pet,83.77
Delifrance,Bakery,16.46
Gu,Groceries,38.94
Felix,Pet,10.38
Bold,Cleaning,5.92
Fairy,Cleaning,61.43
Vaseline,Beauty,4.84
Andrew,Groceries,2.25
Muddy Boots,Fresh Meat,4.75
Finish,Cleaning,46.73
Muller,Dairy,115.16
Florette,Fruit and Vegetables,4.86
New Farm,Fruit and Vegetables,113.73
Roberts,Bakery,24.63
Cravendale,Dairy,20.24
Remington,Beauty,29.37
Sheba,Pet,93.32
Loreal,Beauty,91.49
Rowse,Groceries,34.84
Finish,Cleaning,3.36
Danish,Fresh Meat,111.11
Delifrance,Bakery,10.38
Remington,Beauty,0.89
Gressingham,Fresh Meat,10.51
Lurpak,Dairy,94.16
Richmond,Fresh Meat,29.31
Knorr,Groceries,44.37
Simple,Beauty,9.23
Kleenex,Healthcare,3.22
Kelloggs,Groceries,89.17
Colmans,Groceries,94.01
Muller,Dairy,15.55
Richmond,Fresh Meat,56.55
Blue Diamond,Dairy,0.17
Remington,Beauty,63.50
Warburtons,Bakery,1.68
Denhay,Fresh Meat,73.11
Colmans,Groceries,19.55
Blue Diamond,Dairy,28.00
Lurpak,Dairy,67.85
New Farm,Fruit and Vegetables,25.40
New Farm,Fruit and Vegetables,28.39
Cathedral City,Groceries,2.61
Bold,Cleaning,21.95
Rowse,Groceries,49.98
Pedigree,Pet,109.30
Surf,Cleaning,31.81
Heinz,Groceries,6.62
Muddy Boots,Fresh Meat,86.89
Roberts,Bakery,81.32
Gressingham,Fresh Meat,0.33
Sheba,Pet,40.38
Pedigree,Pet,135.76
Remington,Beauty,10.09
John West,Groceries,50.10
Finish,Cleaning,70.85
Sheba,Pet,130.81
Weston Veg,Fruit and Vegetables,9.74
Danish,Fresh Meat,0.36
Hartleys,Groceries,55.15
Cravendale,Dairy,9.03
Richmond,Fresh Meat,51.90
Kelloggs,Groceries,24.34
Bakers,Pet,0.99
Richmond,Fresh Meat,4.51
