Go Cat,Pet,5.02
Knorr,Groceries,18.11
Cravendale,Dairy,48.97
Finish,Cleaning,135.19
Felix,Pet,18.12
Rowse,Groceries,56.42
Activia,Dairy,7.53
Tropicana,Groceries,79.73
Gu,Groceries,54.99
Muddy Boots,Fresh Meat,9.36
Danish,Fresh Meat,28.17
Richmond,Fresh Meat,32.01
Bakers,Pet,114.41
Colgate,Healthcare,1.54
Roberts,Bakery,108.33
Remington,Beauty,6.34
Blue Diamond,Dairy,8.17
Bakers,Pet,7.27
Sheba,Pet,42.96
Surf,Cleaning,7.38
Flora,Dairy,66.30
Cathedral City,Groceries,75.10
Danish,Fresh Meat,125.60
Danish,Fresh Meat,21.14
Kleenex,Healthcare,3.46
Knorr,Groceries,124.48
Go Cat,Pet,6.04
New Farm,Fruit and Vegetables,4.52
New Farm,Fruit and Vegetables,1.48
Surf,Cleaning,1.98
Knorr,Groceries,39.45
Sheba,Pet,50.14
Fairy,Cleaning,9.27
Danish,Fresh Meat,7.87
Cravendale,Dairy,29.50
Lurpak,Dairy,27.60
Andrew,Groceries,78.49
Gu,Groceries,74.13
Lurpak,Dairy,69.54
Bold,Cleaning,52.47
Blue Diamond,Dairy,52.75
Colmans,Groceries,54.56
Colgate,Healthcare,62.17
Cravendale,Dairy,81.70
Steve's Leaves,Fruit and Vegetables,99.40
Colgate,Healthcare,47.43
Richmond,Fresh Meat,74.56
Surf,Cleaning,7.48
Activia,Dairy,68.51
Loreal,Beauty,18.39
Richmond,Fresh Meat,71.78
Felix,Pet,0.60
Warburtons,Bakery,7.52
Muller,Dairy,66.24
Bakers,Pet,94.62
Simple,Beauty,100.79
Denhay,Fresh Meat,15.54
Cathedral City,Groceries,2.99
Lurpak,Dairy,6.68
Finish,Cleaning,65.25
Vaseline,Beauty,56.54
Go Cat,Pet,90.30
Warburtons,Bakery,77.92
Blue Diamond,Dairy,56.30
Colmans,Groceries,2.33
Vaseline,Beauty,39.64
Florette,Fruit and Vegetables,86.66
Lurpak,Dairy,30.38
Blue Diamond,Dairy,48.08
Kleenex,Healthcare,0.57
Activia,Dairy,86.73
Loreal,Beauty,73.74
Flora,Dairy,3.95
Garnier,Beauty,13.51
Tropicana,Groceries,20.03
Go Cat,Pet,47.93
Denhay,Fresh Meat,47.87
Richmond,Fresh Meat,129.67
Felix,Pet,19.76
Felix,Pet,12.77
Gu,Groceries,70.39
Hartleys,Groceries,45.29
Vanish,Cleaning,73.58
Weston Veg,Fruit and Vegetables,74.67
Flora,Dairy,53.79
Richmond,Fresh Meat,10.85
Garnier,Beauty,6.39
Vaseline,Beauty,27.39
Steve's Leaves,Fruit and Vegetables,94.75
Muddy Boots,Fresh Meat,29.78
Colgate,Healthcare,64.93
Tropicana,Groceries,19.31
Fairy,Cleaning,17.55
Knorr,Groceries,34.39
Danish,Fresh Meat,8.12
Dave's Dairy,Dairy,30.39
Remington,Beauty,87.02
Andrew,Groceries,22.73
Sheba,Pet,16.87
Knorr,Groceries,1.23
John West,Groceries,48.59
Delifrance,Bakery,5.08
Sheba,Pet,33.46
Andrew,Groceries,14.04
Butchers,Pet,70.31
Knorr,Groceries,9.45
Colmans,Groceries,39.54
New Farm,Fruit and Vegetables,46.09
Butchers,Pet,74.26
Blue Diamond,Dairy,5.09
Gilette,Beauty,10.85
Simple,Beauty,72.61
Roberts,Bakery,50.40
Danish,Fresh Meat,41.42
High Farm,Fruit and Vegetables,68.91
Andrew,Groceries,7.35
John West,Groceries,34.86
Flora,Dairy,19.77
Butchers,Pet,25.57
Delifrance,Bakery,13.18
Finish,Cleaning,22.52
Felix,Pet,15.83
Felix,Pet,6.79
Danish,Fresh Meat,0.30
Finish,Cleaning,7.72
Muddy Boots,Fresh Meat,3.10
Vaseline,Beauty,13.29
Surf,Cleaning,14.21
Activia,Dairy,20.24
Hovis,Bakery,25.58
Blue Diamond,Dairy,18.84
Gilette,Beauty,37.89
High Farm,Fruit and Vegetables,35.62
Knorr,Groceries,73.27
Heinz,Groceries,58.44
Colgate,Healthcare,76.74
Vaseline,Beauty,19.76
Colmans,Groceries,6.99
Hovis,Bakery,144.65
Weston Veg,Fruit and Vegetables,10.44
Heinz,Groceries,32.70
Surf,Cleaning,24.85
Surf,Cleaning,81.58
Vanish,Cleaning,44.92
Roberts,Bakery,94.64
Remington,Beauty,41.78
Vaseline,Beauty,73.87
John West,Groceries,15.58
Weston Veg,Fruit and Vegetables,9.01
Sheba,Pet,47.93
Cravendale,Dairy,61.21
Dave's Dairy,Dairy,33.61
Surf,Cleaning,30.75
Bakers,Pet,22.22
Hartleys,Groceries,23.76
Rowse,Groceries,1.51
Richmond,Fresh Meat,58.02
Fairy,Cleaning,28.67
Gilette,Beauty,26.15
Danish,Fresh Meat,19.92
Hartleys,Groceries,81.28
Finish,Cleaning,77.58
Tropicana,Groceries,41.83
Denhay,Fresh Meat,7.82
Gressingham,Fresh Meat,29.19
Steve's Leaves,Fruit and Vegetables,100.92
Tropicana,Groceries,46.92
Bakers,Pet,125.02
Vaseline,Beauty,15.23
Muddy Boots,Fresh Meat,81.60
Finish,Cleaning,27.54
Hartleys,Groceries,15.05
Andrew,Groceries,14.19
Blue Diamond,Dairy,35.36
Felix,Pet,16.10
Weston Veg,Fruit and Vegetables,10.85
Surf,Cleaning,31.07
Rowse,Groceries,52.11
Flora,Dairy,91.41
Gilette,Beauty,55.43
Heinz,Groceries,22.86
Hartleys,Groceries,10.15
Activia,Dairy,6.49
Vaseline,Beauty,21.86
Walkers,Groceries,12.99
Gilette,Beauty,4.67
