Finish,Cleaning,57.02
Garnier,Beauty,27.64
Gressingham,Fresh Meat,35.81
Blue Diamond,Dairy,84.58
Muddy Boots,Fresh Meat,75.61
Vaseline,Beauty,23.20
New Farm,Fruit and Vegetables,21.60
Dave's Dairy,Dairy,0.67
Loreal,Beauty,8.15
Delifrance,Bakery,2.99
Butchers,Pet,101.01
Warburtons,Bakery,14.23
Pedigree,Pet,13.78
Garnier,Beauty,8.90
Vanish,Cleaning,111.84
Garnier,Beauty,113.64
Steve's Leaves,Fruit and Vegetables,34.72
Blue Diamond,Dairy,1.68
Gu,Groceries,54.31
Muller,Dairy,38.27
Butchers,Pet,6.49
Roberts,Bakery,104.23
Delifrance,Bakery,40.83
High Farm,Fruit and Vegetables,15.11
Fairy,Cleaning,1.91
Kelloggs,Groceries,4.33
Hovis,Bakery,14.42
Florette,Fruit and Vegetables,48.84
Gressingham,Fresh Meat,12.88
Cravendale,Dairy,34.39
Simple,Beauty,1.22
Activia,Dairy,11.92
Hovis,Bakery,0.53
Delifrance,Bakery,7.61
Steve's Leaves,Fruit and Vegetables,1.23
Fairy,Cleaning,32.41
Garnier,Beauty,31.17
Roberts,Bakery,29.08
Heinz,Groceries,24.04
Kelloggs,Groceries,18.37
Heinz,Groceries,60.01
Cathedral City,Groceries,4.11
High Farm,Fruit and Vegetables,22.84
Surf,Cleaning,123.80
Simple,Beauty,9.09
Colmans,Groceries,28.45
Blue Diamond,Dairy,79.61
Richmond,Fresh Meat,44.00
Florette,Fruit and Vegetables,83.89
Muller,Dairy,97.85
Felix,Pet,1.17
Roberts,Bakery,1.82
Gressingham,Fresh Meat,4.75
Sheba,Pet,9.59
Cravendale,Dairy,25.34
Go Cat,Pet,3.14
Cathedral City,Groceries,32.26
Andrew,Groceries,34.64
Danish,Fresh Meat,16.47
Bold,Cleaning,18.40
Surf,Cleaning,98.39
Loreal,Beauty,89.30
Pedigree,Pet,21.52
Go Cat,Pet,12.59
Walkers,Groceries,62.94
Remington,Beauty,5.89
Tropicana,Groceries,99.52
Loreal,Beauty,90.11
Rowse,Groceries,42.29
John West,Groceries,42.39
Lurpak,Dairy,4.13
Bakers,Pet,23.11
Surf,Cleaning,38.86
Vanish,Cleaning,0.78
Simple,Beauty,21.30
Butchers,Pet,25.66
Delifrance,Bakery,79.32
Cravendale,Dairy,41.48
New Farm,Fruit and Vegetables,1.01
Delifrance,Bakery,25.89
Hovis,Bakery,19.61
