Florette,Fruit and Vegetables,14.37
Muddy Boots,Fresh Meat,60.51
Blue Diamond,Dairy,75.02
Kleenex,Healthcare,23.69
Kleenex,Healthcare,30.69
Finish,Cleaning,32.48
Danish,Fresh Meat,19.78
Sheba,Pet,58.82
John West,Groceries,33.88
Gilette,Beauty,9.71
Tropicana,Groceries,9.89
Delifrance,Bakery,10.21
Muddy Boots,Fresh Meat,1.03
Gu,Groceries,45.39
Sheba,Pet,9.45
Hovis,Bakery,7.18
Colmans,Groceries,44.20
Kelloggs,Groceries,93.10
Fairy,Cleaning,53.37
Garnier,Beauty,50.19
High Farm,Fruit and Vegetables,72.00
