Finish,Cleaning,14.36
Muddy Boots,Fresh Meat,0.50
Gressingham,Fresh Meat,24.53
Rowse,Groceries,8.30
Colmans,Groceries,44.57
Gressingham,Fresh Meat,15.35
Florette,Fruit and Vegetables,12.29
Gu,Groceries,11.64
Walkers,Groceries,2.11
Andrew,Groceries,25.00
Danish,Fresh Meat,40.69
Kleenex,Healthcare,1.11
New Farm,Fruit and Vegetables,11.76
Weston Veg,Fruit and Vegetables,46.68
Surf,Cleaning,44.79
Sheba,Pet,65.01
Gu,Groceries,38.58
Garnier,Beauty,9.11
Warburtons,Bakery,5.16
John West,Groceries,108.17
Knorr,Groceries,95.06
Heinz,Groceries,104.17
Fairy,Cleaning,7.42
Fairy,Cleaning,5.50
Heinz,Groceries,10.55
High Farm,Fruit and Vegetables,28.15
John West,Groceries,20.37
High Farm,Fruit and Vegetables,117.29
Vaseline,Beauty,67.13
Steve's Leaves,Fruit and Vegetables,17.29
Cravendale,Dairy,96.45
Roberts,Bakery,14.78
Bakers,Pet,65.61
John West,Groceries,44.35
Muller,Dairy,131.29
Weston Veg,Fruit and Vegetables,104.93
Muller,Dairy,27.49
Simple,Beauty,84.52
Flora,Dairy,90.82
Simple,Beauty,4.75
Fairy,Cleaning,74.92
Florette,Fruit and Vegetables,107.36
Colmans,Groceries,8.58
Steve's Leaves,Fruit and Vegetables,30.69
High Farm,Fruit and Vegetables,1.57
Bakers,Pet,3.22
Sheba,Pet,86.68
Pedigree,Pet,53.01
Roberts,Bakery,60.16
Warburtons,Bakery,31.40
Gressingham,Fresh Meat,44.69
Heinz,Groceries,6.64
Simple,Beauty,2.08
Cathedral City,Groceries,2.88
Cravendale,Dairy,4.73
Felix,Pet,117.37
Blue Diamond,Dairy,21.18
Cravendale,Dairy,18.09
Richmond,Fresh Meat,100.21
Colgate,Healthcare,18.71
Garnier,Beauty,8.84
Butchers,Pet,73.27
Richmond,Fresh Meat,44.89
Flora,Dairy,49.78
Danish,Fresh Meat,64.64
Blue Diamond,Dairy,16.58
Gressingham,Fresh Meat,40.42
Felix,Pet,26.37
Gilette,Beauty,21.56
Cathedral City,Groceries,9.01
Surf,Cleaning,113.70
Activia,Dairy,0.21
Remington,Beauty,70.26
High Farm,Fruit and Vegetables,68.54
Delifrance,Bakery,52.72
Blue Diamond,Dairy,52.51
Richmond,Fresh Meat,13.20
Colgate,Healthcare,13.11
Hartleys,Groceries,13.90
Finish,Cleaning,12.04
Steve's Leaves,Fruit and Vegetables,21.42
Finish,Cleaning,74.45
Activia,Dairy,16.90
Bold,Cleaning,20.38
Warburtons,Bakery,47.23
Warburtons,Bakery,13.62
Gu,Groceries,25.93
Felix,Pet,25.91
Butchers,Pet,49.93
Go Cat,Pet,11.43
Kleenex,Healthcare,112.08
Bold,Cleaning,16.62
Loreal,Beauty,47.20
Colmans,Groceries,86.15
Muller,Dairy,43.56
Hovis,Bakery,53.24
Finish,Cleaning,25.24
Kleenex,Healthcare,8.09
New Farm,Fruit and Vegetables,73.03
Colgate,Healthcare,42.34
Lurpak,Dairy,8.46
Richmond,Fresh Meat,3.67
Weston Veg,Fruit and Vegetables,104.67
Loreal,Beauty,38.79
Vanish,Cleaning,7.11
Tropicana,Groceries,18.57
Roberts,Bakery,37.89
Finish,Cleaning,27.87
Vanish,Cleaning,0.28
Flora,Dairy,0.09
Bold,Cleaning,15.81
Warburtons,Bakery,2.63
Finish,Cleaning,42.30
Walkers,Groceries,30.93
New Farm,Fruit and Vegetables,19.53
Gressingham,Fresh Meat,130.60
Flora,Dairy,26.97
Felix,Pet,10.28
Vaseline,Beauty,20.59
Gu,Groceries,2.30
Danish,Fresh Meat,4.52
Gilette,Beauty,92.59
Kleenex,Healthcare,28.52
Knorr,Groceries,30.36
Gu,Groceries,12.77
Simple,Beauty,1.50
Delifrance,Bakery,3.49
Pedigree,Pet,0.84
Andrew,Groceries,18.16
Activia,Dairy,9.78
New Farm,Fruit and Vegetables,6.00
Remington,Beauty,25.50
Steve's Leaves,Fruit and Vegetables,27.69
Bakers,Pet,60.96
Colmans,Groceries,8.46
Roberts,Bakery,52.84
Colmans,Groceries,10.08
John West,Groceries,54.58
Vaseline,Beauty,0.94
Felix,Pet,14.57
Florette,Fruit and Vegetables,9.89
Flora,Dairy,60.61
Denhay,Fresh Meat,16.47
Vaseline,Beauty,57.80
Cravendale,Dairy,32.02
New Farm,Fruit and Vegetables,70.45
Delifrance,Bakery,5.24
Weston Veg,Fruit and Vegetables,25.51
Roberts,Bakery,87.43
Fairy,Cleaning,4.23
Lurpak,Dairy,98.81
Knorr,Groceries,29.12
John West,Groceries,30.24
Colmans,Groceries,13.24
Muddy Boots,Fresh Meat,12.79
Weston Veg,Fruit and Vegetables,17.71
Walkers,Groceries,55.86
Tropicana,Groceries,46.53
Gilette,Beauty,7.78
Blue Diamond,Dairy,0.78
Activia,Dairy,56.91
Go Cat,Pet,29.15
Butchers,Pet,3.03
Richmond,Fresh Meat,69.37
Blue Diamond,Dairy,102.35
Richmond,Fresh Meat,11.36
Cathedral City,Groceries,114.20
Florette,Fruit and Vegetables,36.39
Kleenex,Healthcare,91.91
Fairy,Cleaning,0.28
Hartleys,Groceries,107.48
Simple,Beauty,63.20
Vanish,Cleaning,0.85
Vanish,Cleaning,43.50
Cathedral City,Groceries,27.11
Cathedral City,Groceries,1.94
Bold,Cleaning,9.91
Cathedral City,Groceries,22.66
Simple,Beauty,3.58
Cathedral City,Groceries,32.84
Go Cat,Pet,5.46
Delifrance,Bakery,32.79
Blue Diamond,Dairy,20.68
Gressingham,Fresh Meat,18.29
Walkers,Groceries,28.47
Flora,Dairy,7.78
Gilette,Beauty,14.76
Muddy Boots,Fresh Meat,29.44
Hovis,Bakery,18.12
Rowse,Groceries,53.89
Dave's Dairy,Dairy,50.41
Gu,Groceries,16.79
Kleenex,Healthcare,0.05
Bakers,Pet,43.62
Pedigree,Pet,44.23
Kleenex,Healthcare,13.13
Richmond,Fresh Meat,80.66
Delifrance,Bakery,15.11
High Farm,Fruit and Vegetables,51.29
Richmond,Fresh Meat,76.16
Pedigree,Pet,8.26
Richmond,Fresh Meat,57.72
Surf,Cleaning,89.69
Colgate,Healthcare,64.66
Gressingham,Fresh Meat,1.04
Andrew,Groceries,12.25
Bold,Cleaning,77.09
Tropicana,Groceries,18.12
Blue Diamond,Dairy,31.56
Bakers,Pet,8.44
Pedigree,Pet,17.43
New Farm,Fruit and Vegetables,0.31
Knorr,Groceries,1.80
Activia,Dairy,32.62
Roberts,Bakery,101.48
Kelloggs,Groceries,133.33
Muddy Boots,Fresh Meat,104.59
Go Cat,Pet,3.22
Denhay,Fresh Meat,37.58
New Farm,Fruit and Vegetables,20.52
Steve's Leaves,Fruit and Vegetables,71.83
Delifrance,Bakery,19.01
Colmans,Groceries,17.41
Pedigree,Pet,5.56
Surf,Cleaning,93.97
Gu,Groceries,2.64
Warburtons,Bakery,55.91
Andrew,Groceries,16.41
Gressingham,Fresh Meat,22.90
Simple,Beauty,22.24
Sheba,Pet,95.33
Hovis,Bakery,3.79
Steve's Leaves,Fruit and Vegetables,8.65
Cravendale,Dairy,34.49
Activia,Dairy,17.53
Bold,Cleaning,27.42
Colgate,Healthcare,62.51
High Farm,Fruit and Vegetables,16.89
Walkers,Groceries,25.70
Vanish,Cleaning,65.69
Kelloggs,Groceries,5.10
Butchers,Pet,37.95
Finish,Cleaning,28.19
Blue Diamond,Dairy,84.82
Muller,Dairy,59.08
New Farm,Fruit and Vegetables,68.75
Flora,Dairy,59.84
Bold,Cleaning,132.52
Surf,Cleaning,53.65
Walkers,Groceries,11.87
Knorr,Groceries,3.43
Felix,Pet,53.92
Garnier,Beauty,34.65
Vanish,Cleaning,135.42
Tropicana,Groceries,49.18
Tropicana,Groceries,60.35
Danish,Fresh Meat,61.16
Colgate,Healthcare,9.67
Activia,Dairy,15.96
High Farm,Fruit and Vegetables,16.46
Florette,Fruit and Vegetables,15.41
Florette,Fruit and Vegetables,49.38
Fairy,Cleaning,9.41
Gilette,Beauty,41.83
Fairy,Cleaning,76.16
Lurpak,Dairy,28.61
Warburtons,Bakery,57.55
Cathedral City,Groceries,11.04
Andrew,Groceries,11.18
Butchers,Pet,10.76
John West,Groceries,63.96
Felix,Pet,78.07
Hartleys,Groceries,1.04
Gilette,Beauty,75.37
Surf,Cleaning,47.65
Butchers,Pet,37.46
Activia,Dairy,0.91
Cravendale,Dairy,17.73
Vanish,Cleaning,15.10
Danish,Fresh Meat,9.72
Bakers,Pet,71.96
Roberts,Bakery,43.93
Delifrance,Bakery,80.86
Cathedral City,Groceries,8.28
Bold,Cleaning,27.80
Gressingham,Fresh Meat,21.47
Garnier,Beauty,32.28
Florette,Fruit and Vegetables,0.83
Surf,Cleaning,71.22
Go Cat,Pet,21.45
Weston Veg,Fruit and Vegetables,40.21
Rowse,Groceries,0.38
Heinz,Groceries,25.65
Steve's Leaves,Fruit and Vegetables,11.87
Kleenex,Healthcare,100.40
Gu,Groceries,21.16
Heinz,Groceries,0.87
Danish,Fresh Meat,80.63
Garnier,Beauty,17.05
Muller,Dairy,49.46
Hovis,Bakery,9.42
Fairy,Cleaning,30.33
Vanish,Cleaning,6.02
Bakers,Pet,1.53
Lurpak,Dairy,47.12
Colmans,Groceries,6.82
Tropicana,Groceries,12.80
Steve's Leaves,Fruit and Vegetables,106.85
New Farm,Fruit and Vegetables,58.90
Activia,Dairy,92.16
