Kleenex,Healthcare,9.80
High Farm,Fruit and Vegetables,18.82
Cathedral City,Groceries,1.96
Richmond,Fresh Meat,21.39
Heinz,Groceries,27.36
Colmans,Groceries,22.50
Loreal,Beauty,101.79
Roberts,Bakery,77.06
Delifrance,Bakery,14.82
Gu,Groceries,109.71
Cravendale,Dairy,63.02
Finish,Cleaning,52.18
Bold,Cleaning,33.91
Vanish,Cleaning,32.06
Garnier,Beauty,6.29
Andrew,Groceries,27.59
Simple,Beauty,5.60
Blue Diamond,Dairy,36.54
Loreal,Beauty,25.06
New Farm,Fruit and Vegetables,22.85
Blue Diamond,Dairy,15.45
Garnier,Beauty,7.15
Florette,Fruit and Vegetables,40.79
New Farm,Fruit and Vegetables,111.50
Sheba,Pet,17.28
Fairy,Cleaning,15.70
John West,Groceries,36.45
Roberts,Bakery,29.63
Finish,Cleaning,68.50
John West,Groceries,8.23
Gilette,Beauty,1.13
Gressingham,Fresh Meat,12.64
Walkers,Groceries,0.01
Gilette,Beauty,41.05
Hartleys,Groceries,37.95
Weston Veg,Fruit and Vegetables,58.80
Butchers,Pet,119.28
New Farm,Fruit and Vegetables,81.77
Walkers,Groceries,27.92
Andrew,Groceries,24.75
Hartleys,Groceries,0.39
Loreal,Beauty,44.22
Felix,Pet,118.25
Delifrance,Bakery,12.50
Gu,Groceries,73.01
Delifrance,Bakery,41.10
Andrew,Groceries,1.58
Delifrance,Bakery,44.13
Colmans,Groceries,22.49
Gu,Groceries,42.97
Blue Diamond,Dairy,56.81
Dave's Dairy,Dairy,35.64
Cathedral City,Groceries,19.90
Rowse,Groceries,4.70
Fairy,Cleaning,57.20
Blue Diamond,Dairy,32.63
Butchers,Pet,10.49
Sheba,Pet,0.16
Loreal,Beauty,26.03
Sheba,Pet,3.82
Kleenex,Healthcare,54.09
Muller,Dairy,30.49
Muller,Dairy,35.60
Garnier,Beauty,26.77
