Hovis,Bakery,97.33
Garnier,Beauty,26.80
Roberts,Bakery,26.03
Colmans,Groceries,28.50
Heinz,Groceries,71.84
Fairy,Cleaning,58.39
High Farm,Fruit and Vegetables,4.68
Gu,Groceries,143.24
Walkers,Groceries,26.51
Blue Diamond,Dairy,59.64
Rowse,Groceries,28.68
Hartleys,Groceries,18.84
Sheba,Pet,73.09
Walkers,Groceries,13.25
Remington,Beauty,34.89
Dave's Dairy,Dairy,19.84
Felix,Pet,4.61
Sheba,Pet,5.57
Steve's Leaves,Fruit and Vegetables,81.33
Vaseline,Beauty,112.36
Delifrance,Bakery,1.07
Vanish,Cleaning,66.87
John West,Groceries,18.16
Loreal,Beauty,16.29
Steve's Leaves,Fruit and Vegetables,16.83
Surf,Cleaning,0.24
Lurpak,Dairy,51.77
Bold,Cleaning,48.28
Vanish,Cleaning,48.46
Richmond,Fresh Meat,5.12
Bakers,Pet,83.44
Tropicana,Groceries,7.85
Bold,Cleaning,39.77
Surf,Cleaning,10.55
High Farm,Fruit and Vegetables,41.04
Colgate,Healthcare,33.21
Vaseline,Beauty,6.49
Hartleys,Groceries,15.36
Walkers,Groceries,56.38
Cravendale,Dairy,131.71
Colmans,Groceries,27.87
Sheba,Pet,51.89
Surf,Cleaning,11.39
Felix,Pet,2.29
Hartleys,Groceries,11.52
Sheba,Pet,6.00
Richmond,Fresh Meat,24.53
John West,Groceries,1.82
Go Cat,Pet,11.94
Hovis,Bakery,76.65
Gilette,Beauty,104.58
Gu,Groceries,16.45
John West,Groceries,5.63
Activia,Dairy,69.24
Muller,Dairy,0.40
High Farm,Fruit and Vegetables,7.98
Garnier,Beauty,15.87
Weston Veg,Fruit and Vegetables,74.37
New Farm,Fruit and Vegetables,80.01
Knorr,Groceries,4.02
Cathedral City,Groceries,27.08
Rowse,Groceries,25.64
Bold,Cleaning,33.84
Vaseline,Beauty,30.18
Hovis,Bakery,13.14
Activia,Dairy,101.13
Vaseline,Beauty,8.72
Florette,Fruit and Vegetables,21.85
Tropicana,Groceries,10.17
Kelloggs,Groceries,4.35
Rowse,Groceries,18.59
Blue Diamond,Dairy,30.45
Warburtons,Bakery,3.11
Go Cat,Pet,96.47
Walkers,Groceries,4.13
Activia,Dairy,13.83
Denhay,Fresh Meat,78.45
Vaseline,Beauty,24.95
Roberts,Bakery,9.76
Go Cat,Pet,22.51
Gressingham,Fresh Meat,10.46
High Farm,Fruit and Vegetables,52.79
Colmans,Groceries,32.89
Andrew,Groceries,65.63
Finish,Cleaning,15.05
Weston Veg,Fruit and Vegetables,11.99
Pedigree,Pet,22.68
Bold,Cleaning,11.70
Activia,Dairy,4.45
Pedigree,Pet,14.98
Simple,Beauty,31.13
Gilette,Beauty,56.79
Surf,Cleaning,78.28
Denhay,Fresh Meat,47.05
Colgate,Healthcare,7.08
Heinz,Groceries,7.53
Garnier,Beauty,4.29
Denhay,Fresh Meat,1.38
Butchers,Pet,14.02
Pedigree,Pet,64.98
Denhay,Fresh Meat,1.96
Hovis,Bakery,6.96
Roberts,Bakery,35.44
Tropicana,Groceries,84.26
Vanish,Cleaning,103.70
Bakers,Pet,29.35
Flora,Dairy,17.90
Muddy Boots,Fresh Meat,72.25
Colgate,Healthcare,10.11
