Go Cat,Pet,19.38
Knorr,Groceries,39.86
Muddy Boots,Fresh Meat,70.03
Danish,Fresh Meat,24.08
Gressingham,Fresh Meat,0.94
Rowse,Groceries,45.89
Fairy,Cleaning,5.38
Vaseline,Beauty,17.87
Go Cat,Pet,28.52
Lurpak,Dairy,0.60
Andrew,Groceries,57.47
Muller,Dairy,24.17
Roberts,Bakery,25.84
Florette,Fruit and Vegetables,25.76
Andrew,Groceries,14.61
Richmond,Fresh Meat,16.54
Danish,Fresh Meat,11.24
Hartleys,Groceries,48.24
Richmond,Fresh Meat,84.08
Knorr,Groceries,27.57
John West,Groceries,14.36
Finish,Cleaning,52.06
Garnier,Beauty,47.83
Bold,Cleaning,22.84
Hartleys,Groceries,91.78
Butchers,Pet,83.47
Delifrance,Bakery,65.86
Muller,Dairy,25.76
Loreal,Beauty,14.63
Danish,Fresh Meat,47.21
Tropicana,Groceries,112.01
Andrew,Groceries,0.68
Felix,Pet,16.95
Fairy,Cleaning,47.17
Flora,Dairy,26.25
Hartleys,Groceries,79.80
Gressingham,Fresh Meat,1.88
Blue Diamond,Dairy,16.23
Muddy Boots,Fresh Meat,47.19
Loreal,Beauty,26.38
Surf,Cleaning,8.22
Gu,Groceries,23.30
Cravendale,Dairy,34.85
Andrew,Groceries,101.20
Butchers,Pet,5.24
Tropicana,Groceries,23.17
Pedigree,Pet,66.86
Steve's Leaves,Fruit and Vegetables,95.11
Kelloggs,Groceries,43.38
Roberts,Bakery,10.42
Muddy Boots,Fresh Meat,55.29
High Farm,Fruit and Vegetables,108.07
Pedigree,Pet,4.48
Heinz,Groceries,5.25
Hartleys,Groceries,7.40
Surf,Cleaning,83.10
Fairy,Cleaning,61.68
Denhay,Fresh Meat,48.02
Delifrance,Bakery,36.93
Go Cat,Pet,0.85
Rowse,Groceries,48.54
Blue Diamond,Dairy,31.49
Heinz,Groceries,48.43
Colmans,Groceries,23.85
New Farm,Fruit and Vegetables,63.88
Garnier,Beauty,23.05
Hartleys,Groceries,43.26
Kelloggs,Groceries,75.01
Cravendale,Dairy,5.92
Delifrance,Bakery,44.02
Vanish,Cleaning,88.81
Garnier,Beauty,38.71
Muddy Boots,Fresh Meat,27.85
Cravendale,Dairy,32.26
Gilette,Beauty,14.43
Heinz,Groceries,63.08
Cathedral City,Groceries,0.14
Tropicana,Groceries,12.67
Finish,Cleaning,44.88
Kelloggs,Groceries,5.59
New Farm,Fruit and Vegetables,27.20
Hartleys,Groceries,41.59
Felix,Pet,20.06
Danish,Fresh Meat,11.84
Gilette,Beauty,0.57
Cathedral City,Groceries,16.00
Simple,Beauty,39.65
