Kleenex,Healthcare,101.98
Loreal,Beauty,16.14
Andrew,Groceries,57.10
Butchers,Pet,13.64
Colmans,Groceries,0.50
Loreal,Beauty,120.51
Delifrance,Bakery,0.80
Surf,Cleaning,4.02
Sheba,Pet,55.73
Cathedral City,Groceries,27.28
Butchers,Pet,5.75
Blue Diamond,Dairy,43.20
Walkers,Groceries,68.30
Hartleys,Groceries,11.34
Cravendale,Dairy,5.05
Garnier,Beauty,13.76
Gu,Groceries,36.09
Muller,Dairy,5.30
Denhay,Fresh Meat,95.41
Steve's Leaves,Fruit and Vegetables,32.67
Walkers,Groceries,51.12
Bold,Cleaning,139.91
Steve's Leaves,Fruit and Vegetables,29.26
Cravendale,Dairy,24.86
Gu,Groceries,19.93
Garnier,Beauty,7.19
Lurpak,Dairy,51.23
Warburtons,Bakery,77.15
Garnier,Beauty,18.02
Walkers,Groceries,98.60
Dave's Dairy,Dairy,39.22
Gilette,Beauty,26.58
Kelloggs,Groceries,1.89
Surf,Cleaning,42.39
Delifrance,Bakery,54.89
Gu,Groceries,38.11
Lurpak,Dairy,1.87
Dave's Dairy,Dairy,71.53
Walkers,Groceries,101.44
Walkers,Groceries,62.16
Cathedral City,Groceries,56.86
Bold,Cleaning,96.44
Gu,Groceries,54.20
Cathedral City,Groceries,96.25
Gilette,Beauty,13.85
Blue Diamond,Dairy,20.22
Weston Veg,Fruit and Vegetables,74.84
Muddy Boots,Fresh Meat,46.54
Felix,Pet,1.53
Denhay,Fresh Meat,80.84
John West,Groceries,2.65
Hovis,Bakery,64.83
Richmond,Fresh Meat,67.53
Bakers,Pet,121.34
Kelloggs,Groceries,7.49
Knorr,Groceries,67.67
Tropicana,Groceries,47.25
Danish,Fresh Meat,101.31
Vaseline,Beauty,2.30
Denhay,Fresh Meat,91.09
Garnier,Beauty,44.74
Kelloggs,Groceries,61.27
Cathedral City,Groceries,83.09
Vanish,Cleaning,75.32
Garnier,Beauty,50.78
Delifrance,Bakery,81.54
Activia,Dairy,29.26
Vaseline,Beauty,54.78
Richmond,Fresh Meat,27.65
Activia,Dairy,11.33
Butchers,Pet,127.13
Felix,Pet,60.08
Warburtons,Bakery,0.02
Hovis,Bakery,27.79
Danish,Fresh Meat,52.07
Kelloggs,Groceries,22.89
Flora,Dairy,50.42
Andrew,Groceries,1.58
Rowse,Groceries,0.94
Warburtons,Bakery,32.43
John West,Groceries,23.67
Andrew,Groceries,91.34
Muller,Dairy,16.37
Cathedral City,Groceries,100.38
Bold,Cleaning,30.98
