Colgate,Healthcare,18.39
Garnier,Beauty,43.60
John West,Groceries,6.07
Knorr,Groceries,82.70
Weston Veg,Fruit and Vegetables,41.93
Danish,Fresh Meat,84.81
Denhay,Fresh Meat,53.46
Cathedral City,Groceries,71.41
Simple,Beauty,3.25
Flora,Dairy,94.41
Muddy Boots,Fresh Meat,50.53
Gressingham,Fresh Meat,23.11
Florette,Fruit and Vegetables,5.37
Pedigree,Pet,18.32
Blue Diamond,Dairy,104.91
Andrew,Groceries,56.44
Fairy,Cleaning,12.61
Felix,Pet,38.65
Walkers,Groceries,10.38
Muddy Boots,Fresh Meat,22.72
Vanish,Cleaning,22.17
Simple,Beauty,8.06
Simple,Beauty,6.91
Muddy Boots,Fresh Meat,39.83
High Farm,Fruit and Vegetables,14.94
Gilette,Beauty,31.28
Walkers,Groceries,58.91
Florette,Fruit and Vegetables,30.35
Activia,Dairy,2.36
Danish,Fresh Meat,6.78
High Farm,Fruit and Vegetables,29.87
Cathedral City,Groceries,2.38
Pedigree,Pet,50.68
Florette,Fruit and Vegetables,19.11
Remington,Beauty,8.78
New Farm,Fruit and Vegetables,20.86
Vaseline,Beauty,18.61
Vaseline,Beauty,11.96
Cravendale,Dairy,48.96
Gu,Groceries,15.52
Muddy Boots,Fresh Meat,12.10
Tropicana,Groceries,58.31
Bold,Cleaning,39.21
Finish,Cleaning,22.47
Vaseline,Beauty,40.30
Heinz,Groceries,13.35
Walkers,Groceries,31.43
Gilette,Beauty,110.47
Colmans,Groceries,45.49
Hovis,Bakery,21.28
Muller,Dairy,7.36
High Farm,Fruit and Vegetables,98.18
Colgate,Healthcare,30.27
Andrew,Groceries,29.33
High Farm,Fruit and Vegetables,67.23
Gilette,Beauty,0.17
Steve's Leaves,Fruit and Vegetables,60.51
Heinz,Groceries,1.89
Muller,Dairy,49.06
Vanish,Cleaning,26.63
Butchers,Pet,37.19
John West,Groceries,106.67
Cravendale,Dairy,83.78
Bold,Cleaning,9.19
Flora,Dairy,51.63
Flora,Dairy,40.25
Butchers,Pet,15.82
Steve's Leaves,Fruit and Vegetables,72.69
Muller,Dairy,2.00
Tropicana,Groceries,68.95
Dave's Dairy,Dairy,37.77
Activia,Dairy,53.65
Flora,Dairy,75.21
Walkers,Groceries,18.31
Weston Veg,Fruit and Vegetables,12.55
John West,Groceries,63.04
Surf,Cleaning,19.23
Richmond,Fresh Meat,54.37
Felix,Pet,23.34
Gressingham,Fresh Meat,21.72
Butchers,Pet,78.68
Colgate,Healthcare,20.03
Muller,Dairy,10.39
Sheba,Pet,119.41
Go Cat,Pet,103.61
Vaseline,Beauty,17.69
Garnier,Beauty,17.59
Andrew,Groceries,25.71
Flora,Dairy,114.81
Butchers,Pet,48.82
Muddy Boots,Fresh Meat,36.90
Fairy,Cleaning,33.34
New Farm,Fruit and Vegetables,7.30
Rowse,Groceries,15.82
Bold,Cleaning,36.12
John West,Groceries,10.19
John West,Groceries,130.49
Simple,Beauty,8.40
Colgate,Healthcare,61.94
Dave's Dairy,Dairy,8.53
Simple,Beauty,86.30
Activia,Dairy,103.38
Sheba,Pet,23.02
Colgate,Healthcare,5.27
Roberts,Bakery,13.55
Felix,Pet,122.72
Denhay,Fresh Meat,81.41
Heinz,Groceries,1.40
High Farm,Fruit and Vegetables,22.14
Colgate,Healthcare,35.38
Bakers,Pet,35.94
Warburtons,Bakery,1.85
Gu,Groceries,78.92
Rowse,Groceries,73.92
Finish,Cleaning,16.50
Denhay,Fresh Meat,98.25
Vanish,Cleaning,24.82
Gressingham,Fresh Meat,8.63
High Farm,Fruit and Vegetables,11.68
Cravendale,Dairy,11.17
Surf,Cleaning,8.25
John West,Groceries,49.49
Blue Diamond,Dairy,3.47
Hovis,Bakery,12.11
Simple,Beauty,4.09
Vaseline,Beauty,66.74
Lurpak,Dairy,51.64
Bold,Cleaning,95.22
High Farm,Fruit and Vegetables,2.12
Roberts,Bakery,41.31
Kleenex,Healthcare,39.84
Finish,Cleaning,0.09
Cravendale,Dairy,143.46
Gu,Groceries,29.14
Pedigree,Pet,39.79
Loreal,Beauty,56.37
Vaseline,Beauty,36.59
Dave's Dairy,Dairy,133.29
High Farm,Fruit and Vegetables,0.09
Kelloggs,Groceries,20.53
Butchers,Pet,13.49
Florette,Fruit and Vegetables,71.39
Felix,Pet,21.57
Gressingham,Fresh Meat,27.39
Danish,Fresh Meat,9.33
Danish,Fresh Meat,41.01
Heinz,Groceries,6.81
Steve's Leaves,Fruit and Vegetables,17.57
Hartleys,Groceries,103.44
High Farm,Fruit and Vegetables,1.24
Vaseline,Beauty,57.49
Remington,Beauty,65.95
Blue Diamond,Dairy,15.44
Loreal,Beauty,19.64
Colgate,Healthcare,5.47
Walkers,Groceries,68.78
Pedigree,Pet,22.45
Rowse,Groceries,2.35
Richmond,Fresh Meat,7.73
