Colgate,Healthcare,43.79
Rowse,Groceries,117.73
Fairy,Cleaning,18.30
Rowse,Groceries,70.11
Warburtons,Bakery,101.58
Loreal,Beauty,22.15
Garnier,Beauty,4.72
Finish,Cleaning,29.61
Gu,Groceries,0.63
Fairy,Cleaning,82.44
Weston Veg,Fruit and Vegetables,60.32
Knorr,Groceries,18.00
Garnier,Beauty,98.43
Steve's Leaves,Fruit and Vegetables,74.91
Heinz,Groceries,50.29
Cravendale,Dairy,18.92
Steve's Leaves,Fruit and Vegetables,12.07
John West,Groceries,1.31
Felix,Pet,61.61
Fairy,Cleaning,24.67
Cravendale,Dairy,0.14
Vaseline,Beauty,36.28
Tropicana,Groceries,50.50
John West,Groceries,14.64
Bakers,Pet,27.51
Vanish,Cleaning,28.36
Fairy,Cleaning,19.00
Tropicana,Groceries,38.50
Rowse,Groceries,85.20
High Farm,Fruit and Vegetables,49.23
Rowse,Groceries,62.99
Bakers,Pet,99.87
Hovis,Bakery,3.44
Andrew,Groceries,73.54
Pedigree,Pet,0.25
Danish,Fresh Meat,73.05
Lurpak,Dairy,8.23
Knorr,Groceries,0.36
Blue Diamond,Dairy,11.54
Hovis,Bakery,23.92
Colmans,Groceries,59.32
Surf,Cleaning,106.02
Surf,Cleaning,65.45
Activia,Dairy,20.33
Pedigree,Pet,1.90
Roberts,Bakery,39.37
Knorr,Groceries,5.06
Cathedral City,Groceries,6.24
Cravendale,Dairy,29.54
New Farm,Fruit and Vegetables,5.76
Surf,Cleaning,100.77
Simple,Beauty,17.34
New Farm,Fruit and Vegetables,3.79
Colmans,Groceries,42.82
Warburtons,Bakery,7.83
Muller,Dairy,68.24
Kelloggs,Groceries,14.93
Flora,Dairy,91.94
New Farm,Fruit and Vegetables,4.00
Fairy,Cleaning,75.88
Roberts,Bakery,19.69
Vaseline,Beauty,9.87
Pedigree,Pet,82.55
Fairy,Cleaning,10.85
Muller,Dairy,51.82
Knorr,Groceries,84.09
Garnier,Beauty,128.20
John West,Groceries,23.38
Roberts,Bakery,1.24
Heinz,Groceries,107.37
Dave's Dairy,Dairy,46.63
Surf,Cleaning,1.60
Sheba,Pet,22.72
Activia,Dairy,118.03
Delifrance,Bakery,64.27
Walkers,Groceries,91.77
Colmans,Groceries,6.83
Bold,Cleaning,64.10
Dave's Dairy,Dairy,88.88
Loreal,Beauty,2.26
Knorr,Groceries,94.24
Gilette,Beauty,110.89
Activia,Dairy,22.84
Walkers,Groceries,39.35
Richmond,Fresh Meat,1.59
Heinz,Groceries,45.33
Denhay,Fresh Meat,11.09
Cathedral City,Groceries,71.14
Florette,Fruit and Vegetables,12.71
Weston Veg,Fruit and Vegetables,50.54
Flora,Dairy,38.21
