John West,Groceries,27.82
Sheba,Pet,89.13
Knorr,Groceries,74.89
Lurpak,Dairy,13.52
Bakers,Pet,98.26
Knorr,Groceries,2.77
Pedigree,Pet,3.56
Gu,Groceries,8.96
Heinz,Groceries,4.98
Gu,Groceries,61.77
Weston Veg,Fruit and Vegetables,25.50
Danish,Fresh Meat,70.84
Gu,Groceries,106.63
Weston Veg,Fruit and Vegetables,45.81
Vanish,Cleaning,42.35
Surf,Cleaning,0.63
Knorr,Groceries,38.93
Steve's Leaves,Fruit and Vegetables,42.11
Bold,Cleaning,1.18
Gu,Groceries,5.99
Cravendale,Dairy,49.98
Muller,Dairy,12.77
Knorr,Groceries,5.34
Warburtons,Bakery,36.93
Andrew,Groceries,39.96
Felix,Pet,61.84
Danish,Fresh Meat,53.62
Gilette,Beauty,4.19
Delifrance,Bakery,60.14
Finish,Cleaning,35.47
Rowse,Groceries,132.85
Richmond,Fresh Meat,62.69
High Farm,Fruit and Vegetables,47.38
Kelloggs,Groceries,7.77
Heinz,Groceries,3.56
Finish,Cleaning,7.15
Bakers,Pet,21.21
Steve's Leaves,Fruit and Vegetables,30.33
Colmans,Groceries,65.06
Roberts,Bakery,58.18
Muller,Dairy,51.59
Bold,Cleaning,74.52
New Farm,Fruit and Vegetables,54.29
Cathedral City,Groceries,9.00
Delifrance,Bakery,21.71
Florette,Fruit and Vegetables,18.20
Hartleys,Groceries,45.40
Colmans,Groceries,88.49
Flora,Dairy,1.52
Finish,Cleaning,4.86
Muddy Boots,Fresh Meat,2.57
Bakers,Pet,35.71
Blue Diamond,Dairy,37.54
Rowse,Groceries,14.26
Surf,Cleaning,13.85
Tropicana,Groceries,61.36
Warburtons,Bakery,75.48
Finish,Cleaning,11.47
Garnier,Beauty,64.44
Dave's Dairy,Dairy,12.88
New Farm,Fruit and Vegetables,118.45
Cravendale,Dairy,7.31
Gilette,Beauty,13.45
Rowse,Groceries,54.38
Dave's Dairy,Dairy,2.97
Danish,Fresh Meat,1.46
Hartleys,Groceries,16.03
Blue Diamond,Dairy,42.84
Flora,Dairy,33.62
Garnier,Beauty,116.48
Surf,Cleaning,3.29
Danish,Fresh Meat,9.66
Activia,Dairy,81.01
Lurpak,Dairy,5.87
New Farm,Fruit and Vegetables,71.97
Loreal,Beauty,67.20
Activia,Dairy,11.44
Vaseline,Beauty,136.24
Gressingham,Fresh Meat,55.82
Garnier,Beauty,32.76
Felix,Pet,68.63
High Farm,Fruit and Vegetables,9.76
Delifrance,Bakery,92.33
Tropicana,Groceries,18.78
Andrew,Groceries,13.22
Colgate,Healthcare,34.87
Cathedral City,Groceries,3.79
Garnier,Beauty,26.75
Loreal,Beauty,6.72
Kleenex,Healthcare,67.36
Lurpak,Dairy,66.25
Richmond,Fresh Meat,23.92
Go Cat,Pet,4.05
Heinz,Groceries,4.29
Muller,Dairy,93.16
Sheba,Pet,3.52
Butchers,Pet,50.44
Bakers,Pet,38.10
Simple,Beauty,85.72
Bakers,Pet,3.88
Blue Diamond,Dairy,81.07
Colmans,Groceries,22.59
Roberts,Bakery,4.62
Danish,Fresh Meat,14.54
Knorr,Groceries,2.87
Kleenex,Healthcare,29.27
Blue Diamond,Dairy,62.77
Delifrance,Bakery,85.58
Colgate,Healthcare,110.63
Flora,Dairy,6.61
Bold,Cleaning,0.01
Gilette,Beauty,30.59
Colgate,Healthcare,17.91
Surf,Cleaning,6.89
