Cathedral City,Groceries,55.24
Heinz,Groceries,16.23
Rowse,Groceries,30.37
High Farm,Fruit and Vegetables,27.01
Sheba,Pet,64.63
Fairy,Cleaning,140.34
Roberts,Bakery,74.69
Weston Veg,Fruit and Vegetables,10.48
Richmond,Fresh Meat,21.65
Go Cat,Pet,7.34
Go Cat,Pet,1.17
Butchers,Pet,3.86
Knorr,Groceries,2.74
Pedigree,Pet,48.31
Lurpak,Dairy,34.79
Cathedral City,Groceries,114.91
John West,Groceries,3.20
Finish,Cleaning,0.10
Colmans,Groceries,17.30
Rowse,Groceries,3.92
Bakers,Pet,81.23
Lurpak,Dairy,23.04
Warburtons,Bakery,1.27
New Farm,Fruit and Vegetables,29.74
Rowse,Groceries,32.01
Sheba,Pet,85.57
Florette,Fruit and Vegetables,49.17
Steve's Leaves,Fruit and Vegetables,2.76
Rowse,Groceries,0.81
Hartleys,Groceries,6.68
Sheba,Pet,89.77
Walkers,Groceries,101.63
Gilette,Beauty,1.35
Andrew,Groceries,119.95
John West,Groceries,19.45
Gilette,Beauty,73.55
Knorr,Groceries,4.01
Knorr,Groceries,0.93
Bakers,Pet,16.03
Steve's Leaves,Fruit and Vegetables,4.44
Knorr,Groceries,37.72
Kelloggs,Groceries,45.00
Garnier,Beauty,36.89
Activia,Dairy,84.14
Walkers,Groceries,27.26
Kleenex,Healthcare,0.64
Knorr,Groceries,36.09
Bold,Cleaning,10.06
Garnier,Beauty,57.94
Rowse,Groceries,38.34
Kelloggs,Groceries,50.23
Vanish,Cleaning,7.48
Kleenex,Healthcare,39.56
Roberts,Bakery,57.28
Delifrance,Bakery,36.67
Kleenex,Healthcare,16.06
Remington,Beauty,7.54
Fairy,Cleaning,22.34
Danish,Fresh Meat,12.44
Remington,Beauty,17.14
Muddy Boots,Fresh Meat,10.50
Muller,Dairy,50.42
Blue Diamond,Dairy,3.67
Cravendale,Dairy,0.08
Fairy,Cleaning,1.35
Denhay,Fresh Meat,59.54
Dave's Dairy,Dairy,41.75
Bakers,Pet,43.39
Cravendale,Dairy,3.98
Fairy,Cleaning,33.32
Hovis,Bakery,5.90
Muller,Dairy,26.59
Hovis,Bakery,45.10
Gilette,Beauty,57.19
Bakers,Pet,34.74
Finish,Cleaning,0.27
Blue Diamond,Dairy,49.73
Colgate,Healthcare,55.23
Gu,Groceries,1.93
Warburtons,Bakery,8.54
Bold,Cleaning,0.73
Dave's Dairy,Dairy,54.05
Flora,Dairy,79.76
Kelloggs,Groceries,9.59
Cathedral City,Groceries,86.96
Gilette,Beauty,91.90
Cravendale,Dairy,11.99
Muller,Dairy,71.51
Heinz,Groceries,3.30
Lurpak,Dairy,7.41
Fairy,Cleaning,1.04
Richmond,Fresh Meat,33.93
Vanish,Cleaning,5.28
Fairy,Cleaning,7.06
Rowse,Groceries,18.99
Knorr,Groceries,17.79
Blue Diamond,Dairy,9.67
Fairy,Cleaning,78.23
Remington,Beauty,59.34
Weston Veg,Fruit and Vegetables,35.10
Andrew,Groceries,42.83
Finish,Cleaning,72.35
Bakers,Pet,5.57
High Farm,Fruit and Vegetables,61.10
High Farm,Fruit and Vegetables,23.27
Andrew,Groceries,2.13
Andrew,Groceries,105.25
Bold,Cleaning,3.40
Heinz,Groceries,69.44
High Farm,Fruit and Vegetables,59.74
Vaseline,Beauty,9.10
Richmond,Fresh Meat,6.21
Activia,Dairy,13.64
Vanish,Cleaning,68.05
Lurpak,Dairy,54.14
Colmans,Groceries,7.74
Garnier,Beauty,94.88
Flora,Dairy,125.52
Kleenex,Healthcare,76.29
Dave's Dairy,Dairy,49.87
Roberts,Bakery,37.34
Surf,Cleaning,18.60
Weston Veg,Fruit and Vegetables,6.78
Remington,Beauty,95.85
Colmans,Groceries,40.24
Denhay,Fresh Meat,74.95
Go Cat,Pet,98.55
Cathedral City,Groceries,35.79
Gilette,Beauty,16.55
Rowse,Groceries,10.86
Delifrance,Bakery,8.17
Hovis,Bakery,1.28
New Farm,Fruit and Vegetables,0.36
Cravendale,Dairy,91.72
Loreal,Beauty,25.24
Blue Diamond,Dairy,0.41
Florette,Fruit and Vegetables,11.11
Richmond,Fresh Meat,92.52
Go Cat,Pet,2.63
Sheba,Pet,61.68
Colgate,Healthcare,112.38
Muddy Boots,Fresh Meat,23.57
Weston Veg,Fruit and Vegetables,5.43
Knorr,Groceries,48.61
Dave's Dairy,Dairy,23.13
Colgate,Healthcare,77.34
Kleenex,Healthcare,21.20
