Go Cat,Pet,1.56
Kleenex,Healthcare,19.29
Bakers,Pet,87.66
Muller,Dairy,67.37
Kleenex,Healthcare,66.78
Hartleys,Groceries,42.78
High Farm,Fruit and Vegetables,50.11
Simple,Beauty,113.60
Hovis,Bakery,4.47
Heinz,Groceries,5.45
Andrew,Groceries,51.29
Kleenex,Healthcare,43.95
Danish,Fresh Meat,38.75
John West,Groceries,17.85
Fairy,Cleaning,26.55
Kleenex,Healthcare,5.62
Bakers,Pet,46.05
John West,Groceries,6.19
Colmans,Groceries,54.62
Tropicana,Groceries,15.56
Steve's Leaves,Fruit and Vegetables,50.75
Blue Diamond,Dairy,36.63
High Farm,Fruit and Vegetables,0.19
Muddy Boots,Fresh Meat,3.87
Heinz,Groceries,48.06
Felix,Pet,48.54
Gu,Groceries,93.57
Vaseline,Beauty,12.73
Bakers,Pet,74.56
Vaseline,Beauty,16.72
Gu,Groceries,86.13
Go Cat,Pet,56.68
Loreal,Beauty,9.15
Rowse,Groceries,14.24
Felix,Pet,12.95
Flora,Dairy,24.11
Walkers,Groceries,61.87
Gressingham,Fresh Meat,46.76
Cravendale,Dairy,49.02
Cathedral City,Groceries,60.44
Knorr,Groceries,45.31
Surf,Cleaning,74.80
Loreal,Beauty,25.91
Garnier,Beauty,76.17
New Farm,Fruit and Vegetables,79.53
Sheba,Pet,7.90
Colmans,Groceries,21.07
Loreal,Beauty,96.42
Dave's Dairy,Dairy,5.80
Knorr,Groceries,8.69
Felix,Pet,28.09
Cravendale,Dairy,40.17
Tropicana,Groceries,16.12
Walkers,Groceries,1.07
Fairy,Cleaning,14.26
Delifrance,Bakery,91.77
Pedigree,Pet,53.25
Simple,Beauty,53.65
Kelloggs,Groceries,72.61
Gressingham,Fresh Meat,22.91
Sheba,Pet,0.28
Fairy,Cleaning,7.90
Cathedral City,Groceries,49.12
Muddy Boots,Fresh Meat,98.18
Garnier,Beauty,10.38
Denhay,Fresh Meat,93.76
Sheba,Pet,60.05
Hovis,Bakery,28.67
Richmond,Fresh Meat,43.24
New Farm,Fruit and Vegetables,29.43
