Colgate,Healthcare,70.87
Gressingham,Fresh Meat,29.61
Gu,Groceries,61.55
Tropicana,Groceries,0.39
Butchers,Pet,109.40
Pedigree,Pet,6.40
Heinz,Groceries,105.16
Roberts,Bakery,76.50
Loreal,Beauty,4.69
Richmond,Fresh Meat,25.15
Activia,Dairy,21.49
Steve's Leaves,Fruit and Vegetables,27.75
Surf,Cleaning,10.33
Vanish,Cleaning,38.57
Knorr,Groceries,1.61
Tropicana,Groceries,14.41
Felix,Pet,116.92
Blue Diamond,Dairy,51.43
Warburtons,Bakery,119.80
Cathedral City,Groceries,77.03
Muddy Boots,Fresh Meat,33.14
Richmond,Fresh Meat,23.30
Bakers,Pet,19.33
Delifrance,Bakery,33.13
Cathedral City,Groceries,5.71
Finish,Cleaning,132.90
Butchers,Pet,21.58
Cathedral City,Groceries,1.69
Felix,Pet,4.30
Sheba,Pet,16.50
Cathedral City,Groceries,27.27
Pedigree,Pet,14.55
Denhay,Fresh Meat,37.99
Roberts,Bakery,7.13
Hartleys,Groceries,73.98
Vaseline,Beauty,42.43
Loreal,Beauty,96.00
Muddy Boots,Fresh Meat,18.84
Denhay,Fresh Meat,67.05
Heinz,Groceries,1.72
Bakers,Pet,113.36
Loreal,Beauty,113.07
Surf,Cleaning,42.65
Richmond,Fresh Meat,52.32
Roberts,Bakery,81.28
Surf,Cleaning,12.73
Activia,Dairy,50.50
Hovis,Bakery,65.86
Loreal,Beauty,5.13
Bakers,Pet,84.55
Dave's Dairy,Dairy,46.00
New Farm,Fruit and Vegetables,24.28
Flora,Dairy,47.74
Butchers,Pet,24.38
Fairy,Cleaning,4.67
Weston Veg,Fruit and Vegetables,64.41
Dave's Dairy,Dairy,29.54
Loreal,Beauty,7.64
Richmond,Fresh Meat,29.81
Cathedral City,Groceries,1.06
Vanish,Cleaning,52.42
Colmans,Groceries,23.93
Knorr,Groceries,20.22
Finish,Cleaning,30.86
New Farm,Fruit and Vegetables,55.93
Heinz,Groceries,21.91
Hartleys,Groceries,60.28
Cravendale,Dairy,8.70
Warburtons,Bakery,35.13
Kelloggs,Groceries,64.23
Heinz,Groceries,15.91
Denhay,Fresh Meat,36.73
Sheba,Pet,4.45
Andrew,Groceries,14.15
Fairy,Cleaning,3.89
Bold,Cleaning,48.59
Pedigree,Pet,105.51
Kelloggs,Groceries,5.76
Andrew,Groceries,77.79
Cathedral City,Groceries,8.86
Garnier,Beauty,5.93
Colmans,Groceries,71.82
Rowse,Groceries,37.43
Hartleys,Groceries,12.67
Delifrance,Bakery,31.67
Florette,Fruit and Vegetables,0.35
Hovis,Bakery,49.45
Loreal,Beauty,34.93
Delifrance,Bakery,116.42
Colmans,Groceries,38.84
Tropicana,Groceries,17.27
