Colgate,Healthcare,124.05
Blue Diamond,Dairy,46.72
Delifrance,Bakery,4.93
Walkers,Groceries,28.62
Gilette,Beauty,5.06
Tropicana,Groceries,3.89
Go Cat,Pet,96.37
Warburtons,Bakery,13.38
Steve's Leaves,Fruit and Vegetables,6.20
Hartleys,Groceries,68.01
Heinz,Groceries,14.07
Colgate,Healthcare,37.58
Vaseline,Beauty,79.99
Pedigree,Pet,21.36
Denhay,Fresh Meat,25.40
Felix,Pet,133.35
Loreal,Beauty,93.11
Denhay,Fresh Meat,17.85
Colmans,Groceries,107.00
Kleenex,Healthcare,1.39
Andrew,Groceries,15.37
Hartleys,Groceries,14.19
Kelloggs,Groceries,42.01
Finish,Cleaning,9.69
Weston Veg,Fruit and Vegetables,2.27
High Farm,Fruit and Vegetables,35.77
Cravendale,Dairy,65.42
Simple,Beauty,7.94
Hartleys,Groceries,7.55
Steve's Leaves,Fruit and Vegetables,68.11
Pedigree,Pet,49.40
Dave's Dairy,Dairy,5.88
Garnier,Beauty,4.22
Danish,Fresh Meat,21.35
Surf,Cleaning,68.97
Flora,Dairy,17.91
Vaseline,Beauty,102.93
Lurpak,Dairy,41.20
Vanish,Cleaning,35.14
Simple,Beauty,0.06
Knorr,Groceries,71.46
Butchers,Pet,65.94
Richmond,Fresh Meat,70.40
New Farm,Fruit and Vegetables,50.56
Sheba,Pet,5.94
Weston Veg,Fruit and Vegetables,58.88
Finish,Cleaning,25.29
Gu,Groceries,88.89
Activia,Dairy,4.99
Knorr,Groceries,2.83
Kelloggs,Groceries,32.47
Gressingham,Fresh Meat,17.76
Loreal,Beauty,1.42
Garnier,Beauty,58.08
Surf,Cleaning,52.16
Activia,Dairy,6.86
Loreal,Beauty,12.12
Remington,Beauty,64.50
Finish,Cleaning,112.95
Danish,Fresh Meat,9.34
Butchers,Pet,52.60
Surf,Cleaning,18.18
Blue Diamond,Dairy,10.41
Sheba,Pet,11.10
Rowse,Groceries,67.41
Rowse,Groceries,0.89
Andrew,Groceries,27.69
Muller,Dairy,2.91
Bold,Cleaning,27.23
Florette,Fruit and Vegetables,69.56
Knorr,Groceries,35.25
Loreal,Beauty,20.84
Loreal,Beauty,0.36
Gressingham,Fresh Meat,0.36
Gilette,Beauty,2.98
Blue Diamond,Dairy,13.82
Pedigree,Pet,124.05
Danish,Fresh Meat,7.72
Vanish,Cleaning,14.85
Surf,Cleaning,2.88
Colmans,Groceries,5.74
Roberts,Bakery,64.78
Colmans,Groceries,16.63
Cathedral City,Groceries,43.47
Cravendale,Dairy,45.97
Walkers,Groceries,59.70
Gilette,Beauty,15.35
Gressingham,Fresh Meat,78.49
Danish,Fresh Meat,42.80
Vanish,Cleaning,2.36
Simple,Beauty,109.83
Muddy Boots,Fresh Meat,107.04
Go Cat,Pet,87.27
Flora,Dairy,24.18
Bakers,Pet,60.00
Delifrance,Bakery,8.14
Kelloggs,Groceries,24.71
Tropicana,Groceries,23.88
Colmans,Groceries,10.37
Florette,Fruit and Vegetables,14.43
Butchers,Pet,62.12
Remington,Beauty,76.85
Danish,Fresh Meat,54.68
Cathedral City,Groceries,0.65
Lurpak,Dairy,30.86
Activia,Dairy,3.48
Tropicana,Groceries,6.89
Dave's Dairy,Dairy,22.09
Florette,Fruit and Vegetables,1.64
Hartleys,Groceries,60.16
Finish,Cleaning,12.68
Finish,Cleaning,50.97
Go Cat,Pet,57.45
Vaseline,Beauty,11.05
Dave's Dairy,Dairy,0.90
Andrew,Groceries,52.17
Denhay,Fresh Meat,69.85
Colmans,Groceries,34.99
Roberts,Bakery,9.96
Kelloggs,Groceries,92.11
Weston Veg,Fruit and Vegetables,1.91
Danish,Fresh Meat,8.48
Rowse,Groceries,4.04
Dave's Dairy,Dairy,115.00
Knorr,Groceries,10.98
Fairy,Cleaning,0.03
Flora,Dairy,18.11
Knorr,Groceries,15.36
Muller,Dairy,27.36
Danish,Fresh Meat,14.78
Colmans,Groceries,77.18
Gilette,Beauty,83.00
Finish,Cleaning,64.37
Denhay,Fresh Meat,19.09
Go Cat,Pet,25.45
Gressingham,Fresh Meat,0.66
Lurpak,Dairy,19.06
Walkers,Groceries,65.54
Simple,Beauty,8.93
Danish,Fresh Meat,8.21
Weston Veg,Fruit and Vegetables,98.00
Pedigree,Pet,14.47
Cathedral City,Groceries,21.71
Butchers,Pet,32.87
Blue Diamond,Dairy,21.61
Finish,Cleaning,28.68
John West,Groceries,22.43
Flora,Dairy,13.48
Colgate,Healthcare,20.38
Warburtons,Bakery,60.71
Weston Veg,Fruit and Vegetables,53.48
Colmans,Groceries,7.54
Roberts,Bakery,3.76
Remington,Beauty,2.34
Danish,Fresh Meat,110.02
Muddy Boots,Fresh Meat,25.39
Simple,Beauty,64.62
Cathedral City,Groceries,30.00
Delifrance,Bakery,3.72
New Farm,Fruit and Vegetables,20.84
High Farm,Fruit and Vegetables,65.63
Gilette,Beauty,22.32
Dave's Dairy,Dairy,52.42
Loreal,Beauty,17.80
Finish,Cleaning,21.66
Finish,Cleaning,17.45
Muller,Dairy,27.18
Fairy,Cleaning,0.86
Butchers,Pet,12.68
Vaseline,Beauty,19.33
Surf,Cleaning,52.15
Hartleys,Groceries,22.98
Warburtons,Bakery,61.62
Vanish,Cleaning,38.46
Rowse,Groceries,46.07
Knorr,Groceries,9.37
Gilette,Beauty,47.49
Knorr,Groceries,38.75
Fairy,Cleaning,110.86
High Farm,Fruit and Vegetables,3.33
Delifrance,Bakery,19.95
Knorr,Groceries,50.28
Vaseline,Beauty,35.81
Kleenex,Healthcare,23.49
Felix,Pet,28.83
Pedigree,Pet,21.21
Bakers,Pet,64.19
Simple,Beauty,3.00
Danish,Fresh Meat,6.50
Delifrance,Bakery,2.10
Flora,Dairy,102.95
Colmans,Groceries,41.61
Pedigree,Pet,6.42
Danish,Fresh Meat,28.41
Go Cat,Pet,13.75
Simple,Beauty,30.84
New Farm,Fruit and Vegetables,4.85
Dave's Dairy,Dairy,46.57
New Farm,Fruit and Vegetables,84.39
Kleenex,Healthcare,25.23
Loreal,Beauty,88.82
Hovis,Bakery,8.13
Dave's Dairy,Dairy,63.01
Weston Veg,Fruit and Vegetables,0.97
Delifrance,Bakery,41.38
Delifrance,Bakery,25.50
John West,Groceries,95.60
Dave's Dairy,Dairy,50.68
Garnier,Beauty,31.51
Roberts,Bakery,76.21
Gilette,Beauty,46.50
Cravendale,Dairy,28.06
Gressingham,Fresh Meat,38.11
Hartleys,Groceries,63.59
Activia,Dairy,2.14
Surf,Cleaning,58.84
Knorr,Groceries,29.03
Kelloggs,Groceries,82.98
Steve's Leaves,Fruit and Vegetables,29.53
Tropicana,Groceries,13.34
Colgate,Healthcare,43.66
Kelloggs,Groceries,43.00
Bold,Cleaning,17.47
Vaseline,Beauty,103.81
Gressingham,Fresh Meat,31.74
Heinz,Groceries,84.18
Butchers,Pet,4.18
Dave's Dairy,Dairy,75.87
Delifrance,Bakery,51.96
Weston Veg,Fruit and Vegetables,7.07
Garnier,Beauty,60.38
Gilette,Beauty,6.62
Kelloggs,Groceries,55.87
Gilette,Beauty,1.92
High Farm,Fruit and Vegetables,16.66
Bakers,Pet,0.12
Weston Veg,Fruit and Vegetables,65.00
Hartleys,Groceries,29.62
Weston Veg,Fruit and Vegetables,34.03
Colgate,Healthcare,9.49
Colmans,Groceries,6.18
Remington,Beauty,142.19
Flora,Dairy,5.87
Kelloggs,Groceries,37.61
Garnier,Beauty,52.30
Butchers,Pet,33.11
Tropicana,Groceries,27.63
Andrew,Groceries,69.56
Hovis,Bakery,35.22
Dave's Dairy,Dairy,0.59
Cravendale,Dairy,72.58
Heinz,Groceries,97.73
Sheba,Pet,1.25
Kleenex,Healthcare,67.46
Cravendale,Dairy,24.56
Kleenex,Healthcare,40.88
Flora,Dairy,15.72
Lurpak,Dairy,9.95
Go Cat,Pet,16.57
Sheba,Pet,10.02
Roberts,Bakery,51.39
Weston Veg,Fruit and Vegetables,69.85
Bakers,Pet,23.77
Fairy,Cleaning,41.87
Gu,Groceries,73.82
Go Cat,Pet,87.84
Activia,Dairy,76.33
Remington,Beauty,2.66
Go Cat,Pet,118.99
Rowse,Groceries,25.88
Go Cat,Pet,137.31
Steve's Leaves,Fruit and Vegetables,27.33
Gu,Groceries,28.96
Bakers,Pet,66.94
Knorr,Groceries,73.60
Danish,Fresh Meat,20.39
Tropicana,Groceries,0.07
High Farm,Fruit and Vegetables,5.98
Garnier,Beauty,46.22
Fairy,Cleaning,52.22
Garnier,Beauty,18.36
Flora,Dairy,95.87
High Farm,Fruit and Vegetables,51.04
Gilette,Beauty,27.92
Delifrance,Bakery,13.49
Vaseline,Beauty,3.92
Bold,Cleaning,78.41
Kleenex,Healthcare,16.52
Blue Diamond,Dairy,58.64
Florette,Fruit and Vegetables,27.83
Fairy,Cleaning,103.83
Tropicana,Groceries,60.31
Richmond,Fresh Meat,29.42
Florette,Fruit and Vegetables,40.93
Heinz,Groceries,12.80
Steve's Leaves,Fruit and Vegetables,7.34
Roberts,Bakery,0.42
Sheba,Pet,96.95
Heinz,Groceries,51.99
Florette,Fruit and Vegetables,18.27
Walkers,Groceries,25.12
Tropicana,Groceries,29.20
Bakers,Pet,25.50
Florette,Fruit and Vegetables,2.33
Knorr,Groceries,46.80
Gressingham,Fresh Meat,26.17
John West,Groceries,2.50
Blue Diamond,Dairy,31.55
Gu,Groceries,0.60
Delifrance,Bakery,2.09
Richmond,Fresh Meat,14.54
Garnier,Beauty,55.09
Colmans,Groceries,87.32
Roberts,Bakery,44.99
Gilette,Beauty,87.97
Lurpak,Dairy,7.39
Remington,Beauty,18.00
Hovis,Bakery,0.43
Cathedral City,Groceries,24.70
Rowse,Groceries,90.59
New Farm,Fruit and Vegetables,98.93
Denhay,Fresh Meat,83.15
Go Cat,Pet,15.61
Surf,Cleaning,64.67
Activia,Dairy,15.95
Activia,Dairy,76.64
Muller,Dairy,103.32
Danish,Fresh Meat,13.22
Tropicana,Groceries,30.48
Go Cat,Pet,10.38
Weston Veg,Fruit and Vegetables,22.94
Lurpak,Dairy,7.62
Bold,Cleaning,2.41
Gressingham,Fresh Meat,50.74
Cravendale,Dairy,15.12
Florette,Fruit and Vegetables,47.23
Simple,Beauty,30.61
Blue Diamond,Dairy,132.44
Danish,Fresh Meat,1.41
Activia,Dairy,4.27
Bold,Cleaning,44.96
High Farm,Fruit and Vegetables,4.37
Loreal,Beauty,0.93
Knorr,Groceries,28.92
Blue Diamond,Dairy,73.66
Steve's Leaves,Fruit and Vegetables,40.08
Vaseline,Beauty,15.16
Rowse,Groceries,63.16
Andrew,Groceries,73.91
Knorr,Groceries,46.84
Delifrance,Bakery,18.07
Muddy Boots,Fresh Meat,80.57
Gressingham,Fresh Meat,24.52
Gilette,Beauty,20.60
Colgate,Healthcare,6.26
Muddy Boots,Fresh Meat,0.03
Colgate,Healthcare,8.98
Heinz,Groceries,41.50
Butchers,Pet,43.41
Dave's Dairy,Dairy,73.17
Andrew,Groceries,0.89
Tropicana,Groceries,18.55
John West,Groceries,3.13
Richmond,Fresh Meat,78.57
New Farm,Fruit and Vegetables,0.64
Lurpak,Dairy,50.76
Florette,Fruit and Vegetables,48.26
Kleenex,Healthcare,6.79
Colgate,Healthcare,0.25
Go Cat,Pet,11.11
John West,Groceries,20.65
Cathedral City,Groceries,22.57
Colmans,Groceries,7.88
Vanish,Cleaning,11.91
Knorr,Groceries,32.96
Warburtons,Bakery,72.91
Kelloggs,Groceries,6.09
John West,Groceries,5.63
Felix,Pet,135.57
Cravendale,Dairy,31.67
Steve's Leaves,Fruit and Vegetables,76.87
Loreal,Beauty,5.71
Dave's Dairy,Dairy,23.54
Muddy Boots,Fresh Meat,25.38
Tropicana,Groceries,1.51
Gu,Groceries,23.63
Activia,Dairy,52.59
Colgate,Healthcare,1.33
Loreal,Beauty,0.46
Sheba,Pet,18.68
Remington,Beauty,14.06
Gu,Groceries,82.05
Surf,Cleaning,139.09
Cravendale,Dairy,24.99
Loreal,Beauty,20.39
Cathedral City,Groceries,0.46
Flora,Dairy,46.92
Kelloggs,Groceries,124.54
Felix,Pet,5.96
Dave's Dairy,Dairy,0.24
Pedigree,Pet,15.06
Sheba,Pet,75.22
Hovis,Bakery,18.02
Vanish,Cleaning,32.47
Butchers,Pet,7.64
Delifrance,Bakery,60.18
Weston Veg,Fruit and Vegetables,19.33
Flora,Dairy,63.35
Butchers,Pet,19.45
Colgate,Healthcare,40.67
Vanish,Cleaning,123.99
Dave's Dairy,Dairy,96.81
Colgate,Healthcare,37.61
Go Cat,Pet,100.18
Go Cat,Pet,62.94
Vanish,Cleaning,36.62
Finish,Cleaning,65.69
Cravendale,Dairy,34.54
Activia,Dairy,17.82
Remington,Beauty,2.30
Delifrance,Bakery,0.38
Muller,Dairy,0.00
Colmans,Groceries,6.31
Hartleys,Groceries,60.73
Felix,Pet,32.63
Activia,Dairy,54.10
Colmans,Groceries,40.67
Garnier,Beauty,75.58
Muddy Boots,Fresh Meat,74.84
Colgate,Healthcare,55.19
Bold,Cleaning,49.87
Simple,Beauty,93.18
Muller,Dairy,14.89
Fairy,Cleaning,5.56
Vanish,Cleaning,119.40
Cathedral City,Groceries,87.01
New Farm,Fruit and Vegetables,141.55
Surf,Cleaning,4.86
Steve's Leaves,Fruit and Vegetables,2.14
Flora,Dairy,13.79
Fairy,Cleaning,4.04
Butchers,Pet,0.38
Gressingham,Fresh Meat,82.38
John West,Groceries,3.71
Richmond,Fresh Meat,11.24
Hartleys,Groceries,62.82
Go Cat,Pet,12.08
Butchers,Pet,107.92
Kleenex,Healthcare,115.36
Dave's Dairy,Dairy,60.85
Kleenex,Healthcare,19.62
Muller,Dairy,0.26
Richmond,Fresh Meat,64.11
Muddy Boots,Fresh Meat,15.83
Muddy Boots,Fresh Meat,115.88
John West,Groceries,23.95
Rowse,Groceries,71.91
Surf,Cleaning,69.46
Heinz,Groceries,29.67
High Farm,Fruit and Vegetables,14.43
Warburtons,Bakery,7.84
Gressingham,Fresh Meat,10.48
Heinz,Groceries,23.65
Gilette,Beauty,101.95
Simple,Beauty,115.61
Vaseline,Beauty,130.23
Gilette,Beauty,39.97
John West,Groceries,4.95
Warburtons,Bakery,116.11
Kleenex,Healthcare,38.03
Go Cat,Pet,21.73
Andrew,Groceries,63.84
Vaseline,Beauty,91.94
Roberts,Bakery,36.21
Kleenex,Healthcare,11.83
Dave's Dairy,Dairy,36.83
Heinz,Groceries,4.94
Flora,Dairy,28.39
Denhay,Fresh Meat,33.57
Fairy,Cleaning,24.97
Felix,Pet,45.98
Andrew,Groceries,5.37
Steve's Leaves,Fruit and Vegetables,15.65
Loreal,Beauty,0.03
Roberts,Bakery,38.61
Felix,Pet,7.04
Finish,Cleaning,41.99
Hovis,Bakery,39.32
Dave's Dairy,Dairy,11.85
Activia,Dairy,8.43
Hovis,Bakery,72.63
Surf,Cleaning,54.85
Danish,Fresh Meat,3.42
Sheba,Pet,6.42
Bold,Cleaning,5.13
Dave's Dairy,Dairy,10.09
Simple,Beauty,7.03
Gilette,Beauty,50.59
Dave's Dairy,Dairy,14.60
Danish,Fresh Meat,76.09
Gressingham,Fresh Meat,35.02
Heinz,Groceries,6.13
Tropicana,Groceries,37.56
Weston Veg,Fruit and Vegetables,11.26
Sheba,Pet,46.21
Sheba,Pet,74.67
Florette,Fruit and Vegetables,54.39
Finish,Cleaning,34.07
Rowse,Groceries,21.06
Florette,Fruit and Vegetables,98.93
Go Cat,Pet,0.09
Butchers,Pet,27.68
Weston Veg,Fruit and Vegetables,45.83
Surf,Cleaning,34.53
Colmans,Groceries,18.53
Gu,Groceries,3.70
Richmond,Fresh Meat,105.41
Fairy,Cleaning,37.80
Loreal,Beauty,18.82
Richmond,Fresh Meat,50.14
Danish,Fresh Meat,63.11
Rowse,Groceries,79.56
Pedigree,Pet,5.23
Roberts,Bakery,19.69
Delifrance,Bakery,1.95
Denhay,Fresh Meat,31.79
Hovis,Bakery,4.58
Loreal,Beauty,11.84
Butchers,Pet,35.16
Finish,Cleaning,19.34
Garnier,Beauty,5.10
Go Cat,Pet,3.80
Steve's Leaves,Fruit and Vegetables,20.43
Hovis,Bakery,5.15
Andrew,Groceries,25.88
Dave's Dairy,Dairy,19.02
Flora,Dairy,15.59
New Farm,Fruit and Vegetables,21.87
Hartleys,Groceries,76.18
Muller,Dairy,25.71
Knorr,Groceries,19.31
Rowse,Groceries,2.02
Colgate,Healthcare,13.65
New Farm,Fruit and Vegetables,31.94
Rowse,Groceries,81.95
Tropicana,Groceries,4.45
Felix,Pet,24.86
Weston Veg,Fruit and Vegetables,5.62
Muddy Boots,Fresh Meat,72.36
Felix,Pet,0.26
Hovis,Bakery,118.04
Vaseline,Beauty,55.31
Surf,Cleaning,51.15
Warburtons,Bakery,14.29
Danish,Fresh Meat,139.20
Muller,Dairy,77.15
Dave's Dairy,Dairy,62.43
Bakers,Pet,76.75
Colmans,Groceries,8.97
Remington,Beauty,63.17
Colmans,Groceries,4.80
Weston Veg,Fruit and Vegetables,12.15
Blue Diamond,Dairy,4.52
Simple,Beauty,10.15
Florette,Fruit and Vegetables,68.15
Lurpak,Dairy,17.66
Warburtons,Bakery,30.20
Gressingham,Fresh Meat,16.64
Colmans,Groceries,3.01
Colmans,Groceries,6.29
Remington,Beauty,3.03
Butchers,Pet,22.25
Tropicana,Groceries,59.77
Finish,Cleaning,16.80
Cravendale,Dairy,1.00
Steve's Leaves,Fruit and Vegetables,6.06
Richmond,Fresh Meat,36.00
Go Cat,Pet,7.50
Lurpak,Dairy,3.41
Surf,Cleaning,11.07
Gu,Groceries,61.48
Vaseline,Beauty,41.93
Heinz,Groceries,82.02
Surf,Cleaning,89.65
Bold,Cleaning,25.18
Activia,Dairy,47.55
Surf,Cleaning,23.51
Butchers,Pet,8.40
Rowse,Groceries,9.73
Rowse,Groceries,10.08
Heinz,Groceries,35.22
Heinz,Groceries,8.27
Simple,Beauty,64.29
Hartleys,Groceries,37.55
Bold,Cleaning,48.14
Bold,Cleaning,20.75
Hovis,Bakery,107.18
Gu,Groceries,63.38
Vanish,Cleaning,5.27
Bakers,Pet,17.86
Warburtons,Bakery,41.43
Gilette,Beauty,6.14
Finish,Cleaning,40.25
Muller,Dairy,70.99
Heinz,Groceries,13.05
Bakers,Pet,1.78
Hovis,Bakery,3.99
Muller,Dairy,6.10
Heinz,Groceries,51.72
Vaseline,Beauty,39.66
Bold,Cleaning,15.64
Flora,Dairy,11.80
Activia,Dairy,64.04
Butchers,Pet,124.10
Felix,Pet,31.77
Danish,Fresh Meat,7.08
Flora,Dairy,24.84
Heinz,Groceries,19.49
Kelloggs,Groceries,1.02
John West,Groceries,127.95
Vanish,Cleaning,75.67
Cathedral City,Groceries,6.64
Finish,Cleaning,41.74
Muddy Boots,Fresh Meat,4.13
Colgate,Healthcare,10.43
Remington,Beauty,112.08
Hartleys,Groceries,3.69
Kleenex,Healthcare,79.65
Colmans,Groceries,55.94
Cathedral City,Groceries,28.59
Simple,Beauty,16.35
Muddy Boots,Fresh Meat,21.31
Danish,Fresh Meat,38.24
Colgate,Healthcare,40.70
Blue Diamond,Dairy,40.73
Weston Veg,Fruit and Vegetables,23.32
Delifrance,Bakery,80.40
Walkers,Groceries,109.99
Hartleys,Groceries,7.81
Kelloggs,Groceries,84.48
Gu,Groceries,34.85
Gu,Groceries,96.88
Colmans,Groceries,2.04
Lurpak,Dairy,4.54
John West,Groceries,54.98
Vanish,Cleaning,28.33
Walkers,Groceries,86.62
Steve's Leaves,Fruit and Vegetables,0.40
Loreal,Beauty,1.56
Blue Diamond,Dairy,10.15
Surf,Cleaning,115.01
Steve's Leaves,Fruit and Vegetables,104.31
Warburtons,Bakery,26.90
Butchers,Pet,8.28
Walkers,Groceries,18.29
Florette,Fruit and Vegetables,31.49
Walkers,Groceries,8.51
Rowse,Groceries,1.84
Gressingham,Fresh Meat,57.19
Tropicana,Groceries,14.98
Finish,Cleaning,1.13
Pedigree,Pet,18.44
Cathedral City,Groceries,108.97
Bakers,Pet,20.98
Rowse,Groceries,34.96
Cathedral City,Groceries,49.34
Vaseline,Beauty,50.32
Denhay,Fresh Meat,7.31
Muddy Boots,Fresh Meat,105.65
Walkers,Groceries,72.29
Fairy,Cleaning,2.06
Richmond,Fresh Meat,25.29
John West,Groceries,6.01
Activia,Dairy,47.50
Steve's Leaves,Fruit and Vegetables,40.85
Richmond,Fresh Meat,108.19
Cathedral City,Groceries,0.93
Activia,Dairy,7.93
Colmans,Groceries,82.85
Muddy Boots,Fresh Meat,32.75
