Tropicana,Groceries,89.14
Fairy,Cleaning,16.89
Knorr,Groceries,47.12
Gressingham,Fresh Meat,31.96
Knorr,Groceries,24.61
Gressingham,Fresh Meat,13.66
Cathedral City,Groceries,4.52
Surf,Cleaning,5.78
High Farm,Fruit and Vegetables,59.02
Felix,Pet,13.47
Gu,Groceries,4.81
Cathedral City,Groceries,16.15
Florette,Fruit and Vegetables,42.34
Knorr,Groceries,6.56
Vaseline,Beauty,10.21
New Farm,Fruit and Vegetables,4.78
Kleenex,Healthcare,28.07
Cathedral City,Groceries,10.46
Gressingham,Fresh Meat,29.43
Bakers,Pet,7.72
Roberts,Bakery,47.89
Activia,Dairy,53.93
Florette,Fruit and Vegetables,13.92
Remington,Beauty,62.00
Butchers,Pet,68.49
Garnier,Beauty,12.68
Rowse,Groceries,85.48
Remington,Beauty,42.79
Simple,Beauty,12.05
Danish,Fresh Meat,51.01
Activia,Dairy,22.61
Bold,Cleaning,0.26
Roberts,Bakery,17.46
Denhay,Fresh Meat,111.86
Lurpak,Dairy,20.30
Steve's Leaves,Fruit and Vegetables,26.45
Surf,Cleaning,0.08
Warburtons,Bakery,4.21
Go Cat,Pet,139.16
Tropicana,Groceries,26.26
Remington,Beauty,21.72
Kelloggs,Groceries,60.55
Rowse,Groceries,42.36
Heinz,Groceries,35.43
Hartleys,Groceries,16.87
Cravendale,Dairy,22.47
Activia,Dairy,11.88
Kleenex,Healthcare,49.10
Flora,Dairy,51.60
Heinz,Groceries,6.61
Surf,Cleaning,13.23
Simple,Beauty,11.53
Lurpak,Dairy,53.61
Warburtons,Bakery,128.85
Gilette,Beauty,24.36
Muller,Dairy,38.66
Vaseline,Beauty,9.96
Blue Diamond,Dairy,1.03
Simple,Beauty,40.97
Remington,Beauty,119.34
Walkers,Groceries,61.38
Lurpak,Dairy,44.68
Cravendale,Dairy,3.04
Delifrance,Bakery,130.17
Dave's Dairy,Dairy,48.20
Knorr,Groceries,59.10
Florette,Fruit and Vegetables,3.84
Walkers,Groceries,2.25
Hartleys,Groceries,97.75
Cravendale,Dairy,0.92
Bakers,Pet,50.96
Steve's Leaves,Fruit and Vegetables,5.09
Colgate,Healthcare,2.10
Dave's Dairy,Dairy,0.17
Kleenex,Healthcare,37.78
Andrew,Groceries,6.48
Gu,Groceries,54.08
Fairy,Cleaning,17.86
Denhay,Fresh Meat,0.31
Warburtons,Bakery,5.31
Butchers,Pet,74.88
Knorr,Groceries,18.19
Simple,Beauty,4.61
Colgate,Healthcare,2.86
Pedigree,Pet,81.06
Heinz,Groceries,8.56
Hovis,Bakery,30.75
Garnier,Beauty,3.35
Weston Veg,Fruit and Vegetables,34.14
Rowse,Groceries,8.49
Butchers,Pet,26.36
Andrew,Groceries,7.43
Vanish,Cleaning,20.08
Pedigree,Pet,37.90
Remington,Beauty,30.33
Simple,Beauty,83.97
Florette,Fruit and Vegetables,48.26
Fairy,Cleaning,116.23
Sheba,Pet,99.67
New Farm,Fruit and Vegetables,125.47
Activia,Dairy,33.09
New Farm,Fruit and Vegetables,5.68
Cathedral City,Groceries,5.37
Finish,Cleaning,35.53
New Farm,Fruit and Vegetables,0.88
Pedigree,Pet,97.93
Colmans,Groceries,19.37
Danish,Fresh Meat,5.10
Lurpak,Dairy,53.45
New Farm,Fruit and Vegetables,80.67
Knorr,Groceries,5.53
Activia,Dairy,1.52
John West,Groceries,124.53
Blue Diamond,Dairy,5.05
Muller,Dairy,3.47
Sheba,Pet,6.42
Pedigree,Pet,2.10
Go Cat,Pet,11.13
Remington,Beauty,61.91
Hartleys,Groceries,96.47
Tropicana,Groceries,81.59
Tropicana,Groceries,15.03
Simple,Beauty,40.74
Colmans,Groceries,23.16
Cathedral City,Groceries,9.62
Knorr,Groceries,32.88
Loreal,Beauty,36.90
Kleenex,Healthcare,42.45
Go Cat,Pet,1.32
Steve's Leaves,Fruit and Vegetables,10.95
Roberts,Bakery,39.05
Richmond,Fresh Meat,38.86
Surf,Cleaning,69.52
Heinz,Groceries,46.91
Walkers,Groceries,64.78
Andrew,Groceries,61.21
John West,Groceries,5.14
Bold,Cleaning,45.32
Muller,Dairy,7.33
Flora,Dairy,36.27
Weston Veg,Fruit and Vegetables,16.73
