Florette,Fruit and Vegetables,67.27
Cravendale,Dairy,7.52
Fairy,Cleaning,92.55
Muller,Dairy,87.88
Colmans,Groceries,26.90
Gu,Groceries,87.93
Muller,Dairy,32.61
Hovis,Bakery,14.35
Colmans,Groceries,94.06
Felix,Pet,56.55
Vanish,Cleaning,20.92
Remington,Beauty,58.32
Simple,Beauty,66.50
High Farm,Fruit and Vegetables,2.44
Sheba,Pet,30.66
Surf,Cleaning,67.16
Dave's Dairy,Dairy,34.60
Hartleys,Groceries,34.97
Lurpak,Dairy,14.28
Finish,Cleaning,24.00
Vanish,Cleaning,20.73
Delifrance,Bakery,13.56
Roberts,Bakery,125.18
Activia,Dairy,35.40
Flora,Dairy,49.87
Felix,Pet,50.75
Vanish,Cleaning,10.27
Simple,Beauty,4.29
Garnier,Beauty,78.04
Colgate,Healthcare,29.11
Loreal,Beauty,38.91
Kelloggs,Groceries,83.97
Butchers,Pet,4.98
Gu,Groceries,29.02
Sheba,Pet,132.79
Cathedral City,Groceries,14.63
New Farm,Fruit and Vegetables,5.22
Knorr,Groceries,0.46
Flora,Dairy,22.20
Cathedral City,Groceries,2.04
Sheba,Pet,2.93
Surf,Cleaning,42.89
Kleenex,Healthcare,15.23
Loreal,Beauty,2.12
Denhay,Fresh Meat,5.52
Kleenex,Healthcare,11.71
Colgate,Healthcare,71.28
Flora,Dairy,85.22
Loreal,Beauty,4.48
Activia,Dairy,59.71
Roberts,Bakery,89.99
Hartleys,Groceries,20.79
Colmans,Groceries,22.48
Flora,Dairy,11.60
Bakers,Pet,11.49
Finish,Cleaning,40.79
Warburtons,Bakery,8.92
Kelloggs,Groceries,14.23
Butchers,Pet,21.71
Rowse,Groceries,16.09
Garnier,Beauty,42.90
Vaseline,Beauty,2.69
Blue Diamond,Dairy,21.00
Colgate,Healthcare,23.80
Bakers,Pet,41.40
Weston Veg,Fruit and Vegetables,55.27
Sheba,Pet,85.88
Blue Diamond,Dairy,76.03
Gu,Groceries,11.26
Hartleys,Groceries,2.55
Vaseline,Beauty,5.90
Cathedral City,Groceries,45.56
Blue Diamond,Dairy,3.21
Florette,Fruit and Vegetables,3.22
New Farm,Fruit and Vegetables,2.26
Tropicana,Groceries,2.42
Pedigree,Pet,0.92
John West,Groceries,56.32
Cravendale,Dairy,5.81
Vanish,Cleaning,81.47
New Farm,Fruit and Vegetables,1.90
Vanish,Cleaning,15.45
Danish,Fresh Meat,57.49
Andrew,Groceries,72.26
Hartleys,Groceries,43.45
Blue Diamond,Dairy,25.60
Colgate,Healthcare,38.10
Butchers,Pet,54.01
Garnier,Beauty,55.69
John West,Groceries,2.85
Bakers,Pet,7.84
Delifrance,Bakery,21.67
Steve's Leaves,Fruit and Vegetables,108.98
Hovis,Bakery,17.09
Finish,Cleaning,43.45
Colmans,Groceries,59.93
Finish,Cleaning,135.45
Florette,Fruit and Vegetables,10.47
Roberts,Bakery,10.12
Heinz,Groceries,58.50
Steve's Leaves,Fruit and Vegetables,17.68
Fairy,Cleaning,42.10
Bold,Cleaning,11.36
Colgate,Healthcare,7.57
Blue Diamond,Dairy,22.12
Kelloggs,Groceries,24.38
Florette,Fruit and Vegetables,56.66
Kleenex,Healthcare,1.80
Cathedral City,Groceries,26.87
Heinz,Groceries,75.37
Dave's Dairy,Dairy,34.60
Heinz,Groceries,76.99
Knorr,Groceries,6.86
High Farm,Fruit and Vegetables,31.98
Flora,Dairy,42.18
Surf,Cleaning,47.37
Delifrance,Bakery,4.00
John West,Groceries,50.35
Colmans,Groceries,7.21
Felix,Pet,25.00
John West,Groceries,55.25
Bold,Cleaning,42.66
Heinz,Groceries,37.01
Remington,Beauty,31.74
Bakers,Pet,34.20
Knorr,Groceries,12.21
Dave's Dairy,Dairy,26.29
Finish,Cleaning,102.80
High Farm,Fruit and Vegetables,2.01
Rowse,Groceries,52.02
Finish,Cleaning,39.50
Flora,Dairy,41.34
Gu,Groceries,103.79
Knorr,Groceries,13.16
Garnier,Beauty,24.66
Heinz,Groceries,22.05
Butchers,Pet,0.09
Cravendale,Dairy,25.37
Cathedral City,Groceries,3.28
Walkers,Groceries,8.52
New Farm,Fruit and Vegetables,56.00
Richmond,Fresh Meat,56.80
Florette,Fruit and Vegetables,33.16
John West,Groceries,34.44
Felix,Pet,59.48
Colgate,Healthcare,17.66
Bold,Cleaning,16.52
Denhay,Fresh Meat,86.43
Gu,Groceries,28.03
Pedigree,Pet,28.30
Richmond,Fresh Meat,32.86
New Farm,Fruit and Vegetables,17.30
Hovis,Bakery,17.84
Lurpak,Dairy,19.39
Blue Diamond,Dairy,8.08
Activia,Dairy,93.32
Richmond,Fresh Meat,72.42
Roberts,Bakery,77.26
Gressingham,Fresh Meat,41.91
Warburtons,Bakery,62.38
Colmans,Groceries,26.66
Lurpak,Dairy,52.80
John West,Groceries,37.10
Felix,Pet,54.75
Colmans,Groceries,98.68
Delifrance,Bakery,17.05
Finish,Cleaning,8.83
Andrew,Groceries,47.93
Colgate,Healthcare,64.61
Danish,Fresh Meat,18.29
Vanish,Cleaning,0.97
Delifrance,Bakery,44.30
Cathedral City,Groceries,86.37
Hartleys,Groceries,9.22
Knorr,Groceries,5.45
Simple,Beauty,128.80
Danish,Fresh Meat,1.64
Gressingham,Fresh Meat,78.60
