Finish,Cleaning,60.43
Garnier,Beauty,73.62
Heinz,Groceries,38.48
Hovis,Bakery,89.30
Gressingham,Fresh Meat,95.02
Roberts,Bakery,66.37
Tropicana,Groceries,47.30
Knorr,Groceries,98.10
Bold,Cleaning,4.95
Tropicana,Groceries,9.43
Go Cat,Pet,67.41
Go Cat,Pet,10.41
Butchers,Pet,2.19
Warburtons,Bakery,2.17
Delifrance,Bakery,76.52
Lurpak,Dairy,94.22
Go Cat,Pet,85.60
Bakers,Pet,76.92
Walkers,Groceries,38.54
Muller,Dairy,67.31
Go Cat,Pet,29.93
Remington,Beauty,49.09
Remington,Beauty,4.90
Bakers,Pet,30.51
Kleenex,Healthcare,52.27
High Farm,Fruit and Vegetables,7.64
Felix,Pet,9.64
Cathedral City,Groceries,17.98
Florette,Fruit and Vegetables,0.22
Richmond,Fresh Meat,31.78
Simple,Beauty,17.29
Colgate,Healthcare,5.67
Warburtons,Bakery,11.78
Warburtons,Bakery,43.55
Finish,Cleaning,0.88
Knorr,Groceries,51.93
Colgate,Healthcare,8.57
Muller,Dairy,99.55
Activia,Dairy,72.59
Pedigree,Pet,42.58
Lurpak,Dairy,36.95
Go Cat,Pet,27.44
Florette,Fruit and Vegetables,21.16
Colmans,Groceries,10.43
Kelloggs,Groceries,31.47
New Farm,Fruit and Vegetables,21.64
Cathedral City,Groceries,33.14
Cathedral City,Groceries,96.01
Roberts,Bakery,19.43
Walkers,Groceries,39.21
Kleenex,Healthcare,0.42
Blue Diamond,Dairy,69.47
Tropicana,Groceries,41.43
Cathedral City,Groceries,9.34
Kleenex,Healthcare,86.02
Steve's Leaves,Fruit and Vegetables,16.45
Fairy,Cleaning,11.20
New Farm,Fruit and Vegetables,42.95
Blue Diamond,Dairy,71.89
Dave's Dairy,Dairy,15.46
Garnier,Beauty,57.88
Richmond,Fresh Meat,89.74
Fairy,Cleaning,12.73
Remington,Beauty,35.10
Richmond,Fresh Meat,0.93
Florette,Fruit and Vegetables,73.31
Colmans,Groceries,86.40
Gressingham,Fresh Meat,3.98
Gu,Groceries,6.02
Steve's Leaves,Fruit and Vegetables,119.74
Colmans,Groceries,10.50
Warburtons,Bakery,1.85
Roberts,Bakery,7.11
Danish,Fresh Meat,2.44
Garnier,Beauty,1.88
New Farm,Fruit and Vegetables,52.39
Lurpak,Dairy,0.92
Muddy Boots,Fresh Meat,54.71
Knorr,Groceries,110.42
Go Cat,Pet,53.84
Garnier,Beauty,57.14
New Farm,Fruit and Vegetables,5.24
Dave's Dairy,Dairy,96.99
Kleenex,Healthcare,4.11
Muller,Dairy,27.48
Bakers,Pet,5.87
Denhay,Fresh Meat,4.28
Heinz,Groceries,110.68
Activia,Dairy,2.81
Hovis,Bakery,18.84
Andrew,Groceries,5.62
Remington,Beauty,37.82
Dave's Dairy,Dairy,9.87
Roberts,Bakery,89.34
Lurpak,Dairy,34.92
Gilette,Beauty,0.44
Kleenex,Healthcare,58.40
Colmans,Groceries,53.00
Hovis,Bakery,2.94
John West,Groceries,65.17
Bakers,Pet,49.63
Go Cat,Pet,4.18
Vaseline,Beauty,28.22
Warburtons,Bakery,9.43
Andrew,Groceries,35.21
Lurpak,Dairy,23.43
Gressingham,Fresh Meat,15.71
Heinz,Groceries,55.32
Colmans,Groceries,12.45
Dave's Dairy,Dairy,11.85
Knorr,Groceries,13.77
Andrew,Groceries,18.28
Gressingham,Fresh Meat,36.85
Sheba,Pet,120.48
Finish,Cleaning,11.77
New Farm,Fruit and Vegetables,18.09
Gressingham,Fresh Meat,51.16
Kleenex,Healthcare,63.10
John West,Groceries,78.50
Knorr,Groceries,72.43
Flora,Dairy,15.06
Surf,Cleaning,6.62
Fairy,Cleaning,0.01
Delifrance,Bakery,35.19
Loreal,Beauty,24.13
Loreal,Beauty,38.68
Simple,Beauty,37.07
Gu,Groceries,51.91
Hovis,Bakery,71.57
Kelloggs,Groceries,86.24
Florette,Fruit and Vegetables,46.98
Weston Veg,Fruit and Vegetables,53.97
Vanish,Cleaning,44.15
Colmans,Groceries,118.75
Felix,Pet,5.19
Flora,Dairy,7.60
Delifrance,Bakery,9.90
Colgate,Healthcare,8.85
Steve's Leaves,Fruit and Vegetables,98.15
Blue Diamond,Dairy,7.28
Kleenex,Healthcare,7.41
Steve's Leaves,Fruit and Vegetables,56.58
Vaseline,Beauty,89.43
Kelloggs,Groceries,61.90
Hovis,Bakery,128.07
Andrew,Groceries,47.63
