Kelloggs,Groceries,64.93
Finish,Cleaning,16.25
Colgate,Healthcare,4.92
Cravendale,Dairy,35.95
Danish,Fresh Meat,14.96
Colmans,Groceries,2.63
Bakers,Pet,46.78
Felix,Pet,3.49
Blue Diamond,Dairy,2.24
Lurpak,Dairy,13.22
Weston Veg,Fruit and Vegetables,1.08
Roberts,Bakery,15.57
Walkers,Groceries,16.39
Go Cat,Pet,0.34
Denhay,Fresh Meat,6.84
Warburtons,Bakery,30.64
Blue Diamond,Dairy,74.88
Cravendale,Dairy,0.71
High Farm,Fruit and Vegetables,33.84
Hovis,Bakery,66.55
Cathedral City,Groceries,56.04
Hovis,Bakery,21.73
Loreal,Beauty,80.84
Steve's Leaves,Fruit and Vegetables,15.42
Roberts,Bakery,33.44
Pedigree,Pet,13.35
Colmans,Groceries,29.27
Go Cat,Pet,2.09
Cravendale,Dairy,8.94
Gilette,Beauty,119.97
Activia,Dairy,45.90
Hovis,Bakery,83.02
Kelloggs,Groceries,78.16
Bold,Cleaning,22.65
Kleenex,Healthcare,8.38
Gressingham,Fresh Meat,4.35
Felix,Pet,34.92
Dave's Dairy,Dairy,41.26
Colgate,Healthcare,15.02
Colmans,Groceries,44.32
Fairy,Cleaning,39.50
Sheba,Pet,28.76
Andrew,Groceries,0.68
Bold,Cleaning,15.21
Weston Veg,Fruit and Vegetables,72.53
Warburtons,Bakery,51.01
Tropicana,Groceries,30.44
Garnier,Beauty,5.35
Bold,Cleaning,14.35
Delifrance,Bakery,3.55
Remington,Beauty,20.79
Warburtons,Bakery,0.76
Weston Veg,Fruit and Vegetables,23.22
Knorr,Groceries,38.40
Butchers,Pet,50.42
Knorr,Groceries,6.31
Dave's Dairy,Dairy,126.05
Vanish,Cleaning,0.18
Simple,Beauty,15.93
Fairy,Cleaning,43.81
Roberts,Bakery,53.12
Blue Diamond,Dairy,20.05
Garnier,Beauty,21.11
Delifrance,Bakery,101.31
Rowse,Groceries,114.77
Gilette,Beauty,18.61
New Farm,Fruit and Vegetables,29.59
Butchers,Pet,4.42
Cravendale,Dairy,82.79
Kelloggs,Groceries,2.64
High Farm,Fruit and Vegetables,24.27
Finish,Cleaning,0.44
New Farm,Fruit and Vegetables,3.65
Simple,Beauty,3.47
Weston Veg,Fruit and Vegetables,12.59
Cathedral City,Groceries,43.67
Tropicana,Groceries,8.85
Fairy,Cleaning,1.72
Muddy Boots,Fresh Meat,61.25
Richmond,Fresh Meat,3.92
Gressingham,Fresh Meat,19.57
Roberts,Bakery,96.80
Rowse,Groceries,13.90
Florette,Fruit and Vegetables,3.43
John West,Groceries,34.71
Blue Diamond,Dairy,51.18
Denhay,Fresh Meat,82.13
High Farm,Fruit and Vegetables,6.71
Roberts,Bakery,107.59
Heinz,Groceries,53.88
Remington,Beauty,4.56
Go Cat,Pet,4.70
Denhay,Fresh Meat,18.30
Warburtons,Bakery,48.47
Bold,Cleaning,47.39
Knorr,Groceries,115.72
Simple,Beauty,27.78
Knorr,Groceries,69.52
Gu,Groceries,86.98
Loreal,Beauty,0.18
Tropicana,Groceries,46.86
Roberts,Bakery,2.76
Vaseline,Beauty,17.58
Florette,Fruit and Vegetables,39.17
Bakers,Pet,18.76
Colgate,Healthcare,70.65
Hovis,Bakery,139.48
Vaseline,Beauty,52.87
Cravendale,Dairy,4.82
John West,Groceries,20.86
Steve's Leaves,Fruit and Vegetables,12.77
Walkers,Groceries,9.65
Knorr,Groceries,8.69
Surf,Cleaning,7.75
Hartleys,Groceries,34.88
Rowse,Groceries,14.13
Remington,Beauty,32.37
Knorr,Groceries,0.36
Felix,Pet,14.51
Tropicana,Groceries,19.62
Vanish,Cleaning,20.76
Go Cat,Pet,21.92
Warburtons,Bakery,68.57
Flora,Dairy,85.01
Remington,Beauty,69.57
Pedigree,Pet,13.80
Vaseline,Beauty,2.57
High Farm,Fruit and Vegetables,5.68
Fairy,Cleaning,28.31
Tropicana,Groceries,37.10
Cathedral City,Groceries,13.98
Garnier,Beauty,5.81
Felix,Pet,74.37
Knorr,Groceries,48.55
Finish,Cleaning,47.94
Knorr,Groceries,60.39
Flora,Dairy,11.17
Gu,Groceries,10.02
