Knorr,Groceries,2.56
Gressingham,Fresh Meat,27.77
Rowse,Groceries,17.16
Colgate,Healthcare,105.53
Go Cat,Pet,10.02
Tropicana,Groceries,12.55
Blue Diamond,Dairy,15.88
Garnier,Beauty,36.00
Sheba,Pet,45.74
Blue Diamond,Dairy,95.15
Weston Veg,Fruit and Vegetables,38.54
Walkers,Groceries,35.57
Gu,Groceries,10.16
Gilette,Beauty,28.26
Danish,Fresh Meat,19.77
Walkers,Groceries,9.79
Activia,Dairy,26.03
Muller,Dairy,29.82
Garnier,Beauty,35.73
Surf,Cleaning,1.79
Pedigree,Pet,54.35
Blue Diamond,Dairy,25.90
Andrew,Groceries,46.98
Surf,Cleaning,90.30
Knorr,Groceries,76.32
Weston Veg,Fruit and Vegetables,8.40
Flora,Dairy,25.59
Remington,Beauty,93.78
Butchers,Pet,38.54
Muller,Dairy,3.65
Florette,Fruit and Vegetables,8.84
Warburtons,Bakery,10.07
Flora,Dairy,2.65
Muddy Boots,Fresh Meat,77.34
Muller,Dairy,17.09
Garnier,Beauty,35.79
Vaseline,Beauty,15.19
High Farm,Fruit and Vegetables,13.45
Butchers,Pet,65.81
Lurpak,Dairy,17.67
Butchers,Pet,59.91
Knorr,Groceries,111.11
Butchers,Pet,4.29
Remington,Beauty,5.09
Bold,Cleaning,2.84
Vanish,Cleaning,68.13
Walkers,Groceries,29.15
Butchers,Pet,52.13
Delifrance,Bakery,24.09
Rowse,Groceries,40.18
New Farm,Fruit and Vegetables,27.35
Denhay,Fresh Meat,15.51
Simple,Beauty,17.90
Lurpak,Dairy,9.80
Gilette,Beauty,59.31
Knorr,Groceries,101.76
New Farm,Fruit and Vegetables,41.67
Warburtons,Bakery,4.91
Richmond,Fresh Meat,148.59
Cathedral City,Groceries,24.03
Tropicana,Groceries,23.09
Butchers,Pet,60.99
Steve's Leaves,Fruit and Vegetables,24.92
Delifrance,Bakery,9.32
Fairy,Cleaning,39.45
Butchers,Pet,6.87
Richmond,Fresh Meat,44.87
Richmond,Fresh Meat,1.28
Sheba,Pet,28.08
Knorr,Groceries,0.92
Vaseline,Beauty,3.12
Surf,Cleaning,89.57
Muller,Dairy,15.28
Kelloggs,Groceries,30.61
Bold,Cleaning,53.12
Dave's Dairy,Dairy,24.51
Weston Veg,Fruit and Vegetables,1.18
Denhay,Fresh Meat,11.69
Flora,Dairy,0.42
Cravendale,Dairy,105.24
Fairy,Cleaning,25.19
Warburtons,Bakery,1.78
Gilette,Beauty,104.02
Blue Diamond,Dairy,14.39
Loreal,Beauty,15.55
Cathedral City,Groceries,50.82
Delifrance,Bakery,14.83
Activia,Dairy,0.87
Gilette,Beauty,6.32
Pedigree,Pet,14.30
Muddy Boots,Fresh Meat,1.77
Garnier,Beauty,31.80
Butchers,Pet,13.64
Activia,Dairy,85.58
Kleenex,Healthcare,90.61
Andrew,Groceries,42.64
Loreal,Beauty,32.32
Simple,Beauty,66.45
Colmans,Groceries,49.65
Bold,Cleaning,0.23
Remington,Beauty,20.23
Flora,Dairy,8.81
Surf,Cleaning,2.37
Butchers,Pet,3.57
Surf,Cleaning,22.18
Rowse,Groceries,9.99
Gressingham,Fresh Meat,33.02
Bold,Cleaning,67.65
Steve's Leaves,Fruit and Vegetables,53.08
Kleenex,Healthcare,107.24
Butchers,Pet,3.81
Loreal,Beauty,33.14
Kelloggs,Groceries,15.83
Felix,Pet,46.52
New Farm,Fruit and Vegetables,1.89
Blue Diamond,Dairy,29.77
Warburtons,Bakery,39.99
Knorr,Groceries,40.84
Steve's Leaves,Fruit and Vegetables,89.75
Blue Diamond,Dairy,3.64
Steve's Leaves,Fruit and Vegetables,8.14
