Simple,Beauty,3.57
Tropicana,Groceries,27.34
Heinz,Groceries,89.20
Rowse,Groceries,12.41
Bakers,Pet,43.01
Delifrance,Bakery,73.19
Go Cat,Pet,107.95
Surf,Cleaning,0.22
John West,Groceries,32.69
Colmans,Groceries,4.63
Rowse,Groceries,101.94
Lurpak,Dairy,14.46
Lurpak,Dairy,32.59
Gressingham,Fresh Meat,49.52
Danish,Fresh Meat,9.65
Denhay,Fresh Meat,43.69
Roberts,Bakery,113.49
Vaseline,Beauty,23.29
Hovis,Bakery,41.36
Fairy,Cleaning,71.32
Delifrance,Bakery,79.15
Bold,Cleaning,0.27
Remington,Beauty,7.60
Rowse,Groceries,2.26
Fairy,Cleaning,31.20
Knorr,Groceries,75.58
Colmans,Groceries,54.23
Warburtons,Bakery,2.81
Warburtons,Bakery,29.92
John West,Groceries,40.04
Hovis,Bakery,37.23
Finish,Cleaning,4.34
Danish,Fresh Meat,13.71
Blue Diamond,Dairy,70.12
Finish,Cleaning,48.61
Felix,Pet,50.15
Kelloggs,Groceries,140.91
Dave's Dairy,Dairy,26.61
Remington,Beauty,90.83
Knorr,Groceries,16.63
Knorr,Groceries,62.27
Remington,Beauty,3.88
Cathedral City,Groceries,97.05
Bold,Cleaning,12.19
John West,Groceries,83.68
Butchers,Pet,43.17
Muddy Boots,Fresh Meat,5.41
Hartleys,Groceries,34.62
Surf,Cleaning,5.12
Cathedral City,Groceries,5.92
Gressingham,Fresh Meat,12.47
Butchers,Pet,60.54
Warburtons,Bakery,7.69
Kleenex,Healthcare,69.19
Denhay,Fresh Meat,59.58
Lurpak,Dairy,8.92
Danish,Fresh Meat,12.33
Loreal,Beauty,46.01
Colmans,Groceries,27.89
Garnier,Beauty,92.69
Garnier,Beauty,110.93
Vanish,Cleaning,43.42
Tropicana,Groceries,10.96
Walkers,Groceries,45.25
Colgate,Healthcare,38.83
Finish,Cleaning,85.62
Danish,Fresh Meat,57.78
Gu,Groceries,17.01
Heinz,Groceries,39.26
Simple,Beauty,73.61
John West,Groceries,12.11
Andrew,Groceries,52.98
Butchers,Pet,15.46
Muddy Boots,Fresh Meat,34.89
Finish,Cleaning,100.64
Hartleys,Groceries,13.80
Andrew,Groceries,97.78
Finish,Cleaning,15.12
Flora,Dairy,72.79
Heinz,Groceries,45.25
High Farm,Fruit and Vegetables,24.34
Hovis,Bakery,38.86
Garnier,Beauty,4.61
Lurpak,Dairy,27.16
John West,Groceries,26.47
Tropicana,Groceries,49.73
Felix,Pet,33.59
Bold,Cleaning,91.23
Heinz,Groceries,0.36
Finish,Cleaning,9.02
Denhay,Fresh Meat,118.93
Florette,Fruit and Vegetables,60.19
Colgate,Healthcare,10.80
New Farm,Fruit and Vegetables,34.69
Go Cat,Pet,7.96
Steve's Leaves,Fruit and Vegetables,18.18
Activia,Dairy,24.33
