Dave's Dairy,Dairy,17.99
Flora,Dairy,38.21
Walkers,Groceries,125.57
Fairy,Cleaning,2.31
Weston Veg,Fruit and Vegetables,10.16
Roberts,Bakery,55.83
Hartleys,Groceries,13.34
Flora,Dairy,1.12
New Farm,Fruit and Vegetables,47.12
Gressingham,Fresh Meat,12.40
High Farm,Fruit and Vegetables,0.02
Surf,Cleaning,7.18
Cravendale,Dairy,28.42
Loreal,Beauty,98.17
Sheba,Pet,3.66
Danish,Fresh Meat,3.01
Bold,Cleaning,42.51
Vaseline,Beauty,0.44
Hartleys,Groceries,19.30
Colgate,Healthcare,132.54
Denhay,Fresh Meat,0.47
Richmond,Fresh Meat,4.05
Delifrance,Bakery,89.36
Flora,Dairy,86.56
New Farm,Fruit and Vegetables,9.13
Gilette,Beauty,60.05
Gilette,Beauty,67.94
Steve's Leaves,Fruit and Vegetables,23.06
John West,Groceries,42.97
Garnier,Beauty,15.34
Blue Diamond,Dairy,40.63
Gu,Groceries,48.05
Florette,Fruit and Vegetables,20.61
Felix,Pet,24.20
Heinz,Groceries,22.01
John West,Groceries,73.93
Felix,Pet,93.59
Finish,Cleaning,13.68
Heinz,Groceries,23.49
Go Cat,Pet,36.08
Kleenex,Healthcare,6.07
Florette,Fruit and Vegetables,11.06
New Farm,Fruit and Vegetables,8.71
Warburtons,Bakery,27.18
Blue Diamond,Dairy,11.33
Blue Diamond,Dairy,38.08
Flora,Dairy,113.38
Gilette,Beauty,2.62
Knorr,Groceries,7.67
Kelloggs,Groceries,58.58
Bold,Cleaning,75.72
New Farm,Fruit and Vegetables,48.38
Warburtons,Bakery,35.40
Bakers,Pet,15.43
Activia,Dairy,35.07
Weston Veg,Fruit and Vegetables,11.31
Bakers,Pet,34.36
Heinz,Groceries,24.30
Gilette,Beauty,66.01
Felix,Pet,21.27
Felix,Pet,22.97
Cathedral City,Groceries,63.32
Butchers,Pet,35.39
Go Cat,Pet,12.34
Richmond,Fresh Meat,65.76
Walkers,Groceries,14.65
Pedigree,Pet,50.82
Colgate,Healthcare,4.96
Roberts,Bakery,20.57
Remington,Beauty,56.14
Danish,Fresh Meat,4.93
Walkers,Groceries,127.25
Cathedral City,Groceries,99.71
Activia,Dairy,39.22
High Farm,Fruit and Vegetables,113.69
Steve's Leaves,Fruit and Vegetables,19.11
Bold,Cleaning,36.51
Gu,Groceries,6.30
Delifrance,Bakery,94.98
Fairy,Cleaning,28.29
Remington,Beauty,68.70
Go Cat,Pet,27.54
Cathedral City,Groceries,65.75
Muddy Boots,Fresh Meat,5.32
Vanish,Cleaning,0.98
Richmond,Fresh Meat,40.74
Flora,Dairy,32.65
Remington,Beauty,70.36
Rowse,Groceries,17.76
Rowse,Groceries,3.42
Denhay,Fresh Meat,75.11
Lurpak,Dairy,2.64
John West,Groceries,9.19
Surf,Cleaning,30.00
Weston Veg,Fruit and Vegetables,65.67
Pedigree,Pet,10.00
Walkers,Groceries,17.77
Steve's Leaves,Fruit and Vegetables,4.60
Sheba,Pet,99.61
Flora,Dairy,11.78
Gilette,Beauty,43.60
Loreal,Beauty,71.38
Cravendale,Dairy,68.33
Loreal,Beauty,13.40
Hovis,Bakery,10.04
Gilette,Beauty,37.73
Pedigree,Pet,74.64
Simple,Beauty,70.85
Andrew,Groceries,23.19
Dave's Dairy,Dairy,58.00
High Farm,Fruit and Vegetables,11.83
Blue Diamond,Dairy,10.57
Hartleys,Groceries,6.80
Loreal,Beauty,2.46
Bold,Cleaning,101.44
Florette,Fruit and Vegetables,21.53
Walkers,Groceries,6.32
Andrew,Groceries,29.37
Go Cat,Pet,110.97
Lurpak,Dairy,83.50
Delifrance,Bakery,136.63
Walkers,Groceries,13.94
Muddy Boots,Fresh Meat,14.31
Gilette,Beauty,37.44
Hartleys,Groceries,53.62
Kleenex,Healthcare,66.64
Kelloggs,Groceries,119.38
Cathedral City,Groceries,76.59
Andrew,Groceries,96.09
Vaseline,Beauty,105.66
Warburtons,Bakery,25.70
Gilette,Beauty,5.22
Colgate,Healthcare,50.08
Blue Diamond,Dairy,85.41
Colgate,Healthcare,14.44
Colgate,Healthcare,6.55
Rowse,Groceries,6.99
Knorr,Groceries,7.20
Cravendale,Dairy,66.75
Vaseline,Beauty,104.09
Andrew,Groceries,85.83
New Farm,Fruit and Vegetables,39.35
Hartleys,Groceries,28.11
John West,Groceries,12.44
Activia,Dairy,10.06
Tropicana,Groceries,49.41
Flora,Dairy,7.95
Rowse,Groceries,29.59
Cravendale,Dairy,49.41
Tropicana,Groceries,11.53
Muller,Dairy,20.48
Muddy Boots,Fresh Meat,31.97
Knorr,Groceries,45.73
Colmans,Groceries,0.99
Bakers,Pet,0.74
Go Cat,Pet,13.64
Danish,Fresh Meat,10.60
Cathedral City,Groceries,46.32
Activia,Dairy,70.14
Delifrance,Bakery,94.54
Vaseline,Beauty,35.07
Garnier,Beauty,8.69
Cravendale,Dairy,14.85
Kleenex,Healthcare,10.24
Vaseline,Beauty,7.19
Hovis,Bakery,36.14
Fairy,Cleaning,52.85
Simple,Beauty,21.33
Tropicana,Groceries,54.57
Colgate,Healthcare,13.21
Walkers,Groceries,1.23
Surf,Cleaning,39.03
Steve's Leaves,Fruit and Vegetables,22.64
Garnier,Beauty,18.02
Cathedral City,Groceries,47.74
Delifrance,Bakery,5.57
Lurpak,Dairy,78.54
Loreal,Beauty,79.98
Andrew,Groceries,49.80
Steve's Leaves,Fruit and Vegetables,30.80
Bold,Cleaning,45.92
Rowse,Groceries,31.02
Delifrance,Bakery,52.33
Butchers,Pet,4.27
Tropicana,Groceries,44.33
Lurpak,Dairy,11.61
