Go Cat,Pet,76.49
Florette,Fruit and Vegetables,37.19
Flora,Dairy,36.16
Bold,Cleaning,4.31
Dave's Dairy,Dairy,61.07
Loreal,Beauty,0.21
Muller,Dairy,113.09
Pedigree,Pet,2.41
Loreal,Beauty,39.93
Muddy Boots,Fresh Meat,15.82
Flora,Dairy,92.64
Muddy Boots,Fresh Meat,25.45
Muddy Boots,Fresh Meat,15.71
High Farm,Fruit and Vegetables,16.12
Cravendale,Dairy,22.91
Finish,Cleaning,28.12
Flora,Dairy,83.61
Surf,Cleaning,16.22
Fairy,Cleaning,5.10
Fairy,Cleaning,31.28
Walkers,Groceries,19.83
Bakers,Pet,10.67
Loreal,Beauty,50.08
Felix,Pet,32.10
Go Cat,Pet,33.26
Tropicana,Groceries,18.10
Steve's Leaves,Fruit and Vegetables,11.65
Cathedral City,Groceries,15.53
Weston Veg,Fruit and Vegetables,60.67
Delifrance,Bakery,13.03
Garnier,Beauty,16.71
Fairy,Cleaning,24.82
Surf,Cleaning,20.94
Garnier,Beauty,33.23
Go Cat,Pet,28.98
Kelloggs,Groceries,85.01
Remington,Beauty,48.96
Richmond,Fresh Meat,65.76
Cravendale,Dairy,8.04
Simple,Beauty,22.75
Gilette,Beauty,10.26
Colmans,Groceries,112.74
Flora,Dairy,6.23
Danish,Fresh Meat,25.49
Hartleys,Groceries,48.77
Walkers,Groceries,3.97
Pedigree,Pet,1.81
Lurpak,Dairy,11.74
Colmans,Groceries,10.71
Lurpak,Dairy,20.71
Muddy Boots,Fresh Meat,24.50
Bakers,Pet,6.76
Muller,Dairy,53.58
Bold,Cleaning,47.62
Cravendale,Dairy,47.75
Steve's Leaves,Fruit and Vegetables,8.69
Gilette,Beauty,61.95
Muller,Dairy,11.54
Remington,Beauty,17.20
Simple,Beauty,106.17
Loreal,Beauty,47.67
Denhay,Fresh Meat,24.70
Richmond,Fresh Meat,71.79
John West,Groceries,45.57
Kleenex,Healthcare,18.47
Dave's Dairy,Dairy,4.62
Loreal,Beauty,92.40
Flora,Dairy,36.95
Flora,Dairy,0.23
Hovis,Bakery,60.72
Fairy,Cleaning,43.70
Muddy Boots,Fresh Meat,5.41
Sheba,Pet,42.57
Cravendale,Dairy,36.18
Blue Diamond,Dairy,4.36
Walkers,Groceries,3.40
Pedigree,Pet,13.12
Colgate,Healthcare,41.11
Go Cat,Pet,123.20
Warburtons,Bakery,68.90
Simple,Beauty,38.06
Blue Diamond,Dairy,13.73
Kelloggs,Groceries,8.67
Hovis,Bakery,46.03
Muddy Boots,Fresh Meat,94.31
John West,Groceries,33.97
Roberts,Bakery,33.64
Danish,Fresh Meat,55.70
Hartleys,Groceries,28.17
Roberts,Bakery,4.06
High Farm,Fruit and Vegetables,9.49
Cravendale,Dairy,3.38
Denhay,Fresh Meat,44.80
Simple,Beauty,106.65
Gilette,Beauty,72.33
Lurpak,Dairy,8.30
Flora,Dairy,13.36
Fairy,Cleaning,54.18
Activia,Dairy,8.43
Surf,Cleaning,4.43
Knorr,Groceries,51.62
Danish,Fresh Meat,13.91
Loreal,Beauty,7.34
Muddy Boots,Fresh Meat,56.66
Gressingham,Fresh Meat,3.14
Knorr,Groceries,125.21
Denhay,Fresh Meat,6.65
Gu,Groceries,119.53
Butchers,Pet,96.57
Muller,Dairy,30.91
Go Cat,Pet,58.65
Bold,Cleaning,9.10
High Farm,Fruit and Vegetables,6.93
Pedigree,Pet,62.77
Delifrance,Bakery,38.57
Activia,Dairy,50.82
Walkers,Groceries,24.04
Flora,Dairy,7.58
Pedigree,Pet,1.66
Bold,Cleaning,11.65
Weston Veg,Fruit and Vegetables,35.92
Muddy Boots,Fresh Meat,3.36
Cravendale,Dairy,15.48
Warburtons,Bakery,117.26
Warburtons,Bakery,14.42
Gressingham,Fresh Meat,27.08
Colmans,Groceries,5.25
Felix,Pet,32.54
Danish,Fresh Meat,60.89
Sheba,Pet,9.25
Delifrance,Bakery,128.28
Muller,Dairy,49.97
John West,Groceries,5.66
Andrew,Groceries,12.95
Muller,Dairy,84.70
Kleenex,Healthcare,6.97
John West,Groceries,47.53
Finish,Cleaning,0.44
Bold,Cleaning,1.55
Heinz,Groceries,1.17
Weston Veg,Fruit and Vegetables,102.82
Gressingham,Fresh Meat,0.82
Sheba,Pet,60.25
Hartleys,Groceries,19.19
Colgate,Healthcare,122.77
Muller,Dairy,15.32
Activia,Dairy,26.52
Gu,Groceries,1.20
Rowse,Groceries,51.79
Gilette,Beauty,27.96
Go Cat,Pet,9.10
Hartleys,Groceries,1.92
Danish,Fresh Meat,72.81
John West,Groceries,51.82
Steve's Leaves,Fruit and Vegetables,23.31
Warburtons,Bakery,18.98
Delifrance,Bakery,42.58
Weston Veg,Fruit and Vegetables,21.46
Roberts,Bakery,68.21
Felix,Pet,41.70
New Farm,Fruit and Vegetables,40.38
Danish,Fresh Meat,125.93
Kelloggs,Groceries,59.68
Rowse,Groceries,64.59
Felix,Pet,25.40
Activia,Dairy,50.21
Felix,Pet,12.04
Colmans,Groceries,59.78
Finish,Cleaning,18.55
John West,Groceries,6.22
Felix,Pet,1.18
Colgate,Healthcare,19.00
Remington,Beauty,4.22
Colgate,Healthcare,9.22
Surf,Cleaning,0.41
Go Cat,Pet,6.13
Cravendale,Dairy,9.10
Cathedral City,Groceries,0.06
Andrew,Groceries,14.65
Sheba,Pet,23.17
Blue Diamond,Dairy,3.96
Blue Diamond,Dairy,86.01
New Farm,Fruit and Vegetables,0.67
Roberts,Bakery,8.22
High Farm,Fruit and Vegetables,34.62
Flora,Dairy,57.22
Andrew,Groceries,100.39
Warburtons,Bakery,134.87
Gilette,Beauty,5.42
Tropicana,Groceries,10.10
Muller,Dairy,21.23
Cravendale,Dairy,36.06
Go Cat,Pet,78.61
Knorr,Groceries,52.28
Cathedral City,Groceries,1.61
Garnier,Beauty,36.42
Muller,Dairy,4.47
Kleenex,Healthcare,45.29
Fairy,Cleaning,48.77
Gressingham,Fresh Meat,1.51
Muller,Dairy,39.52
Danish,Fresh Meat,2.09
Bakers,Pet,21.08
Butchers,Pet,70.99
Richmond,Fresh Meat,7.11
Gressingham,Fresh Meat,9.35
Denhay,Fresh Meat,8.66
Muller,Dairy,41.14
Blue Diamond,Dairy,39.02
Dave's Dairy,Dairy,24.76
Sheba,Pet,8.04
Rowse,Groceries,10.29
Denhay,Fresh Meat,21.38
Vaseline,Beauty,31.00
Kelloggs,Groceries,72.88
Fairy,Cleaning,24.43
Weston Veg,Fruit and Vegetables,22.00
Gressingham,Fresh Meat,16.25
Denhay,Fresh Meat,133.82
Warburtons,Bakery,7.62
Delifrance,Bakery,11.56
Roberts,Bakery,113.35
Butchers,Pet,23.25
Colgate,Healthcare,19.93
Dave's Dairy,Dairy,106.76
Cathedral City,Groceries,43.50
Kelloggs,Groceries,27.16
Hartleys,Groceries,34.52
Surf,Cleaning,69.53
Colmans,Groceries,58.72
Hovis,Bakery,110.71
Rowse,Groceries,10.51
Gu,Groceries,124.48
Activia,Dairy,27.59
Muller,Dairy,6.51
Kleenex,Healthcare,12.78
Delifrance,Bakery,57.85
Weston Veg,Fruit and Vegetables,7.96
Surf,Cleaning,45.80
Lurpak,Dairy,18.41
Warburtons,Bakery,49.15
Garnier,Beauty,54.90
Vaseline,Beauty,4.98
Hartleys,Groceries,60.69
Rowse,Groceries,34.58
Andrew,Groceries,13.68
Florette,Fruit and Vegetables,5.38
New Farm,Fruit and Vegetables,27.91
Kelloggs,Groceries,89.29
Heinz,Groceries,6.53
Hovis,Bakery,24.02
Blue Diamond,Dairy,6.30
Muller,Dairy,24.60
Felix,Pet,28.20
Warburtons,Bakery,12.95
Bakers,Pet,77.56
Remington,Beauty,7.32
Activia,Dairy,14.44
Butchers,Pet,38.87
Bakers,Pet,15.58
Dave's Dairy,Dairy,137.82
New Farm,Fruit and Vegetables,66.18
New Farm,Fruit and Vegetables,106.27
John West,Groceries,29.43
Felix,Pet,69.88
Muddy Boots,Fresh Meat,26.28
John West,Groceries,4.69
Garnier,Beauty,101.38
Hovis,Bakery,35.56
Dave's Dairy,Dairy,104.01
Lurpak,Dairy,113.87
Tropicana,Groceries,13.85
Kleenex,Healthcare,108.52
Colmans,Groceries,52.01
Richmond,Fresh Meat,46.44
Tropicana,Groceries,59.08
Muddy Boots,Fresh Meat,80.57
Kleenex,Healthcare,18.39
Heinz,Groceries,23.45
Garnier,Beauty,0.35
Gu,Groceries,0.74
Garnier,Beauty,98.79
Gu,Groceries,62.10
Kelloggs,Groceries,28.72
Vaseline,Beauty,38.34
Hovis,Bakery,18.02
Finish,Cleaning,9.21
Gressingham,Fresh Meat,106.41
Colgate,Healthcare,30.10
Loreal,Beauty,6.12
Knorr,Groceries,40.99
Sheba,Pet,84.24
Felix,Pet,121.89
Steve's Leaves,Fruit and Vegetables,14.06
Richmond,Fresh Meat,50.11
Warburtons,Bakery,66.97
Steve's Leaves,Fruit and Vegetables,63.35
Knorr,Groceries,4.81
Kleenex,Healthcare,1.42
Heinz,Groceries,64.77
Walkers,Groceries,13.35
Garnier,Beauty,7.84
Activia,Dairy,6.23
Colmans,Groceries,13.81
Heinz,Groceries,61.40
Andrew,Groceries,25.61
John West,Groceries,122.04
Blue Diamond,Dairy,28.98
Garnier,Beauty,141.89
John West,Groceries,32.12
Cravendale,Dairy,5.85
Andrew,Groceries,38.74
Kleenex,Healthcare,121.34
High Farm,Fruit and Vegetables,24.92
Finish,Cleaning,20.87
Colmans,Groceries,19.13
Rowse,Groceries,0.69
Gressingham,Fresh Meat,57.81
Muller,Dairy,25.51
Andrew,Groceries,1.45
Tropicana,Groceries,18.75
Muddy Boots,Fresh Meat,51.51
Warburtons,Bakery,42.59
Richmond,Fresh Meat,44.43
Garnier,Beauty,16.35
Kleenex,Healthcare,11.28
Butchers,Pet,83.27
New Farm,Fruit and Vegetables,57.41
Remington,Beauty,31.06
Warburtons,Bakery,8.60
Tropicana,Groceries,6.59
Delifrance,Bakery,10.08
Muller,Dairy,61.72
Richmond,Fresh Meat,7.17
Tropicana,Groceries,7.25
Sheba,Pet,3.37
Loreal,Beauty,7.16
Delifrance,Bakery,24.10
Tropicana,Groceries,26.08
Knorr,Groceries,8.49
Simple,Beauty,0.07
Weston Veg,Fruit and Vegetables,107.74
Gu,Groceries,134.01
Colmans,Groceries,67.34
Hartleys,Groceries,92.64
Simple,Beauty,9.94
High Farm,Fruit and Vegetables,31.07
Walkers,Groceries,64.33
Sheba,Pet,5.27
Florette,Fruit and Vegetables,78.92
Garnier,Beauty,66.85
Steve's Leaves,Fruit and Vegetables,8.80
Muller,Dairy,101.65
Kelloggs,Groceries,9.03
Remington,Beauty,1.74
Steve's Leaves,Fruit and Vegetables,32.12
Cravendale,Dairy,57.22
Heinz,Groceries,20.91
Cravendale,Dairy,0.48
Gu,Groceries,52.80
Gu,Groceries,127.49
New Farm,Fruit and Vegetables,12.43
Steve's Leaves,Fruit and Vegetables,3.01
John West,Groceries,40.45
Colmans,Groceries,1.01
Remington,Beauty,106.19
Vaseline,Beauty,29.93
Richmond,Fresh Meat,1.88
Kelloggs,Groceries,78.96
Butchers,Pet,101.27
Gilette,Beauty,9.18
Hovis,Bakery,61.98
Kelloggs,Groceries,103.11
Warburtons,Bakery,39.85
Weston Veg,Fruit and Vegetables,5.22
Butchers,Pet,80.09
Walkers,Groceries,10.13
Roberts,Bakery,14.67
Vaseline,Beauty,73.96
Vaseline,Beauty,10.77
Activia,Dairy,14.48
Vanish,Cleaning,18.47
Flora,Dairy,3.84
Kleenex,Healthcare,24.04
Walkers,Groceries,33.32
Kleenex,Healthcare,64.63
Surf,Cleaning,10.62
Butchers,Pet,69.98
Bold,Cleaning,89.55
Garnier,Beauty,6.12
Dave's Dairy,Dairy,15.49
Kleenex,Healthcare,15.40
Kelloggs,Groceries,62.36
Knorr,Groceries,50.98
Hovis,Bakery,14.06
Remington,Beauty,11.22
Muddy Boots,Fresh Meat,3.24
Delifrance,Bakery,60.49
Gressingham,Fresh Meat,6.44
Fairy,Cleaning,3.59
New Farm,Fruit and Vegetables,40.49
Loreal,Beauty,3.97
Hovis,Bakery,35.87
Delifrance,Bakery,30.53
New Farm,Fruit and Vegetables,35.70
Vanish,Cleaning,4.86
Vanish,Cleaning,16.08
Simple,Beauty,8.32
Kelloggs,Groceries,64.31
Activia,Dairy,28.37
Warburtons,Bakery,82.01
Rowse,Groceries,20.87
Sheba,Pet,121.53
Tropicana,Groceries,6.73
Loreal,Beauty,29.32
Andrew,Groceries,15.96
Gressingham,Fresh Meat,26.57
Vaseline,Beauty,123.96
Roberts,Bakery,8.28
Kelloggs,Groceries,4.57
Remington,Beauty,21.22
Butchers,Pet,85.36
Bakers,Pet,48.48
Hartleys,Groceries,65.41
Colgate,Healthcare,4.41
Colgate,Healthcare,25.19
Fairy,Cleaning,104.06
Surf,Cleaning,81.21
Warburtons,Bakery,21.08
Vaseline,Beauty,36.31
Danish,Fresh Meat,84.51
Hartleys,Groceries,76.88
Walkers,Groceries,2.79
Surf,Cleaning,81.38
Lurpak,Dairy,55.73
Rowse,Groceries,68.94
Pedigree,Pet,3.20
Delifrance,Bakery,42.46
Roberts,Bakery,87.73
Vanish,Cleaning,60.55
Gilette,Beauty,47.99
Pedigree,Pet,103.93
Danish,Fresh Meat,44.70
Andrew,Groceries,3.50
Simple,Beauty,18.26
Delifrance,Bakery,34.21
Sheba,Pet,33.97
Walkers,Groceries,9.37
Loreal,Beauty,8.60
High Farm,Fruit and Vegetables,2.20
Sheba,Pet,76.86
New Farm,Fruit and Vegetables,68.56
Vanish,Cleaning,93.04
Garnier,Beauty,34.72
Denhay,Fresh Meat,0.36
Denhay,Fresh Meat,102.17
Loreal,Beauty,28.52
Bold,Cleaning,5.12
Knorr,Groceries,78.92
Gressingham,Fresh Meat,64.81
Butchers,Pet,4.47
Florette,Fruit and Vegetables,36.08
John West,Groceries,39.35
Flora,Dairy,68.71
Cravendale,Dairy,109.69
