Weston Veg,Fruit and Vegetables,53.45
Vaseline,Beauty,7.77
Bakers,Pet,39.61
Steve's Leaves,Fruit and Vegetables,72.28
Flora,Dairy,104.90
Surf,Cleaning,52.39
Florette,Fruit and Vegetables,3.15
Finish,Cleaning,2.22
Pedigree,Pet,64.81
Sheba,Pet,28.10
Rowse,Groceries,21.91
Dave's Dairy,Dairy,32.04
Flora,Dairy,3.66
Pedigree,Pet,13.09
Knorr,Groceries,15.91
John West,Groceries,123.31
Dave's Dairy,Dairy,56.45
Go Cat,Pet,18.60
Roberts,Bakery,65.12
Flora,Dairy,25.30
Kleenex,Healthcare,90.13
Weston Veg,Fruit and Vegetables,51.72
Knorr,Groceries,18.24
Bold,Cleaning,13.58
Weston Veg,Fruit and Vegetables,96.75
Richmond,Fresh Meat,11.99
Knorr,Groceries,23.94
Blue Diamond,Dairy,6.26
Florette,Fruit and Vegetables,22.09
Finish,Cleaning,55.13
Pedigree,Pet,29.54
Roberts,Bakery,19.80
Steve's Leaves,Fruit and Vegetables,21.19
Gu,Groceries,10.80
Lurpak,Dairy,9.33
Knorr,Groceries,21.30
Simple,Beauty,29.88
Warburtons,Bakery,13.67
Delifrance,Bakery,77.71
Fairy,Cleaning,19.20
Colgate,Healthcare,28.50
Loreal,Beauty,24.84
Hovis,Bakery,9.44
Weston Veg,Fruit and Vegetables,16.75
Kelloggs,Groceries,109.63
Surf,Cleaning,4.93
Felix,Pet,18.40
Felix,Pet,4.38
Loreal,Beauty,76.89
Warburtons,Bakery,16.86
Muller,Dairy,1.82
Garnier,Beauty,21.95
Gilette,Beauty,31.33
Tropicana,Groceries,2.02
Go Cat,Pet,5.44
Warburtons,Bakery,2.27
Tropicana,Groceries,56.67
Hartleys,Groceries,43.53
Pedigree,Pet,17.46
Colgate,Healthcare,20.93
Flora,Dairy,1.62
Danish,Fresh Meat,15.51
Loreal,Beauty,12.45
Loreal,Beauty,46.72
John West,Groceries,31.75
Cathedral City,Groceries,3.10
Heinz,Groceries,7.03
Rowse,Groceries,9.45
Butchers,Pet,1.86
Steve's Leaves,Fruit and Vegetables,30.49
Hovis,Bakery,53.51
Flora,Dairy,3.85
Weston Veg,Fruit and Vegetables,14.67
Richmond,Fresh Meat,124.04
Muller,Dairy,111.88
Warburtons,Bakery,15.98
Colgate,Healthcare,31.16
Pedigree,Pet,20.03
Rowse,Groceries,98.80
Knorr,Groceries,6.65
Rowse,Groceries,94.41
Cravendale,Dairy,9.70
Gressingham,Fresh Meat,32.71
Knorr,Groceries,12.21
Bold,Cleaning,3.79
Steve's Leaves,Fruit and Vegetables,40.11
Activia,Dairy,84.97
Cravendale,Dairy,31.54
Cravendale,Dairy,42.62
Surf,Cleaning,5.72
Tropicana,Groceries,16.47
Kleenex,Healthcare,9.02
Vaseline,Beauty,5.38
Kelloggs,Groceries,16.39
Danish,Fresh Meat,6.50
Simple,Beauty,0.59
Blue Diamond,Dairy,1.59
Rowse,Groceries,32.60
Lurpak,Dairy,37.99
Gu,Groceries,95.34
Kelloggs,Groceries,41.75
Danish,Fresh Meat,11.93
Colmans,Groceries,4.23
Denhay,Fresh Meat,81.66
John West,Groceries,46.91
Garnier,Beauty,55.99
Kleenex,Healthcare,11.17
Rowse,Groceries,85.74
Colmans,Groceries,45.37
Andrew,Groceries,30.93
Gilette,Beauty,5.00
Gressingham,Fresh Meat,86.05
New Farm,Fruit and Vegetables,115.90
Bold,Cleaning,34.88
Walkers,Groceries,45.90
Richmond,Fresh Meat,9.02
Muddy Boots,Fresh Meat,25.30
Activia,Dairy,74.68
Bold,Cleaning,56.38
Go Cat,Pet,64.46
Danish,Fresh Meat,43.02
Florette,Fruit and Vegetables,9.80
Go Cat,Pet,45.10
Muddy Boots,Fresh Meat,69.97
Blue Diamond,Dairy,84.59
Richmond,Fresh Meat,3.01
Loreal,Beauty,22.60
Activia,Dairy,68.26
Cathedral City,Groceries,18.01
Surf,Cleaning,42.39
Felix,Pet,30.02
Walkers,Groceries,3.51
Muddy Boots,Fresh Meat,65.14
Flora,Dairy,6.50
Roberts,Bakery,0.09
Fairy,Cleaning,0.23
Danish,Fresh Meat,1.79
Hartleys,Groceries,20.58
Knorr,Groceries,8.94
Weston Veg,Fruit and Vegetables,59.87
Bold,Cleaning,36.58
Simple,Beauty,0.51
Andrew,Groceries,32.93
Surf,Cleaning,137.10
Roberts,Bakery,43.87
Go Cat,Pet,36.22
Butchers,Pet,14.80
Surf,Cleaning,94.28
Kleenex,Healthcare,2.01
Cathedral City,Groceries,55.66
Cravendale,Dairy,2.24
Heinz,Groceries,100.19
Muller,Dairy,12.83
Gressingham,Fresh Meat,4.14
Dave's Dairy,Dairy,34.48
Cathedral City,Groceries,35.25
Gilette,Beauty,42.17
Danish,Fresh Meat,74.62
Steve's Leaves,Fruit and Vegetables,92.07
Sheba,Pet,94.56
Gilette,Beauty,37.51
Muddy Boots,Fresh Meat,54.38
Muddy Boots,Fresh Meat,4.28
Bold,Cleaning,7.16
Surf,Cleaning,59.31
Blue Diamond,Dairy,35.84
High Farm,Fruit and Vegetables,42.57
Surf,Cleaning,5.96
Pedigree,Pet,2.96
Tropicana,Groceries,56.17
Kelloggs,Groceries,48.56
