Gilette,Beauty,34.27
Delifrance,Bakery,1.54
Surf,Cleaning,18.10
Surf,Cleaning,9.19
New Farm,Fruit and Vegetables,19.52
Roberts,Bakery,17.71
Weston Veg,Fruit and Vegetables,12.54
Flora,Dairy,0.91
Denhay,Fresh Meat,20.63
Denhay,Fresh Meat,56.57
Tropicana,Groceries,0.01
High Farm,Fruit and Vegetables,30.50
Kleenex,Healthcare,59.98
John West,Groceries,38.70
Muddy Boots,Fresh Meat,6.17
Vaseline,Beauty,15.77
Gu,Groceries,34.09
Danish,Fresh Meat,5.33
Sheba,Pet,10.06
Activia,Dairy,6.99
Richmond,Fresh Meat,19.30
Hovis,Bakery,56.10
Richmond,Fresh Meat,1.60
Muller,Dairy,94.67
Florette,Fruit and Vegetables,20.95
Flora,Dairy,55.66
Richmond,Fresh Meat,30.05
Richmond,Fresh Meat,54.99
Finish,Cleaning,11.61
Walkers,Groceries,54.47
New Farm,Fruit and Vegetables,40.14
Colmans,Groceries,38.52
Delifrance,Bakery,87.91
Loreal,Beauty,3.40
Simple,Beauty,52.81
Delifrance,Bakery,39.11
Richmond,Fresh Meat,17.63
Hovis,Bakery,14.82
Weston Veg,Fruit and Vegetables,9.95
Vanish,Cleaning,27.27
Gu,Groceries,66.66
Kleenex,Healthcare,4.66
Andrew,Groceries,6.69
Bakers,Pet,30.68
Delifrance,Bakery,76.56
Vaseline,Beauty,86.05
Roberts,Bakery,61.29
Rowse,Groceries,32.60
John West,Groceries,21.84
Colmans,Groceries,89.28
Remington,Beauty,79.56
Florette,Fruit and Vegetables,44.66
Cravendale,Dairy,45.75
Weston Veg,Fruit and Vegetables,3.17
Cravendale,Dairy,3.84
Bold,Cleaning,7.50
Roberts,Bakery,16.05
Colmans,Groceries,9.26
New Farm,Fruit and Vegetables,63.76
Dave's Dairy,Dairy,17.55
Colmans,Groceries,8.86
Fairy,Cleaning,52.93
Blue Diamond,Dairy,48.85
Finish,Cleaning,0.34
High Farm,Fruit and Vegetables,108.09
Butchers,Pet,21.47
Cravendale,Dairy,0.08
Finish,Cleaning,2.31
New Farm,Fruit and Vegetables,1.35
Pedigree,Pet,2.06
Go Cat,Pet,124.97
Loreal,Beauty,7.69
Rowse,Groceries,16.01
Vanish,Cleaning,82.08
John West,Groceries,7.14
Knorr,Groceries,58.76
Weston Veg,Fruit and Vegetables,70.43
New Farm,Fruit and Vegetables,0.84
Walkers,Groceries,12.57
Danish,Fresh Meat,4.64
Bold,Cleaning,38.72
Cravendale,Dairy,38.22
Simple,Beauty,8.23
High Farm,Fruit and Vegetables,25.92
Vanish,Cleaning,6.34
Colmans,Groceries,46.45
Gu,Groceries,2.51
Go Cat,Pet,37.50
Roberts,Bakery,61.62
Delifrance,Bakery,8.75
Weston Veg,Fruit and Vegetables,11.13
Colgate,Healthcare,2.48
Kleenex,Healthcare,137.78
Muller,Dairy,13.65
Hartleys,Groceries,1.01
Heinz,Groceries,112.85
Bold,Cleaning,97.19
