Colmans,Groceries,45.95
Simple,Beauty,52.97
Muller,Dairy,2.63
Bold,Cleaning,3.70
Kleenex,Healthcare,1.82
Sheba,Pet,73.12
Vaseline,Beauty,27.06
Warburtons,Bakery,12.89
Steve's Leaves,Fruit and Vegetables,10.59
Weston Veg,Fruit and Vegetables,0.26
Flora,Dairy,4.36
Blue Diamond,Dairy,12.91
Finish,Cleaning,59.30
Richmond,Fresh Meat,89.37
Kelloggs,Groceries,13.36
Kelloggs,Groceries,90.16
Sheba,Pet,3.90
Gu,Groceries,0.65
Dave's Dairy,Dairy,3.94
Gilette,Beauty,72.10
Cravendale,Dairy,30.17
Garnier,Beauty,4.17
Vanish,Cleaning,53.84
Gu,Groceries,7.76
Vaseline,Beauty,6.36
Gilette,Beauty,4.88
Steve's Leaves,Fruit and Vegetables,9.69
Tropicana,Groceries,17.76
Simple,Beauty,116.28
Rowse,Groceries,2.87
Felix,Pet,5.48
Pedigree,Pet,16.09
Colgate,Healthcare,7.82
Gilette,Beauty,20.61
Kelloggs,Groceries,43.77
Hartleys,Groceries,59.96
Danish,Fresh Meat,2.78
Activia,Dairy,5.73
Blue Diamond,Dairy,67.27
Weston Veg,Fruit and Vegetables,32.25
Remington,Beauty,92.24
Heinz,Groceries,70.29
Gressingham,Fresh Meat,28.39
Cathedral City,Groceries,111.28
Tropicana,Groceries,75.76
Muddy Boots,Fresh Meat,11.45
Surf,Cleaning,33.55
Muddy Boots,Fresh Meat,37.31
Gu,Groceries,2.18
Gilette,Beauty,4.83
Steve's Leaves,Fruit and Vegetables,32.81
Colgate,Healthcare,76.98
Vanish,Cleaning,14.27
Sheba,Pet,18.85
Gressingham,Fresh Meat,114.97
Gressingham,Fresh Meat,75.33
Colmans,Groceries,71.08
Lurpak,Dairy,46.26
Pedigree,Pet,8.67
High Farm,Fruit and Vegetables,45.16
Cravendale,Dairy,3.03
Walkers,Groceries,68.34
Dave's Dairy,Dairy,133.60
Delifrance,Bakery,53.11
Roberts,Bakery,88.37
Knorr,Groceries,110.39
Kleenex,Healthcare,21.89
Andrew,Groceries,25.43
Tropicana,Groceries,125.63
Danish,Fresh Meat,16.65
Rowse,Groceries,11.36
Flora,Dairy,17.44
Heinz,Groceries,56.45
Danish,Fresh Meat,45.82
Bakers,Pet,13.52
Activia,Dairy,11.15
Bold,Cleaning,41.61
Colmans,Groceries,35.56
Cathedral City,Groceries,14.94
Muddy Boots,Fresh Meat,1.80
Heinz,Groceries,62.44
