Finish,Cleaning,2.37
Blue Diamond,Dairy,9.59
Weston Veg,Fruit and Vegetables,7.19
Finish,Cleaning,14.01
Andrew,Groceries,59.59
Cravendale,Dairy,35.56
Walkers,Groceries,0.06
Steve's Leaves,Fruit and Vegetables,50.59
Muddy Boots,Fresh Meat,25.46
Fairy,Cleaning,39.81
Steve's Leaves,Fruit and Vegetables,19.34
Colgate,Healthcare,22.23
Muller,Dairy,19.27
Muddy Boots,Fresh Meat,79.36
Butchers,Pet,126.17
Vaseline,Beauty,25.84
Denhay,Fresh Meat,2.13
Walkers,Groceries,88.88
Activia,Dairy,60.62
Delifrance,Bakery,2.37
Finish,Cleaning,72.53
Heinz,Groceries,95.65
Colgate,Healthcare,26.40
Hartleys,Groceries,15.86
Walkers,Groceries,3.08
John West,Groceries,77.48
Dave's Dairy,Dairy,71.15
Bold,Cleaning,20.30
Gu,Groceries,41.27
Rowse,Groceries,45.85
Pedigree,Pet,67.37
Knorr,Groceries,60.02
Cathedral City,Groceries,118.98
Hovis,Bakery,60.86
Gu,Groceries,15.82
Muddy Boots,Fresh Meat,110.98
Finish,Cleaning,4.49
Pedigree,Pet,48.61
Vanish,Cleaning,2.10
Knorr,Groceries,40.88
Tropicana,Groceries,68.75
Delifrance,Bakery,36.50
Gu,Groceries,102.99
Walkers,Groceries,73.03
Hartleys,Groceries,10.57
Vaseline,Beauty,1.92
Richmond,Fresh Meat,37.16
Go Cat,Pet,3.20
Florette,Fruit and Vegetables,0.68
Butchers,Pet,41.17
John West,Groceries,23.10
Surf,Cleaning,3.78
Muller,Dairy,22.51
Tropicana,Groceries,7.95
Gilette,Beauty,42.73
Simple,Beauty,13.35
Hartleys,Groceries,78.25
Colgate,Healthcare,6.63
Denhay,Fresh Meat,20.18
Florette,Fruit and Vegetables,60.81
Vaseline,Beauty,13.03
Andrew,Groceries,57.64
Pedigree,Pet,6.57
Muddy Boots,Fresh Meat,27.85
Butchers,Pet,118.57
New Farm,Fruit and Vegetables,88.96
Vanish,Cleaning,57.79
Flora,Dairy,4.73
New Farm,Fruit and Vegetables,24.79
Gressingham,Fresh Meat,72.88
Activia,Dairy,15.54
Vanish,Cleaning,13.51
Denhay,Fresh Meat,72.09
Vaseline,Beauty,56.98
Rowse,Groceries,29.11
Loreal,Beauty,30.37
Walkers,Groceries,36.09
Pedigree,Pet,0.57
Denhay,Fresh Meat,43.47
Denhay,Fresh Meat,0.31
Colmans,Groceries,56.52
Vanish,Cleaning,4.55
Activia,Dairy,32.67
Gressingham,Fresh Meat,19.75
Butchers,Pet,2.08
Denhay,Fresh Meat,44.22
Muddy Boots,Fresh Meat,0.57
Felix,Pet,5.78
New Farm,Fruit and Vegetables,4.89
Sheba,Pet,36.83
Fairy,Cleaning,0.91
Muller,Dairy,74.21
Gu,Groceries,9.30
Tropicana,Groceries,3.27
Sheba,Pet,0.41
