Flora,Dairy,16.21
Flora,Dairy,81.68
Hovis,Bakery,45.95
Butchers,Pet,54.17
Bakers,Pet,29.96
Loreal,Beauty,67.99
Remington,Beauty,44.86
Surf,Cleaning,42.03
Cravendale,Dairy,76.00
Delifrance,Bakery,13.56
Delifrance,Bakery,10.49
Steve's Leaves,Fruit and Vegetables,16.23
Kelloggs,Groceries,20.36
Surf,Cleaning,21.51
Muddy Boots,Fresh Meat,30.84
Simple,Beauty,27.04
Rowse,Groceries,0.62
Lurpak,Dairy,31.73
Denhay,Fresh Meat,60.39
Denhay,Fresh Meat,19.30
Bakers,Pet,21.30
Lurpak,Dairy,104.77
Lurpak,Dairy,24.32
John West,Groceries,11.09
Kelloggs,Groceries,0.77
Loreal,Beauty,55.18
Rowse,Groceries,15.26
New Farm,Fruit and Vegetables,33.75
Gu,Groceries,29.59
Colgate,Healthcare,52.47
Butchers,Pet,17.63
Knorr,Groceries,38.81
Fairy,Cleaning,13.82
Bakers,Pet,9.96
Cravendale,Dairy,6.26
Knorr,Groceries,62.83
Kleenex,Healthcare,15.07
Muddy Boots,Fresh Meat,10.31
Gilette,Beauty,45.85
Knorr,Groceries,23.64
Hovis,Bakery,42.81
New Farm,Fruit and Vegetables,106.07
Felix,Pet,3.54
Dave's Dairy,Dairy,53.04
Gressingham,Fresh Meat,5.76
Cathedral City,Groceries,42.73
Hartleys,Groceries,18.06
Denhay,Fresh Meat,1.46
Weston Veg,Fruit and Vegetables,118.15
Andrew,Groceries,14.02
Florette,Fruit and Vegetables,28.36
Garnier,Beauty,75.75
Cravendale,Dairy,11.90
Sheba,Pet,43.44
Hartleys,Groceries,99.74
Blue Diamond,Dairy,63.01
Simple,Beauty,88.05
Weston Veg,Fruit and Vegetables,13.15
Pedigree,Pet,35.01
Vanish,Cleaning,2.00
Tropicana,Groceries,40.66
Hartleys,Groceries,6.16
John West,Groceries,3.01
Simple,Beauty,32.82
Delifrance,Bakery,91.72
Vaseline,Beauty,37.55
Simple,Beauty,7.19
Weston Veg,Fruit and Vegetables,12.87
Muller,Dairy,19.77
Blue Diamond,Dairy,9.89
Delifrance,Bakery,4.57
Bold,Cleaning,112.04
Tropicana,Groceries,107.68
Roberts,Bakery,16.81
Knorr,Groceries,0.18
Walkers,Groceries,37.91
New Farm,Fruit and Vegetables,2.38
Richmond,Fresh Meat,18.07
Activia,Dairy,23.39
Knorr,Groceries,126.80
Denhay,Fresh Meat,110.32
Denhay,Fresh Meat,5.22
Colmans,Groceries,2.24
Bakers,Pet,36.49
Hovis,Bakery,70.42
Remington,Beauty,4.08
Sheba,Pet,74.71
Sheba,Pet,21.19
Colmans,Groceries,19.09
Sheba,Pet,5.93
Activia,Dairy,2.55
Felix,Pet,13.00
Richmond,Fresh Meat,40.72
Warburtons,Bakery,97.07
Lurpak,Dairy,78.23
Lurpak,Dairy,41.17
Felix,Pet,41.31
Gilette,Beauty,23.89
Vaseline,Beauty,5.25
Gu,Groceries,95.38
Bold,Cleaning,50.94
Gilette,Beauty,0.33
Knorr,Groceries,34.01
Hovis,Bakery,49.95
High Farm,Fruit and Vegetables,73.20
Tropicana,Groceries,15.16
Finish,Cleaning,39.32
New Farm,Fruit and Vegetables,0.60
Gu,Groceries,54.46
Steve's Leaves,Fruit and Vegetables,30.30
Activia,Dairy,44.20
Muddy Boots,Fresh Meat,45.21
Denhay,Fresh Meat,61.40
Sheba,Pet,23.33
Pedigree,Pet,3.21
Go Cat,Pet,66.67
Hartleys,Groceries,123.28
Pedigree,Pet,18.33
Fairy,Cleaning,6.72
Finish,Cleaning,22.43
John West,Groceries,48.51
New Farm,Fruit and Vegetables,63.32
Simple,Beauty,61.17
Loreal,Beauty,8.28
Hovis,Bakery,5.23
Simple,Beauty,34.20
Knorr,Groceries,14.98
Activia,Dairy,133.59
Loreal,Beauty,81.64
Vanish,Cleaning,40.05
Heinz,Groceries,15.87
Roberts,Bakery,36.38
Go Cat,Pet,11.24
Gressingham,Fresh Meat,19.92
Lurpak,Dairy,42.94
John West,Groceries,21.83
Cathedral City,Groceries,22.63
Heinz,Groceries,34.91
Walkers,Groceries,91.12
Vanish,Cleaning,7.10
Andrew,Groceries,93.97
New Farm,Fruit and Vegetables,28.83
Tropicana,Groceries,52.82
Hovis,Bakery,12.38
Colgate,Healthcare,27.41
Denhay,Fresh Meat,1.12
Roberts,Bakery,49.27
Colmans,Groceries,10.44
Gressingham,Fresh Meat,26.00
Flora,Dairy,9.01
Gressingham,Fresh Meat,12.75
Lurpak,Dairy,98.53
Roberts,Bakery,6.56
Garnier,Beauty,38.96
Richmond,Fresh Meat,122.10
Knorr,Groceries,9.39
Muddy Boots,Fresh Meat,20.66
Hovis,Bakery,15.30
Garnier,Beauty,4.34
Bakers,Pet,12.41
Surf,Cleaning,99.26
Richmond,Fresh Meat,0.66
Gilette,Beauty,33.10
Vaseline,Beauty,70.52
New Farm,Fruit and Vegetables,9.43
Sheba,Pet,32.93
Warburtons,Bakery,17.97
Tropicana,Groceries,57.84
Dave's Dairy,Dairy,6.12
Richmond,Fresh Meat,60.36
Activia,Dairy,2.67
Felix,Pet,46.17
Blue Diamond,Dairy,1.56
Muddy Boots,Fresh Meat,19.18
Surf,Cleaning,65.32
Kelloggs,Groceries,4.07
Tropicana,Groceries,13.25
Cravendale,Dairy,44.34
Walkers,Groceries,25.65
Richmond,Fresh Meat,8.67
Vaseline,Beauty,7.74
Gilette,Beauty,9.06
Rowse,Groceries,63.75
Florette,Fruit and Vegetables,9.13
Felix,Pet,21.50
Blue Diamond,Dairy,38.91
Bold,Cleaning,4.75
Garnier,Beauty,73.03
Bakers,Pet,15.52
Surf,Cleaning,1.47
Loreal,Beauty,97.70
Fairy,Cleaning,31.79
Lurpak,Dairy,60.94
Warburtons,Bakery,20.69
Knorr,Groceries,74.41
New Farm,Fruit and Vegetables,38.32
Gilette,Beauty,53.79
Danish,Fresh Meat,42.09
Warburtons,Bakery,44.11
Cathedral City,Groceries,3.06
Andrew,Groceries,11.04
Pedigree,Pet,15.07
John West,Groceries,20.14
Loreal,Beauty,142.59
Pedigree,Pet,1.14
Bakers,Pet,28.73
Hartleys,Groceries,20.83
Finish,Cleaning,28.87
Tropicana,Groceries,24.82
Tropicana,Groceries,38.11
Muddy Boots,Fresh Meat,40.87
Florette,Fruit and Vegetables,49.16
Kleenex,Healthcare,16.89
Steve's Leaves,Fruit and Vegetables,47.16
Vaseline,Beauty,42.36
Muddy Boots,Fresh Meat,2.44
Dave's Dairy,Dairy,13.85
Delifrance,Bakery,44.47
Pedigree,Pet,70.32
Fairy,Cleaning,89.27
Muddy Boots,Fresh Meat,9.49
New Farm,Fruit and Vegetables,16.85
John West,Groceries,13.30
Steve's Leaves,Fruit and Vegetables,13.53
Garnier,Beauty,5.97
Denhay,Fresh Meat,71.29
Danish,Fresh Meat,6.67
Loreal,Beauty,54.56
Blue Diamond,Dairy,39.64
Rowse,Groceries,110.83
Richmond,Fresh Meat,120.55
Flora,Dairy,34.63
Knorr,Groceries,28.65
Tropicana,Groceries,52.43
Rowse,Groceries,0.74
Denhay,Fresh Meat,1.28
Colgate,Healthcare,43.28
Cravendale,Dairy,40.70
Cravendale,Dairy,5.06
Colmans,Groceries,47.84
Garnier,Beauty,50.72
Florette,Fruit and Vegetables,36.79
Kleenex,Healthcare,39.47
Knorr,Groceries,97.93
John West,Groceries,97.12
Loreal,Beauty,36.71
Pedigree,Pet,99.86
Vaseline,Beauty,0.45
Surf,Cleaning,16.24
Remington,Beauty,4.91
Loreal,Beauty,139.49
Butchers,Pet,6.93
Steve's Leaves,Fruit and Vegetables,2.03
Lurpak,Dairy,25.64
Muddy Boots,Fresh Meat,17.49
Andrew,Groceries,8.47
Hartleys,Groceries,48.14
Hartleys,Groceries,63.89
Rowse,Groceries,1.69
High Farm,Fruit and Vegetables,2.57
Richmond,Fresh Meat,19.90
Flora,Dairy,102.35
Garnier,Beauty,77.11
Weston Veg,Fruit and Vegetables,66.38
Heinz,Groceries,1.99
Vanish,Cleaning,4.25
Sheba,Pet,3.79
Muller,Dairy,34.67
Gressingham,Fresh Meat,45.55
Cathedral City,Groceries,2.61
Muddy Boots,Fresh Meat,0.24
Felix,Pet,44.91
Weston Veg,Fruit and Vegetables,83.89
Andrew,Groceries,20.67
Delifrance,Bakery,29.48
Flora,Dairy,43.51
Florette,Fruit and Vegetables,17.84
Denhay,Fresh Meat,62.77
Loreal,Beauty,15.68
Steve's Leaves,Fruit and Vegetables,14.04
Warburtons,Bakery,74.81
Rowse,Groceries,30.62
Rowse,Groceries,5.10
Muddy Boots,Fresh Meat,9.90
John West,Groceries,51.68
Butchers,Pet,31.57
Lurpak,Dairy,105.68
Cathedral City,Groceries,5.74
Tropicana,Groceries,113.07
Tropicana,Groceries,52.55
Felix,Pet,36.93
Steve's Leaves,Fruit and Vegetables,15.14
Go Cat,Pet,55.54
Simple,Beauty,53.49
Hovis,Bakery,96.72
Vanish,Cleaning,0.38
Kelloggs,Groceries,39.20
Colgate,Healthcare,67.33
Andrew,Groceries,9.90
Kleenex,Healthcare,34.04
Muller,Dairy,45.98
Florette,Fruit and Vegetables,4.59
Kelloggs,Groceries,37.24
Colmans,Groceries,0.69
Gu,Groceries,2.87
Kleenex,Healthcare,102.48
Gressingham,Fresh Meat,55.05
Activia,Dairy,12.52
Cathedral City,Groceries,86.71
Go Cat,Pet,2.05
Garnier,Beauty,48.49
Andrew,Groceries,14.61
Richmond,Fresh Meat,55.47
Florette,Fruit and Vegetables,21.82
Activia,Dairy,60.70
Remington,Beauty,33.68
Bold,Cleaning,45.22
Cravendale,Dairy,48.00
Felix,Pet,76.18
Finish,Cleaning,32.30
Vanish,Cleaning,39.17
Colgate,Healthcare,25.67
Remington,Beauty,0.30
Butchers,Pet,16.46
Roberts,Bakery,18.58
Warburtons,Bakery,0.13
Rowse,Groceries,104.37
Florette,Fruit and Vegetables,11.08
Activia,Dairy,55.83
Heinz,Groceries,46.26
Dave's Dairy,Dairy,7.22
Simple,Beauty,0.51
Steve's Leaves,Fruit and Vegetables,53.14
Bakers,Pet,0.48
Warburtons,Bakery,40.67
Tropicana,Groceries,50.52
Cravendale,Dairy,88.69
Fairy,Cleaning,100.45
Vanish,Cleaning,0.93
John West,Groceries,55.87
Hartleys,Groceries,18.49
John West,Groceries,4.53
Cathedral City,Groceries,5.04
Hovis,Bakery,39.42
Kleenex,Healthcare,94.07
Colgate,Healthcare,38.15
Go Cat,Pet,94.74
Walkers,Groceries,54.34
