Heinz,Groceries,72.06
Rowse,Groceries,5.62
Butchers,Pet,3.07
Colgate,Healthcare,20.13
Bold,Cleaning,69.67
Gilette,Beauty,19.35
Bold,Cleaning,19.76
Roberts,Bakery,11.12
Kelloggs,Groceries,33.15
Dave's Dairy,Dairy,99.89
John West,Groceries,0.56
Flora,Dairy,46.71
Tropicana,Groceries,4.77
Butchers,Pet,3.24
Activia,Dairy,2.16
Florette,Fruit and Vegetables,19.11
Rowse,Groceries,116.86
Activia,Dairy,35.27
Richmond,Fresh Meat,43.02
Kleenex,Healthcare,52.99
Bakers,Pet,9.69
Loreal,Beauty,75.67
High Farm,Fruit and Vegetables,12.73
Surf,Cleaning,121.10
Gu,Groceries,40.32
Florette,Fruit and Vegetables,21.67
Gilette,Beauty,66.21
New Farm,Fruit and Vegetables,3.64
Vaseline,Beauty,31.26
Hovis,Bakery,11.79
Denhay,Fresh Meat,80.07
High Farm,Fruit and Vegetables,4.33
Dave's Dairy,Dairy,29.40
Gu,Groceries,13.81
Dave's Dairy,Dairy,0.99
Richmond,Fresh Meat,31.71
Weston Veg,Fruit and Vegetables,15.05
Cathedral City,Groceries,66.80
Denhay,Fresh Meat,8.91
Vanish,Cleaning,37.29
Surf,Cleaning,16.31
Weston Veg,Fruit and Vegetables,20.68
Gressingham,Fresh Meat,6.57
Pedigree,Pet,4.60
Felix,Pet,28.09
Weston Veg,Fruit and Vegetables,104.68
Pedigree,Pet,7.68
Rowse,Groceries,14.93
Felix,Pet,21.48
Danish,Fresh Meat,40.84
Fairy,Cleaning,3.76
Steve's Leaves,Fruit and Vegetables,9.68
Muller,Dairy,20.70
Felix,Pet,31.16
Heinz,Groceries,36.42
Colmans,Groceries,28.59
Florette,Fruit and Vegetables,54.90
Warburtons,Bakery,21.79
High Farm,Fruit and Vegetables,45.13
Steve's Leaves,Fruit and Vegetables,54.23
Cathedral City,Groceries,17.25
Denhay,Fresh Meat,33.42
Sheba,Pet,24.84
Knorr,Groceries,46.54
Fairy,Cleaning,43.17
Hovis,Bakery,20.44
Blue Diamond,Dairy,59.22
Hovis,Bakery,42.37
Garnier,Beauty,18.54
Denhay,Fresh Meat,37.16
Lurpak,Dairy,11.04
Bakers,Pet,73.48
Steve's Leaves,Fruit and Vegetables,3.07
Cravendale,Dairy,58.06
Knorr,Groceries,41.49
Warburtons,Bakery,88.60
Richmond,Fresh Meat,6.73
Tropicana,Groceries,125.47
Garnier,Beauty,107.24
Go Cat,Pet,2.85
Remington,Beauty,137.04
Blue Diamond,Dairy,45.82
Hartleys,Groceries,14.22
Hartleys,Groceries,48.98
Danish,Fresh Meat,1.81
Lurpak,Dairy,2.88
Gilette,Beauty,66.55
Rowse,Groceries,1.23
Cravendale,Dairy,20.69
