New Farm,Fruit and Vegetables,57.97
John West,Groceries,47.32
Pedigree,Pet,4.15
Heinz,Groceries,3.09
Cathedral City,Groceries,13.10
Hovis,Bakery,54.45
High Farm,Fruit and Vegetables,15.79
Surf,Cleaning,12.29
Gressingham,Fresh Meat,46.99
Knorr,Groceries,4.78
Roberts,Bakery,33.59
Dave's Dairy,Dairy,13.96
Blue Diamond,Dairy,24.67
Steve's Leaves,Fruit and Vegetables,5.79
Kelloggs,Groceries,5.16
Blue Diamond,Dairy,44.87
Walkers,Groceries,5.50
Steve's Leaves,Fruit and Vegetables,47.05
Gilette,Beauty,54.08
Colgate,Healthcare,45.37
Colmans,Groceries,40.16
Colgate,Healthcare,85.38
Cravendale,Dairy,24.06
Walkers,Groceries,50.06
Cravendale,Dairy,57.65
Muddy Boots,Fresh Meat,59.04
Colmans,Groceries,30.83
Weston Veg,Fruit and Vegetables,10.40
Lurpak,Dairy,14.59
Surf,Cleaning,14.90
Dave's Dairy,Dairy,20.10
Florette,Fruit and Vegetables,33.15
Hartleys,Groceries,57.23
Fairy,Cleaning,10.86
Florette,Fruit and Vegetables,94.72
Rowse,Groceries,86.54
New Farm,Fruit and Vegetables,2.08
Gu,Groceries,14.36
Gressingham,Fresh Meat,49.80
Delifrance,Bakery,10.44
John West,Groceries,10.32
Knorr,Groceries,64.67
Gu,Groceries,3.66
Butchers,Pet,15.44
Steve's Leaves,Fruit and Vegetables,36.24
Cravendale,Dairy,17.11
Felix,Pet,11.97
Surf,Cleaning,15.78
Hartleys,Groceries,23.05
Kelloggs,Groceries,32.73
Loreal,Beauty,51.70
Roberts,Bakery,131.58
Warburtons,Bakery,27.08
Hartleys,Groceries,24.24
Colgate,Healthcare,64.35
Heinz,Groceries,9.99
Go Cat,Pet,8.12
Hovis,Bakery,9.42
Bold,Cleaning,1.93
Garnier,Beauty,19.19
Loreal,Beauty,24.60
Vaseline,Beauty,48.14
Richmond,Fresh Meat,50.15
Remington,Beauty,29.77
Steve's Leaves,Fruit and Vegetables,22.51
Activia,Dairy,33.70
Richmond,Fresh Meat,39.57
John West,Groceries,4.25
Loreal,Beauty,5.89
Hovis,Bakery,99.45
Heinz,Groceries,22.22
Remington,Beauty,51.57
High Farm,Fruit and Vegetables,0.19
Warburtons,Bakery,9.72
Kelloggs,Groceries,74.29
Hartleys,Groceries,3.65
Weston Veg,Fruit and Vegetables,68.60
Flora,Dairy,17.06
Go Cat,Pet,106.02
Fairy,Cleaning,47.09
Kelloggs,Groceries,61.44
Delifrance,Bakery,10.11
Hartleys,Groceries,33.53
Cathedral City,Groceries,11.13
Steve's Leaves,Fruit and Vegetables,53.61
Muddy Boots,Fresh Meat,52.35
Tropicana,Groceries,44.26
Andrew,Groceries,5.05
Roberts,Bakery,8.42
Go Cat,Pet,50.12
Danish,Fresh Meat,67.09
Surf,Cleaning,3.39
Felix,Pet,3.45
Lurpak,Dairy,47.66
Knorr,Groceries,14.64
Fairy,Cleaning,46.73
Andrew,Groceries,39.75
Kelloggs,Groceries,4.33
Gilette,Beauty,91.30
John West,Groceries,69.58
Simple,Beauty,102.81
Tropicana,Groceries,11.95
Hartleys,Groceries,5.31
Delifrance,Bakery,3.34
Florette,Fruit and Vegetables,34.08
Simple,Beauty,11.64
Lurpak,Dairy,112.14
Cravendale,Dairy,37.07
High Farm,Fruit and Vegetables,60.33
Andrew,Groceries,27.60
Rowse,Groceries,13.02
