Vaseline,Beauty,25.81
Bold,Cleaning,24.52
Kleenex,Healthcare,134.35
John West,Groceries,21.80
Colmans,Groceries,40.82
Andrew,Groceries,74.57
Garnier,Beauty,4.95
High Farm,Fruit and Vegetables,10.77
Surf,Cleaning,40.89
Blue Diamond,Dairy,9.28
Denhay,Fresh Meat,89.03
Knorr,Groceries,7.21
Hartleys,Groceries,8.05
Delifrance,Bakery,15.52
High Farm,Fruit and Vegetables,49.06
Bakers,Pet,72.54
Andrew,Groceries,17.84
Andrew,Groceries,72.47
Denhay,Fresh Meat,28.81
Pedigree,Pet,80.18
Bold,Cleaning,26.41
Danish,Fresh Meat,40.71
Bakers,Pet,0.94
Muddy Boots,Fresh Meat,60.85
Delifrance,Bakery,130.55
Butchers,Pet,0.91
Simple,Beauty,84.74
Sheba,Pet,1.19
Danish,Fresh Meat,68.16
Warburtons,Bakery,19.71
Dave's Dairy,Dairy,18.23
Colgate,Healthcare,34.34
Bold,Cleaning,4.42
Delifrance,Bakery,122.75
Remington,Beauty,67.86
Rowse,Groceries,2.29
John West,Groceries,11.50
Sheba,Pet,17.94
Go Cat,Pet,39.95
Hovis,Bakery,15.98
John West,Groceries,64.55
Butchers,Pet,30.39
Gu,Groceries,51.61
Vanish,Cleaning,29.89
High Farm,Fruit and Vegetables,13.71
Muddy Boots,Fresh Meat,68.50
Tropicana,Groceries,6.34
Butchers,Pet,17.66
Go Cat,Pet,34.81
Muddy Boots,Fresh Meat,51.89
Gilette,Beauty,17.94
Gilette,Beauty,27.72
Tropicana,Groceries,17.38
Walkers,Groceries,14.35
Cravendale,Dairy,7.28
Delifrance,Bakery,39.21
Gu,Groceries,7.04
Rowse,Groceries,11.60
Denhay,Fresh Meat,105.97
Finish,Cleaning,1.28
Vanish,Cleaning,36.49
Kleenex,Healthcare,6.39
Walkers,Groceries,37.94
Weston Veg,Fruit and Vegetables,10.62
John West,Groceries,15.80
Rowse,Groceries,16.25
Andrew,Groceries,30.86
Bakers,Pet,37.17
Richmond,Fresh Meat,8.27
Lurpak,Dairy,0.42
Andrew,Groceries,40.44
Pedigree,Pet,61.72
Heinz,Groceries,14.48
Muller,Dairy,18.23
Felix,Pet,0.60
Gilette,Beauty,1.19
Steve's Leaves,Fruit and Vegetables,27.24
Andrew,Groceries,4.75
Warburtons,Bakery,106.83
Vaseline,Beauty,15.93
Danish,Fresh Meat,23.36
Richmond,Fresh Meat,34.53
Rowse,Groceries,45.09
Andrew,Groceries,1.18
Heinz,Groceries,91.31
Kelloggs,Groceries,61.96
Gu,Groceries,39.80
Heinz,Groceries,12.59
Warburtons,Bakery,0.67
Hovis,Bakery,77.48
Hartleys,Groceries,3.03
