Bold,Cleaning,48.49
Cravendale,Dairy,103.43
Delifrance,Bakery,15.25
Muller,Dairy,50.58
Vanish,Cleaning,30.35
Kleenex,Healthcare,59.96
Colmans,Groceries,30.81
Sheba,Pet,21.43
Muller,Dairy,28.53
Butchers,Pet,47.64
Florette,Fruit and Vegetables,18.45
Hovis,Bakery,13.98
Loreal,Beauty,91.09
John West,Groceries,63.78
Blue Diamond,Dairy,29.50
Richmond,Fresh Meat,98.22
Gilette,Beauty,21.59
Cathedral City,Groceries,108.37
New Farm,Fruit and Vegetables,47.39
Finish,Cleaning,33.53
Finish,Cleaning,25.74
Butchers,Pet,2.17
Warburtons,Bakery,38.05
Gu,Groceries,23.18
Activia,Dairy,23.47
Rowse,Groceries,16.47
John West,Groceries,94.85
Bold,Cleaning,112.52
Surf,Cleaning,10.28
Simple,Beauty,98.20
Muller,Dairy,95.49
John West,Groceries,2.92
Go Cat,Pet,49.57
Colmans,Groceries,50.46
Denhay,Fresh Meat,28.37
Remington,Beauty,1.91
Activia,Dairy,51.65
Felix,Pet,18.38
Kleenex,Healthcare,1.87
Richmond,Fresh Meat,26.05
Vaseline,Beauty,2.83
Tropicana,Groceries,42.83
Kelloggs,Groceries,19.38
Blue Diamond,Dairy,34.58
Colmans,Groceries,5.06
Loreal,Beauty,26.10
Finish,Cleaning,7.00
Gressingham,Fresh Meat,3.65
High Farm,Fruit and Vegetables,101.43
Muller,Dairy,0.10
Walkers,Groceries,83.18
Activia,Dairy,29.02
Heinz,Groceries,104.04
Gilette,Beauty,3.35
High Farm,Fruit and Vegetables,4.57
Simple,Beauty,60.48
Garnier,Beauty,12.11
Delifrance,Bakery,3.01
Andrew,Groceries,84.32
Andrew,Groceries,98.96
Florette,Fruit and Vegetables,6.00
Dave's Dairy,Dairy,78.72
Hartleys,Groceries,76.24
Fairy,Cleaning,27.60
Vanish,Cleaning,5.02
Cathedral City,Groceries,40.90
Gressingham,Fresh Meat,7.37
Walkers,Groceries,98.76
Vanish,Cleaning,7.10
Surf,Cleaning,21.10
Garnier,Beauty,10.55
Muddy Boots,Fresh Meat,41.91
Heinz,Groceries,45.37
Gressingham,Fresh Meat,5.26
Muller,Dairy,70.77
Butchers,Pet,64.31
Vaseline,Beauty,8.39
Knorr,Groceries,26.59
Rowse,Groceries,50.90
Simple,Beauty,12.33
Flora,Dairy,3.52
John West,Groceries,44.50
John West,Groceries,16.39
Remington,Beauty,0.17
Muddy Boots,Fresh Meat,0.11
Colgate,Healthcare,10.73
Delifrance,Bakery,56.75
Blue Diamond,Dairy,82.75
Knorr,Groceries,34.72
Surf,Cleaning,41.34
Heinz,Groceries,70.44
Muddy Boots,Fresh Meat,39.24
Richmond,Fresh Meat,1.61
Roberts,Bakery,37.48
Cravendale,Dairy,32.12
Walkers,Groceries,15.41
Felix,Pet,3.90
Surf,Cleaning,7.59
Denhay,Fresh Meat,51.86
Colgate,Healthcare,33.18
High Farm,Fruit and Vegetables,0.55
Colmans,Groceries,6.57
Bold,Cleaning,0.52
High Farm,Fruit and Vegetables,12.57
Gressingham,Fresh Meat,50.52
Rowse,Groceries,12.34
Hartleys,Groceries,8.41
Vaseline,Beauty,91.63
Butchers,Pet,54.96
Delifrance,Bakery,22.42
Pedigree,Pet,85.72
Weston Veg,Fruit and Vegetables,33.68
Dave's Dairy,Dairy,21.26
Simple,Beauty,28.90
Cathedral City,Groceries,9.75
Pedigree,Pet,20.01
Cathedral City,Groceries,25.30
Muller,Dairy,14.35
Knorr,Groceries,16.96
Andrew,Groceries,52.81
Weston Veg,Fruit and Vegetables,2.68
Gressingham,Fresh Meat,52.10
Kleenex,Healthcare,99.62
Simple,Beauty,106.01
Fairy,Cleaning,38.52
Walkers,Groceries,29.41
Lurpak,Dairy,0.19
Bold,Cleaning,93.36
Cravendale,Dairy,2.36
Rowse,Groceries,8.91
Muddy Boots,Fresh Meat,35.13
Florette,Fruit and Vegetables,21.18
Knorr,Groceries,131.52
Finish,Cleaning,35.07
High Farm,Fruit and Vegetables,52.42
Activia,Dairy,32.41
Hartleys,Groceries,9.20
Tropicana,Groceries,37.35
Bakers,Pet,63.18
New Farm,Fruit and Vegetables,34.36
Andrew,Groceries,74.67
New Farm,Fruit and Vegetables,22.91
Go Cat,Pet,97.25
Remington,Beauty,121.07
Remington,Beauty,22.63
Colmans,Groceries,1.01
Knorr,Groceries,112.74
Colgate,Healthcare,138.09
Gressingham,Fresh Meat,73.66
Surf,Cleaning,106.25
Muller,Dairy,67.90
New Farm,Fruit and Vegetables,9.55
Walkers,Groceries,100.53
Hartleys,Groceries,46.39
Colmans,Groceries,15.34
Bold,Cleaning,55.48
Rowse,Groceries,58.36
Andrew,Groceries,11.59
Cravendale,Dairy,28.35
Rowse,Groceries,18.21
Tropicana,Groceries,4.14
Butchers,Pet,90.87
Andrew,Groceries,10.02
Knorr,Groceries,3.82
High Farm,Fruit and Vegetables,81.30
Surf,Cleaning,80.20
Muller,Dairy,4.11
Walkers,Groceries,38.62
Walkers,Groceries,31.25
Denhay,Fresh Meat,103.87
Steve's Leaves,Fruit and Vegetables,48.37
Remington,Beauty,57.02
Hovis,Bakery,48.75
Loreal,Beauty,9.75
New Farm,Fruit and Vegetables,20.34
Florette,Fruit and Vegetables,5.79
Cravendale,Dairy,4.47
Loreal,Beauty,103.13
Flora,Dairy,53.15
Go Cat,Pet,35.15
Knorr,Groceries,11.01
Simple,Beauty,62.52
Finish,Cleaning,0.09
Knorr,Groceries,22.80
Butchers,Pet,30.83
Simple,Beauty,59.94
Danish,Fresh Meat,17.20
Colgate,Healthcare,28.73
Rowse,Groceries,25.66
Danish,Fresh Meat,86.55
Remington,Beauty,44.87
Andrew,Groceries,3.70
Blue Diamond,Dairy,25.78
Blue Diamond,Dairy,0.38
Finish,Cleaning,46.51
Bakers,Pet,38.41
Hovis,Bakery,6.61
Bakers,Pet,22.56
Walkers,Groceries,1.73
Bold,Cleaning,28.19
Cathedral City,Groceries,5.00
Gu,Groceries,127.27
Activia,Dairy,22.01
Danish,Fresh Meat,32.13
Butchers,Pet,13.74
Colgate,Healthcare,87.83
Sheba,Pet,101.28
Heinz,Groceries,83.07
Flora,Dairy,38.54
John West,Groceries,44.55
Andrew,Groceries,24.63
Weston Veg,Fruit and Vegetables,42.61
Vaseline,Beauty,7.12
Richmond,Fresh Meat,0.52
Colgate,Healthcare,33.42
Activia,Dairy,103.43
Hartleys,Groceries,57.49
Colmans,Groceries,67.31
Finish,Cleaning,6.63
Roberts,Bakery,6.26
New Farm,Fruit and Vegetables,3.00
Weston Veg,Fruit and Vegetables,15.77
Pedigree,Pet,37.87
Heinz,Groceries,15.11
Kleenex,Healthcare,111.99
Activia,Dairy,49.36
Cathedral City,Groceries,45.71
Bakers,Pet,48.20
John West,Groceries,11.05
Vaseline,Beauty,76.30
Bold,Cleaning,1.51
Garnier,Beauty,62.69
Gilette,Beauty,95.08
Finish,Cleaning,75.12
Simple,Beauty,74.44
Felix,Pet,81.40
Denhay,Fresh Meat,22.81
Surf,Cleaning,13.31
Danish,Fresh Meat,28.31
Lurpak,Dairy,46.75
Steve's Leaves,Fruit and Vegetables,73.05
Denhay,Fresh Meat,34.52
Surf,Cleaning,31.95
Richmond,Fresh Meat,6.38
Florette,Fruit and Vegetables,47.31
Garnier,Beauty,21.61
Steve's Leaves,Fruit and Vegetables,30.85
Denhay,Fresh Meat,0.58
New Farm,Fruit and Vegetables,83.14
Bold,Cleaning,14.72
Surf,Cleaning,33.20
Andrew,Groceries,26.31
Richmond,Fresh Meat,3.60
Flora,Dairy,19.12
Kelloggs,Groceries,7.24
Kelloggs,Groceries,91.23
Muddy Boots,Fresh Meat,128.61
Gressingham,Fresh Meat,1.92
Tropicana,Groceries,72.55
Finish,Cleaning,48.74
Butchers,Pet,2.82
Steve's Leaves,Fruit and Vegetables,29.83
Cathedral City,Groceries,16.62
Andrew,Groceries,7.52
Tropicana,Groceries,16.48
Sheba,Pet,119.29
Walkers,Groceries,37.86
Denhay,Fresh Meat,18.85
Danish,Fresh Meat,6.05
Danish,Fresh Meat,13.68
Gu,Groceries,36.94
Vanish,Cleaning,18.59
Gressingham,Fresh Meat,56.45
New Farm,Fruit and Vegetables,9.88
Delifrance,Bakery,59.21
Surf,Cleaning,127.15
Hartleys,Groceries,28.27
Activia,Dairy,17.73
Steve's Leaves,Fruit and Vegetables,67.98
Gressingham,Fresh Meat,91.89
Bold,Cleaning,20.44
Loreal,Beauty,109.41
Activia,Dairy,69.12
Kelloggs,Groceries,31.56
Colmans,Groceries,19.06
Warburtons,Bakery,5.42
Kleenex,Healthcare,27.27
Hovis,Bakery,2.64
Kleenex,Healthcare,96.64
Weston Veg,Fruit and Vegetables,80.87
Activia,Dairy,124.92
Go Cat,Pet,125.78
Richmond,Fresh Meat,59.28
Heinz,Groceries,45.41
Gressingham,Fresh Meat,35.33
John West,Groceries,47.47
Walkers,Groceries,59.13
Fairy,Cleaning,31.39
New Farm,Fruit and Vegetables,37.25
Bakers,Pet,39.99
Pedigree,Pet,39.40
Colgate,Healthcare,47.50
Gu,Groceries,57.69
Roberts,Bakery,7.36
Vanish,Cleaning,38.27
Tropicana,Groceries,13.59
Cravendale,Dairy,25.92
Loreal,Beauty,19.45
Steve's Leaves,Fruit and Vegetables,15.11
Vanish,Cleaning,41.12
Vaseline,Beauty,11.79
Warburtons,Bakery,15.06
Muller,Dairy,18.91
Cravendale,Dairy,0.28
Butchers,Pet,10.51
Butchers,Pet,30.55
Lurpak,Dairy,5.87
Knorr,Groceries,22.95
Walkers,Groceries,9.47
Simple,Beauty,9.90
Kleenex,Healthcare,5.45
Colgate,Healthcare,8.64
Roberts,Bakery,8.10
Warburtons,Bakery,13.83
Surf,Cleaning,0.17
Colgate,Healthcare,26.19
Gu,Groceries,38.29
Kelloggs,Groceries,16.53
Vanish,Cleaning,102.69
Gilette,Beauty,9.60
Knorr,Groceries,25.54
Heinz,Groceries,6.73
Gilette,Beauty,61.26
Butchers,Pet,59.03
Heinz,Groceries,72.08
Richmond,Fresh Meat,17.57
Colgate,Healthcare,2.83
Activia,Dairy,90.70
Pedigree,Pet,5.83
Richmond,Fresh Meat,51.26
Remington,Beauty,8.50
New Farm,Fruit and Vegetables,119.67
Danish,Fresh Meat,63.64
Finish,Cleaning,25.38
Activia,Dairy,14.59
Hartleys,Groceries,4.12
Roberts,Bakery,4.24
Activia,Dairy,16.63
Activia,Dairy,60.91
Vanish,Cleaning,31.49
Tropicana,Groceries,10.23
Walkers,Groceries,27.78
Gu,Groceries,57.37
Heinz,Groceries,26.62
High Farm,Fruit and Vegetables,73.25
Warburtons,Bakery,23.97
Cravendale,Dairy,3.24
Sheba,Pet,7.99
Kleenex,Healthcare,38.63
Gressingham,Fresh Meat,39.53
Cathedral City,Groceries,17.72
Muddy Boots,Fresh Meat,8.57
Butchers,Pet,5.00
Go Cat,Pet,17.17
Cravendale,Dairy,18.65
Felix,Pet,7.72
New Farm,Fruit and Vegetables,43.48
Rowse,Groceries,16.99
Hartleys,Groceries,14.66
Richmond,Fresh Meat,97.71
Sheba,Pet,52.94
Warburtons,Bakery,82.68
Richmond,Fresh Meat,16.76
Florette,Fruit and Vegetables,20.54
Tropicana,Groceries,108.42
Blue Diamond,Dairy,16.29
Kleenex,Healthcare,13.13
Flora,Dairy,8.12
Richmond,Fresh Meat,37.40
Simple,Beauty,6.15
Lurpak,Dairy,136.59
Cathedral City,Groceries,124.05
Bold,Cleaning,15.85
Delifrance,Bakery,142.35
Sheba,Pet,23.39
Kelloggs,Groceries,1.56
Knorr,Groceries,1.93
Muddy Boots,Fresh Meat,4.77
Butchers,Pet,55.00
Danish,Fresh Meat,23.45
Garnier,Beauty,21.25
Gressingham,Fresh Meat,54.27
Andrew,Groceries,5.75
Vaseline,Beauty,28.01
Hovis,Bakery,38.21
Simple,Beauty,61.28
Richmond,Fresh Meat,104.34
Surf,Cleaning,36.72
Simple,Beauty,61.23
Richmond,Fresh Meat,13.82
Warburtons,Bakery,12.03
Blue Diamond,Dairy,1.31
Pedigree,Pet,109.80
Pedigree,Pet,51.85
Walkers,Groceries,29.69
Hovis,Bakery,2.85
Kleenex,Healthcare,7.35
Go Cat,Pet,1.90
Florette,Fruit and Vegetables,57.98
Muddy Boots,Fresh Meat,9.29
Richmond,Fresh Meat,63.50
Bold,Cleaning,78.08
Dave's Dairy,Dairy,28.18
Weston Veg,Fruit and Vegetables,40.04
Muddy Boots,Fresh Meat,0.47
Kleenex,Healthcare,39.61
Surf,Cleaning,12.29
Bold,Cleaning,37.56
Flora,Dairy,31.96
Florette,Fruit and Vegetables,11.46
Andrew,Groceries,109.26
Sheba,Pet,27.81
Dave's Dairy,Dairy,45.82
Cathedral City,Groceries,17.86
Cravendale,Dairy,2.83
Weston Veg,Fruit and Vegetables,119.44
Finish,Cleaning,0.84
Hovis,Bakery,56.51
Vaseline,Beauty,4.52
Knorr,Groceries,9.66
Tropicana,Groceries,4.21
Bakers,Pet,76.98
Butchers,Pet,1.73
Go Cat,Pet,93.68
Kelloggs,Groceries,27.28
Sheba,Pet,48.17
Colmans,Groceries,72.77
Cravendale,Dairy,7.17
Finish,Cleaning,13.61
Felix,Pet,61.73
Kelloggs,Groceries,28.87
Gressingham,Fresh Meat,68.79
Butchers,Pet,11.80
Activia,Dairy,66.47
Dave's Dairy,Dairy,38.33
Roberts,Bakery,10.15
Steve's Leaves,Fruit and Vegetables,9.51
Hartleys,Groceries,30.15
Richmond,Fresh Meat,2.34
Weston Veg,Fruit and Vegetables,31.64
Delifrance,Bakery,22.50
Bakers,Pet,37.74
Flora,Dairy,4.23
Danish,Fresh Meat,0.03
Loreal,Beauty,33.24
Dave's Dairy,Dairy,48.35
Cravendale,Dairy,5.29
John West,Groceries,31.39
Richmond,Fresh Meat,29.33
Knorr,Groceries,13.92
Kleenex,Healthcare,39.89
Remington,Beauty,58.93
Hartleys,Groceries,6.93
Gilette,Beauty,2.72
New Farm,Fruit and Vegetables,8.31
John West,Groceries,27.37
Pedigree,Pet,16.34
Muller,Dairy,107.15
Dave's Dairy,Dairy,51.62
Weston Veg,Fruit and Vegetables,31.46
Muddy Boots,Fresh Meat,8.82
Heinz,Groceries,38.11
Gu,Groceries,118.68
Sheba,Pet,17.66
Colmans,Groceries,38.56
Tropicana,Groceries,13.99
Muller,Dairy,2.29
Vaseline,Beauty,69.93
Garnier,Beauty,82.15
Steve's Leaves,Fruit and Vegetables,21.89
Butchers,Pet,45.88
Go Cat,Pet,5.35
Simple,Beauty,13.72
Vanish,Cleaning,8.52
Cravendale,Dairy,33.51
High Farm,Fruit and Vegetables,4.69
