Hovis,Bakery,84.88
Colmans,Groceries,54.56
Simple,Beauty,76.90
Gu,Groceries,47.12
Weston Veg,Fruit and Vegetables,6.80
Loreal,Beauty,0.27
Loreal,Beauty,31.60
Weston Veg,Fruit and Vegetables,15.51
Garnier,Beauty,0.85
Bold,Cleaning,24.45
Kelloggs,Groceries,9.82
Sheba,Pet,61.22
Gressingham,Fresh Meat,7.09
Lurpak,Dairy,42.70
Butchers,Pet,50.32
Dave's Dairy,Dairy,14.70
Walkers,Groceries,69.64
Cathedral City,Groceries,4.16
Dave's Dairy,Dairy,84.91
Colgate,Healthcare,28.30
New Farm,Fruit and Vegetables,15.01
Weston Veg,Fruit and Vegetables,6.73
Finish,Cleaning,36.52
Go Cat,Pet,30.83
Vanish,Cleaning,82.49
Bakers,Pet,55.53
Go Cat,Pet,45.55
Florette,Fruit and Vegetables,3.67
Vanish,Cleaning,10.66
Colgate,Healthcare,25.45
Vaseline,Beauty,113.26
Bakers,Pet,34.48
Hartleys,Groceries,18.02
Fairy,Cleaning,15.78
Vaseline,Beauty,21.05
Blue Diamond,Dairy,62.69
Gressingham,Fresh Meat,39.52
Vaseline,Beauty,49.24
Go Cat,Pet,37.97
Gressingham,Fresh Meat,28.13
Hovis,Bakery,14.10
Blue Diamond,Dairy,35.83
Simple,Beauty,22.69
Flora,Dairy,1.01
Kleenex,Healthcare,10.55
Colgate,Healthcare,5.34
Steve's Leaves,Fruit and Vegetables,63.56
Simple,Beauty,5.07
Kleenex,Healthcare,0.97
Danish,Fresh Meat,79.12
Flora,Dairy,56.42
Heinz,Groceries,29.23
Gu,Groceries,19.90
Simple,Beauty,68.05
Surf,Cleaning,85.05
Roberts,Bakery,0.54
Blue Diamond,Dairy,20.70
Knorr,Groceries,3.77
Hartleys,Groceries,2.46
Danish,Fresh Meat,31.68
Lurpak,Dairy,29.42
Dave's Dairy,Dairy,75.09
Gu,Groceries,7.02
Weston Veg,Fruit and Vegetables,36.86
John West,Groceries,18.21
Hartleys,Groceries,30.42
Steve's Leaves,Fruit and Vegetables,15.04
Surf,Cleaning,8.86
Remington,Beauty,1.81
John West,Groceries,8.97
John West,Groceries,0.51
Muller,Dairy,17.21
Tropicana,Groceries,101.79
Roberts,Bakery,15.37
Richmond,Fresh Meat,46.48
Richmond,Fresh Meat,2.09
Pedigree,Pet,0.10
Danish,Fresh Meat,2.41
Flora,Dairy,2.59
New Farm,Fruit and Vegetables,46.27
Weston Veg,Fruit and Vegetables,9.50
Muddy Boots,Fresh Meat,29.88
Remington,Beauty,5.22
Vaseline,Beauty,62.46
John West,Groceries,22.43
High Farm,Fruit and Vegetables,81.67
Gu,Groceries,25.71
Walkers,Groceries,41.11
Blue Diamond,Dairy,20.62
Denhay,Fresh Meat,12.72
Colgate,Healthcare,57.16
Sheba,Pet,122.89
Delifrance,Bakery,77.26
Cravendale,Dairy,70.76
Gilette,Beauty,50.66
Lurpak,Dairy,47.87
Cravendale,Dairy,77.48
Knorr,Groceries,131.57
Vanish,Cleaning,2.74
Blue Diamond,Dairy,4.94
Heinz,Groceries,27.88
Bakers,Pet,106.04
Colgate,Healthcare,52.02
Kleenex,Healthcare,30.84
Loreal,Beauty,101.25
John West,Groceries,20.89
Danish,Fresh Meat,47.02
Colmans,Groceries,17.58
Muller,Dairy,102.38
Cravendale,Dairy,33.33
Sheba,Pet,36.28
New Farm,Fruit and Vegetables,18.99
Remington,Beauty,26.29
Surf,Cleaning,53.77
Gu,Groceries,19.79
Go Cat,Pet,27.13
Delifrance,Bakery,16.08
Cathedral City,Groceries,29.76
Go Cat,Pet,7.59
Walkers,Groceries,12.43
Walkers,Groceries,27.27
Sheba,Pet,83.75
Gilette,Beauty,23.24
Dave's Dairy,Dairy,35.44
Garnier,Beauty,23.67
Dave's Dairy,Dairy,14.50
Muller,Dairy,126.68
Surf,Cleaning,36.81
Vanish,Cleaning,62.98
Bold,Cleaning,73.67
Kelloggs,Groceries,2.54
Gressingham,Fresh Meat,0.83
Remington,Beauty,49.64
Lurpak,Dairy,10.16
Garnier,Beauty,39.94
Kelloggs,Groceries,3.76
Go Cat,Pet,20.58
Denhay,Fresh Meat,13.36
Muddy Boots,Fresh Meat,82.18
Danish,Fresh Meat,43.36
Gu,Groceries,23.56
Remington,Beauty,4.17
Sheba,Pet,131.79
Andrew,Groceries,16.31
Vanish,Cleaning,5.77
Sheba,Pet,17.45
Blue Diamond,Dairy,40.49
Gressingham,Fresh Meat,42.58
Denhay,Fresh Meat,21.33
Sheba,Pet,20.18
Delifrance,Bakery,10.60
Go Cat,Pet,16.02
Activia,Dairy,88.47
Cravendale,Dairy,5.71
Fairy,Cleaning,47.96
Steve's Leaves,Fruit and Vegetables,31.83
Simple,Beauty,0.28
Lurpak,Dairy,0.21
Delifrance,Bakery,41.24
Richmond,Fresh Meat,18.61
Colmans,Groceries,113.79
Walkers,Groceries,51.69
Walkers,Groceries,67.96
Hartleys,Groceries,15.58
High Farm,Fruit and Vegetables,0.89
Steve's Leaves,Fruit and Vegetables,24.54
Rowse,Groceries,38.61
Loreal,Beauty,11.35
Bakers,Pet,8.93
Colgate,Healthcare,111.51
Finish,Cleaning,41.40
Finish,Cleaning,14.85
Weston Veg,Fruit and Vegetables,2.55
Butchers,Pet,53.53
Go Cat,Pet,67.80
Colgate,Healthcare,8.45
Danish,Fresh Meat,48.13
John West,Groceries,1.07
Florette,Fruit and Vegetables,42.68
Dave's Dairy,Dairy,1.88
Pedigree,Pet,130.71
Hartleys,Groceries,5.99
Finish,Cleaning,87.13
Go Cat,Pet,8.64
Hovis,Bakery,103.84
Gilette,Beauty,16.42
Simple,Beauty,87.50
Heinz,Groceries,13.00
Roberts,Bakery,86.08
Loreal,Beauty,52.01
Vaseline,Beauty,5.78
Garnier,Beauty,4.28
Butchers,Pet,5.97
Hartleys,Groceries,53.41
Kleenex,Healthcare,3.01
Fairy,Cleaning,24.48
Kelloggs,Groceries,47.04
Cathedral City,Groceries,49.61
Tropicana,Groceries,76.54
Florette,Fruit and Vegetables,12.51
Dave's Dairy,Dairy,32.53
Flora,Dairy,63.34
Warburtons,Bakery,23.56
High Farm,Fruit and Vegetables,7.28
Richmond,Fresh Meat,73.22
Weston Veg,Fruit and Vegetables,15.38
Tropicana,Groceries,71.86
Walkers,Groceries,6.97
Felix,Pet,33.20
High Farm,Fruit and Vegetables,42.25
Go Cat,Pet,25.30
Kelloggs,Groceries,0.66
Cravendale,Dairy,4.39
Blue Diamond,Dairy,5.49
Lurpak,Dairy,57.18
Kelloggs,Groceries,24.77
Muller,Dairy,16.67
Vanish,Cleaning,49.40
John West,Groceries,7.58
Florette,Fruit and Vegetables,64.25
Knorr,Groceries,39.19
Gu,Groceries,70.78
Hartleys,Groceries,54.78
Florette,Fruit and Vegetables,52.38
Danish,Fresh Meat,29.39
Bold,Cleaning,21.18
Go Cat,Pet,80.62
Knorr,Groceries,17.10
Simple,Beauty,35.55
Vaseline,Beauty,40.60
Remington,Beauty,5.95
High Farm,Fruit and Vegetables,29.57
Go Cat,Pet,11.56
Steve's Leaves,Fruit and Vegetables,28.71
Bold,Cleaning,18.96
Dave's Dairy,Dairy,8.97
Colgate,Healthcare,1.74
Blue Diamond,Dairy,87.55
Simple,Beauty,0.23
Kelloggs,Groceries,8.96
Walkers,Groceries,17.98
Garnier,Beauty,26.90
Butchers,Pet,80.37
Delifrance,Bakery,7.44
Walkers,Groceries,8.52
Flora,Dairy,60.83
Colgate,Healthcare,52.21
Dave's Dairy,Dairy,62.56
Remington,Beauty,25.61
Sheba,Pet,12.46
Knorr,Groceries,5.39
Heinz,Groceries,55.22
Roberts,Bakery,61.27
Flora,Dairy,4.17
Kelloggs,Groceries,7.10
Gressingham,Fresh Meat,50.01
Vanish,Cleaning,30.42
Cravendale,Dairy,111.81
Vanish,Cleaning,59.32
Dave's Dairy,Dairy,72.55
Weston Veg,Fruit and Vegetables,54.58
Vanish,Cleaning,0.79
Heinz,Groceries,10.47
Bold,Cleaning,3.69
Dave's Dairy,Dairy,82.86
Hartleys,Groceries,54.14
Tropicana,Groceries,33.32
Lurpak,Dairy,20.89
Colgate,Healthcare,65.62
Colmans,Groceries,2.56
Richmond,Fresh Meat,67.84
Simple,Beauty,125.76
Cravendale,Dairy,31.81
New Farm,Fruit and Vegetables,4.58
Go Cat,Pet,0.85
Gilette,Beauty,17.52
Walkers,Groceries,116.40
Simple,Beauty,39.18
Blue Diamond,Dairy,54.57
Garnier,Beauty,8.13
Loreal,Beauty,65.34
Muller,Dairy,44.85
Vanish,Cleaning,66.13
Pedigree,Pet,4.94
Weston Veg,Fruit and Vegetables,18.63
Kleenex,Healthcare,52.01
Rowse,Groceries,21.86
Florette,Fruit and Vegetables,15.55
Gressingham,Fresh Meat,3.66
Loreal,Beauty,22.84
Loreal,Beauty,32.25
Kelloggs,Groceries,4.73
Muddy Boots,Fresh Meat,6.79
Roberts,Bakery,32.59
Roberts,Bakery,40.74
Gressingham,Fresh Meat,98.05
Loreal,Beauty,26.98
