Kleenex,Healthcare,5.44
Felix,Pet,14.79
High Farm,Fruit and Vegetables,20.91
Fairy,Cleaning,35.16
Muddy Boots,Fresh Meat,20.08
Hartleys,Groceries,75.69
Bakers,Pet,38.53
Heinz,Groceries,55.72
Denhay,Fresh Meat,115.40
Felix,Pet,56.57
Flora,Dairy,2.52
Muller,Dairy,41.18
Gressingham,Fresh Meat,18.97
Walkers,Groceries,13.48
Muller,Dairy,25.22
Cathedral City,Groceries,5.01
Andrew,Groceries,9.71
Bold,Cleaning,35.33
Walkers,Groceries,36.03
Dave's Dairy,Dairy,72.94
Weston Veg,Fruit and Vegetables,38.40
Denhay,Fresh Meat,2.46
Vanish,Cleaning,34.36
Butchers,Pet,43.92
Muddy Boots,Fresh Meat,55.44
Butchers,Pet,7.62
Knorr,Groceries,102.47
John West,Groceries,32.16
Colmans,Groceries,1.72
Colgate,Healthcare,33.50
Activia,Dairy,15.70
Loreal,Beauty,25.26
Steve's Leaves,Fruit and Vegetables,28.49
Remington,Beauty,74.89
Remington,Beauty,64.49
Hartleys,Groceries,49.92
Remington,Beauty,4.47
Andrew,Groceries,2.42
Lurpak,Dairy,4.76
Delifrance,Bakery,26.73
Walkers,Groceries,31.48
John West,Groceries,1.67
Knorr,Groceries,84.82
Flora,Dairy,19.93
Danish,Fresh Meat,43.06
Danish,Fresh Meat,33.58
Blue Diamond,Dairy,27.38
New Farm,Fruit and Vegetables,39.17
Colmans,Groceries,1.75
Warburtons,Bakery,80.76
Colgate,Healthcare,5.58
Vaseline,Beauty,7.17
Hovis,Bakery,55.60
Steve's Leaves,Fruit and Vegetables,58.73
Blue Diamond,Dairy,6.82
Finish,Cleaning,35.09
Lurpak,Dairy,67.31
Simple,Beauty,5.13
Denhay,Fresh Meat,48.84
High Farm,Fruit and Vegetables,31.23
Walkers,Groceries,0.72
Danish,Fresh Meat,16.51
Vanish,Cleaning,103.25
Delifrance,Bakery,53.15
Weston Veg,Fruit and Vegetables,2.87
New Farm,Fruit and Vegetables,91.81
Knorr,Groceries,95.72
John West,Groceries,50.41
Gu,Groceries,0.57
Denhay,Fresh Meat,2.81
Bakers,Pet,58.06
Pedigree,Pet,26.53
Butchers,Pet,95.96
Weston Veg,Fruit and Vegetables,2.59
Blue Diamond,Dairy,15.67
Heinz,Groceries,23.64
Denhay,Fresh Meat,3.88
