Sheba,Pet,30.99
Garnier,Beauty,55.25
Danish,Fresh Meat,103.39
Steve's Leaves,Fruit and Vegetables,12.85
Warburtons,Bakery,55.76
Knorr,Groceries,26.98
Kelloggs,Groceries,59.43
High Farm,Fruit and Vegetables,18.71
High Farm,Fruit and Vegetables,70.47
Simple,Beauty,5.54
Gressingham,Fresh Meat,78.27
Felix,Pet,41.93
Danish,Fresh Meat,101.00
Vanish,Cleaning,83.07
Danish,Fresh Meat,36.12
Garnier,Beauty,91.58
Bakers,Pet,7.64
Pedigree,Pet,7.36
Gressingham,Fresh Meat,78.66
Colgate,Healthcare,24.54
Hartleys,Groceries,80.13
John West,Groceries,44.39
Cravendale,Dairy,43.08
Hovis,Bakery,33.93
Surf,Cleaning,6.42
Lurpak,Dairy,34.56
Heinz,Groceries,34.26
Tropicana,Groceries,11.12
Flora,Dairy,23.09
Loreal,Beauty,40.17
Remington,Beauty,2.18
Activia,Dairy,0.83
Heinz,Groceries,21.26
Hartleys,Groceries,33.46
Bakers,Pet,61.93
Kelloggs,Groceries,15.36
Finish,Cleaning,4.33
Fairy,Cleaning,7.87
John West,Groceries,31.50
Finish,Cleaning,7.39
Cathedral City,Groceries,29.30
Bold,Cleaning,83.05
Cravendale,Dairy,95.98
Cathedral City,Groceries,10.85
Tropicana,Groceries,48.76
Delifrance,Bakery,37.03
Bold,Cleaning,2.32
Cathedral City,Groceries,51.79
Knorr,Groceries,70.70
Muller,Dairy,7.39
Cravendale,Dairy,8.52
Warburtons,Bakery,2.45
Delifrance,Bakery,32.34
Tropicana,Groceries,33.66
Rowse,Groceries,42.09
Vaseline,Beauty,45.68
Flora,Dairy,19.64
Florette,Fruit and Vegetables,0.24
Walkers,Groceries,1.25
Kelloggs,Groceries,1.80
Delifrance,Bakery,85.21
Surf,Cleaning,14.41
Vaseline,Beauty,98.05
Denhay,Fresh Meat,1.90
Tropicana,Groceries,39.86
Rowse,Groceries,20.79
Butchers,Pet,19.61
Lurpak,Dairy,35.21
Garnier,Beauty,3.88
Cathedral City,Groceries,6.17
Fairy,Cleaning,12.68
Rowse,Groceries,3.44
Butchers,Pet,0.45
New Farm,Fruit and Vegetables,68.77
Tropicana,Groceries,29.33
Knorr,Groceries,46.36
Flora,Dairy,43.85
Roberts,Bakery,43.38
Florette,Fruit and Vegetables,28.87
Muddy Boots,Fresh Meat,29.56
Activia,Dairy,115.06
Walkers,Groceries,7.82
Danish,Fresh Meat,24.05
Kelloggs,Groceries,42.39
Colmans,Groceries,18.60
Garnier,Beauty,89.88
Simple,Beauty,66.06
Bakers,Pet,61.98
Garnier,Beauty,20.96
Kelloggs,Groceries,6.05
Denhay,Fresh Meat,73.71
Dave's Dairy,Dairy,8.15
Rowse,Groceries,131.90
New Farm,Fruit and Vegetables,0.35
Remington,Beauty,22.68
Hovis,Bakery,122.62
Dave's Dairy,Dairy,59.35
Rowse,Groceries,89.36
Pedigree,Pet,26.72
Colmans,Groceries,4.24
Vanish,Cleaning,47.72
Rowse,Groceries,22.91
Go Cat,Pet,74.70
Warburtons,Bakery,37.59
Cathedral City,Groceries,47.52
Florette,Fruit and Vegetables,38.36
Butchers,Pet,34.02
Lurpak,Dairy,34.73
Garnier,Beauty,6.98
Activia,Dairy,89.55
Richmond,Fresh Meat,45.38
Cravendale,Dairy,76.63
Florette,Fruit and Vegetables,4.14
Butchers,Pet,20.61
Delifrance,Bakery,12.32
Cathedral City,Groceries,0.56
High Farm,Fruit and Vegetables,13.99
Dave's Dairy,Dairy,20.60
Gilette,Beauty,34.58
Muddy Boots,Fresh Meat,76.60
Lurpak,Dairy,6.61
Kelloggs,Groceries,2.08
Activia,Dairy,56.14
Butchers,Pet,119.44
Bold,Cleaning,0.10
Denhay,Fresh Meat,102.98
Remington,Beauty,110.96
Kelloggs,Groceries,40.33
Warburtons,Bakery,32.14
John West,Groceries,12.67
Colmans,Groceries,8.61
Warburtons,Bakery,5.63
Steve's Leaves,Fruit and Vegetables,24.39
Walkers,Groceries,5.92
