Vanish,Cleaning,34.41
Richmond,Fresh Meat,6.80
Gressingham,Fresh Meat,12.67
Warburtons,Bakery,36.25
Bold,Cleaning,36.81
Kelloggs,Groceries,42.75
Roberts,Bakery,62.43
Knorr,Groceries,29.03
Surf,Cleaning,13.69
Danish,Fresh Meat,0.23
Gressingham,Fresh Meat,80.87
Cathedral City,Groceries,2.58
Cravendale,Dairy,4.72
Richmond,Fresh Meat,21.26
Simple,Beauty,139.00
Kleenex,Healthcare,77.49
Kleenex,Healthcare,1.39
Simple,Beauty,30.11
Finish,Cleaning,5.83
Vaseline,Beauty,47.74
Vaseline,Beauty,9.45
Simple,Beauty,17.57
Rowse,Groceries,43.01
Gu,Groceries,53.21
Kelloggs,Groceries,10.54
High Farm,Fruit and Vegetables,10.07
Remington,Beauty,2.09
Hovis,Bakery,0.95
Richmond,Fresh Meat,71.28
Butchers,Pet,49.64
Sheba,Pet,81.57
Roberts,Bakery,9.91
Hovis,Bakery,125.50
Garnier,Beauty,71.18
Butchers,Pet,1.43
Gu,Groceries,2.14
Hartleys,Groceries,4.05
Andrew,Groceries,24.24
Go Cat,Pet,79.80
Weston Veg,Fruit and Vegetables,8.87
Kleenex,Healthcare,100.16
Gressingham,Fresh Meat,71.77
Felix,Pet,62.07
Walkers,Groceries,2.23
Sheba,Pet,13.08
Surf,Cleaning,26.86
Kleenex,Healthcare,60.65
Cravendale,Dairy,9.75
Kleenex,Healthcare,65.29
Steve's Leaves,Fruit and Vegetables,8.15
New Farm,Fruit and Vegetables,89.73
Cravendale,Dairy,5.05
Muller,Dairy,51.69
Muller,Dairy,9.11
Gu,Groceries,1.66
Cathedral City,Groceries,29.13
Denhay,Fresh Meat,14.74
Hovis,Bakery,114.84
Remington,Beauty,72.25
Bold,Cleaning,10.86
Sheba,Pet,19.43
Remington,Beauty,35.30
Weston Veg,Fruit and Vegetables,27.73
Hovis,Bakery,81.62
Vaseline,Beauty,99.24
Bakers,Pet,19.53
Weston Veg,Fruit and Vegetables,51.69
Rowse,Groceries,17.22
Lurpak,Dairy,21.48
