Muller,Dairy,2.93
Warburtons,Bakery,16.25
Gu,Groceries,52.62
Colmans,Groceries,2.57
Flora,Dairy,10.89
Flora,Dairy,14.21
Danish,Fresh Meat,50.12
Hovis,Bakery,43.51
Weston Veg,Fruit and Vegetables,16.10
Butchers,Pet,1.45
Denhay,Fresh Meat,1.70
Hartleys,Groceries,40.42
Delifrance,Bakery,90.53
Hovis,Bakery,86.28
High Farm,Fruit and Vegetables,93.41
Gressingham,Fresh Meat,100.33
Flora,Dairy,4.82
Sheba,Pet,10.28
Vaseline,Beauty,39.00
Hovis,Bakery,72.92
Gu,Groceries,24.70
Felix,Pet,48.92
Gressingham,Fresh Meat,66.24
Go Cat,Pet,2.71
Roberts,Bakery,63.62
Tropicana,Groceries,82.91
Felix,Pet,20.13
Lurpak,Dairy,4.60
Hovis,Bakery,10.73
Butchers,Pet,13.65
Richmond,Fresh Meat,107.21
Loreal,Beauty,22.91
Fairy,Cleaning,39.24
Lurpak,Dairy,0.01
Loreal,Beauty,55.92
Go Cat,Pet,49.80
Muller,Dairy,82.41
Richmond,Fresh Meat,28.31
Walkers,Groceries,8.24
Hovis,Bakery,23.56
Kelloggs,Groceries,35.73
Finish,Cleaning,65.47
Warburtons,Bakery,128.73
Gu,Groceries,34.10
Walkers,Groceries,5.03
Gu,Groceries,0.44
Remington,Beauty,26.73
Flora,Dairy,17.29
Vanish,Cleaning,0.15
Flora,Dairy,2.55
Tropicana,Groceries,32.38
Knorr,Groceries,68.40
Delifrance,Bakery,68.20
Knorr,Groceries,63.43
Rowse,Groceries,9.82
Knorr,Groceries,27.71
Roberts,Bakery,26.06
Cathedral City,Groceries,32.99
Bakers,Pet,12.25
Colgate,Healthcare,2.23
Vaseline,Beauty,102.84
Bakers,Pet,18.96
Bold,Cleaning,66.22
Finish,Cleaning,38.65
Andrew,Groceries,6.77
Pedigree,Pet,92.65
Surf,Cleaning,8.71
Roberts,Bakery,6.17
Felix,Pet,2.00
Rowse,Groceries,55.88
Dave's Dairy,Dairy,96.94
Dave's Dairy,Dairy,31.04
Sheba,Pet,117.63
Felix,Pet,106.49
Blue Diamond,Dairy,33.96
Florette,Fruit and Vegetables,81.58
Fairy,Cleaning,0.26
Hovis,Bakery,73.27
Hartleys,Groceries,87.64
Flora,Dairy,39.42
Delifrance,Bakery,48.54
Blue Diamond,Dairy,69.33
Danish,Fresh Meat,88.52
Garnier,Beauty,117.12
Muddy Boots,Fresh Meat,49.49
Remington,Beauty,29.70
Kelloggs,Groceries,16.02
Finish,Cleaning,10.55
Dave's Dairy,Dairy,14.37
Vaseline,Beauty,75.34
Vaseline,Beauty,72.27
Dave's Dairy,Dairy,112.01
Finish,Cleaning,125.34
Pedigree,Pet,91.14
Delifrance,Bakery,8.60
Roberts,Bakery,39.70
Loreal,Beauty,13.51
New Farm,Fruit and Vegetables,19.81
Richmond,Fresh Meat,54.31
Danish,Fresh Meat,3.88
Remington,Beauty,105.35
Colmans,Groceries,0.57
Vaseline,Beauty,35.00
Finish,Cleaning,62.03
Surf,Cleaning,32.70
Fairy,Cleaning,48.32
Flora,Dairy,10.70
Colmans,Groceries,63.52
Colmans,Groceries,30.61
Roberts,Bakery,34.02
Hovis,Bakery,85.12
Gu,Groceries,51.83
Kelloggs,Groceries,54.23
Pedigree,Pet,1.03
Heinz,Groceries,65.18
