Colmans,Groceries,33.65
Surf,Cleaning,5.42
Heinz,Groceries,4.93
Muller,Dairy,88.69
Rowse,Groceries,52.96
Muller,Dairy,29.12
Warburtons,Bakery,24.25
Fairy,Cleaning,30.67
Go Cat,Pet,64.44
Danish,Fresh Meat,60.50
Bold,Cleaning,47.92
Florette,Fruit and Vegetables,48.51
Blue Diamond,Dairy,29.44
Surf,Cleaning,47.96
Rowse,Groceries,0.58
Heinz,Groceries,22.92
Surf,Cleaning,21.48
Surf,Cleaning,75.31
Muddy Boots,Fresh Meat,118.95
Gressingham,Fresh Meat,8.02
Colgate,Healthcare,1.20
Simple,Beauty,5.83
Warburtons,Bakery,1.59
Richmond,Fresh Meat,0.97
Vaseline,Beauty,55.62
Garnier,Beauty,101.87
Vanish,Cleaning,92.92
Blue Diamond,Dairy,32.15
Heinz,Groceries,8.45
Blue Diamond,Dairy,80.06
Finish,Cleaning,57.74
Finish,Cleaning,40.23
Loreal,Beauty,25.82
Butchers,Pet,21.19
Bold,Cleaning,41.16
Weston Veg,Fruit and Vegetables,8.25
Tropicana,Groceries,133.44
Simple,Beauty,80.09
Loreal,Beauty,52.45
Kleenex,Healthcare,5.16
Tropicana,Groceries,28.26
Andrew,Groceries,17.75
New Farm,Fruit and Vegetables,21.53
Bakers,Pet,38.45
Kleenex,Healthcare,98.99
Steve's Leaves,Fruit and Vegetables,25.88
Colgate,Healthcare,39.00
Denhay,Fresh Meat,69.47
Butchers,Pet,3.76
Dave's Dairy,Dairy,32.87
Vaseline,Beauty,45.45
Cathedral City,Groceries,36.91
Pedigree,Pet,3.18
Gressingham,Fresh Meat,13.59
Pedigree,Pet,9.39
Rowse,Groceries,95.46
Muddy Boots,Fresh Meat,21.96
Cathedral City,Groceries,18.49
Richmond,Fresh Meat,19.62
Cravendale,Dairy,84.32
Knorr,Groceries,23.43
Andrew,Groceries,106.00
Vaseline,Beauty,53.89
Cravendale,Dairy,21.50
Andrew,Groceries,10.09
Loreal,Beauty,8.57
Surf,Cleaning,21.26
Simple,Beauty,61.13
Hartleys,Groceries,79.05
Richmond,Fresh Meat,15.24
Bold,Cleaning,9.79
Loreal,Beauty,30.00
Sheba,Pet,27.02
Flora,Dairy,30.58
Denhay,Fresh Meat,37.70
Heinz,Groceries,17.10
Activia,Dairy,87.31
Finish,Cleaning,5.83
Remington,Beauty,0.10
Dave's Dairy,Dairy,97.01
Loreal,Beauty,2.99
Weston Veg,Fruit and Vegetables,17.36
Hartleys,Groceries,4.14
Kleenex,Healthcare,50.44
Butchers,Pet,18.37
Flora,Dairy,13.62
Muller,Dairy,25.54
New Farm,Fruit and Vegetables,11.34
Florette,Fruit and Vegetables,3.81
Kelloggs,Groceries,108.75
Roberts,Bakery,21.31
Florette,Fruit and Vegetables,2.76
Walkers,Groceries,10.90
Simple,Beauty,29.89
Danish,Fresh Meat,8.58
Colgate,Healthcare,93.11
Pedigree,Pet,129.68
John West,Groceries,10.56
Cravendale,Dairy,129.46
Rowse,Groceries,25.19
Hartleys,Groceries,9.68
Finish,Cleaning,6.50
Simple,Beauty,6.34
Cathedral City,Groceries,20.36
Remington,Beauty,23.54
Muller,Dairy,60.80
New Farm,Fruit and Vegetables,16.33
Walkers,Groceries,1.10
Felix,Pet,25.96
Florette,Fruit and Vegetables,21.05
Surf,Cleaning,60.01
Danish,Fresh Meat,60.12
Gu,Groceries,6.04
Gilette,Beauty,1.00
Blue Diamond,Dairy,80.79
Knorr,Groceries,16.55
Pedigree,Pet,54.72
Simple,Beauty,11.84
Denhay,Fresh Meat,14.32
Tropicana,Groceries,56.28
Muddy Boots,Fresh Meat,25.02
Heinz,Groceries,53.89
Felix,Pet,2.79
Fairy,Cleaning,4.82
Blue Diamond,Dairy,26.02
Bakers,Pet,39.01
Knorr,Groceries,36.50
Butchers,Pet,4.01
Lurpak,Dairy,17.56
Andrew,Groceries,133.64
Cravendale,Dairy,35.49
Surf,Cleaning,2.36
Simple,Beauty,20.81
Delifrance,Bakery,51.89
Weston Veg,Fruit and Vegetables,29.91
Colmans,Groceries,52.47
Gilette,Beauty,3.44
Vanish,Cleaning,10.18
Kelloggs,Groceries,12.38
Knorr,Groceries,4.83
Andrew,Groceries,28.87
Tropicana,Groceries,114.34
Andrew,Groceries,9.56
Gilette,Beauty,67.56
Kleenex,Healthcare,5.93
Surf,Cleaning,34.22
Weston Veg,Fruit and Vegetables,67.74
Vanish,Cleaning,54.46
Pedigree,Pet,9.75
Rowse,Groceries,56.37
Cravendale,Dairy,55.23
Gressingham,Fresh Meat,93.18
Andrew,Groceries,19.50
Blue Diamond,Dairy,36.67
New Farm,Fruit and Vegetables,75.48
Kleenex,Healthcare,5.83
Sheba,Pet,57.86
Colmans,Groceries,107.51
Simple,Beauty,132.53
Cravendale,Dairy,33.20
Gu,Groceries,90.54
Kleenex,Healthcare,34.95
Loreal,Beauty,30.31
Hovis,Bakery,3.73
Heinz,Groceries,59.53
Dave's Dairy,Dairy,7.34
Loreal,Beauty,3.71
Butchers,Pet,89.09
Colmans,Groceries,1.12
Steve's Leaves,Fruit and Vegetables,102.94
Vaseline,Beauty,110.06
Bakers,Pet,2.31
Finish,Cleaning,94.79
Activia,Dairy,15.90
Gressingham,Fresh Meat,46.12
Fairy,Cleaning,9.82
Colgate,Healthcare,58.02
Vanish,Cleaning,50.06
Rowse,Groceries,6.02
Denhay,Fresh Meat,25.24
Blue Diamond,Dairy,44.57
Go Cat,Pet,12.45
Roberts,Bakery,12.20
John West,Groceries,3.78
Pedigree,Pet,14.87
Weston Veg,Fruit and Vegetables,8.92
Flora,Dairy,14.70
Activia,Dairy,27.83
Muddy Boots,Fresh Meat,31.06
Gilette,Beauty,18.02
Vaseline,Beauty,65.99
Lurpak,Dairy,3.24
Knorr,Groceries,17.62
Tropicana,Groceries,1.14
Richmond,Fresh Meat,31.62
Rowse,Groceries,88.47
Bakers,Pet,30.34
Vaseline,Beauty,32.51
Butchers,Pet,40.96
Gilette,Beauty,100.21
Muddy Boots,Fresh Meat,2.46
Dave's Dairy,Dairy,49.55
Andrew,Groceries,3.87
Blue Diamond,Dairy,7.90
Cravendale,Dairy,21.12
Gressingham,Fresh Meat,102.82
Tropicana,Groceries,33.59
Rowse,Groceries,22.90
Butchers,Pet,145.86
New Farm,Fruit and Vegetables,13.57
Simple,Beauty,16.74
Hartleys,Groceries,26.03
Gilette,Beauty,1.40
Pedigree,Pet,22.98
Remington,Beauty,1.37
New Farm,Fruit and Vegetables,18.27
Pedigree,Pet,9.61
Bold,Cleaning,75.93
Garnier,Beauty,5.08
Walkers,Groceries,72.67
Florette,Fruit and Vegetables,0.26
New Farm,Fruit and Vegetables,68.73
Gressingham,Fresh Meat,8.76
Cravendale,Dairy,11.03
Activia,Dairy,4.11
Cathedral City,Groceries,4.19
Go Cat,Pet,43.36
Steve's Leaves,Fruit and Vegetables,15.61
Garnier,Beauty,42.97
Bakers,Pet,88.34
Butchers,Pet,51.34
Kleenex,Healthcare,5.83
Finish,Cleaning,72.10
Loreal,Beauty,17.11
Loreal,Beauty,12.89
Kleenex,Healthcare,58.18
Vanish,Cleaning,139.72
Garnier,Beauty,18.21
Muddy Boots,Fresh Meat,56.53
Vaseline,Beauty,50.01
New Farm,Fruit and Vegetables,12.79
