Kelloggs,Groceries,12.24
Gilette,Beauty,7.49
Flora,Dairy,40.26
Go Cat,Pet,11.10
Roberts,Bakery,53.54
Vanish,Cleaning,131.05
Felix,Pet,1.82
Dave's Dairy,Dairy,8.16
Richmond,Fresh Meat,18.65
Roberts,Bakery,53.73
Cravendale,Dairy,19.84
Gilette,Beauty,14.07
Finish,Cleaning,108.53
Muddy Boots,Fresh Meat,38.65
Hovis,Bakery,37.14
Delifrance,Bakery,29.60
Bakers,Pet,115.10
Felix,Pet,14.25
Dave's Dairy,Dairy,69.38
Fairy,Cleaning,11.21
Blue Diamond,Dairy,6.21
Flora,Dairy,19.99
Knorr,Groceries,21.59
Kelloggs,Groceries,23.70
Garnier,Beauty,26.66
Heinz,Groceries,49.87
Activia,Dairy,120.33
Butchers,Pet,34.72
Cathedral City,Groceries,80.36
Loreal,Beauty,42.83
Knorr,Groceries,5.27
Richmond,Fresh Meat,5.87
Bold,Cleaning,26.36
Sheba,Pet,3.93
Walkers,Groceries,84.40
Activia,Dairy,87.98
Denhay,Fresh Meat,3.75
Warburtons,Bakery,25.00
Heinz,Groceries,85.21
Gilette,Beauty,15.59
Walkers,Groceries,138.39
Rowse,Groceries,123.89
Andrew,Groceries,12.32
Garnier,Beauty,46.01
John West,Groceries,7.95
Muddy Boots,Fresh Meat,82.83
Dave's Dairy,Dairy,42.97
Gilette,Beauty,34.72
Sheba,Pet,2.92
Vanish,Cleaning,43.20
Finish,Cleaning,45.43
Butchers,Pet,90.72
Gressingham,Fresh Meat,58.64
Danish,Fresh Meat,37.03
Vaseline,Beauty,11.31
Fairy,Cleaning,80.73
Colgate,Healthcare,2.94
Felix,Pet,45.99
Andrew,Groceries,14.61
Knorr,Groceries,91.63
Steve's Leaves,Fruit and Vegetables,34.52
Weston Veg,Fruit and Vegetables,3.34
Gilette,Beauty,15.32
Roberts,Bakery,26.27
Vaseline,Beauty,106.77
Roberts,Bakery,57.73
Steve's Leaves,Fruit and Vegetables,24.44
Vanish,Cleaning,37.07
Kelloggs,Groceries,19.58
Rowse,Groceries,36.73
Colgate,Healthcare,91.69
Denhay,Fresh Meat,20.29
Fairy,Cleaning,43.84
Heinz,Groceries,70.65
Hartleys,Groceries,36.62
Gilette,Beauty,73.33
Heinz,Groceries,4.72
Roberts,Bakery,34.05
Andrew,Groceries,9.07
Bold,Cleaning,26.59
Felix,Pet,16.00
Surf,Cleaning,0.31
Kleenex,Healthcare,2.54
Finish,Cleaning,40.80
Muddy Boots,Fresh Meat,76.61
Bold,Cleaning,47.04
Bold,Cleaning,21.65
Rowse,Groceries,22.27
Andrew,Groceries,22.82
Andrew,Groceries,16.97
Felix,Pet,59.11
Dave's Dairy,Dairy,4.72
Steve's Leaves,Fruit and Vegetables,18.60
Hovis,Bakery,64.25
Walkers,Groceries,30.34
Go Cat,Pet,3.67
Kleenex,Healthcare,40.79
Colgate,Healthcare,0.03
Vaseline,Beauty,25.74
Cathedral City,Groceries,2.24
Sheba,Pet,2.86
Hovis,Bakery,80.28
Denhay,Fresh Meat,15.81
Blue Diamond,Dairy,88.54
Vanish,Cleaning,26.30
Vaseline,Beauty,7.80
Butchers,Pet,56.87
Gressingham,Fresh Meat,88.92
Danish,Fresh Meat,95.46
High Farm,Fruit and Vegetables,95.48
Gu,Groceries,80.41
Pedigree,Pet,25.25
Flora,Dairy,112.51
Steve's Leaves,Fruit and Vegetables,5.26
Hartleys,Groceries,5.91
Rowse,Groceries,75.76
New Farm,Fruit and Vegetables,0.12
Rowse,Groceries,19.25
Kleenex,Healthcare,10.42
Sheba,Pet,0.31
Butchers,Pet,52.23
Kleenex,Healthcare,14.49
Dave's Dairy,Dairy,98.97
Simple,Beauty,57.14
Colmans,Groceries,24.78
Steve's Leaves,Fruit and Vegetables,12.97
John West,Groceries,42.73
Hovis,Bakery,98.13
Warburtons,Bakery,36.75
Kleenex,Healthcare,27.01
New Farm,Fruit and Vegetables,41.02
Go Cat,Pet,33.77
Gu,Groceries,16.33
Blue Diamond,Dairy,137.82
Go Cat,Pet,11.31
Simple,Beauty,53.34
Butchers,Pet,51.73
Felix,Pet,0.90
Heinz,Groceries,55.96
Muddy Boots,Fresh Meat,17.45
Heinz,Groceries,13.11
Weston Veg,Fruit and Vegetables,23.11
Vaseline,Beauty,31.78
Andrew,Groceries,3.81
Activia,Dairy,43.68
Garnier,Beauty,46.84
Flora,Dairy,2.72
Remington,Beauty,43.23
Kelloggs,Groceries,12.87
John West,Groceries,18.97
Hartleys,Groceries,0.52
Gilette,Beauty,73.91
Florette,Fruit and Vegetables,29.17
Kelloggs,Groceries,24.26
Finish,Cleaning,43.55
Knorr,Groceries,6.82
Hartleys,Groceries,0.85
Felix,Pet,17.91
Delifrance,Bakery,67.65
Danish,Fresh Meat,8.51
Heinz,Groceries,40.41
Loreal,Beauty,72.05
Kelloggs,Groceries,20.64
Rowse,Groceries,61.16
Loreal,Beauty,23.06
Finish,Cleaning,20.22
Bakers,Pet,57.18
Blue Diamond,Dairy,102.53
Gilette,Beauty,112.37
Bakers,Pet,133.15
Tropicana,Groceries,19.64
Hovis,Bakery,12.88
Roberts,Bakery,22.93
Heinz,Groceries,4.77
Colmans,Groceries,5.39
Hovis,Bakery,34.91
Flora,Dairy,71.59
Kleenex,Healthcare,5.90
Bakers,Pet,24.43
Richmond,Fresh Meat,47.49
Blue Diamond,Dairy,45.32
Warburtons,Bakery,57.61
Pedigree,Pet,0.94
Gressingham,Fresh Meat,24.61
Bold,Cleaning,88.69
Walkers,Groceries,55.73
Kelloggs,Groceries,29.28
Vanish,Cleaning,29.42
Heinz,Groceries,54.95
Butchers,Pet,48.68
Knorr,Groceries,44.57
Activia,Dairy,34.72
Gu,Groceries,5.28
Sheba,Pet,29.51
High Farm,Fruit and Vegetables,7.88
New Farm,Fruit and Vegetables,50.09
Florette,Fruit and Vegetables,88.27
Dave's Dairy,Dairy,66.92
Dave's Dairy,Dairy,29.68
Kleenex,Healthcare,24.21
Simple,Beauty,97.71
Colmans,Groceries,118.30
Dave's Dairy,Dairy,50.60
Heinz,Groceries,39.20
Loreal,Beauty,13.82
Bakers,Pet,4.98
Warburtons,Bakery,64.60
Hovis,Bakery,26.81
Danish,Fresh Meat,52.28
Loreal,Beauty,1.14
Sheba,Pet,130.19
Dave's Dairy,Dairy,49.51
Pedigree,Pet,4.75
Knorr,Groceries,25.19
Richmond,Fresh Meat,83.31
Vanish,Cleaning,26.17
Knorr,Groceries,10.42
Dave's Dairy,Dairy,20.47
Colgate,Healthcare,101.02
Denhay,Fresh Meat,12.77
Weston Veg,Fruit and Vegetables,36.59
Weston Veg,Fruit and Vegetables,15.44
Bold,Cleaning,55.65
Felix,Pet,0.26
Bakers,Pet,130.60
Kleenex,Healthcare,34.54
Activia,Dairy,13.92
Walkers,Groceries,0.81
Garnier,Beauty,23.62
Flora,Dairy,54.04
Activia,Dairy,88.54
Colgate,Healthcare,45.72
Florette,Fruit and Vegetables,32.16
Colmans,Groceries,0.57
Richmond,Fresh Meat,52.65
Vaseline,Beauty,37.81
