Delifrance,Bakery,13.46
John West,Groceries,9.44
Florette,Fruit and Vegetables,2.07
Walkers,Groceries,4.26
Kleenex,Healthcare,21.24
Steve's Leaves,Fruit and Vegetables,38.77
Colmans,Groceries,37.24
Hartleys,Groceries,30.74
Pedigree,Pet,28.26
Kelloggs,Groceries,8.34
Hovis,Bakery,21.20
Danish,Fresh Meat,35.59
Remington,Beauty,63.19
Roberts,Bakery,0.88
Muddy Boots,Fresh Meat,37.02
Andrew,Groceries,3.55
Gilette,Beauty,4.83
Colmans,Groceries,5.51
Andrew,Groceries,5.12
Butchers,Pet,101.00
Lurpak,Dairy,57.92
Garnier,Beauty,9.98
Remington,Beauty,62.28
Colmans,Groceries,38.49
Go Cat,Pet,2.28
Colgate,Healthcare,52.76
New Farm,Fruit and Vegetables,36.83
Dave's Dairy,Dairy,1.37
Delifrance,Bakery,36.70
Activia,Dairy,1.98
Vanish,Cleaning,50.84
Heinz,Groceries,42.52
Gu,Groceries,51.23
Go Cat,Pet,0.85
Knorr,Groceries,87.57
Weston Veg,Fruit and Vegetables,59.79
Surf,Cleaning,20.66
Rowse,Groceries,27.19
Colgate,Healthcare,3.38
Go Cat,Pet,139.43
Go Cat,Pet,3.91
Lurpak,Dairy,90.97
Colgate,Healthcare,64.28
Muddy Boots,Fresh Meat,95.57
Tropicana,Groceries,21.88
Rowse,Groceries,28.48
Hovis,Bakery,50.60
Weston Veg,Fruit and Vegetables,8.84
Andrew,Groceries,6.24
Colmans,Groceries,51.50
Loreal,Beauty,87.43
Andrew,Groceries,0.03
Garnier,Beauty,73.41
Heinz,Groceries,17.90
High Farm,Fruit and Vegetables,43.25
Pedigree,Pet,67.83
Simple,Beauty,57.40
Bakers,Pet,25.27
Fairy,Cleaning,22.96
Pedigree,Pet,43.12
Activia,Dairy,131.44
Walkers,Groceries,13.73
Richmond,Fresh Meat,59.37
Muller,Dairy,82.65
Finish,Cleaning,13.97
Butchers,Pet,1.70
Bakers,Pet,35.26
Colgate,Healthcare,4.84
Blue Diamond,Dairy,0.99
Hartleys,Groceries,78.19
Warburtons,Bakery,6.55
Cathedral City,Groceries,11.33
Hartleys,Groceries,34.02
Remington,Beauty,110.87
Colmans,Groceries,63.74
Bakers,Pet,17.10
Pedigree,Pet,39.68
Lurpak,Dairy,100.17
Vanish,Cleaning,68.07
Muller,Dairy,7.87
Kelloggs,Groceries,23.98
Garnier,Beauty,30.03
Hartleys,Groceries,61.99
Hovis,Bakery,20.30
