Heinz,Groceries,135.00
Sheba,Pet,58.79
Felix,Pet,0.28
Delifrance,Bakery,5.97
Colmans,Groceries,35.83
Gilette,Beauty,1.56
Roberts,Bakery,18.77
Delifrance,Bakery,54.08
Butchers,Pet,10.66
Activia,Dairy,2.64
Activia,Dairy,59.12
Denhay,Fresh Meat,1.59
Colgate,Healthcare,42.24
Hovis,Bakery,29.75
Lurpak,Dairy,3.38
Muddy Boots,Fresh Meat,47.71
Butchers,Pet,2.47
Pedigree,Pet,40.82
Bold,Cleaning,14.87
Bold,Cleaning,4.71
Richmond,Fresh Meat,3.95
Bold,Cleaning,21.03
Cravendale,Dairy,30.04
Rowse,Groceries,83.15
John West,Groceries,2.63
Rowse,Groceries,26.05
Flora,Dairy,103.42
Muller,Dairy,1.85
Bakers,Pet,61.17
Florette,Fruit and Vegetables,53.69
Danish,Fresh Meat,28.37
Cathedral City,Groceries,26.22
Cathedral City,Groceries,2.14
John West,Groceries,2.00
Roberts,Bakery,7.24
Garnier,Beauty,7.93
Bold,Cleaning,89.45
Finish,Cleaning,3.10
Cathedral City,Groceries,5.40
Roberts,Bakery,31.15
Cathedral City,Groceries,6.52
Pedigree,Pet,12.79
Andrew,Groceries,52.14
Denhay,Fresh Meat,6.18
Vanish,Cleaning,71.66
Muller,Dairy,48.50
Pedigree,Pet,93.29
Simple,Beauty,8.73
Walkers,Groceries,28.84
Simple,Beauty,0.29
High Farm,Fruit and Vegetables,67.54
Activia,Dairy,17.97
Kelloggs,Groceries,34.19
Tropicana,Groceries,63.04
Finish,Cleaning,25.45
Steve's Leaves,Fruit and Vegetables,1.59
Bold,Cleaning,38.95
Fairy,Cleaning,60.70
Finish,Cleaning,127.26
Remington,Beauty,33.46
Steve's Leaves,Fruit and Vegetables,18.81
Florette,Fruit and Vegetables,65.49
Finish,Cleaning,30.11
New Farm,Fruit and Vegetables,82.76
Hovis,Bakery,22.59
Delifrance,Bakery,53.88
Knorr,Groceries,26.77
Tropicana,Groceries,65.64
New Farm,Fruit and Vegetables,49.19
Dave's Dairy,Dairy,20.56
Loreal,Beauty,99.93
Simple,Beauty,24.02
Knorr,Groceries,134.81
John West,Groceries,3.40
Kelloggs,Groceries,12.06
Lurpak,Dairy,28.83
Dave's Dairy,Dairy,18.73
New Farm,Fruit and Vegetables,1.49
Vaseline,Beauty,44.35
Go Cat,Pet,19.82
Weston Veg,Fruit and Vegetables,67.74
Dave's Dairy,Dairy,11.10
Colgate,Healthcare,1.41
Danish,Fresh Meat,82.27
Steve's Leaves,Fruit and Vegetables,44.14
Cathedral City,Groceries,81.79
Sheba,Pet,62.99
John West,Groceries,111.49
Flora,Dairy,102.43
Dave's Dairy,Dairy,0.52
Blue Diamond,Dairy,50.67
Knorr,Groceries,6.57
Activia,Dairy,0.47
Cathedral City,Groceries,15.21
Cravendale,Dairy,77.25
John West,Groceries,44.95
Muller,Dairy,71.27
Delifrance,Bakery,76.92
Delifrance,Bakery,104.26
Pedigree,Pet,9.60
Gilette,Beauty,69.20
Kelloggs,Groceries,10.44
Muddy Boots,Fresh Meat,25.12
Hovis,Bakery,24.15
John West,Groceries,9.76
Fairy,Cleaning,34.65
Cathedral City,Groceries,15.33
Weston Veg,Fruit and Vegetables,37.27
Bold,Cleaning,50.95
Warburtons,Bakery,13.17
Flora,Dairy,20.61
Bakers,Pet,0.58
Loreal,Beauty,41.33
Flora,Dairy,40.06
Danish,Fresh Meat,43.74
Garnier,Beauty,9.15
Fairy,Cleaning,73.83
Rowse,Groceries,60.27
Cathedral City,Groceries,51.54
Rowse,Groceries,50.84
Butchers,Pet,15.89
Cathedral City,Groceries,44.70
High Farm,Fruit and Vegetables,82.02
Heinz,Groceries,11.64
Muller,Dairy,14.38
Muller,Dairy,31.76
Dave's Dairy,Dairy,14.00
Weston Veg,Fruit and Vegetables,71.29
Surf,Cleaning,29.26
John West,Groceries,53.57
Fairy,Cleaning,86.04
Garnier,Beauty,68.84
Colmans,Groceries,78.31
Knorr,Groceries,71.30
New Farm,Fruit and Vegetables,25.47
Gu,Groceries,137.85
Gu,Groceries,8.11
Tropicana,Groceries,22.15
Flora,Dairy,66.97
Vanish,Cleaning,12.85
Cathedral City,Groceries,1.57
Knorr,Groceries,43.55
John West,Groceries,22.35
Hovis,Bakery,38.75
Felix,Pet,51.58
Kleenex,Healthcare,46.36
Roberts,Bakery,14.37
Colmans,Groceries,8.34
Remington,Beauty,39.68
Blue Diamond,Dairy,4.74
Muddy Boots,Fresh Meat,39.70
Kleenex,Healthcare,23.78
Blue Diamond,Dairy,18.58
Sheba,Pet,32.81
Pedigree,Pet,29.95
Surf,Cleaning,20.61
Remington,Beauty,62.63
Dave's Dairy,Dairy,15.01
Weston Veg,Fruit and Vegetables,76.22
Rowse,Groceries,25.09
Go Cat,Pet,0.85
Simple,Beauty,27.76
Knorr,Groceries,13.89
Gilette,Beauty,93.07
Gu,Groceries,14.47
Finish,Cleaning,70.24
Fairy,Cleaning,14.70
Kelloggs,Groceries,46.65
John West,Groceries,20.94
Denhay,Fresh Meat,4.29
Hovis,Bakery,3.32
Muller,Dairy,0.17
Knorr,Groceries,84.08
Colmans,Groceries,36.47
Remington,Beauty,7.97
Rowse,Groceries,30.52
Walkers,Groceries,35.81
Blue Diamond,Dairy,3.55
Delifrance,Bakery,45.36
Warburtons,Bakery,1.80
Walkers,Groceries,15.65
Butchers,Pet,70.33
Rowse,Groceries,34.99
Roberts,Bakery,37.24
Vaseline,Beauty,14.55
Colmans,Groceries,4.19
Cravendale,Dairy,5.66
Cravendale,Dairy,26.86
Walkers,Groceries,71.48
Delifrance,Bakery,37.71
John West,Groceries,7.34
Danish,Fresh Meat,20.41
Finish,Cleaning,44.47
Vanish,Cleaning,72.70
John West,Groceries,77.25
Weston Veg,Fruit and Vegetables,103.81
Dave's Dairy,Dairy,96.91
Gu,Groceries,54.22
Vaseline,Beauty,37.08
Tropicana,Groceries,25.76
Hartleys,Groceries,9.19
Muddy Boots,Fresh Meat,23.26
Danish,Fresh Meat,0.67
Finish,Cleaning,40.13
Andrew,Groceries,20.31
Surf,Cleaning,9.77
Cravendale,Dairy,86.48
Garnier,Beauty,50.10
John West,Groceries,9.88
Flora,Dairy,91.25
Kleenex,Healthcare,48.17
Weston Veg,Fruit and Vegetables,52.26
Weston Veg,Fruit and Vegetables,20.03
High Farm,Fruit and Vegetables,45.01
Richmond,Fresh Meat,0.86
Fairy,Cleaning,1.15
Muller,Dairy,27.55
Florette,Fruit and Vegetables,67.18
Fairy,Cleaning,18.80
Roberts,Bakery,30.13
Blue Diamond,Dairy,12.48
New Farm,Fruit and Vegetables,3.03
Steve's Leaves,Fruit and Vegetables,1.23
Finish,Cleaning,10.61
Blue Diamond,Dairy,12.57
Tropicana,Groceries,4.42
Go Cat,Pet,1.63
Gressingham,Fresh Meat,46.77
Roberts,Bakery,125.99
Bakers,Pet,21.84
Roberts,Bakery,5.75
Cravendale,Dairy,83.22
Vanish,Cleaning,5.85
Blue Diamond,Dairy,129.29
Tropicana,Groceries,7.52
Vaseline,Beauty,23.14
Dave's Dairy,Dairy,29.79
Muddy Boots,Fresh Meat,17.56
Gu,Groceries,89.99
Cravendale,Dairy,4.67
