Gu,Groceries,1.76
Fairy,Cleaning,50.67
Muddy Boots,Fresh Meat,55.22
Tropicana,Groceries,60.95
Remington,Beauty,85.17
Colgate,Healthcare,83.66
Gressingham,Fresh Meat,43.93
Gressingham,Fresh Meat,0.79
John West,Groceries,17.89
Rowse,Groceries,37.01
Dave's Dairy,Dairy,2.11
Walkers,Groceries,64.11
Cathedral City,Groceries,44.45
Finish,Cleaning,44.50
Hovis,Bakery,75.79
Lurpak,Dairy,92.43
Colmans,Groceries,11.55
Richmond,Fresh Meat,7.82
Danish,Fresh Meat,0.34
Colmans,Groceries,123.34
Weston Veg,Fruit and Vegetables,18.76
Blue Diamond,Dairy,24.33
Lurpak,Dairy,5.21
Garnier,Beauty,1.94
Flora,Dairy,80.17
Garnier,Beauty,41.75
Rowse,Groceries,112.10
New Farm,Fruit and Vegetables,17.44
Blue Diamond,Dairy,0.78
Andrew,Groceries,8.40
Muller,Dairy,65.76
Blue Diamond,Dairy,7.96
Delifrance,Bakery,18.87
Weston Veg,Fruit and Vegetables,0.90
Florette,Fruit and Vegetables,34.49
Gilette,Beauty,43.11
Go Cat,Pet,64.39
Hartleys,Groceries,8.00
Garnier,Beauty,144.48
Delifrance,Bakery,0.59
High Farm,Fruit and Vegetables,47.45
Danish,Fresh Meat,15.90
Surf,Cleaning,36.25
Rowse,Groceries,53.56
Cathedral City,Groceries,30.86
Loreal,Beauty,8.05
Bold,Cleaning,24.91
Bold,Cleaning,27.21
Bakers,Pet,0.16
Bold,Cleaning,18.65
High Farm,Fruit and Vegetables,0.80
Florette,Fruit and Vegetables,0.45
Cravendale,Dairy,95.80
Vanish,Cleaning,59.24
Tropicana,Groceries,26.31
Tropicana,Groceries,38.30
Knorr,Groceries,19.23
Danish,Fresh Meat,20.74
Kleenex,Healthcare,93.32
Hartleys,Groceries,5.46
Hovis,Bakery,8.59
Hovis,Bakery,36.99
Sheba,Pet,18.24
Walkers,Groceries,13.80
Tropicana,Groceries,50.10
Knorr,Groceries,23.64
High Farm,Fruit and Vegetables,41.14
Muller,Dairy,0.23
Vaseline,Beauty,31.14
Roberts,Bakery,2.73
Gilette,Beauty,79.15
Cravendale,Dairy,15.93
Cathedral City,Groceries,122.06
Garnier,Beauty,4.59
Simple,Beauty,1.21
Delifrance,Bakery,67.93
Danish,Fresh Meat,14.24
Loreal,Beauty,21.13
Danish,Fresh Meat,64.71
Sheba,Pet,28.93
Fairy,Cleaning,33.43
Walkers,Groceries,16.67
Florette,Fruit and Vegetables,47.53
Vaseline,Beauty,14.17
Bold,Cleaning,24.68
Knorr,Groceries,7.51
Denhay,Fresh Meat,90.28
Richmond,Fresh Meat,46.70
Cravendale,Dairy,62.32
Kelloggs,Groceries,85.65
Vanish,Cleaning,18.14
Tropicana,Groceries,45.09
Bakers,Pet,7.17
High Farm,Fruit and Vegetables,23.95
Sheba,Pet,137.05
Garnier,Beauty,118.73
Muddy Boots,Fresh Meat,97.10
Lurpak,Dairy,40.08
Colgate,Healthcare,27.20
New Farm,Fruit and Vegetables,35.11
Gressingham,Fresh Meat,49.59
Richmond,Fresh Meat,0.48
Butchers,Pet,47.69
Richmond,Fresh Meat,33.52
Walkers,Groceries,43.67
Loreal,Beauty,1.23
Denhay,Fresh Meat,81.80
Rowse,Groceries,1.95
Go Cat,Pet,28.94
High Farm,Fruit and Vegetables,130.32
Knorr,Groceries,33.73
Bold,Cleaning,0.80
Steve's Leaves,Fruit and Vegetables,65.14
Vaseline,Beauty,10.09
Colgate,Healthcare,1.15
Bold,Cleaning,31.62
Bakers,Pet,74.57
Danish,Fresh Meat,57.06
Rowse,Groceries,17.47
Hartleys,Groceries,9.12
Lurpak,Dairy,33.80
Sheba,Pet,6.41
Danish,Fresh Meat,31.48
Fairy,Cleaning,3.45
Gilette,Beauty,66.79
Kleenex,Healthcare,10.84
Felix,Pet,6.41
Danish,Fresh Meat,3.38
New Farm,Fruit and Vegetables,50.64
Blue Diamond,Dairy,104.75
Activia,Dairy,124.65
Blue Diamond,Dairy,24.89
Denhay,Fresh Meat,17.77
Kelloggs,Groceries,0.57
Garnier,Beauty,9.64
Finish,Cleaning,69.19
New Farm,Fruit and Vegetables,0.33
Gressingham,Fresh Meat,93.97
Florette,Fruit and Vegetables,113.56
Gu,Groceries,20.89
Tropicana,Groceries,23.13
Finish,Cleaning,82.11
Walkers,Groceries,26.50
Pedigree,Pet,11.77
Activia,Dairy,79.70
Walkers,Groceries,34.00
Butchers,Pet,54.28
Kleenex,Healthcare,34.78
Bakers,Pet,10.01
Kelloggs,Groceries,8.08
Activia,Dairy,62.79
Tropicana,Groceries,1.57
Roberts,Bakery,43.36
Gu,Groceries,40.67
Pedigree,Pet,58.67
Felix,Pet,5.65
Garnier,Beauty,62.99
Hartleys,Groceries,55.48
Felix,Pet,86.12
Cathedral City,Groceries,5.09
Dave's Dairy,Dairy,17.85
Loreal,Beauty,3.87
Flora,Dairy,66.44
Weston Veg,Fruit and Vegetables,58.59
Cravendale,Dairy,28.75
Lurpak,Dairy,73.42
Delifrance,Bakery,47.03
Vaseline,Beauty,12.57
Vanish,Cleaning,11.50
Colgate,Healthcare,13.61
Bold,Cleaning,19.77
John West,Groceries,46.39
John West,Groceries,42.14
Dave's Dairy,Dairy,53.31
Gu,Groceries,54.15
Fairy,Cleaning,1.14
Simple,Beauty,18.88
Kelloggs,Groceries,1.53
Muller,Dairy,88.69
Kleenex,Healthcare,111.38
Cathedral City,Groceries,8.78
Remington,Beauty,94.12
Muller,Dairy,7.19
Cathedral City,Groceries,4.62
Simple,Beauty,24.84
Dave's Dairy,Dairy,41.20
Gressingham,Fresh Meat,0.26
Lurpak,Dairy,0.61
Weston Veg,Fruit and Vegetables,8.91
Gilette,Beauty,10.19
Finish,Cleaning,11.85
Rowse,Groceries,33.18
Colmans,Groceries,12.50
Felix,Pet,112.32
Finish,Cleaning,13.42
Go Cat,Pet,91.06
Weston Veg,Fruit and Vegetables,1.09
Weston Veg,Fruit and Vegetables,40.78
Richmond,Fresh Meat,5.58
Colmans,Groceries,75.68
Surf,Cleaning,24.83
John West,Groceries,4.74
Fairy,Cleaning,64.64
Delifrance,Bakery,25.28
Activia,Dairy,9.09
Cathedral City,Groceries,30.38
Simple,Beauty,31.55
Surf,Cleaning,70.74
Denhay,Fresh Meat,18.89
Denhay,Fresh Meat,27.68
Knorr,Groceries,24.84
Warburtons,Bakery,2.22
Lurpak,Dairy,81.40
Richmond,Fresh Meat,22.78
Bakers,Pet,33.57
Hartleys,Groceries,12.31
Bold,Cleaning,14.09
Simple,Beauty,6.96
Simple,Beauty,0.06
Gu,Groceries,33.43
Loreal,Beauty,63.59
John West,Groceries,44.71
Colmans,Groceries,74.02
Hovis,Bakery,12.85
Weston Veg,Fruit and Vegetables,8.58
Muddy Boots,Fresh Meat,29.53
Tropicana,Groceries,22.51
Rowse,Groceries,61.81
Kelloggs,Groceries,12.84
Pedigree,Pet,2.63
Danish,Fresh Meat,15.83
Warburtons,Bakery,71.49
Cravendale,Dairy,20.88
Loreal,Beauty,4.45
Hovis,Bakery,20.35
Felix,Pet,101.33
Colgate,Healthcare,9.04
Sheba,Pet,16.69
Go Cat,Pet,7.57
Richmond,Fresh Meat,42.04
Vanish,Cleaning,36.73
Steve's Leaves,Fruit and Vegetables,0.93
Danish,Fresh Meat,16.62
New Farm,Fruit and Vegetables,20.45
Muller,Dairy,106.04
Fairy,Cleaning,11.07
New Farm,Fruit and Vegetables,12.92
Heinz,Groceries,73.82
Delifrance,Bakery,5.67
Vaseline,Beauty,54.04
Lurpak,Dairy,93.26
Richmond,Fresh Meat,106.46
Florette,Fruit and Vegetables,90.19
Fairy,Cleaning,88.86
Simple,Beauty,109.37
Pedigree,Pet,12.40
Fairy,Cleaning,14.40
Richmond,Fresh Meat,10.03
Weston Veg,Fruit and Vegetables,65.54
Dave's Dairy,Dairy,22.43
Heinz,Groceries,105.86
Pedigree,Pet,53.21
Dave's Dairy,Dairy,4.11
Gilette,Beauty,103.20
Hovis,Bakery,48.75
Dave's Dairy,Dairy,104.94
Sheba,Pet,36.02
Bold,Cleaning,5.61
Steve's Leaves,Fruit and Vegetables,31.55
Muller,Dairy,23.57
Vaseline,Beauty,11.10
Hartleys,Groceries,0.90
Sheba,Pet,6.77
Andrew,Groceries,5.98
Fairy,Cleaning,33.46
Finish,Cleaning,57.45
Pedigree,Pet,66.35
Gressingham,Fresh Meat,31.74
New Farm,Fruit and Vegetables,34.37
Hartleys,Groceries,20.00
Loreal,Beauty,44.85
Blue Diamond,Dairy,141.05
Hartleys,Groceries,37.45
Flora,Dairy,54.26
Muller,Dairy,11.33
Finish,Cleaning,0.89
Cravendale,Dairy,2.53
Dave's Dairy,Dairy,111.99
Hartleys,Groceries,20.82
Bakers,Pet,39.66
Florette,Fruit and Vegetables,6.22
Loreal,Beauty,3.05
Heinz,Groceries,61.38
Kleenex,Healthcare,15.84
Tropicana,Groceries,58.83
Colgate,Healthcare,17.06
Tropicana,Groceries,69.86
Gu,Groceries,0.58
Rowse,Groceries,3.14
Vanish,Cleaning,0.47
Go Cat,Pet,31.77
John West,Groceries,70.39
Hovis,Bakery,21.78
Vaseline,Beauty,18.58
Kleenex,Healthcare,7.07
Cathedral City,Groceries,40.66
Richmond,Fresh Meat,39.81
Felix,Pet,45.05
Weston Veg,Fruit and Vegetables,3.29
Simple,Beauty,50.19
Walkers,Groceries,56.59
Fairy,Cleaning,90.16
Sheba,Pet,55.45
Colmans,Groceries,138.27
Denhay,Fresh Meat,6.45
Loreal,Beauty,125.16
Go Cat,Pet,6.63
Finish,Cleaning,48.94
Surf,Cleaning,28.24
Go Cat,Pet,17.66
Bold,Cleaning,6.91
Felix,Pet,124.78
Finish,Cleaning,81.24
Loreal,Beauty,0.18
Go Cat,Pet,50.11
John West,Groceries,77.12
Cathedral City,Groceries,2.15
Knorr,Groceries,6.35
Andrew,Groceries,82.59
Colgate,Healthcare,92.34
Activia,Dairy,3.93
Gressingham,Fresh Meat,105.96
Roberts,Bakery,3.77
New Farm,Fruit and Vegetables,112.27
Remington,Beauty,29.15
Gressingham,Fresh Meat,106.34
Vaseline,Beauty,11.80
Rowse,Groceries,14.05
New Farm,Fruit and Vegetables,24.40
Steve's Leaves,Fruit and Vegetables,17.52
Delifrance,Bakery,2.49
Richmond,Fresh Meat,9.19
Cravendale,Dairy,89.50
Dave's Dairy,Dairy,38.70
Remington,Beauty,32.80
Warburtons,Bakery,116.61
Activia,Dairy,44.89
Muddy Boots,Fresh Meat,26.75
Florette,Fruit and Vegetables,7.31
Hovis,Bakery,58.98
Simple,Beauty,62.18
Vaseline,Beauty,20.33
Denhay,Fresh Meat,61.54
Knorr,Groceries,62.81
Colgate,Healthcare,32.56
Colmans,Groceries,2.71
Go Cat,Pet,7.79
Danish,Fresh Meat,12.78
Weston Veg,Fruit and Vegetables,3.04
Tropicana,Groceries,18.01
Pedigree,Pet,3.39
Roberts,Bakery,51.69
Kelloggs,Groceries,16.53
Danish,Fresh Meat,20.61
Butchers,Pet,67.77
Richmond,Fresh Meat,97.11
Colmans,Groceries,38.78
Colmans,Groceries,30.90
Loreal,Beauty,28.77
John West,Groceries,20.90
Roberts,Bakery,15.27
Florette,Fruit and Vegetables,0.49
Muddy Boots,Fresh Meat,116.21
Gilette,Beauty,19.86
Muller,Dairy,125.39
