New Farm,Fruit and Vegetables,75.78
Denhay,Fresh Meat,21.16
Roberts,Bakery,44.20
Bold,Cleaning,6.49
New Farm,Fruit and Vegetables,26.62
Tropicana,Groceries,55.73
Gilette,Beauty,34.08
High Farm,Fruit and Vegetables,108.02
Felix,Pet,102.42
Dave's Dairy,Dairy,12.44
Loreal,Beauty,37.36
New Farm,Fruit and Vegetables,45.05
Butchers,Pet,45.88
Cravendale,Dairy,4.95
New Farm,Fruit and Vegetables,21.16
Cravendale,Dairy,3.38
Warburtons,Bakery,8.21
Cravendale,Dairy,0.78
Kelloggs,Groceries,4.77
Richmond,Fresh Meat,5.00
Denhay,Fresh Meat,19.71
Gressingham,Fresh Meat,28.66
Bold,Cleaning,142.02
Dave's Dairy,Dairy,39.57
Gressingham,Fresh Meat,16.93
Richmond,Fresh Meat,102.85
Walkers,Groceries,6.12
Activia,Dairy,0.95
Hovis,Bakery,37.21
Kleenex,Healthcare,10.41
Simple,Beauty,111.98
Garnier,Beauty,50.64
Gu,Groceries,1.20
Dave's Dairy,Dairy,14.29
Cathedral City,Groceries,65.73
John West,Groceries,59.38
Bakers,Pet,2.76
Walkers,Groceries,102.93
Walkers,Groceries,2.76
Hovis,Bakery,71.21
Rowse,Groceries,6.01
Muller,Dairy,24.58
Colgate,Healthcare,6.17
Sheba,Pet,46.08
Hartleys,Groceries,5.17
Vanish,Cleaning,97.61
Colgate,Healthcare,9.59
Dave's Dairy,Dairy,1.28
Warburtons,Bakery,1.18
Richmond,Fresh Meat,65.59
New Farm,Fruit and Vegetables,13.34
Bold,Cleaning,0.55
Gilette,Beauty,1.84
Vanish,Cleaning,28.17
Tropicana,Groceries,111.29
New Farm,Fruit and Vegetables,19.63
Go Cat,Pet,47.76
Kelloggs,Groceries,1.53
Gu,Groceries,59.17
Blue Diamond,Dairy,34.05
Simple,Beauty,7.76
Walkers,Groceries,17.44
Knorr,Groceries,12.77
Vaseline,Beauty,26.30
Danish,Fresh Meat,25.86
Steve's Leaves,Fruit and Vegetables,59.19
Hovis,Bakery,72.89
Sheba,Pet,3.18
Vaseline,Beauty,6.64
Colgate,Healthcare,0.59
Dave's Dairy,Dairy,32.22
John West,Groceries,5.18
Remington,Beauty,68.20
Surf,Cleaning,5.23
Sheba,Pet,11.64
Colgate,Healthcare,12.23
Vaseline,Beauty,49.11
Muller,Dairy,52.65
Felix,Pet,8.71
Danish,Fresh Meat,4.37
Cathedral City,Groceries,1.72
Flora,Dairy,14.12
Kleenex,Healthcare,17.22
Simple,Beauty,26.47
