Andrew,Groceries,48.39
John West,Groceries,19.67
Steve's Leaves,Fruit and Vegetables,0.60
Lurpak,Dairy,11.16
Gilette,Beauty,18.75
Lurpak,Dairy,4.44
Lurpak,Dairy,35.37
Flora,Dairy,3.33
Bold,Cleaning,22.14
Walkers,Groceries,7.74
Roberts,Bakery,9.10
Weston Veg,Fruit and Vegetables,0.35
Rowse,Groceries,15.53
Surf,Cleaning,23.20
Gu,Groceries,22.87
New Farm,Fruit and Vegetables,2.74
Gressingham,Fresh Meat,51.81
Felix,Pet,12.66
Colmans,Groceries,7.13
Colgate,Healthcare,6.99
Flora,Dairy,72.61
Felix,Pet,21.82
John West,Groceries,87.75
Butchers,Pet,12.49
Gilette,Beauty,24.07
Bold,Cleaning,39.53
Cathedral City,Groceries,0.39
Blue Diamond,Dairy,3.84
Roberts,Bakery,42.51
Walkers,Groceries,13.41
Rowse,Groceries,26.43
Steve's Leaves,Fruit and Vegetables,0.21
Remington,Beauty,26.05
Richmond,Fresh Meat,69.37
Kelloggs,Groceries,9.71
Hovis,Bakery,117.43
Kelloggs,Groceries,21.22
High Farm,Fruit and Vegetables,14.69
Florette,Fruit and Vegetables,42.98
Cathedral City,Groceries,10.17
Surf,Cleaning,32.77
Delifrance,Bakery,21.60
Loreal,Beauty,53.01
Bakers,Pet,8.05
Garnier,Beauty,7.11
Fairy,Cleaning,66.84
Dave's Dairy,Dairy,1.55
Felix,Pet,46.77
Activia,Dairy,14.23
Andrew,Groceries,2.58
Surf,Cleaning,37.97
Colgate,Healthcare,20.93
Delifrance,Bakery,0.56
Florette,Fruit and Vegetables,74.33
Richmond,Fresh Meat,31.07
Sheba,Pet,48.70
Blue Diamond,Dairy,0.75
Hartleys,Groceries,34.24
Steve's Leaves,Fruit and Vegetables,45.94
Warburtons,Bakery,39.94
Flora,Dairy,42.82
Andrew,Groceries,35.60
Remington,Beauty,102.40
Felix,Pet,30.91
Lurpak,Dairy,1.03
Gilette,Beauty,92.95
Muller,Dairy,123.00
Gu,Groceries,96.26
Surf,Cleaning,110.37
Andrew,Groceries,54.82
Gilette,Beauty,102.89
Gressingham,Fresh Meat,2.57
Warburtons,Bakery,5.93
Hartleys,Groceries,44.47
Gressingham,Fresh Meat,86.84
John West,Groceries,43.29
Bold,Cleaning,70.87
Pedigree,Pet,29.32
Heinz,Groceries,24.37
Andrew,Groceries,51.87
Cathedral City,Groceries,33.20
Warburtons,Bakery,77.34
Dave's Dairy,Dairy,80.40
