New Farm,Fruit and Vegetables,87.63
Remington,Beauty,47.39
Denhay,Fresh Meat,5.27
Knorr,Groceries,48.37
New Farm,Fruit and Vegetables,19.07
Go Cat,Pet,27.02
Hartleys,Groceries,12.88
Muller,Dairy,24.87
Go Cat,Pet,71.17
Kelloggs,Groceries,82.42
Flora,Dairy,20.57
Garnier,Beauty,24.61
Bold,Cleaning,69.55
Go Cat,Pet,26.51
John West,Groceries,23.07
Loreal,Beauty,72.32
Heinz,Groceries,19.79
Andrew,Groceries,26.12
Pedigree,Pet,78.22
Blue Diamond,Dairy,54.28
Colgate,Healthcare,61.87
Weston Veg,Fruit and Vegetables,8.27
Flora,Dairy,47.68
Delifrance,Bakery,46.16
Dave's Dairy,Dairy,11.17
Muller,Dairy,21.50
Warburtons,Bakery,7.71
Go Cat,Pet,5.70
Andrew,Groceries,87.85
Tropicana,Groceries,26.92
Cravendale,Dairy,40.31
Go Cat,Pet,53.59
Gilette,Beauty,8.50
Cravendale,Dairy,17.22
Walkers,Groceries,2.95
Andrew,Groceries,105.50
Kelloggs,Groceries,5.39
Bakers,Pet,75.68
Cravendale,Dairy,37.95
Simple,Beauty,143.48
Andrew,Groceries,4.37
Kelloggs,Groceries,33.73
Cravendale,Dairy,27.67
Finish,Cleaning,105.56
Dave's Dairy,Dairy,47.29
Gilette,Beauty,13.20
Flora,Dairy,24.80
Muller,Dairy,26.04
Colgate,Healthcare,32.96
High Farm,Fruit and Vegetables,7.61
Sheba,Pet,27.39
Remington,Beauty,23.02
Vaseline,Beauty,83.59
Fairy,Cleaning,108.10
Muller,Dairy,30.81
Florette,Fruit and Vegetables,18.85
Andrew,Groceries,65.75
John West,Groceries,121.37
Butchers,Pet,30.14
Muddy Boots,Fresh Meat,82.61
Colmans,Groceries,26.62
Denhay,Fresh Meat,91.07
Lurpak,Dairy,18.33
Butchers,Pet,103.92
John West,Groceries,27.30
Roberts,Bakery,51.72
Felix,Pet,64.57
Loreal,Beauty,74.43
Steve's Leaves,Fruit and Vegetables,43.18
Knorr,Groceries,36.00
Gu,Groceries,0.24
Vaseline,Beauty,15.00
Knorr,Groceries,109.74
Andrew,Groceries,97.80
Steve's Leaves,Fruit and Vegetables,58.54
Denhay,Fresh Meat,1.47
Activia,Dairy,62.98
Muddy Boots,Fresh Meat,4.99
Felix,Pet,49.04
Walkers,Groceries,18.68
Denhay,Fresh Meat,63.92
Felix,Pet,56.18
Hartleys,Groceries,55.63
Muller,Dairy,34.22
New Farm,Fruit and Vegetables,50.68
Muddy Boots,Fresh Meat,38.16
Felix,Pet,27.66
Vaseline,Beauty,65.46
Pedigree,Pet,73.36
Dave's Dairy,Dairy,4.42
Colgate,Healthcare,8.99
Steve's Leaves,Fruit and Vegetables,23.26
Danish,Fresh Meat,19.69
Activia,Dairy,18.16
Remington,Beauty,5.95
Bold,Cleaning,53.20
Florette,Fruit and Vegetables,39.74
Gilette,Beauty,28.76
Cathedral City,Groceries,0.97
Gilette,Beauty,10.25
Denhay,Fresh Meat,1.43
Kleenex,Healthcare,64.35
Go Cat,Pet,116.74
Gu,Groceries,3.78
Colgate,Healthcare,5.31
Butchers,Pet,42.17
Loreal,Beauty,40.85
Remington,Beauty,2.44
Muddy Boots,Fresh Meat,27.99
Blue Diamond,Dairy,37.92
Flora,Dairy,95.00
Colmans,Groceries,30.49
Heinz,Groceries,73.17
Pedigree,Pet,76.89
Dave's Dairy,Dairy,22.28
High Farm,Fruit and Vegetables,20.97
Flora,Dairy,10.80
Florette,Fruit and Vegetables,81.39
Muddy Boots,Fresh Meat,90.03
Warburtons,Bakery,23.27
Gilette,Beauty,3.90
Finish,Cleaning,1.23
Knorr,Groceries,40.42
Walkers,Groceries,94.57
Sheba,Pet,47.44
Warburtons,Bakery,89.35
Remington,Beauty,38.05
Hartleys,Groceries,17.63
Simple,Beauty,28.16
Richmond,Fresh Meat,8.33
Loreal,Beauty,44.82
Knorr,Groceries,69.13
Vanish,Cleaning,1.79
Bakers,Pet,12.24
Richmond,Fresh Meat,12.83
Finish,Cleaning,17.69
Colgate,Healthcare,107.95
Heinz,Groceries,125.83
Felix,Pet,29.89
Denhay,Fresh Meat,17.40
Felix,Pet,32.19
Walkers,Groceries,0.82
Andrew,Groceries,66.49
Heinz,Groceries,54.11
Go Cat,Pet,37.13
Florette,Fruit and Vegetables,21.68
Richmond,Fresh Meat,4.96
Gressingham,Fresh Meat,63.55
Colgate,Healthcare,36.80
Gu,Groceries,30.83
Felix,Pet,65.53
Activia,Dairy,103.90
Colmans,Groceries,43.98
Andrew,Groceries,1.63
Kleenex,Healthcare,1.02
Fairy,Cleaning,11.98
Kleenex,Healthcare,19.92
Surf,Cleaning,6.14
Knorr,Groceries,75.59
Vaseline,Beauty,78.51
Gressingham,Fresh Meat,34.61
Colgate,Healthcare,3.69
Lurpak,Dairy,5.30
Activia,Dairy,2.15
Bakers,Pet,35.19
Gilette,Beauty,53.72
John West,Groceries,6.48
Surf,Cleaning,16.39
Delifrance,Bakery,23.55
Heinz,Groceries,14.37
Cathedral City,Groceries,34.94
Butchers,Pet,7.07
Felix,Pet,36.70
Danish,Fresh Meat,15.82
Go Cat,Pet,102.78
Gu,Groceries,65.47
Roberts,Bakery,5.70
Tropicana,Groceries,14.55
Bold,Cleaning,2.13
Walkers,Groceries,17.96
Rowse,Groceries,60.38
Weston Veg,Fruit and Vegetables,2.72
Roberts,Bakery,20.12
High Farm,Fruit and Vegetables,6.55
Steve's Leaves,Fruit and Vegetables,0.65
Danish,Fresh Meat,28.53
Kelloggs,Groceries,52.41
Muddy Boots,Fresh Meat,23.56
Cathedral City,Groceries,124.29
Florette,Fruit and Vegetables,40.14
Tropicana,Groceries,13.20
Gressingham,Fresh Meat,0.58
Florette,Fruit and Vegetables,2.21
Denhay,Fresh Meat,23.44
Gu,Groceries,24.89
Lurpak,Dairy,58.52
Hovis,Bakery,70.56
Pedigree,Pet,75.85
Remington,Beauty,95.15
Weston Veg,Fruit and Vegetables,32.56
Simple,Beauty,60.07
Flora,Dairy,14.10
Knorr,Groceries,27.17
Vaseline,Beauty,14.52
Hovis,Bakery,11.82
Activia,Dairy,65.51
Garnier,Beauty,23.16
Gressingham,Fresh Meat,40.46
Garnier,Beauty,38.30
Steve's Leaves,Fruit and Vegetables,69.21
Gressingham,Fresh Meat,4.36
Remington,Beauty,65.50
Simple,Beauty,10.22
Bakers,Pet,69.94
Gu,Groceries,9.08
Vanish,Cleaning,65.07
Gressingham,Fresh Meat,16.64
Heinz,Groceries,53.39
Roberts,Bakery,3.68
Sheba,Pet,44.57
Rowse,Groceries,73.52
Activia,Dairy,17.26
Simple,Beauty,53.62
Sheba,Pet,33.75
Knorr,Groceries,25.83
Bold,Cleaning,13.00
Bold,Cleaning,59.30
Denhay,Fresh Meat,16.59
New Farm,Fruit and Vegetables,6.97
Kelloggs,Groceries,8.36
Knorr,Groceries,34.06
Lurpak,Dairy,21.19
Roberts,Bakery,33.10
Kelloggs,Groceries,33.64
Andrew,Groceries,30.29
Go Cat,Pet,19.33
Walkers,Groceries,49.11
Simple,Beauty,48.57
Tropicana,Groceries,15.05
Finish,Cleaning,44.68
Colmans,Groceries,0.32
Hartleys,Groceries,27.43
Steve's Leaves,Fruit and Vegetables,2.08
Delifrance,Bakery,34.97
Bakers,Pet,7.42
Simple,Beauty,24.97
Knorr,Groceries,25.12
Hartleys,Groceries,1.28
Knorr,Groceries,14.85
Muddy Boots,Fresh Meat,46.63
Dave's Dairy,Dairy,35.01
Fairy,Cleaning,45.42
Bakers,Pet,64.17
Dave's Dairy,Dairy,8.05
Kelloggs,Groceries,6.45
Kleenex,Healthcare,2.12
Muller,Dairy,20.67
Butchers,Pet,31.65
John West,Groceries,86.95
Vanish,Cleaning,31.76
New Farm,Fruit and Vegetables,88.57
Finish,Cleaning,29.79
Cravendale,Dairy,24.62
Bakers,Pet,44.87
Muller,Dairy,32.91
Heinz,Groceries,77.28
Go Cat,Pet,91.28
Sheba,Pet,25.16
High Farm,Fruit and Vegetables,54.81
John West,Groceries,35.10
Weston Veg,Fruit and Vegetables,13.17
Tropicana,Groceries,22.20
High Farm,Fruit and Vegetables,63.51
Vaseline,Beauty,2.44
Surf,Cleaning,78.95
Remington,Beauty,13.25
New Farm,Fruit and Vegetables,4.35
Heinz,Groceries,64.10
Lurpak,Dairy,32.99
Warburtons,Bakery,15.26
Gressingham,Fresh Meat,5.61
Roberts,Bakery,4.13
Surf,Cleaning,29.08
Go Cat,Pet,94.11
Roberts,Bakery,121.79
Lurpak,Dairy,16.88
Tropicana,Groceries,4.00
Lurpak,Dairy,9.14
Hovis,Bakery,30.69
Hartleys,Groceries,40.27
Walkers,Groceries,10.34
Simple,Beauty,98.38
Florette,Fruit and Vegetables,22.49
Vanish,Cleaning,60.15
Weston Veg,Fruit and Vegetables,74.72
Tropicana,Groceries,105.36
Rowse,Groceries,0.12
Gressingham,Fresh Meat,1.96
Butchers,Pet,46.76
Cathedral City,Groceries,0.23
Kleenex,Healthcare,32.06
John West,Groceries,51.96
Finish,Cleaning,10.40
Knorr,Groceries,0.75
Butchers,Pet,23.91
Colgate,Healthcare,33.66
Fairy,Cleaning,9.33
Blue Diamond,Dairy,2.83
Surf,Cleaning,0.51
Knorr,Groceries,26.48
Go Cat,Pet,21.97
Andrew,Groceries,7.49
Colmans,Groceries,103.59
Weston Veg,Fruit and Vegetables,60.77
Gilette,Beauty,44.97
Simple,Beauty,17.67
Sheba,Pet,96.52
Remington,Beauty,81.00
Finish,Cleaning,89.86
Richmond,Fresh Meat,1.53
Andrew,Groceries,30.86
High Farm,Fruit and Vegetables,44.16
Lurpak,Dairy,34.11
High Farm,Fruit and Vegetables,77.61
Lurpak,Dairy,7.60
Go Cat,Pet,79.67
Vanish,Cleaning,46.27
Florette,Fruit and Vegetables,37.27
Florette,Fruit and Vegetables,67.35
Weston Veg,Fruit and Vegetables,42.82
Gressingham,Fresh Meat,45.51
Warburtons,Bakery,42.68
Denhay,Fresh Meat,81.25
Hovis,Bakery,51.80
Denhay,Fresh Meat,59.10
New Farm,Fruit and Vegetables,43.67
High Farm,Fruit and Vegetables,103.50
Tropicana,Groceries,36.58
Felix,Pet,109.20
Tropicana,Groceries,109.40
Blue Diamond,Dairy,29.06
Hovis,Bakery,21.15
Pedigree,Pet,10.22
Knorr,Groceries,19.76
Go Cat,Pet,41.72
Gilette,Beauty,84.26
Richmond,Fresh Meat,27.27
New Farm,Fruit and Vegetables,0.65
Flora,Dairy,146.04
Simple,Beauty,7.73
Andrew,Groceries,107.99
Muddy Boots,Fresh Meat,3.88
Loreal,Beauty,26.72
Roberts,Bakery,3.68
New Farm,Fruit and Vegetables,11.80
Butchers,Pet,4.81
Dave's Dairy,Dairy,23.11
Heinz,Groceries,18.89
Delifrance,Bakery,16.95
Flora,Dairy,38.82
Finish,Cleaning,19.30
Gilette,Beauty,1.71
Loreal,Beauty,106.09
Danish,Fresh Meat,94.48
Rowse,Groceries,56.31
Sheba,Pet,2.18
Flora,Dairy,52.14
Richmond,Fresh Meat,33.63
Gilette,Beauty,36.19
Loreal,Beauty,21.18
Muller,Dairy,119.21
Denhay,Fresh Meat,107.47
Butchers,Pet,14.91
Butchers,Pet,33.60
Loreal,Beauty,23.08
Roberts,Bakery,35.37
Gilette,Beauty,7.53
Andrew,Groceries,0.69
Steve's Leaves,Fruit and Vegetables,11.26
Activia,Dairy,70.77
Weston Veg,Fruit and Vegetables,0.01
Cravendale,Dairy,22.84
Gressingham,Fresh Meat,90.74
Florette,Fruit and Vegetables,4.44
Muller,Dairy,71.89
Knorr,Groceries,67.31
Roberts,Bakery,107.17
Delifrance,Bakery,33.68
Felix,Pet,41.18
Fairy,Cleaning,5.52
Sheba,Pet,5.03
Activia,Dairy,36.15
Andrew,Groceries,53.19
Fairy,Cleaning,17.87
Dave's Dairy,Dairy,6.50
Muller,Dairy,56.33
New Farm,Fruit and Vegetables,1.74
High Farm,Fruit and Vegetables,20.46
Bold,Cleaning,35.68
Colmans,Groceries,107.90
Bakers,Pet,29.61
Go Cat,Pet,105.15
Colgate,Healthcare,5.55
Kleenex,Healthcare,118.80
Hovis,Bakery,66.09
Roberts,Bakery,51.29
Steve's Leaves,Fruit and Vegetables,12.09
Andrew,Groceries,11.33
Cathedral City,Groceries,43.03
Kelloggs,Groceries,5.05
Butchers,Pet,17.42
Rowse,Groceries,54.19
Andrew,Groceries,84.12
Kelloggs,Groceries,62.42
Bold,Cleaning,70.56
Gressingham,Fresh Meat,15.92
Muller,Dairy,35.58
Activia,Dairy,65.50
Flora,Dairy,31.67
Remington,Beauty,24.48
New Farm,Fruit and Vegetables,3.30
Danish,Fresh Meat,66.58
Cathedral City,Groceries,10.64
Heinz,Groceries,63.24
Colmans,Groceries,43.23
Pedigree,Pet,19.50
