Steve's Leaves,Fruit and Vegetables,13.39
Andrew,Groceries,56.69
Vaseline,Beauty,22.32
Heinz,Groceries,1.16
Sheba,Pet,142.17
Flora,Dairy,64.12
Go Cat,Pet,8.33
Colmans,Groceries,39.05
Muddy Boots,Fresh Meat,19.39
Go Cat,Pet,41.72
Cravendale,Dairy,63.83
Muddy Boots,Fresh Meat,27.12
Steve's Leaves,Fruit and Vegetables,34.74
Andrew,Groceries,44.67
Bakers,Pet,53.25
Cravendale,Dairy,53.93
Cathedral City,Groceries,26.94
Danish,Fresh Meat,59.73
Cravendale,Dairy,20.43
Garnier,Beauty,8.77
High Farm,Fruit and Vegetables,23.09
Lurpak,Dairy,30.45
Loreal,Beauty,76.90
Surf,Cleaning,17.53
Colgate,Healthcare,28.51
Kelloggs,Groceries,4.34
Sheba,Pet,31.78
Activia,Dairy,107.72
Andrew,Groceries,3.64
Garnier,Beauty,3.76
Heinz,Groceries,77.31
Surf,Cleaning,3.52
John West,Groceries,3.61
Sheba,Pet,39.81
Gilette,Beauty,47.54
Flora,Dairy,14.04
Loreal,Beauty,63.17
High Farm,Fruit and Vegetables,4.63
Flora,Dairy,37.11
Gilette,Beauty,31.67
Vanish,Cleaning,28.76
Fairy,Cleaning,10.51
Loreal,Beauty,32.66
Heinz,Groceries,37.77
Florette,Fruit and Vegetables,135.65
Heinz,Groceries,29.84
Remington,Beauty,9.47
Danish,Fresh Meat,83.92
Roberts,Bakery,46.62
Cravendale,Dairy,14.63
Heinz,Groceries,63.28
Go Cat,Pet,3.62
Gressingham,Fresh Meat,74.42
Bold,Cleaning,0.79
Pedigree,Pet,36.01
Andrew,Groceries,17.47
Loreal,Beauty,37.02
Simple,Beauty,26.28
Cravendale,Dairy,52.91
Sheba,Pet,28.95
Dave's Dairy,Dairy,40.47
Richmond,Fresh Meat,148.45
Muller,Dairy,73.01
Felix,Pet,39.57
Colmans,Groceries,2.46
Sheba,Pet,8.53
Sheba,Pet,111.89
Remington,Beauty,47.27
Rowse,Groceries,122.32
Kleenex,Healthcare,18.64
Bold,Cleaning,9.37
Walkers,Groceries,48.72
Muller,Dairy,35.23
Danish,Fresh Meat,104.32
Finish,Cleaning,24.21
Surf,Cleaning,110.42
Roberts,Bakery,55.75
Walkers,Groceries,61.53
Muddy Boots,Fresh Meat,16.71
Bold,Cleaning,5.01
Cathedral City,Groceries,23.11
Sheba,Pet,39.47
Garnier,Beauty,21.15
Rowse,Groceries,6.56
Colgate,Healthcare,15.27
Muddy Boots,Fresh Meat,105.44
John West,Groceries,11.42
Gressingham,Fresh Meat,12.28
Colmans,Groceries,12.42
Sheba,Pet,13.57
Gressingham,Fresh Meat,18.83
Kelloggs,Groceries,58.98
Weston Veg,Fruit and Vegetables,8.42
Cravendale,Dairy,60.34
Butchers,Pet,55.56
Roberts,Bakery,5.69
Loreal,Beauty,0.07
Andrew,Groceries,28.94
Walkers,Groceries,6.82
Hovis,Bakery,1.20
Bold,Cleaning,18.83
Finish,Cleaning,78.04
Cravendale,Dairy,0.47
Cravendale,Dairy,11.80
Go Cat,Pet,73.50
Knorr,Groceries,21.89
Bakers,Pet,2.36
Warburtons,Bakery,16.89
Richmond,Fresh Meat,28.34
New Farm,Fruit and Vegetables,4.04
Andrew,Groceries,1.05
Cathedral City,Groceries,9.38
Bakers,Pet,4.01
Rowse,Groceries,80.81
Muddy Boots,Fresh Meat,43.27
Gu,Groceries,1.79
Dave's Dairy,Dairy,93.37
Kleenex,Healthcare,35.92
Steve's Leaves,Fruit and Vegetables,25.44
Lurpak,Dairy,83.40
Muller,Dairy,0.24
Hovis,Bakery,14.46
Gressingham,Fresh Meat,85.28
Walkers,Groceries,64.71
Bold,Cleaning,11.04
Bold,Cleaning,34.60
Activia,Dairy,5.39
Knorr,Groceries,18.30
Simple,Beauty,103.25
Bold,Cleaning,59.82
Butchers,Pet,4.63
Hovis,Bakery,48.69
Danish,Fresh Meat,45.34
Heinz,Groceries,43.90
Roberts,Bakery,33.29
Pedigree,Pet,38.46
Tropicana,Groceries,0.82
Dave's Dairy,Dairy,29.77
Pedigree,Pet,33.25
Butchers,Pet,2.49
Hartleys,Groceries,25.07
Danish,Fresh Meat,17.58
Colmans,Groceries,9.63
Tropicana,Groceries,45.70
Bold,Cleaning,11.68
Hovis,Bakery,0.37
Activia,Dairy,56.66
Kleenex,Healthcare,19.51
Go Cat,Pet,1.58
Fairy,Cleaning,33.19
Butchers,Pet,8.11
Kelloggs,Groceries,37.09
Florette,Fruit and Vegetables,13.42
Vaseline,Beauty,51.27
Heinz,Groceries,0.96
Vanish,Cleaning,7.14
Gressingham,Fresh Meat,35.52
Remington,Beauty,7.58
Colmans,Groceries,8.52
Muddy Boots,Fresh Meat,1.66
High Farm,Fruit and Vegetables,102.05
Blue Diamond,Dairy,19.58
Sheba,Pet,20.04
Weston Veg,Fruit and Vegetables,64.69
Muddy Boots,Fresh Meat,101.25
Remington,Beauty,22.96
Bakers,Pet,45.80
Bakers,Pet,48.97
Gressingham,Fresh Meat,1.02
Vaseline,Beauty,13.80
Bold,Cleaning,23.68
Simple,Beauty,64.84
Felix,Pet,34.43
Delifrance,Bakery,79.69
Sheba,Pet,98.83
Lurpak,Dairy,18.46
Bakers,Pet,116.94
Richmond,Fresh Meat,14.04
Tropicana,Groceries,37.33
Gilette,Beauty,72.75
Bold,Cleaning,64.29
Colmans,Groceries,130.30
Gu,Groceries,15.39
Warburtons,Bakery,8.29
Steve's Leaves,Fruit and Vegetables,75.60
Simple,Beauty,90.43
Denhay,Fresh Meat,5.87
Muller,Dairy,24.57
Loreal,Beauty,48.73
Kleenex,Healthcare,0.49
Roberts,Bakery,89.10
Vaseline,Beauty,63.77
High Farm,Fruit and Vegetables,72.33
Muddy Boots,Fresh Meat,28.58
Colgate,Healthcare,45.85
Hartleys,Groceries,15.34
Walkers,Groceries,91.36
Pedigree,Pet,0.71
Cravendale,Dairy,82.84
Florette,Fruit and Vegetables,42.33
Kleenex,Healthcare,108.19
Cathedral City,Groceries,83.73
Kleenex,Healthcare,16.35
Muddy Boots,Fresh Meat,40.63
Butchers,Pet,0.06
Fairy,Cleaning,46.14
Weston Veg,Fruit and Vegetables,29.96
Simple,Beauty,4.65
Gu,Groceries,59.00
Weston Veg,Fruit and Vegetables,39.55
Heinz,Groceries,69.54
Surf,Cleaning,22.83
Danish,Fresh Meat,10.90
Muddy Boots,Fresh Meat,23.98
Warburtons,Bakery,4.32
Loreal,Beauty,1.91
Roberts,Bakery,6.87
Walkers,Groceries,12.06
Denhay,Fresh Meat,27.30
Rowse,Groceries,48.18
Blue Diamond,Dairy,2.88
Weston Veg,Fruit and Vegetables,3.62
Lurpak,Dairy,21.78
Lurpak,Dairy,35.28
Denhay,Fresh Meat,24.08
Hartleys,Groceries,22.35
Muddy Boots,Fresh Meat,9.30
Felix,Pet,3.12
Finish,Cleaning,76.63
Hovis,Bakery,19.41
Cravendale,Dairy,19.75
Walkers,Groceries,6.27
High Farm,Fruit and Vegetables,34.25
Walkers,Groceries,56.84
Bold,Cleaning,46.68
Felix,Pet,18.88
Garnier,Beauty,12.62
Vanish,Cleaning,52.80
Garnier,Beauty,119.45
Kelloggs,Groceries,125.08
Fairy,Cleaning,53.51
Loreal,Beauty,3.88
Muddy Boots,Fresh Meat,26.61
Colgate,Healthcare,8.01
Sheba,Pet,67.76
Go Cat,Pet,33.52
Surf,Cleaning,77.08
Pedigree,Pet,10.22
Danish,Fresh Meat,12.08
Gilette,Beauty,6.32
Roberts,Bakery,30.28
Colmans,Groceries,5.31
Gilette,Beauty,12.97
Remington,Beauty,45.95
John West,Groceries,116.66
Kelloggs,Groceries,84.18
Denhay,Fresh Meat,13.80
Remington,Beauty,14.18
Roberts,Bakery,30.91
Weston Veg,Fruit and Vegetables,53.29
Blue Diamond,Dairy,103.45
Butchers,Pet,17.71
Colgate,Healthcare,13.02
Vanish,Cleaning,21.09
Warburtons,Bakery,27.21
Andrew,Groceries,12.76
Weston Veg,Fruit and Vegetables,58.45
