Walkers,Groceries,25.51
Blue Diamond,Dairy,102.78
Gressingham,Fresh Meat,7.56
New Farm,Fruit and Vegetables,72.74
Richmond,Fresh Meat,5.50
John West,Groceries,10.13
Bold,Cleaning,81.05
Activia,Dairy,21.72
Weston Veg,Fruit and Vegetables,15.45
High Farm,Fruit and Vegetables,1.84
Steve's Leaves,Fruit and Vegetables,29.40
Remington,Beauty,97.98
Colgate,Healthcare,39.16
Walkers,Groceries,2.21
John West,Groceries,106.85
Fairy,Cleaning,32.26
Blue Diamond,Dairy,10.05
New Farm,Fruit and Vegetables,23.77
Heinz,Groceries,16.44
Hartleys,Groceries,23.28
John West,Groceries,8.65
Simple,Beauty,30.11
Warburtons,Bakery,36.99
Flora,Dairy,40.25
Go Cat,Pet,32.37
Cravendale,Dairy,11.29
Activia,Dairy,132.45
Florette,Fruit and Vegetables,93.58
Bold,Cleaning,2.66
Butchers,Pet,18.74
Finish,Cleaning,38.24
Felix,Pet,29.44
Walkers,Groceries,2.39
Rowse,Groceries,29.94
High Farm,Fruit and Vegetables,41.68
Denhay,Fresh Meat,69.82
Weston Veg,Fruit and Vegetables,10.51
Richmond,Fresh Meat,62.63
Kleenex,Healthcare,11.74
Gressingham,Fresh Meat,59.87
Simple,Beauty,14.61
Garnier,Beauty,104.25
Warburtons,Bakery,118.30
Hovis,Bakery,60.07
Weston Veg,Fruit and Vegetables,13.42
Loreal,Beauty,8.80
Knorr,Groceries,50.76
Colmans,Groceries,65.02
Roberts,Bakery,55.63
Delifrance,Bakery,34.55
Colmans,Groceries,3.32
Kleenex,Healthcare,63.10
Andrew,Groceries,31.21
Felix,Pet,69.93
Gilette,Beauty,19.10
New Farm,Fruit and Vegetables,61.02
Felix,Pet,17.26
Go Cat,Pet,17.70
Gilette,Beauty,114.41
Weston Veg,Fruit and Vegetables,18.50
Loreal,Beauty,12.54
Roberts,Bakery,68.34
Cathedral City,Groceries,96.50
Dave's Dairy,Dairy,115.38
