Remington,Beauty,47.78
Florette,Fruit and Vegetables,36.89
Richmond,Fresh Meat,0.38
Bold,Cleaning,14.93
Flora,Dairy,68.42
Bold,Cleaning,6.39
Muller,Dairy,81.02
Tropicana,Groceries,43.72
John West,Groceries,5.26
Bakers,Pet,7.05
Steve's Leaves,Fruit and Vegetables,38.37
Fairy,Cleaning,83.43
John West,Groceries,14.17
Weston Veg,Fruit and Vegetables,10.80
Kelloggs,Groceries,45.63
Remington,Beauty,1.26
Gressingham,Fresh Meat,20.38
Sheba,Pet,2.58
Steve's Leaves,Fruit and Vegetables,18.18
Florette,Fruit and Vegetables,1.85
Dave's Dairy,Dairy,6.92
Walkers,Groceries,114.99
Lurpak,Dairy,72.73
Loreal,Beauty,28.69
Colgate,Healthcare,18.05
Florette,Fruit and Vegetables,61.19
Surf,Cleaning,16.09
Dave's Dairy,Dairy,23.54
Dave's Dairy,Dairy,3.69
Vanish,Cleaning,95.55
Heinz,Groceries,135.64
Gu,Groceries,16.46
Go Cat,Pet,1.61
Denhay,Fresh Meat,65.29
Kleenex,Healthcare,47.45
Hovis,Bakery,11.11
Dave's Dairy,Dairy,0.66
Walkers,Groceries,3.73
Roberts,Bakery,57.66
Knorr,Groceries,10.21
Butchers,Pet,0.91
Go Cat,Pet,37.74
Colmans,Groceries,68.22
Hovis,Bakery,108.68
Muddy Boots,Fresh Meat,60.09
Dave's Dairy,Dairy,30.02
Go Cat,Pet,3.13
Muddy Boots,Fresh Meat,105.83
Bold,Cleaning,129.16
Simple,Beauty,21.64
Activia,Dairy,47.66
Flora,Dairy,5.98
Lurpak,Dairy,50.33
Kleenex,Healthcare,132.16
Bold,Cleaning,16.16
Flora,Dairy,12.04
Gressingham,Fresh Meat,66.68
Fairy,Cleaning,1.29
Tropicana,Groceries,51.64
Colgate,Healthcare,17.55
Vaseline,Beauty,9.67
Richmond,Fresh Meat,14.61
Weston Veg,Fruit and Vegetables,42.99
Flora,Dairy,80.05
New Farm,Fruit and Vegetables,28.54
Gressingham,Fresh Meat,26.53
Steve's Leaves,Fruit and Vegetables,16.48
Vanish,Cleaning,7.23
Denhay,Fresh Meat,6.34
Surf,Cleaning,7.40
Gilette,Beauty,26.22
Simple,Beauty,55.96
