Go Cat,Pet,8.76
Flora,Dairy,1.35
Lurpak,Dairy,42.86
Gilette,Beauty,1.73
Delifrance,Bakery,1.45
Loreal,Beauty,17.00
Vanish,Cleaning,17.70
Warburtons,Bakery,12.46
Richmond,Fresh Meat,63.03
Vanish,Cleaning,107.82
Bakers,Pet,8.55
Vanish,Cleaning,88.90
Go Cat,Pet,19.21
Heinz,Groceries,7.15
Lurpak,Dairy,41.03
Warburtons,Bakery,60.86
Danish,Fresh Meat,41.19
Heinz,Groceries,71.10
Heinz,Groceries,70.49
Vaseline,Beauty,19.16
Heinz,Groceries,19.34
Bakers,Pet,8.97
New Farm,Fruit and Vegetables,21.83
New Farm,Fruit and Vegetables,29.73
Warburtons,Bakery,40.23
Steve's Leaves,Fruit and Vegetables,37.35
Andrew,Groceries,100.25
Delifrance,Bakery,48.59
Tropicana,Groceries,62.43
Pedigree,Pet,20.80
Richmond,Fresh Meat,59.61
Felix,Pet,0.02
Finish,Cleaning,32.78
Remington,Beauty,26.57
Knorr,Groceries,74.83
Warburtons,Bakery,12.17
Colmans,Groceries,10.16
Hovis,Bakery,64.09
Remington,Beauty,95.06
Vaseline,Beauty,40.89
Go Cat,Pet,6.18
Gilette,Beauty,49.83
Muddy Boots,Fresh Meat,25.08
Hovis,Bakery,5.28
Remington,Beauty,12.56
Lurpak,Dairy,9.36
John West,Groceries,133.33
Gu,Groceries,5.06
Walkers,Groceries,25.29
Lurpak,Dairy,1.04
Blue Diamond,Dairy,19.67
Butchers,Pet,14.37
Kelloggs,Groceries,0.29
Remington,Beauty,17.49
Cravendale,Dairy,2.74
Cravendale,Dairy,65.46
Felix,Pet,18.48
John West,Groceries,49.41
Gu,Groceries,6.41
Garnier,Beauty,107.22
New Farm,Fruit and Vegetables,24.30
Kleenex,Healthcare,40.17
Colmans,Groceries,41.35
Muller,Dairy,44.07
Cathedral City,Groceries,24.85
Finish,Cleaning,54.29
Muller,Dairy,55.24
Activia,Dairy,125.72
Bakers,Pet,2.46
Fairy,Cleaning,8.65
Cathedral City,Groceries,10.02
Simple,Beauty,10.12
Steve's Leaves,Fruit and Vegetables,15.05
Go Cat,Pet,23.63
Richmond,Fresh Meat,21.30
Blue Diamond,Dairy,13.16
Tropicana,Groceries,78.80
Dave's Dairy,Dairy,16.00
Gressingham,Fresh Meat,28.51
Richmond,Fresh Meat,33.87
Gu,Groceries,8.05
Kleenex,Healthcare,42.10
Delifrance,Bakery,45.75
Florette,Fruit and Vegetables,84.30
Danish,Fresh Meat,16.82
Remington,Beauty,96.99
Denhay,Fresh Meat,8.25
Muddy Boots,Fresh Meat,26.99
John West,Groceries,53.33
Cathedral City,Groceries,3.20
Activia,Dairy,56.32
Warburtons,Bakery,32.70
Weston Veg,Fruit and Vegetables,35.16
Finish,Cleaning,57.07
Butchers,Pet,77.64
Gilette,Beauty,46.76
Roberts,Bakery,87.87
Surf,Cleaning,79.91
Hartleys,Groceries,33.96
Surf,Cleaning,28.39
Florette,Fruit and Vegetables,123.34
Delifrance,Bakery,26.35
Gressingham,Fresh Meat,52.04
John West,Groceries,58.08
Hovis,Bakery,26.60
Gressingham,Fresh Meat,10.73
Vanish,Cleaning,58.82
Kleenex,Healthcare,39.41
Finish,Cleaning,24.22
Gilette,Beauty,68.95
Tropicana,Groceries,69.14
Loreal,Beauty,97.86
Lurpak,Dairy,84.07
Pedigree,Pet,7.05
Danish,Fresh Meat,81.07
High Farm,Fruit and Vegetables,25.29
Kelloggs,Groceries,36.51
Rowse,Groceries,1.78
Surf,Cleaning,3.02
Finish,Cleaning,48.24
Kleenex,Healthcare,3.35
