Finish,Cleaning,66.05
Andrew,Groceries,16.74
Steve's Leaves,Fruit and Vegetables,12.08
Colgate,Healthcare,14.08
New Farm,Fruit and Vegetables,51.03
Butchers,Pet,3.35
Hartleys,Groceries,36.58
John West,Groceries,8.28
Felix,Pet,53.24
Heinz,Groceries,109.33
John West,Groceries,36.78
Knorr,Groceries,12.16
Colmans,Groceries,37.21
Roberts,Bakery,33.06
Felix,Pet,0.67
Sheba,Pet,1.80
Delifrance,Bakery,6.35
Remington,Beauty,28.03
Butchers,Pet,141.00
Activia,Dairy,83.63
Weston Veg,Fruit and Vegetables,66.79
Knorr,Groceries,73.11
Heinz,Groceries,4.00
Kleenex,Healthcare,62.59
Cravendale,Dairy,64.91
Tropicana,Groceries,92.44
Tropicana,Groceries,31.23
Butchers,Pet,101.20
John West,Groceries,26.38
Fairy,Cleaning,14.81
Kleenex,Healthcare,1.59
Gu,Groceries,102.15
Go Cat,Pet,5.87
Warburtons,Bakery,5.93
Sheba,Pet,52.36
Surf,Cleaning,18.42
Remington,Beauty,24.30
Kelloggs,Groceries,57.56
Pedigree,Pet,49.25
Cathedral City,Groceries,36.53
Tropicana,Groceries,58.04
Gilette,Beauty,0.03
Lurpak,Dairy,17.72
Colgate,Healthcare,5.97
Pedigree,Pet,17.93
Simple,Beauty,55.57
Tropicana,Groceries,2.67
Vanish,Cleaning,16.30
Garnier,Beauty,39.41
Gu,Groceries,32.05
Colgate,Healthcare,100.02
Muller,Dairy,4.35
Flora,Dairy,79.48
John West,Groceries,58.15
Florette,Fruit and Vegetables,9.50
Gressingham,Fresh Meat,41.28
Kleenex,Healthcare,51.50
Roberts,Bakery,95.05
Pedigree,Pet,34.81
Heinz,Groceries,100.69
Kelloggs,Groceries,24.52
Knorr,Groceries,80.48
Roberts,Bakery,9.63
Butchers,Pet,9.14
Bakers,Pet,18.31
Gressingham,Fresh Meat,2.77
Roberts,Bakery,131.03
Walkers,Groceries,6.85
Activia,Dairy,112.22
Roberts,Bakery,70.03
Danish,Fresh Meat,44.78
Sheba,Pet,32.08
Muddy Boots,Fresh Meat,7.23
Danish,Fresh Meat,35.94
Denhay,Fresh Meat,73.17
Bold,Cleaning,27.92
Gu,Groceries,69.40
Weston Veg,Fruit and Vegetables,2.37
Pedigree,Pet,1.26
Vanish,Cleaning,3.50
Activia,Dairy,0.05
Loreal,Beauty,71.82
Walkers,Groceries,16.43
Blue Diamond,Dairy,13.93
Sheba,Pet,4.81
Cravendale,Dairy,8.56
Knorr,Groceries,20.82
High Farm,Fruit and Vegetables,27.38
Butchers,Pet,42.58
Muddy Boots,Fresh Meat,6.31
Colgate,Healthcare,52.99
Tropicana,Groceries,20.27
Walkers,Groceries,69.82
Knorr,Groceries,29.61
Loreal,Beauty,58.31
Cathedral City,Groceries,34.88
Danish,Fresh Meat,15.67
Gilette,Beauty,8.42
Finish,Cleaning,11.61
Muddy Boots,Fresh Meat,25.77
Vaseline,Beauty,21.69
Blue Diamond,Dairy,57.38
Activia,Dairy,18.45
Knorr,Groceries,38.80
Cravendale,Dairy,134.25
Gilette,Beauty,0.77
Hartleys,Groceries,5.39
Delifrance,Bakery,3.75
Finish,Cleaning,5.99
Steve's Leaves,Fruit and Vegetables,65.99
Cravendale,Dairy,6.23
Remington,Beauty,7.86
Blue Diamond,Dairy,16.95
Go Cat,Pet,33.12
Remington,Beauty,57.60
Weston Veg,Fruit and Vegetables,12.07
Remington,Beauty,27.32
Tropicana,Groceries,24.61
Flora,Dairy,21.53
Go Cat,Pet,8.71
Surf,Cleaning,4.95
Weston Veg,Fruit and Vegetables,31.51
Colmans,Groceries,35.22
Blue Diamond,Dairy,17.89
Richmond,Fresh Meat,61.73
Remington,Beauty,42.64
New Farm,Fruit and Vegetables,22.00
Muddy Boots,Fresh Meat,0.56
Kleenex,Healthcare,75.05
Finish,Cleaning,49.08
Heinz,Groceries,53.39
Richmond,Fresh Meat,5.44
Finish,Cleaning,2.78
Knorr,Groceries,12.51
Finish,Cleaning,28.04
Felix,Pet,11.86
Hovis,Bakery,0.87
Pedigree,Pet,1.73
New Farm,Fruit and Vegetables,82.21
Colgate,Healthcare,14.98
Weston Veg,Fruit and Vegetables,39.15
New Farm,Fruit and Vegetables,35.15
Gressingham,Fresh Meat,0.29
Flora,Dairy,96.16
High Farm,Fruit and Vegetables,1.45
Danish,Fresh Meat,39.67
Muller,Dairy,27.37
Florette,Fruit and Vegetables,44.73
Kelloggs,Groceries,18.58
Weston Veg,Fruit and Vegetables,46.40
Knorr,Groceries,50.43
Danish,Fresh Meat,44.58
Cravendale,Dairy,19.84
Denhay,Fresh Meat,25.50
Lurpak,Dairy,32.86
High Farm,Fruit and Vegetables,19.46
Denhay,Fresh Meat,16.59
Hovis,Bakery,24.64
Bakers,Pet,51.61
New Farm,Fruit and Vegetables,14.96
Sheba,Pet,54.76
Vaseline,Beauty,4.93
Butchers,Pet,15.74
Lurpak,Dairy,10.09
Lurpak,Dairy,91.90
Gressingham,Fresh Meat,54.88
Muller,Dairy,99.29
Simple,Beauty,0.42
Andrew,Groceries,4.68
Cravendale,Dairy,1.89
Richmond,Fresh Meat,34.32
Finish,Cleaning,0.85
Muller,Dairy,91.44
Bakers,Pet,76.51
Gressingham,Fresh Meat,6.84
Gilette,Beauty,52.81
Vanish,Cleaning,98.21
Garnier,Beauty,47.57
John West,Groceries,31.31
Vanish,Cleaning,3.46
Florette,Fruit and Vegetables,9.48
Walkers,Groceries,1.71
High Farm,Fruit and Vegetables,21.47
Activia,Dairy,6.57
Steve's Leaves,Fruit and Vegetables,34.06
Sheba,Pet,2.66
Pedigree,Pet,36.42
Walkers,Groceries,7.75
Colgate,Healthcare,75.01
Gu,Groceries,53.35
Pedigree,Pet,4.88
Pedigree,Pet,11.64
Rowse,Groceries,50.04
Warburtons,Bakery,24.66
Cathedral City,Groceries,37.14
Go Cat,Pet,47.33
Warburtons,Bakery,64.88
Cathedral City,Groceries,15.46
Bold,Cleaning,4.15
Muddy Boots,Fresh Meat,135.48
Kleenex,Healthcare,36.55
Loreal,Beauty,29.70
Muddy Boots,Fresh Meat,84.66
Danish,Fresh Meat,4.64
Sheba,Pet,69.69
Loreal,Beauty,2.71
Cathedral City,Groceries,26.92
Pedigree,Pet,9.50
Lurpak,Dairy,47.57
Heinz,Groceries,33.46
Loreal,Beauty,3.44
Weston Veg,Fruit and Vegetables,80.32
Vaseline,Beauty,90.19
Walkers,Groceries,73.99
Walkers,Groceries,19.46
Vanish,Cleaning,5.20
Remington,Beauty,11.69
Hartleys,Groceries,73.44
Bold,Cleaning,68.81
Vaseline,Beauty,24.06
Lurpak,Dairy,73.92
Danish,Fresh Meat,52.39
Gressingham,Fresh Meat,59.26
Walkers,Groceries,11.77
Steve's Leaves,Fruit and Vegetables,69.24
Muddy Boots,Fresh Meat,90.54
Butchers,Pet,17.21
Colmans,Groceries,11.49
High Farm,Fruit and Vegetables,74.17
Fairy,Cleaning,12.48
Heinz,Groceries,0.17
Fairy,Cleaning,55.26
Garnier,Beauty,21.64
Felix,Pet,44.79
Weston Veg,Fruit and Vegetables,26.31
Kelloggs,Groceries,11.32
Gressingham,Fresh Meat,2.24
Activia,Dairy,7.20
Bakers,Pet,13.05
Gu,Groceries,1.12
Lurpak,Dairy,56.50
