Remington,Beauty,81.27
Pedigree,Pet,0.27
Cathedral City,Groceries,95.17
Tropicana,Groceries,28.03
Bakers,Pet,10.19
Sheba,Pet,92.60
Weston Veg,Fruit and Vegetables,6.75
Dave's Dairy,Dairy,26.15
Go Cat,Pet,0.56
Denhay,Fresh Meat,93.06
Gilette,Beauty,21.40
Surf,Cleaning,63.31
Fairy,Cleaning,4.75
Denhay,Fresh Meat,11.68
Walkers,Groceries,26.43
Gu,Groceries,23.93
Warburtons,Bakery,36.07
Heinz,Groceries,98.21
Warburtons,Bakery,21.38
Flora,Dairy,125.15
Kleenex,Healthcare,2.19
Sheba,Pet,18.32
Weston Veg,Fruit and Vegetables,22.25
Pedigree,Pet,32.81
Florette,Fruit and Vegetables,31.38
Gu,Groceries,62.02
Delifrance,Bakery,10.60
Felix,Pet,79.72
Hartleys,Groceries,70.59
Rowse,Groceries,43.77
Hartleys,Groceries,2.14
Finish,Cleaning,35.77
Vaseline,Beauty,31.79
Loreal,Beauty,6.15
Finish,Cleaning,35.74
Muller,Dairy,28.34
Knorr,Groceries,13.74
Gu,Groceries,24.91
Hartleys,Groceries,31.51
Gu,Groceries,5.68
Weston Veg,Fruit and Vegetables,98.08
Go Cat,Pet,3.61
Gu,Groceries,7.79
Heinz,Groceries,17.41
Gilette,Beauty,36.11
Kleenex,Healthcare,16.90
Walkers,Groceries,75.28
Cathedral City,Groceries,32.49
Muller,Dairy,32.12
Vanish,Cleaning,116.64
Walkers,Groceries,6.80
Steve's Leaves,Fruit and Vegetables,42.49
Felix,Pet,35.59
Loreal,Beauty,15.02
Vanish,Cleaning,11.99
Felix,Pet,36.29
Colmans,Groceries,8.81
Garnier,Beauty,9.70
Hartleys,Groceries,18.33
Colmans,Groceries,14.63
Gu,Groceries,27.48
Garnier,Beauty,116.56
Colgate,Healthcare,45.82
Garnier,Beauty,56.99
Garnier,Beauty,88.93
Kelloggs,Groceries,9.84
Knorr,Groceries,100.79
Remington,Beauty,23.51
Cravendale,Dairy,4.50
Felix,Pet,83.88
Muddy Boots,Fresh Meat,50.52
Vanish,Cleaning,45.46
Colgate,Healthcare,26.31
Kleenex,Healthcare,9.28
Muller,Dairy,23.36
Cravendale,Dairy,0.50
Vanish,Cleaning,62.90
Knorr,Groceries,0.49
Delifrance,Bakery,11.44
John West,Groceries,42.72
Steve's Leaves,Fruit and Vegetables,21.83
Hovis,Bakery,0.62
Heinz,Groceries,73.98
High Farm,Fruit and Vegetables,6.75
Pedigree,Pet,22.65
Muller,Dairy,91.67
Heinz,Groceries,0.04
Bakers,Pet,20.26
Butchers,Pet,54.88
Remington,Beauty,51.24
Hartleys,Groceries,12.86
John West,Groceries,43.53
Cravendale,Dairy,12.44
John West,Groceries,47.00
Bold,Cleaning,12.61
Blue Diamond,Dairy,15.23
Gressingham,Fresh Meat,24.85
Hartleys,Groceries,29.25
Hartleys,Groceries,116.07
Cathedral City,Groceries,24.48
Bold,Cleaning,4.90
Roberts,Bakery,35.68
Richmond,Fresh Meat,29.76
Felix,Pet,1.36
Go Cat,Pet,27.10
Steve's Leaves,Fruit and Vegetables,10.44
Bakers,Pet,2.85
High Farm,Fruit and Vegetables,4.53
Roberts,Bakery,0.08
Pedigree,Pet,7.08
Weston Veg,Fruit and Vegetables,8.53
Lurpak,Dairy,10.02
Fairy,Cleaning,17.41
Hovis,Bakery,35.65
Roberts,Bakery,9.82
High Farm,Fruit and Vegetables,8.55
Gilette,Beauty,5.61
Lurpak,Dairy,11.49
Knorr,Groceries,9.42
Danish,Fresh Meat,98.94
Colmans,Groceries,5.95
Danish,Fresh Meat,35.02
Delifrance,Bakery,4.87
Fairy,Cleaning,1.53
Lurpak,Dairy,23.65
Richmond,Fresh Meat,15.72
Felix,Pet,20.57
Garnier,Beauty,96.79
John West,Groceries,27.54
Go Cat,Pet,67.58
Kleenex,Healthcare,21.31
Bakers,Pet,101.54
Denhay,Fresh Meat,39.02
Pedigree,Pet,35.81
Dave's Dairy,Dairy,71.73
Andrew,Groceries,0.23
Vaseline,Beauty,1.85
Fairy,Cleaning,0.96
Vanish,Cleaning,12.29
Vanish,Cleaning,44.46
Warburtons,Bakery,20.03
Kleenex,Healthcare,0.88
Go Cat,Pet,85.59
John West,Groceries,106.52
Roberts,Bakery,6.17
Weston Veg,Fruit and Vegetables,14.84
Sheba,Pet,13.00
John West,Groceries,14.11
Danish,Fresh Meat,71.51
Simple,Beauty,30.33
New Farm,Fruit and Vegetables,66.12
Danish,Fresh Meat,7.51
Simple,Beauty,15.99
Flora,Dairy,6.03
Tropicana,Groceries,28.11
Knorr,Groceries,34.33
Vanish,Cleaning,18.61
Heinz,Groceries,20.57
Hovis,Bakery,37.33
Bold,Cleaning,1.66
Tropicana,Groceries,64.16
Richmond,Fresh Meat,13.48
Pedigree,Pet,23.20
Bold,Cleaning,4.13
Pedigree,Pet,42.65
John West,Groceries,28.46
Dave's Dairy,Dairy,73.05
Bold,Cleaning,14.98
Bakers,Pet,42.22
Pedigree,Pet,98.08
Muller,Dairy,67.79
Bold,Cleaning,33.25
Andrew,Groceries,7.32
Gilette,Beauty,66.85
Vanish,Cleaning,1.36
Pedigree,Pet,4.48
Hartleys,Groceries,17.19
Vaseline,Beauty,111.59
Knorr,Groceries,0.62
Bold,Cleaning,13.98
Hartleys,Groceries,92.82
Surf,Cleaning,62.86
Fairy,Cleaning,13.17
Florette,Fruit and Vegetables,5.78
Colgate,Healthcare,16.16
Butchers,Pet,94.75
Hovis,Bakery,0.20
Hartleys,Groceries,0.63
Pedigree,Pet,91.81
Activia,Dairy,21.34
Denhay,Fresh Meat,13.65
New Farm,Fruit and Vegetables,21.14
Loreal,Beauty,29.55
Andrew,Groceries,43.78
Go Cat,Pet,6.38
Muddy Boots,Fresh Meat,14.47
Activia,Dairy,38.76
High Farm,Fruit and Vegetables,4.17
Lurpak,Dairy,131.34
Florette,Fruit and Vegetables,11.66
Dave's Dairy,Dairy,7.92
Hartleys,Groceries,23.85
Kelloggs,Groceries,48.44
Dave's Dairy,Dairy,3.28
Gu,Groceries,85.33
Kelloggs,Groceries,3.46
Finish,Cleaning,115.20
Lurpak,Dairy,122.06
Gilette,Beauty,55.40
Vaseline,Beauty,29.90
Steve's Leaves,Fruit and Vegetables,19.31
Tropicana,Groceries,66.12
Sheba,Pet,9.46
Knorr,Groceries,3.09
Muller,Dairy,12.27
Steve's Leaves,Fruit and Vegetables,64.66
New Farm,Fruit and Vegetables,11.01
Sheba,Pet,8.15
Colgate,Healthcare,99.34
Roberts,Bakery,7.04
Steve's Leaves,Fruit and Vegetables,2.79
Tropicana,Groceries,8.10
Felix,Pet,3.28
Walkers,Groceries,29.25
Florette,Fruit and Vegetables,3.09
Richmond,Fresh Meat,5.47
Gilette,Beauty,37.13
Simple,Beauty,7.83
Colgate,Healthcare,71.25
Roberts,Bakery,116.36
Felix,Pet,42.17
Weston Veg,Fruit and Vegetables,60.50
Danish,Fresh Meat,2.97
Heinz,Groceries,66.21
Andrew,Groceries,12.86
New Farm,Fruit and Vegetables,34.60
Felix,Pet,39.07
Butchers,Pet,13.75
New Farm,Fruit and Vegetables,36.77
Heinz,Groceries,47.55
Colgate,Healthcare,37.31
Hovis,Bakery,24.24
Colmans,Groceries,18.36
Kleenex,Healthcare,65.66
Sheba,Pet,88.70
Cathedral City,Groceries,37.37
Pedigree,Pet,51.21
Felix,Pet,36.43
Gilette,Beauty,1.63
Tropicana,Groceries,31.25
Cathedral City,Groceries,86.54
Hartleys,Groceries,17.08
Colgate,Healthcare,0.73
Hartleys,Groceries,1.58
Warburtons,Bakery,18.97
Gu,Groceries,50.08
Muller,Dairy,34.48
Hovis,Bakery,6.12
Richmond,Fresh Meat,10.54
Pedigree,Pet,8.56
Colmans,Groceries,5.79
New Farm,Fruit and Vegetables,6.32
Pedigree,Pet,2.11
Bold,Cleaning,75.93
Loreal,Beauty,9.80
High Farm,Fruit and Vegetables,97.63
Loreal,Beauty,6.00
Garnier,Beauty,39.67
Finish,Cleaning,77.65
Vanish,Cleaning,63.36
Danish,Fresh Meat,56.90
Bakers,Pet,57.24
Felix,Pet,0.81
Hovis,Bakery,75.49
Knorr,Groceries,13.93
Tropicana,Groceries,22.34
Vanish,Cleaning,53.98
Hovis,Bakery,50.81
Simple,Beauty,29.62
Florette,Fruit and Vegetables,71.52
Bold,Cleaning,16.16
Surf,Cleaning,41.03
Cravendale,Dairy,51.92
Muller,Dairy,62.68
Vaseline,Beauty,11.80
Colmans,Groceries,23.81
Colgate,Healthcare,58.50
Fairy,Cleaning,0.13
Sheba,Pet,95.81
Hovis,Bakery,14.11
Warburtons,Bakery,38.57
Gu,Groceries,39.33
New Farm,Fruit and Vegetables,66.45
Garnier,Beauty,29.41
Kleenex,Healthcare,6.39
Go Cat,Pet,13.39
Bakers,Pet,68.47
Surf,Cleaning,26.19
Dave's Dairy,Dairy,0.91
Kelloggs,Groceries,90.38
Finish,Cleaning,54.17
Surf,Cleaning,17.81
Sheba,Pet,30.04
Surf,Cleaning,3.51
Steve's Leaves,Fruit and Vegetables,25.19
Fairy,Cleaning,0.20
Warburtons,Bakery,3.22
Finish,Cleaning,48.43
Rowse,Groceries,82.71
Surf,Cleaning,83.13
Gressingham,Fresh Meat,2.13
Blue Diamond,Dairy,2.34
John West,Groceries,39.69
Go Cat,Pet,94.71
Heinz,Groceries,0.26
Bold,Cleaning,34.84
Gu,Groceries,0.55
Cathedral City,Groceries,88.20
Gu,Groceries,148.30
Gressingham,Fresh Meat,119.42
Weston Veg,Fruit and Vegetables,38.44
Cravendale,Dairy,42.18
Gilette,Beauty,92.98
Denhay,Fresh Meat,14.38
Danish,Fresh Meat,5.71
Bakers,Pet,13.14
Activia,Dairy,13.45
Steve's Leaves,Fruit and Vegetables,9.74
Hartleys,Groceries,0.75
Andrew,Groceries,19.98
Heinz,Groceries,69.52
Gu,Groceries,40.55
Richmond,Fresh Meat,45.22
New Farm,Fruit and Vegetables,4.70
Surf,Cleaning,20.87
Danish,Fresh Meat,13.18
Finish,Cleaning,47.57
Butchers,Pet,40.14
Kelloggs,Groceries,26.17
Simple,Beauty,64.47
Colmans,Groceries,50.42
Hovis,Bakery,58.02
Kelloggs,Groceries,67.82
Bold,Cleaning,16.97
Weston Veg,Fruit and Vegetables,33.88
Cravendale,Dairy,6.14
Remington,Beauty,99.79
Pedigree,Pet,85.62
Vaseline,Beauty,4.64
Simple,Beauty,28.51
New Farm,Fruit and Vegetables,45.84
High Farm,Fruit and Vegetables,15.52
Kleenex,Healthcare,26.53
Felix,Pet,78.32
Rowse,Groceries,4.96
High Farm,Fruit and Vegetables,65.38
Warburtons,Bakery,51.88
Steve's Leaves,Fruit and Vegetables,23.93
Florette,Fruit and Vegetables,50.78
Gilette,Beauty,26.60
Colmans,Groceries,29.18
Knorr,Groceries,2.28
Muller,Dairy,0.72
Cravendale,Dairy,22.81
Cathedral City,Groceries,0.45
Colgate,Healthcare,19.38
Richmond,Fresh Meat,68.66
Colgate,Healthcare,113.48
Gilette,Beauty,103.80
Roberts,Bakery,68.48
Loreal,Beauty,4.86
Butchers,Pet,71.19
Fairy,Cleaning,49.49
Florette,Fruit and Vegetables,43.38
Muller,Dairy,24.83
Denhay,Fresh Meat,33.04
Colgate,Healthcare,21.70
Go Cat,Pet,7.23
Gilette,Beauty,0.17
Andrew,Groceries,13.59
Loreal,Beauty,17.95
Dave's Dairy,Dairy,35.41
Hartleys,Groceries,27.33
Warburtons,Bakery,84.34
Richmond,Fresh Meat,43.84
Loreal,Beauty,29.65
Bold,Cleaning,0.66
Fairy,Cleaning,3.12
Roberts,Bakery,30.46
Gu,Groceries,66.12
Bakers,Pet,0.52
Dave's Dairy,Dairy,8.17
Colgate,Healthcare,0.81
John West,Groceries,12.82
Surf,Cleaning,102.59
Surf,Cleaning,106.72
Dave's Dairy,Dairy,58.94
Steve's Leaves,Fruit and Vegetables,38.97
Delifrance,Bakery,51.02
Sheba,Pet,55.11
Loreal,Beauty,13.01
High Farm,Fruit and Vegetables,38.50
Activia,Dairy,0.48
Pedigree,Pet,8.14
Simple,Beauty,104.20
Danish,Fresh Meat,11.10
Dave's Dairy,Dairy,58.26
Cravendale,Dairy,23.14
Danish,Fresh Meat,4.63
Activia,Dairy,42.39
Pedigree,Pet,27.24
New Farm,Fruit and Vegetables,0.54
Vaseline,Beauty,16.70
Cathedral City,Groceries,81.48
Activia,Dairy,73.88
Walkers,Groceries,66.13
Finish,Cleaning,16.86
Flora,Dairy,24.25
Knorr,Groceries,48.17
Kelloggs,Groceries,14.98
Kleenex,Healthcare,94.58
Surf,Cleaning,0.84
Richmond,Fresh Meat,75.47
Lurpak,Dairy,102.23
Vanish,Cleaning,78.24
Richmond,Fresh Meat,115.82
Cravendale,Dairy,87.42
Colgate,Healthcare,16.77
John West,Groceries,6.51
Go Cat,Pet,11.28
Finish,Cleaning,96.76
Flora,Dairy,73.43
Delifrance,Bakery,28.46
Activia,Dairy,23.75
Flora,Dairy,22.76
Simple,Beauty,75.74
Sheba,Pet,44.42
Steve's Leaves,Fruit and Vegetables,46.82
Vanish,Cleaning,31.31
Simple,Beauty,83.72
Muller,Dairy,5.80
Delifrance,Bakery,3.18
Denhay,Fresh Meat,25.96
Cathedral City,Groceries,83.94
Vaseline,Beauty,76.08
Delifrance,Bakery,57.08
