Gu,Groceries,28.74
Activia,Dairy,58.07
Colmans,Groceries,38.74
Vaseline,Beauty,38.16
Warburtons,Bakery,38.61
Go Cat,Pet,1.54
Simple,Beauty,27.58
Tropicana,Groceries,122.46
Denhay,Fresh Meat,1.46
Roberts,Bakery,80.89
High Farm,Fruit and Vegetables,113.61
Richmond,Fresh Meat,7.93
John West,Groceries,1.27
Butchers,Pet,59.45
Cravendale,Dairy,0.21
Go Cat,Pet,33.22
Blue Diamond,Dairy,65.57
Gu,Groceries,21.03
Steve's Leaves,Fruit and Vegetables,14.38
Vaseline,Beauty,65.91
Vanish,Cleaning,3.36
Activia,Dairy,37.89
Denhay,Fresh Meat,7.10
Vanish,Cleaning,7.36
Vaseline,Beauty,37.13
Richmond,Fresh Meat,50.23
Sheba,Pet,13.79
Surf,Cleaning,33.35
Muller,Dairy,56.00
John West,Groceries,35.24
Tropicana,Groceries,45.01
Bold,Cleaning,22.14
Heinz,Groceries,75.94
Steve's Leaves,Fruit and Vegetables,13.79
New Farm,Fruit and Vegetables,7.40
Muller,Dairy,13.91
Bold,Cleaning,92.66
Surf,Cleaning,11.51
Felix,Pet,72.03
New Farm,Fruit and Vegetables,6.58
Garnier,Beauty,1.19
High Farm,Fruit and Vegetables,39.96
Muller,Dairy,76.14
Flora,Dairy,73.27
Simple,Beauty,11.07
Florette,Fruit and Vegetables,8.32
Colgate,Healthcare,0.28
Colgate,Healthcare,6.28
Danish,Fresh Meat,40.25
Go Cat,Pet,35.51
Denhay,Fresh Meat,79.70
Sheba,Pet,41.59
Gressingham,Fresh Meat,4.01
Florette,Fruit and Vegetables,0.81
Hovis,Bakery,19.43
Loreal,Beauty,48.45
Andrew,Groceries,30.35
Simple,Beauty,1.92
Warburtons,Bakery,39.93
Gu,Groceries,54.57
Colgate,Healthcare,114.87
Rowse,Groceries,12.07
Activia,Dairy,29.03
Bakers,Pet,10.13
Finish,Cleaning,87.10
Florette,Fruit and Vegetables,133.60
Lurpak,Dairy,16.69
Cravendale,Dairy,23.48
John West,Groceries,50.48
Activia,Dairy,79.11
Kelloggs,Groceries,59.81
Denhay,Fresh Meat,8.76
Delifrance,Bakery,68.92
Cravendale,Dairy,8.26
Simple,Beauty,67.76
Dave's Dairy,Dairy,59.37
Cathedral City,Groceries,78.85
Andrew,Groceries,84.45
Hartleys,Groceries,37.06
Vanish,Cleaning,3.78
Pedigree,Pet,91.26
Richmond,Fresh Meat,84.58
Finish,Cleaning,14.85
Felix,Pet,29.64
Simple,Beauty,0.87
Gressingham,Fresh Meat,56.85
Rowse,Groceries,20.12
Bakers,Pet,6.30
Muddy Boots,Fresh Meat,104.89
Bakers,Pet,35.56
Hartleys,Groceries,45.21
Kelloggs,Groceries,74.07
Bold,Cleaning,37.84
Richmond,Fresh Meat,0.80
Fairy,Cleaning,2.59
Bold,Cleaning,23.15
Lurpak,Dairy,6.56
Cravendale,Dairy,16.55
Fairy,Cleaning,42.43
Surf,Cleaning,134.00
Richmond,Fresh Meat,36.07
Colmans,Groceries,0.19
Bakers,Pet,0.22
Vanish,Cleaning,17.75
Sheba,Pet,85.49
Tropicana,Groceries,25.78
Gilette,Beauty,32.80
Flora,Dairy,4.83
Go Cat,Pet,2.57
Gu,Groceries,93.47
Knorr,Groceries,42.76
Garnier,Beauty,0.58
Blue Diamond,Dairy,0.52
Gressingham,Fresh Meat,25.28
Andrew,Groceries,0.24
Sheba,Pet,16.46
Flora,Dairy,33.51
Bakers,Pet,44.89
Kleenex,Healthcare,56.56
Cravendale,Dairy,11.38
Flora,Dairy,17.80
Colmans,Groceries,23.90
Richmond,Fresh Meat,93.01
New Farm,Fruit and Vegetables,10.24
Bold,Cleaning,102.55
Roberts,Bakery,111.31
Dave's Dairy,Dairy,34.97
Finish,Cleaning,4.40
Loreal,Beauty,24.78
Bakers,Pet,38.56
Muller,Dairy,6.47
Felix,Pet,35.89
Danish,Fresh Meat,20.97
Flora,Dairy,134.46
Andrew,Groceries,138.31
Kleenex,Healthcare,31.21
Lurpak,Dairy,19.26
Sheba,Pet,77.73
Danish,Fresh Meat,33.09
Garnier,Beauty,112.07
Remington,Beauty,4.68
Knorr,Groceries,33.82
Fairy,Cleaning,13.93
Kleenex,Healthcare,38.16
Go Cat,Pet,47.15
Remington,Beauty,2.14
High Farm,Fruit and Vegetables,21.99
Dave's Dairy,Dairy,2.29
Butchers,Pet,9.98
Simple,Beauty,132.16
Delifrance,Bakery,21.93
Hovis,Bakery,3.54
Rowse,Groceries,6.84
Rowse,Groceries,98.18
Surf,Cleaning,39.59
Felix,Pet,5.90
John West,Groceries,62.75
Kelloggs,Groceries,13.59
Florette,Fruit and Vegetables,5.94
Denhay,Fresh Meat,54.05
Knorr,Groceries,31.04
Warburtons,Bakery,24.66
Rowse,Groceries,26.43
Tropicana,Groceries,99.33
Felix,Pet,93.07
Vanish,Cleaning,12.02
Fairy,Cleaning,113.85
Andrew,Groceries,31.25
Roberts,Bakery,36.33
Heinz,Groceries,35.10
Go Cat,Pet,73.20
Gu,Groceries,38.72
Gilette,Beauty,46.41
Fairy,Cleaning,16.22
High Farm,Fruit and Vegetables,61.65
Activia,Dairy,40.47
Colmans,Groceries,7.31
Remington,Beauty,31.72
Cathedral City,Groceries,86.06
High Farm,Fruit and Vegetables,70.30
Kelloggs,Groceries,85.34
Muddy Boots,Fresh Meat,1.42
Hovis,Bakery,20.79
Colgate,Healthcare,60.30
Butchers,Pet,0.98
Loreal,Beauty,1.34
Gu,Groceries,44.91
Flora,Dairy,61.27
Go Cat,Pet,14.91
Colmans,Groceries,30.08
Vaseline,Beauty,35.25
Andrew,Groceries,30.12
Finish,Cleaning,11.59
Sheba,Pet,70.56
Florette,Fruit and Vegetables,7.78
Pedigree,Pet,33.66
Muller,Dairy,89.65
Finish,Cleaning,64.94
Sheba,Pet,103.09
New Farm,Fruit and Vegetables,13.71
Butchers,Pet,6.55
Bakers,Pet,24.88
Weston Veg,Fruit and Vegetables,43.44
Walkers,Groceries,72.98
Gilette,Beauty,81.68
Blue Diamond,Dairy,74.14
Vaseline,Beauty,0.08
Lurpak,Dairy,52.35
Activia,Dairy,48.77
Danish,Fresh Meat,41.59
Pedigree,Pet,5.85
New Farm,Fruit and Vegetables,3.63
Butchers,Pet,106.93
Cravendale,Dairy,3.63
Pedigree,Pet,84.78
Kelloggs,Groceries,28.95
Finish,Cleaning,1.16
Warburtons,Bakery,5.71
Pedigree,Pet,5.02
Kleenex,Healthcare,3.31
Warburtons,Bakery,63.07
Colgate,Healthcare,34.48
Remington,Beauty,46.96
High Farm,Fruit and Vegetables,128.26
Lurpak,Dairy,32.19
Denhay,Fresh Meat,2.87
Steve's Leaves,Fruit and Vegetables,84.22
High Farm,Fruit and Vegetables,22.70
Fairy,Cleaning,61.47
Hovis,Bakery,87.22
Knorr,Groceries,44.98
Colgate,Healthcare,60.95
Colgate,Healthcare,19.91
Flora,Dairy,120.61
Go Cat,Pet,6.52
Gressingham,Fresh Meat,4.54
Fairy,Cleaning,17.09
Flora,Dairy,52.64
Go Cat,Pet,11.85
Bold,Cleaning,82.01
Muddy Boots,Fresh Meat,13.24
Florette,Fruit and Vegetables,7.41
Hovis,Bakery,74.73
Muller,Dairy,41.31
Bakers,Pet,29.89
Muddy Boots,Fresh Meat,18.08
Walkers,Groceries,6.98
Cravendale,Dairy,91.26
Bakers,Pet,75.84
Flora,Dairy,33.87
Butchers,Pet,92.53
Gu,Groceries,45.37
Garnier,Beauty,2.25
Pedigree,Pet,116.64
Simple,Beauty,4.59
Pedigree,Pet,46.80
Rowse,Groceries,39.28
Sheba,Pet,16.95
Dave's Dairy,Dairy,14.23
Simple,Beauty,21.14
Muddy Boots,Fresh Meat,22.63
Loreal,Beauty,12.12
Kleenex,Healthcare,45.62
Delifrance,Bakery,45.88
Kelloggs,Groceries,28.41
Hovis,Bakery,72.45
Pedigree,Pet,1.06
Denhay,Fresh Meat,54.74
Loreal,Beauty,48.81
John West,Groceries,14.87
Andrew,Groceries,55.30
Richmond,Fresh Meat,124.69
Blue Diamond,Dairy,115.98
Denhay,Fresh Meat,8.22
Activia,Dairy,80.79
Gilette,Beauty,107.86
Bakers,Pet,52.11
Flora,Dairy,45.22
Pedigree,Pet,22.64
Dave's Dairy,Dairy,1.22
Activia,Dairy,76.60
Blue Diamond,Dairy,9.56
Sheba,Pet,20.48
Finish,Cleaning,46.19
Gressingham,Fresh Meat,84.98
Roberts,Bakery,4.45
John West,Groceries,11.22
Flora,Dairy,40.61
Remington,Beauty,4.93
Hartleys,Groceries,14.28
Butchers,Pet,7.96
Vaseline,Beauty,12.99
Florette,Fruit and Vegetables,4.32
Butchers,Pet,6.61
Fairy,Cleaning,37.75
Simple,Beauty,20.49
Cathedral City,Groceries,63.45
Garnier,Beauty,9.70
