Tropicana,Groceries,27.52
Bakers,Pet,0.27
Denhay,Fresh Meat,32.01
Felix,Pet,29.97
Warburtons,Bakery,59.73
Vaseline,Beauty,9.08
Andrew,Groceries,47.12
Hartleys,Groceries,37.63
Heinz,Groceries,86.54
Cathedral City,Groceries,1.10
Heinz,Groceries,35.69
Simple,Beauty,9.25
Hartleys,Groceries,66.73
New Farm,Fruit and Vegetables,23.24
Finish,Cleaning,33.04
Vanish,Cleaning,60.09
Sheba,Pet,28.49
Walkers,Groceries,6.47
Finish,Cleaning,22.79
Activia,Dairy,49.01
Remington,Beauty,17.61
Loreal,Beauty,113.32
Cathedral City,Groceries,1.35
Kleenex,Healthcare,17.59
Hovis,Bakery,0.12
Colmans,Groceries,8.20
John West,Groceries,12.66
Tropicana,Groceries,10.35
Delifrance,Bakery,39.32
Walkers,Groceries,92.25
Bakers,Pet,103.44
Gu,Groceries,4.78
Gu,Groceries,14.09
Denhay,Fresh Meat,41.70
Remington,Beauty,55.38
Florette,Fruit and Vegetables,10.96
Andrew,Groceries,9.36
Heinz,Groceries,7.79
Knorr,Groceries,22.66
Pedigree,Pet,34.89
Rowse,Groceries,55.34
Remington,Beauty,38.37
Rowse,Groceries,110.38
Muller,Dairy,120.46
Danish,Fresh Meat,9.59
Vanish,Cleaning,92.24
Fairy,Cleaning,68.83
Hovis,Bakery,43.51
Hartleys,Groceries,82.56
Vanish,Cleaning,20.98
Blue Diamond,Dairy,95.36
Bold,Cleaning,24.21
Colmans,Groceries,113.36
Bold,Cleaning,17.19
Kelloggs,Groceries,41.91
Remington,Beauty,10.41
Kelloggs,Groceries,49.48
Danish,Fresh Meat,36.13
Denhay,Fresh Meat,15.43
Gilette,Beauty,82.56
Hartleys,Groceries,11.94
Cathedral City,Groceries,29.50
Gilette,Beauty,16.83
Rowse,Groceries,27.12
Garnier,Beauty,74.65
Felix,Pet,9.68
Heinz,Groceries,37.21
Tropicana,Groceries,21.15
Gu,Groceries,42.01
Warburtons,Bakery,73.08
Hovis,Bakery,15.92
Richmond,Fresh Meat,100.81
Bold,Cleaning,8.75
Colgate,Healthcare,35.85
High Farm,Fruit and Vegetables,41.46
Rowse,Groceries,45.55
Knorr,Groceries,5.02
Colmans,Groceries,37.99
Warburtons,Bakery,67.05
Hovis,Bakery,17.29
Felix,Pet,105.08
Remington,Beauty,56.74
Kleenex,Healthcare,2.84
Hartleys,Groceries,55.23
Roberts,Bakery,3.36
Vaseline,Beauty,94.74
Sheba,Pet,109.48
Garnier,Beauty,59.23
Florette,Fruit and Vegetables,50.15
Gressingham,Fresh Meat,24.75
Delifrance,Bakery,17.01
John West,Groceries,28.51
Pedigree,Pet,0.38
Steve's Leaves,Fruit and Vegetables,20.52
Colgate,Healthcare,63.69
High Farm,Fruit and Vegetables,0.56
Roberts,Bakery,27.69
Muddy Boots,Fresh Meat,45.86
Knorr,Groceries,108.19
Bold,Cleaning,50.97
John West,Groceries,23.69
Danish,Fresh Meat,11.29
Surf,Cleaning,52.08
Gu,Groceries,22.94
Blue Diamond,Dairy,23.85
Kelloggs,Groceries,41.92
Muller,Dairy,33.31
Roberts,Bakery,58.33
Andrew,Groceries,15.74
Steve's Leaves,Fruit and Vegetables,21.53
Lurpak,Dairy,12.93
Cravendale,Dairy,4.22
Flora,Dairy,37.40
Steve's Leaves,Fruit and Vegetables,43.38
Steve's Leaves,Fruit and Vegetables,2.40
Gressingham,Fresh Meat,3.60
Hovis,Bakery,0.60
Vanish,Cleaning,57.48
Surf,Cleaning,26.12
Gilette,Beauty,38.49
Hovis,Bakery,53.29
Heinz,Groceries,97.97
Gu,Groceries,2.89
Go Cat,Pet,66.88
Weston Veg,Fruit and Vegetables,5.86
Surf,Cleaning,4.49
Kleenex,Healthcare,44.48
Pedigree,Pet,10.59
Kleenex,Healthcare,16.94
Go Cat,Pet,9.53
Loreal,Beauty,42.42
Kleenex,Healthcare,49.27
Vaseline,Beauty,7.88
Gressingham,Fresh Meat,12.28
Richmond,Fresh Meat,20.05
Fairy,Cleaning,12.77
Delifrance,Bakery,103.42
Fairy,Cleaning,14.11
Steve's Leaves,Fruit and Vegetables,37.46
Colgate,Healthcare,43.09
Andrew,Groceries,93.70
Finish,Cleaning,32.53
Bakers,Pet,98.41
Florette,Fruit and Vegetables,6.89
Denhay,Fresh Meat,35.74
Pedigree,Pet,130.59
Felix,Pet,15.62
Bakers,Pet,11.48
Garnier,Beauty,104.84
Florette,Fruit and Vegetables,119.69
Colmans,Groceries,114.93
Steve's Leaves,Fruit and Vegetables,2.02
Walkers,Groceries,48.69
Richmond,Fresh Meat,18.60
Vaseline,Beauty,28.79
Steve's Leaves,Fruit and Vegetables,13.53
Bold,Cleaning,66.02
Steve's Leaves,Fruit and Vegetables,30.59
Weston Veg,Fruit and Vegetables,79.95
Richmond,Fresh Meat,53.64
John West,Groceries,3.41
Lurpak,Dairy,36.27
Tropicana,Groceries,35.09
Dave's Dairy,Dairy,52.36
Cathedral City,Groceries,44.86
Danish,Fresh Meat,36.96
Hartleys,Groceries,17.64
Hartleys,Groceries,0.25
Andrew,Groceries,46.48
High Farm,Fruit and Vegetables,2.04
Kelloggs,Groceries,29.80
Warburtons,Bakery,22.16
Gressingham,Fresh Meat,5.49
Cravendale,Dairy,13.20
Bold,Cleaning,22.36
Vaseline,Beauty,30.12
Loreal,Beauty,56.10
Surf,Cleaning,4.22
New Farm,Fruit and Vegetables,19.52
Cathedral City,Groceries,31.43
Remington,Beauty,13.47
Rowse,Groceries,31.74
Hartleys,Groceries,81.87
Sheba,Pet,68.88
Simple,Beauty,4.79
Walkers,Groceries,7.19
Butchers,Pet,9.24
Gressingham,Fresh Meat,6.49
Roberts,Bakery,1.20
Blue Diamond,Dairy,53.40
Loreal,Beauty,1.83
Vanish,Cleaning,36.29
Delifrance,Bakery,41.99
Activia,Dairy,29.87
Activia,Dairy,40.15
Knorr,Groceries,11.05
Roberts,Bakery,28.64
Richmond,Fresh Meat,32.34
Bold,Cleaning,24.85
High Farm,Fruit and Vegetables,52.46
New Farm,Fruit and Vegetables,12.56
Simple,Beauty,70.80
Cravendale,Dairy,69.61
Walkers,Groceries,3.46
Muddy Boots,Fresh Meat,1.22
Bold,Cleaning,30.35
Kelloggs,Groceries,30.27
Go Cat,Pet,38.27
Lurpak,Dairy,47.30
Garnier,Beauty,0.23
Cathedral City,Groceries,51.70
New Farm,Fruit and Vegetables,18.75
John West,Groceries,74.79
Go Cat,Pet,69.55
Fairy,Cleaning,3.44
New Farm,Fruit and Vegetables,23.67
Bakers,Pet,136.18
Cathedral City,Groceries,13.20
Muller,Dairy,41.24
John West,Groceries,11.05
Delifrance,Bakery,59.64
Cravendale,Dairy,3.20
Go Cat,Pet,56.41
Pedigree,Pet,102.55
Pedigree,Pet,17.16
Kleenex,Healthcare,20.09
Remington,Beauty,24.27
Steve's Leaves,Fruit and Vegetables,0.83
Simple,Beauty,0.38
Gressingham,Fresh Meat,82.38
Felix,Pet,0.14
Hartleys,Groceries,115.09
Tropicana,Groceries,7.46
Go Cat,Pet,35.72
Fairy,Cleaning,0.29
Colgate,Healthcare,37.53
Delifrance,Bakery,8.02
Tropicana,Groceries,2.57
Blue Diamond,Dairy,27.18
Steve's Leaves,Fruit and Vegetables,3.80
Richmond,Fresh Meat,92.24
Danish,Fresh Meat,126.38
John West,Groceries,8.97
High Farm,Fruit and Vegetables,27.41
Remington,Beauty,58.10
Delifrance,Bakery,3.99
Gilette,Beauty,106.97
Florette,Fruit and Vegetables,1.90
Florette,Fruit and Vegetables,86.88
Gressingham,Fresh Meat,49.09
Florette,Fruit and Vegetables,26.87
Garnier,Beauty,117.37
John West,Groceries,9.95
Kelloggs,Groceries,15.91
Flora,Dairy,95.25
Hartleys,Groceries,87.93
Loreal,Beauty,28.41
Roberts,Bakery,47.51
Remington,Beauty,31.84
New Farm,Fruit and Vegetables,7.88
Simple,Beauty,10.55
Warburtons,Bakery,97.20
Colgate,Healthcare,26.08
Muddy Boots,Fresh Meat,43.28
Cathedral City,Groceries,46.40
Surf,Cleaning,12.15
Finish,Cleaning,127.25
Delifrance,Bakery,35.68
Delifrance,Bakery,43.87
Felix,Pet,63.80
Kelloggs,Groceries,5.49
Denhay,Fresh Meat,19.61
Heinz,Groceries,18.36
Cathedral City,Groceries,37.70
Simple,Beauty,9.51
Hartleys,Groceries,21.97
Walkers,Groceries,6.96
Weston Veg,Fruit and Vegetables,56.24
Warburtons,Bakery,11.93
Butchers,Pet,9.93
Gilette,Beauty,29.61
Muddy Boots,Fresh Meat,38.76
Weston Veg,Fruit and Vegetables,12.66
Roberts,Bakery,9.48
New Farm,Fruit and Vegetables,27.51
Kleenex,Healthcare,56.02
Walkers,Groceries,8.86
Delifrance,Bakery,99.33
John West,Groceries,34.22
Bakers,Pet,96.64
Kleenex,Healthcare,26.70
Vanish,Cleaning,2.58
Felix,Pet,19.14
Felix,Pet,3.81
Gilette,Beauty,32.83
Muddy Boots,Fresh Meat,58.48
Delifrance,Bakery,27.13
Knorr,Groceries,83.80
Colmans,Groceries,80.32
Blue Diamond,Dairy,1.84
Heinz,Groceries,30.68
Vaseline,Beauty,41.15
Kelloggs,Groceries,51.40
Colgate,Healthcare,58.08
Felix,Pet,2.22
Gressingham,Fresh Meat,10.93
Dave's Dairy,Dairy,73.00
Danish,Fresh Meat,111.21
Rowse,Groceries,13.04
Warburtons,Bakery,5.79
Steve's Leaves,Fruit and Vegetables,18.12
Surf,Cleaning,91.12
Blue Diamond,Dairy,14.73
Richmond,Fresh Meat,12.80
Garnier,Beauty,20.49
Florette,Fruit and Vegetables,26.88
Lurpak,Dairy,23.96
Blue Diamond,Dairy,7.12
Knorr,Groceries,15.45
High Farm,Fruit and Vegetables,32.69
Sheba,Pet,92.52
Hovis,Bakery,39.21
Bakers,Pet,21.24
Remington,Beauty,5.60
Activia,Dairy,94.37
Dave's Dairy,Dairy,120.52
Butchers,Pet,4.24
Heinz,Groceries,2.77
Flora,Dairy,10.62
Walkers,Groceries,29.45
Danish,Fresh Meat,34.87
Bold,Cleaning,3.35
Kleenex,Healthcare,33.02
Muller,Dairy,11.85
Vaseline,Beauty,52.82
Lurpak,Dairy,45.98
Richmond,Fresh Meat,20.29
Muddy Boots,Fresh Meat,25.49
Go Cat,Pet,61.13
Steve's Leaves,Fruit and Vegetables,92.67
Weston Veg,Fruit and Vegetables,2.71
Activia,Dairy,59.40
Bold,Cleaning,28.48
Gilette,Beauty,3.64
Rowse,Groceries,4.62
Hartleys,Groceries,0.33
Warburtons,Bakery,80.93
Activia,Dairy,22.98
Fairy,Cleaning,123.71
Loreal,Beauty,17.96
Weston Veg,Fruit and Vegetables,111.99
Florette,Fruit and Vegetables,5.71
Cathedral City,Groceries,0.44
Sheba,Pet,27.03
Florette,Fruit and Vegetables,53.29
Tropicana,Groceries,19.10
Cathedral City,Groceries,17.58
Gu,Groceries,18.76
Pedigree,Pet,41.28
