Go Cat,Pet,3.63
Sheba,Pet,36.14
Colmans,Groceries,5.98
Colgate,Healthcare,10.92
Felix,Pet,23.33
Muddy Boots,Fresh Meat,99.97
Gressingham,Fresh Meat,81.53
Walkers,Groceries,49.95
Colmans,Groceries,31.18
New Farm,Fruit and Vegetables,18.94
New Farm,Fruit and Vegetables,28.61
Vanish,Cleaning,21.71
Danish,Fresh Meat,46.73
Andrew,Groceries,15.72
Cathedral City,Groceries,72.90
Hovis,Bakery,27.14
New Farm,Fruit and Vegetables,87.60
Pedigree,Pet,0.93
Remington,Beauty,43.63
Butchers,Pet,61.11
Flora,Dairy,100.96
Richmond,Fresh Meat,107.23
Pedigree,Pet,33.70
Simple,Beauty,0.39
Colgate,Healthcare,23.70
Steve's Leaves,Fruit and Vegetables,6.24
Denhay,Fresh Meat,0.12
Heinz,Groceries,86.81
Steve's Leaves,Fruit and Vegetables,39.10
Cathedral City,Groceries,2.93
Activia,Dairy,10.85
Gressingham,Fresh Meat,5.05
Vanish,Cleaning,2.49
Cravendale,Dairy,22.84
Steve's Leaves,Fruit and Vegetables,31.94
High Farm,Fruit and Vegetables,30.65
Walkers,Groceries,67.66
Cravendale,Dairy,71.58
Dave's Dairy,Dairy,39.63
Colgate,Healthcare,8.38
Fairy,Cleaning,16.61
Surf,Cleaning,53.60
Bold,Cleaning,8.20
Lurpak,Dairy,12.92
Hartleys,Groceries,29.25
Dave's Dairy,Dairy,49.62
Hartleys,Groceries,0.26
Gressingham,Fresh Meat,70.01
Kleenex,Healthcare,3.88
Knorr,Groceries,49.92
Steve's Leaves,Fruit and Vegetables,44.14
Richmond,Fresh Meat,17.97
Warburtons,Bakery,6.36
Gilette,Beauty,66.48
Lurpak,Dairy,34.42
Activia,Dairy,81.78
Danish,Fresh Meat,128.77
Walkers,Groceries,2.46
Colgate,Healthcare,45.52
Cravendale,Dairy,4.18
Muller,Dairy,22.69
Butchers,Pet,16.48
Garnier,Beauty,16.97
Danish,Fresh Meat,26.53
Danish,Fresh Meat,42.02
Bold,Cleaning,29.66
Richmond,Fresh Meat,15.19
Dave's Dairy,Dairy,21.95
Danish,Fresh Meat,59.55
Felix,Pet,83.05
Danish,Fresh Meat,78.47
John West,Groceries,26.14
Felix,Pet,32.24
Butchers,Pet,23.22
Andrew,Groceries,0.17
Fairy,Cleaning,25.26
Cravendale,Dairy,3.51
Roberts,Bakery,46.70
Walkers,Groceries,6.02
Hovis,Bakery,93.75
Danish,Fresh Meat,1.66
High Farm,Fruit and Vegetables,134.70
Gu,Groceries,22.36
Activia,Dairy,43.79
Remington,Beauty,8.10
Muddy Boots,Fresh Meat,11.79
Richmond,Fresh Meat,16.81
Cathedral City,Groceries,0.42
Activia,Dairy,81.91
Finish,Cleaning,15.54
Lurpak,Dairy,92.02
John West,Groceries,80.36
Kelloggs,Groceries,0.06
Cravendale,Dairy,5.30
Flora,Dairy,9.60
John West,Groceries,96.15
Fairy,Cleaning,22.71
John West,Groceries,24.39
Andrew,Groceries,122.00
Delifrance,Bakery,28.32
Tropicana,Groceries,120.68
Warburtons,Bakery,0.02
Bold,Cleaning,14.94
High Farm,Fruit and Vegetables,20.83
Flora,Dairy,15.28
Weston Veg,Fruit and Vegetables,36.69
Muddy Boots,Fresh Meat,21.34
Tropicana,Groceries,2.57
Andrew,Groceries,8.45
Fairy,Cleaning,1.66
Rowse,Groceries,5.95
Hartleys,Groceries,11.14
Vaseline,Beauty,17.39
Cathedral City,Groceries,1.94
John West,Groceries,6.53
Cravendale,Dairy,2.27
Tropicana,Groceries,0.71
Rowse,Groceries,7.14
Surf,Cleaning,0.24
Cravendale,Dairy,99.00
Hartleys,Groceries,2.19
Cathedral City,Groceries,78.10
Blue Diamond,Dairy,69.97
Knorr,Groceries,34.59
Bold,Cleaning,15.68
Florette,Fruit and Vegetables,77.42
Sheba,Pet,111.52
Roberts,Bakery,6.54
Muddy Boots,Fresh Meat,1.42
Delifrance,Bakery,10.44
Loreal,Beauty,18.21
Garnier,Beauty,3.02
Florette,Fruit and Vegetables,28.93
Dave's Dairy,Dairy,81.14
Flora,Dairy,82.19
Surf,Cleaning,4.79
Loreal,Beauty,67.36
Sheba,Pet,0.77
Richmond,Fresh Meat,44.28
Bold,Cleaning,13.65
Lurpak,Dairy,50.73
Warburtons,Bakery,8.51
Roberts,Bakery,35.92
Cathedral City,Groceries,7.00
John West,Groceries,25.59
Weston Veg,Fruit and Vegetables,68.82
Fairy,Cleaning,50.91
Blue Diamond,Dairy,17.98
Cathedral City,Groceries,36.46
High Farm,Fruit and Vegetables,15.39
New Farm,Fruit and Vegetables,5.58
Dave's Dairy,Dairy,35.24
Cathedral City,Groceries,18.77
Florette,Fruit and Vegetables,30.69
Lurpak,Dairy,33.21
Andrew,Groceries,26.39
Kelloggs,Groceries,42.57
Simple,Beauty,0.44
Butchers,Pet,2.30
High Farm,Fruit and Vegetables,10.27
Fairy,Cleaning,49.32
John West,Groceries,92.24
Dave's Dairy,Dairy,37.23
Steve's Leaves,Fruit and Vegetables,33.52
