Danish,Fresh Meat,46.32
Flora,Dairy,104.56
Knorr,Groceries,70.12
Remington,Beauty,24.61
Cravendale,Dairy,5.31
Cravendale,Dairy,43.06
Weston Veg,Fruit and Vegetables,31.87
Hartleys,Groceries,61.22
Vaseline,Beauty,25.38
Tropicana,Groceries,4.70
Hartleys,Groceries,16.68
Bakers,Pet,33.29
Garnier,Beauty,4.49
New Farm,Fruit and Vegetables,26.50
Vanish,Cleaning,12.03
Rowse,Groceries,7.25
Muller,Dairy,6.63
Blue Diamond,Dairy,0.30
Weston Veg,Fruit and Vegetables,22.11
Delifrance,Bakery,41.31
Activia,Dairy,18.91
Muller,Dairy,18.40
Garnier,Beauty,86.72
Bakers,Pet,23.48
Finish,Cleaning,0.97
Heinz,Groceries,24.70
Muller,Dairy,6.06
Colgate,Healthcare,46.44
Cravendale,Dairy,16.58
Knorr,Groceries,13.50
Butchers,Pet,111.99
Kleenex,Healthcare,68.62
Flora,Dairy,56.85
Finish,Cleaning,19.89
Walkers,Groceries,85.31
Danish,Fresh Meat,9.17
Vaseline,Beauty,1.71
Bakers,Pet,0.36
Dave's Dairy,Dairy,64.85
Tropicana,Groceries,6.90
Gressingham,Fresh Meat,47.32
Fairy,Cleaning,97.60
Fairy,Cleaning,4.15
Loreal,Beauty,42.06
New Farm,Fruit and Vegetables,18.87
Richmond,Fresh Meat,3.47
Kelloggs,Groceries,85.75
Pedigree,Pet,3.44
Colgate,Healthcare,3.43
Pedigree,Pet,8.67
Gilette,Beauty,25.84
Go Cat,Pet,58.00
Pedigree,Pet,93.37
Denhay,Fresh Meat,7.17
Garnier,Beauty,67.49
Rowse,Groceries,11.17
Knorr,Groceries,60.28
Knorr,Groceries,49.57
Sheba,Pet,21.67
High Farm,Fruit and Vegetables,39.50
Cathedral City,Groceries,30.98
Knorr,Groceries,22.94
Hartleys,Groceries,64.00
Felix,Pet,7.05
Surf,Cleaning,8.03
Hartleys,Groceries,65.50
Gu,Groceries,52.95
Andrew,Groceries,3.06
Finish,Cleaning,30.62
Weston Veg,Fruit and Vegetables,19.86
Andrew,Groceries,24.74
Garnier,Beauty,100.02
Bakers,Pet,41.66
Colgate,Healthcare,116.21
Kleenex,Healthcare,39.50
Kelloggs,Groceries,79.89
Cathedral City,Groceries,14.70
Danish,Fresh Meat,99.77
Loreal,Beauty,17.74
Knorr,Groceries,67.04
Colgate,Healthcare,28.69
Steve's Leaves,Fruit and Vegetables,45.79
Garnier,Beauty,25.31
Vanish,Cleaning,5.28
Colgate,Healthcare,23.56
Go Cat,Pet,14.51
New Farm,Fruit and Vegetables,0.78
Finish,Cleaning,35.62
Steve's Leaves,Fruit and Vegetables,39.10
Cravendale,Dairy,23.88
Florette,Fruit and Vegetables,2.18
Activia,Dairy,0.28
