Vaseline,Beauty,56.44
Kelloggs,Groceries,16.87
Steve's Leaves,Fruit and Vegetables,34.87
Surf,Cleaning,11.55
Steve's Leaves,Fruit and Vegetables,64.06
Finish,Cleaning,11.49
Loreal,Beauty,9.26
Simple,Beauty,20.70
Activia,Dairy,40.48
Kleenex,Healthcare,35.92
Bold,Cleaning,19.48
Heinz,Groceries,106.72
Warburtons,Bakery,76.63
New Farm,Fruit and Vegetables,22.21
Hartleys,Groceries,6.03
Denhay,Fresh Meat,27.75
John West,Groceries,4.54
Garnier,Beauty,15.26
Rowse,Groceries,33.82
Tropicana,Groceries,58.27
Florette,Fruit and Vegetables,13.25
Hartleys,Groceries,8.63
Felix,Pet,17.42
Fairy,Cleaning,28.11
John West,Groceries,42.31
Colmans,Groceries,10.38
Felix,Pet,14.52
Garnier,Beauty,32.25
New Farm,Fruit and Vegetables,1.43
Gressingham,Fresh Meat,54.22
Blue Diamond,Dairy,7.06
Rowse,Groceries,2.43
Colmans,Groceries,147.34
Richmond,Fresh Meat,9.92
Vanish,Cleaning,13.78
Surf,Cleaning,17.84
Remington,Beauty,17.54
Walkers,Groceries,20.81
Sheba,Pet,24.76
Loreal,Beauty,26.23
Muddy Boots,Fresh Meat,19.88
Loreal,Beauty,22.86
Simple,Beauty,13.09
Loreal,Beauty,0.18
Simple,Beauty,102.80
Gu,Groceries,57.82
High Farm,Fruit and Vegetables,4.21
Activia,Dairy,9.31
Surf,Cleaning,78.83
Felix,Pet,26.07
Blue Diamond,Dairy,101.61
Andrew,Groceries,48.07
Vanish,Cleaning,10.94
Hartleys,Groceries,29.20
Colgate,Healthcare,1.02
Sheba,Pet,38.58
Sheba,Pet,4.89
Finish,Cleaning,65.20
Surf,Cleaning,26.40
Tropicana,Groceries,15.38
Flora,Dairy,9.29
Felix,Pet,2.25
Pedigree,Pet,1.51
Weston Veg,Fruit and Vegetables,42.66
New Farm,Fruit and Vegetables,46.94
Finish,Cleaning,65.81
Lurpak,Dairy,63.57
Steve's Leaves,Fruit and Vegetables,43.78
Simple,Beauty,1.05
Roberts,Bakery,99.88
Flora,Dairy,26.76
Roberts,Bakery,3.15
Remington,Beauty,21.85
Loreal,Beauty,3.01
Knorr,Groceries,38.91
Pedigree,Pet,4.81
Vaseline,Beauty,2.69
Roberts,Bakery,5.57
Bold,Cleaning,37.75
Richmond,Fresh Meat,36.90
Vaseline,Beauty,74.06
Hovis,Bakery,2.53
Sheba,Pet,8.21
New Farm,Fruit and Vegetables,8.00
Loreal,Beauty,37.87
Gu,Groceries,24.66
Pedigree,Pet,5.48
Activia,Dairy,28.94
Colgate,Healthcare,1.10
Remington,Beauty,69.49
Blue Diamond,Dairy,40.05
Tropicana,Groceries,25.37
Remington,Beauty,2.31
Garnier,Beauty,128.04
Muddy Boots,Fresh Meat,73.85
Flora,Dairy,126.69
Surf,Cleaning,3.27
Sheba,Pet,4.92
Knorr,Groceries,10.62
Gressingham,Fresh Meat,5.26
Kleenex,Healthcare,34.68
Muller,Dairy,79.49
Cravendale,Dairy,3.95
Heinz,Groceries,5.73
Garnier,Beauty,57.83
Walkers,Groceries,80.00
Vaseline,Beauty,22.28
Simple,Beauty,80.83
Roberts,Bakery,41.09
Remington,Beauty,10.99
Roberts,Bakery,34.69
Surf,Cleaning,28.59
Surf,Cleaning,30.66
Cathedral City,Groceries,76.71
Activia,Dairy,72.28
Cathedral City,Groceries,42.39
Go Cat,Pet,7.59
Hartleys,Groceries,2.34
Activia,Dairy,33.40
Blue Diamond,Dairy,59.13
Kleenex,Healthcare,17.14
Delifrance,Bakery,105.09
Remington,Beauty,16.29
Kelloggs,Groceries,54.11
Lurpak,Dairy,24.25
Andrew,Groceries,15.81
Activia,Dairy,26.35
Vaseline,Beauty,54.24
Hartleys,Groceries,12.85
Go Cat,Pet,30.84
Florette,Fruit and Vegetables,93.36
Delifrance,Bakery,32.60
Andrew,Groceries,77.74
Delifrance,Bakery,44.71
Gressingham,Fresh Meat,52.61
Pedigree,Pet,21.58
Garnier,Beauty,44.36
Bold,Cleaning,40.86
Sheba,Pet,55.05
Rowse,Groceries,12.68
Lurpak,Dairy,51.07
Gilette,Beauty,66.93
Butchers,Pet,32.82
Go Cat,Pet,1.41
Surf,Cleaning,46.01
John West,Groceries,114.86
Colgate,Healthcare,84.09
Vaseline,Beauty,55.50
High Farm,Fruit and Vegetables,10.30
Bold,Cleaning,4.31
Finish,Cleaning,41.37
Bold,Cleaning,11.04
Blue Diamond,Dairy,1.58
Activia,Dairy,35.92
Butchers,Pet,9.24
Hovis,Bakery,38.20
Butchers,Pet,24.75
Gilette,Beauty,30.64
Steve's Leaves,Fruit and Vegetables,77.90
Hovis,Bakery,45.02
Denhay,Fresh Meat,27.51
Kelloggs,Groceries,9.94
Flora,Dairy,2.86
Warburtons,Bakery,99.27
Activia,Dairy,61.68
Weston Veg,Fruit and Vegetables,15.13
Kelloggs,Groceries,2.87
John West,Groceries,82.90
Rowse,Groceries,28.53
Richmond,Fresh Meat,75.09
Finish,Cleaning,39.32
Florette,Fruit and Vegetables,71.04
Lurpak,Dairy,92.98
Gressingham,Fresh Meat,119.94
Felix,Pet,44.86
Activia,Dairy,0.42
Bold,Cleaning,21.36
Gressingham,Fresh Meat,4.97
High Farm,Fruit and Vegetables,39.93
Cravendale,Dairy,56.75
Richmond,Fresh Meat,10.96
Butchers,Pet,33.54
Colmans,Groceries,15.69
Weston Veg,Fruit and Vegetables,44.82
Muller,Dairy,2.41
Hovis,Bakery,105.17
Andrew,Groceries,45.82
Remington,Beauty,37.79
Vaseline,Beauty,29.61
Delifrance,Bakery,15.28
Sheba,Pet,2.36
Colgate,Healthcare,12.52
Lurpak,Dairy,3.97
Walkers,Groceries,3.43
New Farm,Fruit and Vegetables,11.94
Tropicana,Groceries,0.77
Colgate,Healthcare,14.30
Lurpak,Dairy,23.27
Weston Veg,Fruit and Vegetables,4.01
Finish,Cleaning,27.18
Richmond,Fresh Meat,30.02
Colgate,Healthcare,39.68
Remington,Beauty,67.51
Go Cat,Pet,48.55
Vaseline,Beauty,16.26
Remington,Beauty,37.39
Garnier,Beauty,8.91
Gu,Groceries,11.28
Pedigree,Pet,17.58
Bold,Cleaning,74.44
New Farm,Fruit and Vegetables,5.86
Pedigree,Pet,9.24
Tropicana,Groceries,19.02
Tropicana,Groceries,100.63
Kelloggs,Groceries,36.26
Gilette,Beauty,103.95
Colmans,Groceries,6.29
Pedigree,Pet,73.14
Kelloggs,Groceries,24.63
Felix,Pet,22.44
Dave's Dairy,Dairy,87.50
Knorr,Groceries,16.64
Vanish,Cleaning,2.33
Tropicana,Groceries,22.63
Cravendale,Dairy,16.48
Warburtons,Bakery,21.60
Andrew,Groceries,48.18
Danish,Fresh Meat,23.40
Gilette,Beauty,65.66
Hovis,Bakery,71.32
Muddy Boots,Fresh Meat,30.15
Knorr,Groceries,62.29
Simple,Beauty,123.62
Andrew,Groceries,37.06
Sheba,Pet,24.14
Danish,Fresh Meat,12.50
Butchers,Pet,27.59
Butchers,Pet,39.26
Gilette,Beauty,68.25
Gilette,Beauty,34.25
Surf,Cleaning,24.75
Remington,Beauty,24.23
Muddy Boots,Fresh Meat,27.29
Simple,Beauty,2.31
John West,Groceries,0.47
Sheba,Pet,0.18
Sheba,Pet,4.99
Tropicana,Groceries,38.74
Surf,Cleaning,10.67
Colgate,Healthcare,30.48
Flora,Dairy,17.13
Walkers,Groceries,23.96
Denhay,Fresh Meat,1.65
Danish,Fresh Meat,110.31
Walkers,Groceries,92.42
Pedigree,Pet,17.19
Colmans,Groceries,9.74
Florette,Fruit and Vegetables,2.65
Flora,Dairy,60.34
Richmond,Fresh Meat,9.97
Walkers,Groceries,9.74
Pedigree,Pet,105.91
Bakers,Pet,10.12
Kelloggs,Groceries,68.24
Garnier,Beauty,15.62
Blue Diamond,Dairy,104.08
Pedigree,Pet,93.75
New Farm,Fruit and Vegetables,27.54
Vaseline,Beauty,12.63
New Farm,Fruit and Vegetables,49.64
Colmans,Groceries,7.24
Muddy Boots,Fresh Meat,25.65
Hartleys,Groceries,42.63
Cathedral City,Groceries,123.40
Knorr,Groceries,3.08
Warburtons,Bakery,9.34
Tropicana,Groceries,41.52
Warburtons,Bakery,17.38
Colmans,Groceries,90.56
Richmond,Fresh Meat,10.94
Lurpak,Dairy,39.85
Lurpak,Dairy,113.91
Muller,Dairy,2.24
Sheba,Pet,4.12
Felix,Pet,82.80
Vaseline,Beauty,15.77
Heinz,Groceries,19.08
Garnier,Beauty,7.94
Denhay,Fresh Meat,8.36
Pedigree,Pet,4.64
New Farm,Fruit and Vegetables,66.28
Lurpak,Dairy,27.90
Warburtons,Bakery,18.98
Remington,Beauty,37.57
Danish,Fresh Meat,19.47
Bakers,Pet,21.31
Hovis,Bakery,26.00
Heinz,Groceries,126.20
Muddy Boots,Fresh Meat,16.26
Kleenex,Healthcare,96.14
Danish,Fresh Meat,57.35
Kelloggs,Groceries,18.85
Gressingham,Fresh Meat,6.46
Warburtons,Bakery,71.71
John West,Groceries,32.25
Cravendale,Dairy,0.66
Rowse,Groceries,16.96
Finish,Cleaning,31.78
Kleenex,Healthcare,49.36
John West,Groceries,71.93
Gu,Groceries,83.27
Andrew,Groceries,33.67
Tropicana,Groceries,83.03
Remington,Beauty,25.34
Heinz,Groceries,0.62
Vaseline,Beauty,10.30
Hartleys,Groceries,27.39
Tropicana,Groceries,77.03
Tropicana,Groceries,20.45
Heinz,Groceries,15.50
Remington,Beauty,23.09
Bakers,Pet,5.45
Felix,Pet,7.29
Lurpak,Dairy,28.17
Remington,Beauty,20.80
Fairy,Cleaning,42.90
Sheba,Pet,60.29
Bakers,Pet,70.82
Muddy Boots,Fresh Meat,45.86
Walkers,Groceries,0.89
Hovis,Bakery,0.47
Florette,Fruit and Vegetables,26.81
Denhay,Fresh Meat,7.98
Kleenex,Healthcare,6.52
Go Cat,Pet,104.02
Loreal,Beauty,61.18
Simple,Beauty,83.43
Bakers,Pet,6.28
Knorr,Groceries,51.23
Activia,Dairy,57.42
Walkers,Groceries,94.05
Loreal,Beauty,38.46
Loreal,Beauty,33.83
Colmans,Groceries,22.70
Flora,Dairy,20.00
John West,Groceries,134.51
Bakers,Pet,52.11
New Farm,Fruit and Vegetables,93.92
Kelloggs,Groceries,55.37
Bakers,Pet,23.31
Surf,Cleaning,10.36
Pedigree,Pet,19.61
Fairy,Cleaning,33.67
Roberts,Bakery,0.16
Warburtons,Bakery,15.11
Florette,Fruit and Vegetables,52.58
Muddy Boots,Fresh Meat,58.14
Muller,Dairy,31.48
Richmond,Fresh Meat,85.44
Warburtons,Bakery,2.46
Steve's Leaves,Fruit and Vegetables,27.91
Felix,Pet,38.32
Danish,Fresh Meat,7.59
Danish,Fresh Meat,7.32
Bold,Cleaning,52.87
Bold,Cleaning,2.01
Surf,Cleaning,79.54
Kelloggs,Groceries,84.84
Richmond,Fresh Meat,29.10
Kelloggs,Groceries,78.64
Rowse,Groceries,14.58
Flora,Dairy,50.30
Hartleys,Groceries,8.20
Pedigree,Pet,93.60
Dave's Dairy,Dairy,1.50
Walkers,Groceries,12.31
Steve's Leaves,Fruit and Vegetables,33.82
Muller,Dairy,57.64
Simple,Beauty,42.31
Blue Diamond,Dairy,129.57
Tropicana,Groceries,73.96
Bold,Cleaning,36.73
Gressingham,Fresh Meat,23.37
Gressingham,Fresh Meat,99.58
Danish,Fresh Meat,102.65
Garnier,Beauty,61.73
Gressingham,Fresh Meat,72.28
Butchers,Pet,39.95
Heinz,Groceries,83.54
Pedigree,Pet,4.63
Richmond,Fresh Meat,57.27
Roberts,Bakery,89.58
Colmans,Groceries,17.35
Lurpak,Dairy,0.22
Kleenex,Healthcare,46.36
Blue Diamond,Dairy,104.14
Muller,Dairy,21.21
Pedigree,Pet,18.22
Colmans,Groceries,8.80
Simple,Beauty,25.92
Roberts,Bakery,0.31
Activia,Dairy,24.15
Gu,Groceries,11.42
Gilette,Beauty,36.15
Walkers,Groceries,38.50
John West,Groceries,2.35
Sheba,Pet,6.20
Blue Diamond,Dairy,0.23
Hovis,Bakery,5.84
Hovis,Bakery,56.62
Muller,Dairy,12.11
High Farm,Fruit and Vegetables,54.15
Delifrance,Bakery,33.77
Activia,Dairy,5.34
Pedigree,Pet,43.86
Cravendale,Dairy,30.05
Gu,Groceries,93.20
Colgate,Healthcare,6.45
Roberts,Bakery,18.20
Vaseline,Beauty,5.37
Surf,Cleaning,23.11
Blue Diamond,Dairy,26.43
Rowse,Groceries,97.00
