Gilette,Beauty,6.97
Muller,Dairy,50.00
New Farm,Fruit and Vegetables,29.91
John West,Groceries,45.34
Gressingham,Fresh Meat,41.58
Surf,Cleaning,23.67
Gilette,Beauty,17.61
Walkers,Groceries,101.89
Go Cat,Pet,17.08
Colmans,Groceries,7.17
Gressingham,Fresh Meat,6.76
Hartleys,Groceries,8.30
Tropicana,Groceries,86.61
Go Cat,Pet,16.94
Muddy Boots,Fresh Meat,3.67
Cathedral City,Groceries,56.93
Kelloggs,Groceries,47.51
Garnier,Beauty,2.45
Fairy,Cleaning,40.45
Hartleys,Groceries,30.38
Kelloggs,Groceries,6.87
Lurpak,Dairy,26.84
Sheba,Pet,50.83
Steve's Leaves,Fruit and Vegetables,45.83
Florette,Fruit and Vegetables,12.38
Butchers,Pet,17.85
Blue Diamond,Dairy,37.60
Knorr,Groceries,8.42
Hovis,Bakery,9.89
Blue Diamond,Dairy,22.63
Pedigree,Pet,58.16
Vanish,Cleaning,28.69
Sheba,Pet,19.21
Go Cat,Pet,11.57
Steve's Leaves,Fruit and Vegetables,18.79
Pedigree,Pet,58.51
Lurpak,Dairy,60.54
Muller,Dairy,20.95
Richmond,Fresh Meat,130.85
Vaseline,Beauty,31.77
Kleenex,Healthcare,4.27
Kelloggs,Groceries,123.08
Go Cat,Pet,5.31
Colmans,Groceries,142.84
Gilette,Beauty,78.42
Danish,Fresh Meat,58.16
Simple,Beauty,43.21
Garnier,Beauty,86.99
Cathedral City,Groceries,5.19
Lurpak,Dairy,70.97
Remington,Beauty,90.93
Roberts,Bakery,1.80
Roberts,Bakery,50.25
Roberts,Bakery,51.67
Gu,Groceries,45.18
Dave's Dairy,Dairy,5.16
John West,Groceries,37.38
Weston Veg,Fruit and Vegetables,8.26
Pedigree,Pet,11.13
Steve's Leaves,Fruit and Vegetables,8.59
Vanish,Cleaning,4.86
Muller,Dairy,10.75
Remington,Beauty,60.46
Surf,Cleaning,17.46
Richmond,Fresh Meat,69.04
Colmans,Groceries,45.91
Muddy Boots,Fresh Meat,20.25
Kleenex,Healthcare,16.65
Finish,Cleaning,9.39
Rowse,Groceries,63.51
Felix,Pet,38.45
Denhay,Fresh Meat,95.65
Richmond,Fresh Meat,51.49
Steve's Leaves,Fruit and Vegetables,0.68
Bold,Cleaning,1.28
Gressingham,Fresh Meat,64.28
John West,Groceries,63.48
Rowse,Groceries,67.34
Andrew,Groceries,9.33
Go Cat,Pet,1.11
Garnier,Beauty,27.65
Cravendale,Dairy,3.39
Pedigree,Pet,29.98
Steve's Leaves,Fruit and Vegetables,49.00
Cathedral City,Groceries,3.26
Remington,Beauty,22.00
Remington,Beauty,30.57
Simple,Beauty,7.60
Delifrance,Bakery,34.35
Blue Diamond,Dairy,51.93
Vaseline,Beauty,6.20
Gu,Groceries,58.43
Lurpak,Dairy,44.21
Colmans,Groceries,24.60
Hartleys,Groceries,15.40
Heinz,Groceries,29.39
Steve's Leaves,Fruit and Vegetables,1.61
Lurpak,Dairy,55.71
Florette,Fruit and Vegetables,79.68
Loreal,Beauty,39.27
Cathedral City,Groceries,2.82
John West,Groceries,28.94
Remington,Beauty,68.25
Andrew,Groceries,9.32
Bakers,Pet,0.84
Danish,Fresh Meat,6.90
Sheba,Pet,2.04
Rowse,Groceries,7.84
Finish,Cleaning,20.98
Bakers,Pet,98.45
Garnier,Beauty,17.70
Danish,Fresh Meat,8.51
Kelloggs,Groceries,5.99
Bakers,Pet,99.98
Rowse,Groceries,15.16
Garnier,Beauty,65.39
Steve's Leaves,Fruit and Vegetables,33.86
Surf,Cleaning,35.84
Pedigree,Pet,61.63
Denhay,Fresh Meat,1.56
Lurpak,Dairy,58.74
