Felix,Pet,5.77
Knorr,Groceries,73.16
Bold,Cleaning,1.99
John West,Groceries,132.03
Muller,Dairy,27.23
Tropicana,Groceries,10.15
Dave's Dairy,Dairy,1.62
Remington,Beauty,16.37
Go Cat,Pet,69.11
Bakers,Pet,12.94
Loreal,Beauty,8.50
Weston Veg,Fruit and Vegetables,0.34
Danish,Fresh Meat,43.94
Warburtons,Bakery,72.35
Lurpak,Dairy,65.56
Walkers,Groceries,38.14
Felix,Pet,32.07
Colmans,Groceries,28.82
Delifrance,Bakery,65.07
Richmond,Fresh Meat,54.58
Hovis,Bakery,15.78
Muller,Dairy,15.17
Bakers,Pet,22.60
Colmans,Groceries,22.02
Rowse,Groceries,4.15
Garnier,Beauty,85.37
Flora,Dairy,30.34
Cathedral City,Groceries,73.66
Bold,Cleaning,1.93
Tropicana,Groceries,31.19
Warburtons,Bakery,2.12
Cathedral City,Groceries,117.97
Butchers,Pet,1.52
Bold,Cleaning,6.58
Gressingham,Fresh Meat,14.55
Go Cat,Pet,70.47
Muddy Boots,Fresh Meat,4.14
Go Cat,Pet,62.82
Surf,Cleaning,17.79
Cravendale,Dairy,7.54
Gilette,Beauty,103.95
Go Cat,Pet,1.65
Danish,Fresh Meat,40.78
Knorr,Groceries,13.86
Activia,Dairy,45.84
Simple,Beauty,53.14
High Farm,Fruit and Vegetables,39.13
Hartleys,Groceries,8.18
Dave's Dairy,Dairy,26.71
Kelloggs,Groceries,64.13
Delifrance,Bakery,25.65
Garnier,Beauty,49.10
Walkers,Groceries,20.68
Vaseline,Beauty,10.91
Knorr,Groceries,85.94
Gu,Groceries,5.90
New Farm,Fruit and Vegetables,11.10
Weston Veg,Fruit and Vegetables,23.21
