Felix,Pet,8.46
Richmond,Fresh Meat,57.07
Walkers,Groceries,56.11
Hovis,Bakery,126.40
Bakers,Pet,8.12
John West,Groceries,2.23
Weston Veg,Fruit and Vegetables,9.46
Tropicana,Groceries,57.28
Delifrance,Bakery,18.32
Heinz,Groceries,97.50
Bakers,Pet,89.81
Surf,Cleaning,12.40
Vanish,Cleaning,104.04
Heinz,Groceries,2.79
Flora,Dairy,7.41
Rowse,Groceries,3.17
Garnier,Beauty,91.39
Rowse,Groceries,24.75
Steve's Leaves,Fruit and Vegetables,84.19
New Farm,Fruit and Vegetables,41.81
Colgate,Healthcare,9.75
Richmond,Fresh Meat,7.95
Simple,Beauty,24.07
Steve's Leaves,Fruit and Vegetables,2.71
Knorr,Groceries,19.25
Rowse,Groceries,15.67
Bakers,Pet,6.98
Flora,Dairy,0.27
Gilette,Beauty,10.21
High Farm,Fruit and Vegetables,93.45
Kleenex,Healthcare,17.52
Steve's Leaves,Fruit and Vegetables,118.49
Butchers,Pet,54.85
Cathedral City,Groceries,64.05
Fairy,Cleaning,45.90
Andrew,Groceries,7.80
Gilette,Beauty,142.68
Rowse,Groceries,39.31
Hovis,Bakery,10.29
Steve's Leaves,Fruit and Vegetables,33.49
Lurpak,Dairy,36.26
Garnier,Beauty,21.76
Kleenex,Healthcare,49.56
Andrew,Groceries,41.48
Colmans,Groceries,102.45
Warburtons,Bakery,79.08
Flora,Dairy,65.90
Roberts,Bakery,53.92
Muller,Dairy,64.81
Kleenex,Healthcare,57.88
Sheba,Pet,16.50
Steve's Leaves,Fruit and Vegetables,31.72
Steve's Leaves,Fruit and Vegetables,17.60
Butchers,Pet,106.45
Rowse,Groceries,18.35
Steve's Leaves,Fruit and Vegetables,45.82
Vanish,Cleaning,2.28
Fairy,Cleaning,15.88
Gu,Groceries,32.52
High Farm,Fruit and Vegetables,15.55
New Farm,Fruit and Vegetables,37.88
Finish,Cleaning,46.12
Felix,Pet,41.13
Colmans,Groceries,35.22
High Farm,Fruit and Vegetables,43.12
Gressingham,Fresh Meat,76.36
Lurpak,Dairy,7.09
Dave's Dairy,Dairy,53.84
Vaseline,Beauty,57.29
Walkers,Groceries,21.27
Roberts,Bakery,6.57
Richmond,Fresh Meat,65.09
Fairy,Cleaning,0.18
Cravendale,Dairy,76.90
Kleenex,Healthcare,14.60
Steve's Leaves,Fruit and Vegetables,11.36
Go Cat,Pet,46.72
Steve's Leaves,Fruit and Vegetables,18.59
Richmond,Fresh Meat,5.75
Sheba,Pet,12.06
Rowse,Groceries,55.01
Steve's Leaves,Fruit and Vegetables,1.60
Roberts,Bakery,4.63
Florette,Fruit and Vegetables,47.58
Go Cat,Pet,4.07
Pedigree,Pet,22.22
Denhay,Fresh Meat,17.63
Colgate,Healthcare,36.75
Danish,Fresh Meat,61.90
Gilette,Beauty,1.19
Muddy Boots,Fresh Meat,49.11
Felix,Pet,0.15
Colgate,Healthcare,25.78
Tropicana,Groceries,35.10
Muller,Dairy,25.66
Weston Veg,Fruit and Vegetables,63.01
Felix,Pet,8.51
Flora,Dairy,23.03
Butchers,Pet,28.36
Hartleys,Groceries,39.63
Hartleys,Groceries,17.97
Flora,Dairy,98.49
Vaseline,Beauty,6.68
Flora,Dairy,31.18
Finish,Cleaning,2.54
Dave's Dairy,Dairy,5.22
Cathedral City,Groceries,71.65
Tropicana,Groceries,16.28
Hovis,Bakery,60.92
Weston Veg,Fruit and Vegetables,2.62
Florette,Fruit and Vegetables,13.66
Bakers,Pet,6.77
Colgate,Healthcare,31.48
Activia,Dairy,46.78
Bold,Cleaning,39.96
Simple,Beauty,9.78
Kelloggs,Groceries,23.62
High Farm,Fruit and Vegetables,11.97
Finish,Cleaning,12.73
Surf,Cleaning,1.31
Remington,Beauty,84.14
Gu,Groceries,10.40
Simple,Beauty,44.96
Danish,Fresh Meat,7.78
Vanish,Cleaning,8.38
Delifrance,Bakery,54.27
New Farm,Fruit and Vegetables,6.07
Steve's Leaves,Fruit and Vegetables,28.94
Cravendale,Dairy,30.04
Delifrance,Bakery,36.09
Gilette,Beauty,24.08
Bold,Cleaning,50.87
Richmond,Fresh Meat,6.66
Andrew,Groceries,15.85
Cravendale,Dairy,24.55
Felix,Pet,36.27
Denhay,Fresh Meat,69.64
Surf,Cleaning,1.62
Loreal,Beauty,40.66
Cathedral City,Groceries,62.66
Colgate,Healthcare,8.20
Florette,Fruit and Vegetables,121.19
Felix,Pet,0.39
New Farm,Fruit and Vegetables,12.04
Go Cat,Pet,9.72
Hartleys,Groceries,140.71
Colgate,Healthcare,42.21
Rowse,Groceries,10.01
Sheba,Pet,29.79
Colgate,Healthcare,22.82
New Farm,Fruit and Vegetables,31.79
Knorr,Groceries,29.86
Hartleys,Groceries,3.36
Go Cat,Pet,0.45
New Farm,Fruit and Vegetables,28.05
Gu,Groceries,20.79
Garnier,Beauty,68.55
Andrew,Groceries,3.49
Simple,Beauty,3.88
Rowse,Groceries,55.97
Weston Veg,Fruit and Vegetables,79.65
Kelloggs,Groceries,0.71
Loreal,Beauty,63.29
Warburtons,Bakery,0.22
Hartleys,Groceries,42.08
Bold,Cleaning,18.34
Fairy,Cleaning,46.13
Colmans,Groceries,15.73
Vaseline,Beauty,141.29
Roberts,Bakery,9.16
Go Cat,Pet,3.07
Activia,Dairy,22.20
Cathedral City,Groceries,21.12
Heinz,Groceries,3.05
Kleenex,Healthcare,74.22
Felix,Pet,55.36
Roberts,Bakery,32.03
Finish,Cleaning,5.69
Go Cat,Pet,7.26
Warburtons,Bakery,0.85
High Farm,Fruit and Vegetables,4.25
Cathedral City,Groceries,53.78
Vanish,Cleaning,125.51
Kleenex,Healthcare,63.32
Gilette,Beauty,20.67
Surf,Cleaning,46.69
Gilette,Beauty,5.44
Kleenex,Healthcare,63.29
High Farm,Fruit and Vegetables,40.23
Tropicana,Groceries,49.11
Butchers,Pet,15.37
Vanish,Cleaning,8.07
Dave's Dairy,Dairy,24.65
Dave's Dairy,Dairy,41.42
Florette,Fruit and Vegetables,27.99
Flora,Dairy,55.89
Gilette,Beauty,10.75
Walkers,Groceries,0.24
Pedigree,Pet,9.84
Delifrance,Bakery,9.89
Heinz,Groceries,60.77
John West,Groceries,52.22
Felix,Pet,54.71
Hovis,Bakery,59.54
Denhay,Fresh Meat,35.65
Kleenex,Healthcare,24.96
Colgate,Healthcare,1.73
Roberts,Bakery,13.00
Gressingham,Fresh Meat,66.72
Tropicana,Groceries,85.89
Garnier,Beauty,62.33
Flora,Dairy,88.51
Butchers,Pet,0.57
Cravendale,Dairy,6.25
Richmond,Fresh Meat,42.60
Go Cat,Pet,24.04
Hovis,Bakery,1.87
Sheba,Pet,89.22
Flora,Dairy,34.80
Loreal,Beauty,64.31
Gilette,Beauty,80.99
Garnier,Beauty,8.89
Pedigree,Pet,60.31
Felix,Pet,79.15
Vaseline,Beauty,42.89
Dave's Dairy,Dairy,19.65
Loreal,Beauty,22.10
Hartleys,Groceries,57.41
Lurpak,Dairy,14.27
Vaseline,Beauty,126.43
Cravendale,Dairy,42.27
Remington,Beauty,75.29
High Farm,Fruit and Vegetables,70.78
Tropicana,Groceries,3.84
Colmans,Groceries,35.63
Colgate,Healthcare,44.56
Simple,Beauty,45.61
Danish,Fresh Meat,0.01
Remington,Beauty,35.98
Loreal,Beauty,3.42
Finish,Cleaning,71.93
Go Cat,Pet,3.21
Remington,Beauty,83.83
Bakers,Pet,20.72
Butchers,Pet,6.38
Vaseline,Beauty,33.43
Lurpak,Dairy,19.90
Andrew,Groceries,39.10
Andrew,Groceries,58.13
Loreal,Beauty,0.18
Sheba,Pet,6.12
Kleenex,Healthcare,22.79
Denhay,Fresh Meat,8.35
Florette,Fruit and Vegetables,29.87
